my bare face in the wind
Basic
0.8 0.8
575.9999 518.4
Moved 72.83911 194.0184 379 -0.2881625 -0.01736111
Moved 72.85422 192.2331 379 -0.2912619 -0.01736111
Moved 72.8692 190.7875 379 -0.2937717 -0.01736111
Stationary 72.88483 190.7875 379 -0.2937717 -0.01736111
Moved 72.8996 190 379 -0.2951389 -0.01736111
Stationary 72.91565 190 379 -0.2951389 -0.01736111
Moved 72.93161 196.6245 361.7256 -0.283638 -0.05068361
Moved 72.94662 204.4132 349.2769 -0.270116 -0.0746973
Moved 72.96426 217.7926 326.4147 -0.2468878 -0.1187988
Moved 72.97791 229.901 305.165 -0.2258663 -0.1597898
Moved 72.99426 238.4946 289.0726 -0.2109468 -0.1908323
Moved 73.01093 249.6949 267.6101 -0.1915018 -0.2322336
Moved 73.02444 257.8187 250.3988 -0.177398 -0.2654345
Moved 73.04059 263.6248 235.938 -0.167318 -0.2933295
Moved 73.05563 268.5043 226.1567 -0.1588468 -0.3121977
Moved 73.07074 271.5479 217.3563 -0.1535627 -0.3291737
Moved 73.08524 274.4004 210.1991 -0.1486104 -0.3429801
Moved 73.10791 277.2368 203.2897 -0.1436861 -0.3563085
Stationary 73.11893 277.2368 203.2897 -0.1436861 -0.3563085
Moved 73.13159 278 201.3367 -0.1423611 -0.3600759
Moved 73.14755 279.0999 198.8002 -0.1404515 -0.3649688
Stationary 73.16348 279.0999 198.8002 -0.1404515 -0.3649688
Moved 73.17703 280 198 -0.1388889 -0.3665124
Stationary 73.19305 280 198 -0.1388889 -0.3665124
Stationary 73.21075 280 198 -0.1388889 -0.3665124
Moved 73.22342 280 215.4933 -0.1388889 -0.3327676
Moved 73.2403 280 228.661 -0.1388889 -0.3073669
Moved 73.25626 267.6212 248.1362 -0.1603798 -0.269799
Moved 73.27066 264.4203 269.348 -0.165937 -0.2288813
Moved 73.28513 260.563 284.9034 -0.1726336 -0.1988747
Moved 73.30084 257.6742 303.118 -0.177649 -0.1637383
Moved 73.31699 256.5 314.5 -0.1796875 -0.1417824
Moved 73.33286 255.3081 332.9946 -0.1817568 -0.1061061
Moved 73.34784 253.8717 350.5396 -0.1842505 -0.07226154
Moved 73.36377 252.4325 373.8094 -0.1867491 -0.02737381
Moved 73.37839 250.9995 388.0042 -0.1892369 7.947286E-06
Moved 73.39435 248.1049 405.3705 -0.1942623 0.03350796
Moved 73.41003 247.117 416.9469 -0.1959774 0.05583889
Moved 73.42441 244.37 429.8349 -0.2007465 0.0807
Moved 73.43951 243.6487 439.1616 -0.2019987 0.09869124
Moved 73.45514 243 453.0815 -0.203125 0.1255429
Moved 73.47592 241.6671 463.3304 -0.2054391 0.1453133
Moved 73.48666 242 476.5051 -0.2048611 0.1707273
Moved 73.50122 242 491.1477 -0.2048611 0.1989731
Moved 73.51718 242 502.9114 -0.2048611 0.2216654
Moved 73.53302 242 513.6637 -0.2048611 0.2424068
Moved 73.54791 242 521.0493 -0.2048611 0.2566537
Moved 73.5639 242 529.5577 -0.2048611 0.2730664
Moved 73.57843 242 536.3708 -0.2048611 0.286209
Moved 73.59512 242 543.0477 -0.2048611 0.2990888
Moved 73.6105 242 549.7067 -0.2048611 0.3119342
Moved 73.62466 251.711 555.5491 -0.1880017 0.3232042
Moved 73.64005 250 561.0972 -0.1909722 0.3339065
Moved 73.65671 250 564.735 -0.1909722 0.340924
Moved 73.67252 251.332 568.9958 -0.1886598 0.3491432
Moved 73.68661 251 571.5137 -0.1892361 0.3540001
Moved 73.70255 251 574.3883 -0.1892361 0.3595453
Moved 73.71732 251 577.2737 -0.1892361 0.3651113
Moved 73.73291 251 579.0715 -0.1892361 0.3685791
Moved 73.74783 251 580.5 -0.1892361 0.3713348
Stationary 73.76395 251 580.5 -0.1892361 0.3713348
Ended 73.7793 251 581.3209 -0.1892361 0.3729183
Began 73.99408 487 532 0.2204861 0.2777777
Stationary 74.01068 487 532 0.2204861 0.2777777
Stationary 74.02536 487 532 0.2204861 0.2777777
Stationary 74.04056 487 532 0.2204861 0.2777777
Stationary 74.05707 487 532 0.2204861 0.2777777
Stationary 74.0719 487 532 0.2204861 0.2777777
Moved 74.08664 487 523.4776 0.2204861 0.2613379
Moved 74.10501 487 518.5786 0.2204861 0.2518876
Moved 74.11893 487 516.5563 0.2204861 0.2479867
Moved 74.13412 487 512.5233 0.2204861 0.2402069
Moved 74.14923 487 507.3184 0.2204861 0.2301665
Moved 74.16428 487 499.6815 0.2204861 0.2154349
Moved 74.18103 487 488.539 0.2204861 0.1939409
Moved 74.19714 479.0162 476.0649 0.2066254 0.1698781
Moved 74.21228 475.1796 459.7782 0.1999645 0.138461
Moved 74.22693 472.8995 452.6987 0.1960061 0.1248045
Moved 74.24197 462.4464 425.8928 0.1778583 0.07309566
Moved 74.25842 450.4814 403.8558 0.1570858 0.03058604
Moved 74.27237 438.9195 383.6091 0.137013 -0.008470098
Moved 74.28827 430.8783 368.7565 0.1230525 -0.03712095
Moved 74.30377 423.6145 356.7832 0.1104418 -0.06021758
Moved 74.31873 419.1606 347.0311 0.1027094 -0.07902963
Moved 74.34076 409.0152 330.2766 0.08509584 -0.1113492
Stationary 74.35269 409.0152 330.2766 0.08509584 -0.1113492
Moved 74.36566 403.9499 320.8998 0.07630192 -0.1294372
Moved 74.38126 400.7346 312.2037 0.07071979 -0.146212
Moved 74.39688 397.8626 304.1566 0.06573371 -0.161735
Moved 74.41187 395.9967 296.9836 0.06249435 -0.1755717
Moved 74.42783 394.5579 292.6736 0.05999632 -0.1838858
Moved 74.44357 395 288 0.06076388 -0.1929013
Moved 74.45847 394 284.1523 0.05902775 -0.2003235
Moved 74.47253 394 279.8482 0.05902775 -0.2086261
Moved 74.48849 394 276.3466 0.05902775 -0.2153809
Moved 74.50714 394 272.236 0.05902775 -0.2233102
Moved 74.51984 394 269.2984 0.05902775 -0.2289769
Moved 74.53461 394 266.7336 0.05902775 -0.2339245
Moved 74.55087 394 264 0.05902775 -0.2391975
Moved 74.56607 394 262.6262 0.05902775 -0.2418477
Moved 74.58145 394 260.877 0.05902775 -0.2452219
Moved 74.59674 394 257.8765 0.05902775 -0.2510098
Moved 74.61191 394 256.0023 0.05902775 -0.2546252
Moved 74.6347 394 251.1249 0.05902775 -0.2640338
Moved 74.64783 394 248.342 0.05902775 -0.2694019
Stationary 74.65955 394 248.342 0.05902775 -0.2694019
Moved 74.67227 394 246.3929 0.05902775 -0.2731618
Moved 74.68881 394 244.301 0.05902775 -0.2771971
Moved 74.70465 394 242.7118 0.05902775 -0.2802628
Moved 74.71915 394 241.2759 0.05902775 -0.2830327
Moved 74.73486 394 239.837 0.05902775 -0.2858082
Moved 74.75067 394 237 0.05902775 -0.2912808
Stationary 74.76617 394 236.9813 0.05902775 -0.2913169
Moved 74.78143 394 235.8687 0.05902775 -0.2934633
Moved 74.79623 401 235 0.07118054 -0.2951389
Moved 74.81296 401 233.9541 0.07118054 -0.2971565
