did you have a good time
Basic
0.8 0.8
575.9999 172.8
Stationary 323.3242 372 409 0.02083331 0.121528
Stationary 323.3423 372 409 0.02083331 0.121528
Stationary 323.3559 372 409 0.02083331 0.121528
Stationary 323.3695 372 409 0.02083331 0.121528
Stationary 323.3849 372 409 0.02083331 0.121528
Stationary 323.4007 372 409 0.02083331 0.121528
Stationary 323.4236 372 409 0.02083331 0.121528
Stationary 323.4356 372 409 0.02083331 0.121528
Stationary 323.4478 372 409 0.02083331 0.121528
Stationary 323.4647 372 409 0.02083331 0.121528
Stationary 323.4781 372 409 0.02083331 0.121528
Stationary 323.4925 372 409 0.02083331 0.121528
Stationary 323.508 372 409 0.02083331 0.121528
Stationary 323.5243 372 409 0.02083331 0.121528
Moved 323.5394 379.3254 418.4183 0.03355108 0.1760321
Stationary 323.5562 379.3254 418.4183 0.03355108 0.1760321
Moved 323.5744 380.2171 419 0.03509909 0.1793983
Moved 323.5866 380 420.6558 0.03472224 0.18898
Moved 323.6034 380 422.0945 0.03472224 0.1973063
Moved 323.6162 380 423.5 0.03472224 0.2054397
Moved 323.6318 381 423.7207 0.03645829 0.2067171
Moved 323.6478 381 425.0754 0.03645829 0.214557
Moved 323.6639 382.5 426.5 0.0390625 0.222801
Moved 323.6801 382.9407 428.9407 0.03982753 0.2369251
Moved 323.6947 383 430.3794 0.03993057 0.2452512
Moved 323.7103 384.8182 433.6364 0.04308707 0.2640994
Moved 323.7264 385 435.2569 0.04340276 0.2734773
Moved 323.7409 386.5 438 0.04600696 0.2893519
Moved 323.7554 386.7691 439.7691 0.04647411 0.2995897
Moved 323.7708 388.2051 441.2051 0.04896715 0.3078997
Moved 323.7864 389 442.6473 0.05034722 0.3162459
Moved 323.8019 390.0859 444.0859 0.05223252 0.3245713
Moved 323.8181 390 445.5 0.05208335 0.3327546
Moved 323.834 391.5 446.5 0.05468748 0.3385417
Moved 323.8483 392.2043 447.2043 0.0559102 0.3426174
Moved 323.8696 394 448.9634 0.05902775 0.3527977
Stationary 323.8822 394 448.9634 0.05902775 0.3527977
Moved 323.8936 395.3983 449 0.06145529 0.3530093
Moved 323.9092 396.8381 450 0.06395511 0.3587963
Moved 323.9255 398.2805 450 0.0664591 0.3587963
Moved 323.9415 399.718 451 0.06895497 0.3645833
Moved 323.9556 402.3087 451 0.07345266 0.3645833
Moved 323.9713 403.1772 451 0.07496044 0.3645833
Moved 323.9872 405.6786 451 0.07930308 0.3645833
Moved 324.003 408.2346 452.1173 0.08374064 0.3710493
Moved 324.019 411 452 0.08854166 0.3703704
Moved 324.0351 414.9757 452 0.09544402 0.3703704
Moved 324.0489 417.8532 452 0.1004396 0.3703704
Moved 324.0648 421.7347 452 0.1071784 0.3703704
Moved 324.0806 425.0208 452 0.1128834 0.3703704
Moved 324.0963 429.3435 452 0.1203881 0.3703704
Moved 324.1107 433.6682 452 0.1278962 0.3703704
Moved 324.1266 437.9843 452 0.1353894 0.3703704
Moved 324.1406 442.3007 452 0.1428831 0.3703704
Moved 324.1564 445.4112 452 0.1482833 0.3703704
Moved 324.1702 450.2888 452 0.1567513 0.3703704
Moved 324.1864 453.4371 452 0.1622172 0.3703704
Moved 324.2028 458.7679 452 0.171472 0.3703704
Moved 324.2178 462.5135 452 0.1779748 0.3703704
Moved 324.2333 467.1981 452 0.1861078 0.3703704
Moved 324.2494 470 452 0.1909722 0.3703704
Moved 324.2686 475.7741 452 0.2009967 0.3703704
Moved 324.2803 480.1467 452 0.2085879 0.3703704
Moved 324.2958 485 452 0.2170139 0.3703704
Moved 324.3115 488.5691 452 0.2232102 0.3703704
Moved 324.3273 493.0042 452 0.23091 0.3703704
Moved 324.3424 496.5395 452 0.2370477 0.3703704
Moved 324.3577 500.6255 452 0.2441414 0.3703704
Moved 324.3731 504.2945 452 0.2505112 0.3703704
Moved 324.3886 508.2671 452 0.2574082 0.3703704
Moved 324.404 512.5 452 0.264757 0.3703704
Moved 324.4203 515.9215 452 0.270697 0.3703704
Moved 324.4352 519.1484 452 0.2762992 0.3703704
Moved 324.4497 523.5 452 0.2838542 0.3703704
Moved 324.4651 525.9045 453 0.2880286 0.3761574
Moved 324.4821 530.1724 454.3908 0.2954382 0.384206
Moved 324.4952 532.6648 454.8324 0.2997653 0.3867615
