coming up with killer sound bites
Basic
0.6 0.6
432 388.8
Stationary 151.3165 353 536 -0.01620372 0.3806583
Stationary 151.3354 353 536 -0.01620372 0.3806583
Stationary 151.3477 353 536 -0.01620372 0.3806583
Stationary 151.3642 353 536 -0.01620372 0.3806583
Moved 151.3789 377.7409 536 0.041067 0.3806583
Moved 151.3951 411.2092 529.4477 0.1185397 0.3638057
Moved 151.411 450.7368 526.2047 0.2100388 0.3554647
Moved 151.4272 471.443 526.1705 0.2579698 0.3553766
Moved 151.4408 492.9175 524.7388 0.3076794 0.3516945
Moved 151.4563 509.099 522.6002 0.3451366 0.3461938
Moved 151.4723 523.2685 522 0.3779363 0.3446501
Moved 151.4886 535.5 522 0.40625 0.3446501
Moved 151.5032 542.8696 519.3043 0.4233092 0.3377168
Moved 151.5242 552.9635 517.8624 0.4466747 0.3340081
Moved 151.5354 558.728 517 0.4600186 0.33179
Moved 151.5487 564.0941 517 0.4724401 0.33179
Moved 151.5637 569.8646 517 0.4857976 0.33179
Moved 151.5821 572.8176 517 0.4926334 0.33179
Ended 151.5953 576.9985 517 0.5023113 0.33179
Began 152.4553 187 526 -0.4004629 0.3549381
Stationary 152.4758 187 526 -0.4004629 0.3549381
Stationary 152.4898 187 526 -0.4004629 0.3549381
Stationary 152.504 187 526 -0.4004629 0.3549381
Stationary 152.5194 187 526 -0.4004629 0.3549381
Stationary 152.5357 187 526 -0.4004629 0.3549381
Stationary 152.5497 187 526 -0.4004629 0.3549381
Moved 152.5657 201.036 526 -0.3679721 0.3549381
Moved 152.5818 214.1279 526 -0.3376668 0.3549381
Moved 152.5966 233.5333 526 -0.2927469 0.3549381
Moved 152.6127 252.4282 526 -0.2490087 0.3549381
Moved 152.6305 274.4527 533.7783 -0.1980261 0.3749441
Moved 152.6427 299.9063 535.217 -0.1391057 0.3786446
Moved 152.6579 324.5684 535 -0.08201753 0.3780863
Moved 152.6751 342.3511 535 -0.04085387 0.3780863
Moved 152.6889 359.433 535 -0.001312544 0.3780863
Moved 152.7045 375.4622 535 0.03579199 0.3780863
Moved 152.7204 392.0313 535 0.07414649 0.3780863
Moved 152.7373 406.216 535 0.1069814 0.3780863
Moved 152.7506 417.6846 535 0.1335291 0.3780863
Moved 152.7655 425.0692 535 0.1506231 0.3780863
Moved 152.7818 430.4663 530.684 0.1631163 0.3669856
Moved 152.8036 440.1114 526.6295 0.1854431 0.3565573
Stationary 152.8136 440.1114 526.6295 0.1854431 0.3565573
Moved 152.8284 444.3844 526.2052 0.1953342 0.355466
Moved 152.8434 447.4682 526 0.2024727 0.3549381
Moved 152.8593 452.033 524.3223 0.2130392 0.3506232
Moved 152.8743 455.2346 524 0.2204504 0.3497942
Moved 152.89 458 522.5 0.2268519 0.3459361
Moved 152.905 459.6748 522.3253 0.2307287 0.3454867
Moved 152.9198 462.229 522 0.2366412 0.3446501
Moved 152.9356 463.5548 521 0.2397102 0.3420781
Moved 152.9515 464.9948 520.0052 0.2430435 0.3395194
Moved 152.9664 466.4377 520 0.2463835 0.3395061
Moved 152.9841 467 518.122 0.2476852 0.3346759
Moved 152.9982 468.3167 516.6833 0.2507331 0.3309754
Stationary 153.0137 468.3167 516.6833 0.2507331 0.3309754
Moved 153.0286 468 514.3068 0.25 0.324863
Moved 153.043 468 510.2377 0.25 0.3143972
Moved 153.0589 452.0964 506.599 0.2131862 0.3050385
Moved 153.0743 436.3965 504.8664 0.1768437 0.3005823
Moved 153.0894 420.0486 504 0.1390014 0.2983539
Moved 153.1064 405.7899 504 0.1059951 0.2983539
Moved 153.1229 398.1393 504 0.08828551 0.2983539
Moved 153.1377 387.7883 508.2117 0.06432483 0.3091863
Moved 153.1518 377.7174 512.0403 0.04101257 0.3190337
Moved 153.1668 367.6165 513.4833 0.01763066 0.3227452
Moved 153.1827 361.3833 514.9233 0.003202061 0.3264488
Moved 153.2044 346.969 517.8062 -0.03016427 0.3338636
Stationary 153.2161 346.969 517.8062 -0.03016427 0.3338636
Moved 153.2274 343.1915 518 -0.03890857 0.3343621
Moved 153.2438 337.5849 519.3538 -0.05188689 0.337844
Moved 153.263 335.4046 519 -0.05693371 0.3369341
Moved 153.276 332.5191 519 -0.06361321 0.3369341
Moved 153.2908 331.3186 519 -0.06639218 0.3369341
Moved 153.3058 329.8767 519 -0.06972993 0.3369341
Moved 153.3219 329 519 -0.07175927 0.3369341
Moved 153.3379 329 511.6934 -0.07175927 0.3181414
Moved 153.3528 329 500.3752 -0.07175927 0.2890309
Moved 153.3685 338.61 489.3021 -0.04951398 0.2605507
Moved 153.3843 346.7643 475.3928 -0.03063808 0.2247755
Moved 153.3996 355.4926 462.2611 -0.01043374 0.1910007
Moved 153.4148 364.0567 450.1005 0.009390413 0.1597234
Moved 153.4289 371.3985 440.0421 0.02638548 0.1338529
Moved 153.4455 377.5 431.5 0.04050931 0.1118827
Moved 153.4611 383.5057 420.9886 0.0544113 0.08484726
Moved 153.4754 387.8221 409.8076 0.06440312 0.05608951
Moved 153.4902 390.4596 405.0807 0.07050841 0.04393189
Moved 153.5061 394.5059 396.9883 0.07987469 0.02311801
Moved 153.5219 396.2124 392.1814 0.08382499 0.01075458
Moved 153.5368 399.0744 387.8884 0.09045004 -0.0002870442
Moved 153.5527 400.4805 383.5585 0.09370486 -0.01142376
