just in time for the party
Basic
0.8 0.8
575.9999 172.8
Moved 290.6276 461.775 331.0417 0.1766927 -0.3296199
Moved 290.6438 449.5 335 0.1553819 -0.306713
Moved 290.6593 438.5406 341.3906 0.1363553 -0.2697302
Moved 290.6735 423.3199 349.371 0.1099305 -0.2235476
Moved 290.6891 403.9691 360.4462 0.07633522 -0.1594545
Moved 290.7055 385.609 370.6085 0.04446014 -0.1006451
Moved 290.7215 363.6361 384.1024 0.006312653 -0.02255554
Moved 290.7356 344.2816 396.7498 -0.02728887 0.05063534
Moved 290.7507 327.4377 406.7446 -0.05653169 0.1084758
Moved 290.7671 315.1285 414.5546 -0.07790185 0.1536722
Moved 290.7836 298 424.5 -0.1076389 0.2112269
Moved 290.7974 285.9193 430.5404 -0.1286124 0.2461828
Moved 290.8116 274.787 434.8299 -0.1479392 0.2710063
Moved 290.8271 268.6824 436.6635 -0.1585375 0.2816176
Moved 290.8427 260.7273 438.0455 -0.1723485 0.289615
Moved 290.8577 255.2511 439.4373 -0.1818558 0.2976694
Moved 290.8733 251 439 -0.1892361 0.295139
Moved 290.8896 243.6844 440 -0.2019368 0.3009259
Moved 290.9048 239.236 440 -0.2096597 0.3009259
Moved 290.92 235.0617 440 -0.2169067 0.3009259
Moved 290.9362 233.0159 440 -0.2204584 0.3009259
Moved 290.9517 230.2422 440 -0.2252739 0.3009259
Ended 290.9664 229 440 -0.2274305 0.3009259
Began 291.4102 332 345 -0.04861112 -0.2488426
Stationary 291.4348 332 345 -0.04861112 -0.2488426
Stationary 291.4456 332 345 -0.04861112 -0.2488426
Stationary 291.4597 332 345 -0.04861112 -0.2488426
Stationary 291.4752 332 345 -0.04861112 -0.2488426
Stationary 291.4906 332 345 -0.04861112 -0.2488426
Stationary 291.5059 332 345 -0.04861112 -0.2488426
Stationary 291.5227 332 345 -0.04861112 -0.2488426
Moved 291.5367 345.681 345 -0.02485942 -0.2488426
Moved 291.5529 366.1475 351.4328 0.01067281 -0.2116157
Moved 291.5685 382.226 358.4086 0.03858678 -0.1712463
Moved 291.5828 395.8131 360.9626 0.06217546 -0.1564662
Moved 291.5991 415.2158 366.5883 0.0958608 -0.1239106
Moved 291.6143 430.8695 370.7826 0.1230374 -0.09963778
Moved 291.6325 446.3688 375.9106 0.1499458 -0.06996137
Moved 291.6441 460.3001 379.377 0.174132 -0.04990189
Moved 291.6596 477.582 384.4868 0.2041354 -0.0203311
Moved 291.6754 491.5207 388.5057 0.2283346 0.002926367
Moved 291.6919 504.9255 392.6418 0.2516068 0.02686253
Moved 291.7071 516.1354 395.5338 0.2710683 0.04359863
Moved 291.7217 526.5805 399.9631 0.2892022 0.06923084
Moved 291.7376 535.2501 403.0834 0.3042535 0.08728804
Moved 291.7537 542.0868 405.8347 0.3161229 0.1032103
Moved 291.7687 546.8417 406.3683 0.3243779 0.1062983
Moved 291.7826 552.4539 409.7269 0.3341213 0.1257346
Moved 291.7981 558.002 411.2505 0.3437534 0.1345515
Moved 291.8187 561.9053 413.6351 0.3505301 0.1483516
Moved 291.8303 565.0394 416.0394 0.3559712 0.1622648
Moved 291.8452 567.8065 417.4033 0.360775 0.1701577
Moved 291.8602 570.7945 419.7945 0.3659627 0.183996
Moved 291.8763 571.8708 420 0.3678312 0.1851852
Moved 291.8915 573.212 421.212 0.3701597 0.1921989
Moved 291.9067 574.5983 422.5983 0.3725665 0.2002219
Moved 291.9233 575.5 423.5 0.3741319 0.2054397
Moved 291.9377 576.1838 424.1838 0.3753192 0.2093972
Moved 291.9531 576 425.7595 0.375 0.2185155
Stationary 291.9693 576 426 0.375 0.2199074
Moved 291.9838 576 430.5 0.375 0.2459491
Moved 291.9984 559.1292 435.6327 0.3457104 0.2756522
Moved 292.0146 542.126 442.9475 0.3161909 0.3179833
Moved 292.0306 518.5934 449.8843 0.2753358 0.3581265
Moved 292.0455 487.5194 456.0401 0.2213878 0.3937506
Moved 292.0608 445.3248 460.4383 0.1481333 0.4192033
Moved 292.0776 405.5308 461 0.07904649 0.4224536
Moved 292.0921 362.6153 461 0.004540458 0.4224536
Moved 292.1071 337.6953 452.272 -0.03872354 0.3719446
Moved 292.1224 315.5124 446.6281 -0.07723536 0.339283
Moved 292.138 302.4074 442.535 -0.09998713 0.315596
Moved 292.1531 289.9628 438.6543 -0.1215923 0.2931383
Moved 292.1747 270.7021 433.2341 -0.155031 0.2617712
Stationary 292.185 270.7021 433.2341 -0.155031 0.2617712
Moved 292.1989 263.6513 430.4605 -0.167272 0.2457206
Moved 292.2157 257.5 429.5 -0.1779514 0.240162
Moved 292.2309 253.7486 428.2495 -0.1844643 0.2329255
Moved 292.2459 250.7117 426.8558 -0.1897366 0.2248603
Ended 292.2614 249 427 -0.1927083 0.2256945
Began 293.0451 382 497 0.03819443 0.6307871
Stationary 293.0634 382 497 0.03819443 0.6307871
Stationary 293.0785 382 497 0.03819443 0.6307871
Stationary 293.0932 382 497 0.03819443 0.6307871
Stationary 293.1085 382 497 0.03819443 0.6307871
Stationary 293.1245 382 497 0.03819443 0.6307871
Stationary 293.1406 382 497 0.03819443 0.6307871
Moved 293.1556 391.8687 489.3243 0.05532771 0.5863678
Moved 293.1719 394.5949 486.4051 0.06006069 0.569474
Moved 293.1853 398.9437 481.4084 0.06761051 0.5405583
Moved 293.2021 403.0665 476.9335 0.07476822 0.5146613
Moved 293.2201 407.2293 471.361 0.08199528 0.482413
Moved 293.2323 412.3703 466.8396 0.09092062 0.4562477
Moved 293.2474 415.3461 463.6539 0.09608701 0.4378117
Moved 293.2696 419.6663 458.3337 0.1035873 0.407024
Moved 293.2821 423.0798 454.2269 0.1095135 0.3832576
Moved 293.2952 426.8869 449.1508 0.1161231 0.3538818
Moved 293.3105 429.7363 446.2637 0.1210699 0.3371744
Moved 293.3257 433.4695 442.5305 0.1275512 0.3155701
Moved 293.3407 436.2367 439.7634 0.1323553 0.2995566
Moved 293.356 437.5 437 0.1345486 0.2835649
Moved 293.3713 439.8906 435.2188 0.138699 0.273257
Moved 293.3877 442.5489 432.4511 0.1433141 0.2572401
Moved 293.4032 443.2634 431.7366 0.1445545 0.2531051
Moved 293.4188 446.4625 427.5375 0.1501085 0.2288048
Moved 293.4333 448.1156 423.6533 0.1529785 0.2063272
Moved 293.4487 450.5019 420.4944 0.1571213 0.1880466
Moved 293.4641 452.7757 416.3365 0.1610689 0.1639843
Moved 293.4797 454.2717 412.1849 0.1636661 0.1399592
Moved 293.4946 455.658 409.0259 0.1660729 0.1216776
Moved 293.5101 456.779 406.442 0.1680191 0.1067244
Moved 293.5258 458.0881 402.7357 0.1702918 0.08527588
Moved 293.5415 459 399.054 0.171875 0.06397018
Moved 293.5564 459.8651 396.2697 0.1733769 0.04785723
Moved 293.5792 461 389.1359 0.1753472 0.00657373
Stationary 293.5899 461 389.1359 0.1753472 0.00657373
Moved 293.6028 462.0143 385.9713 0.1771082 -0.01174017
Moved 293.6181 462 381.841 0.1770833 -0.03564217
Moved 293.6329 462 380.252 0.1770833 -0.04483806
