just in time for the party
Basic
0.4 0.4
288 259.2
Moved 187.2184 457.5904 493 0.3388553 0.4050924
Moved 187.233 456.2224 487.5567 0.3341055 0.384092
Moved 187.2504 453.5661 484.783 0.3248821 0.3733911
Moved 187.2647 452.3442 483.3442 0.3206397 0.3678403
Moved 187.2812 450.9024 481.9023 0.3156332 0.3622775
Moved 187.2974 448.7393 480.8697 0.3081228 0.3582933
Moved 187.3104 448 480 0.3055556 0.3549381
Moved 187.3271 445.8794 478.9397 0.2981924 0.3508475
Moved 187.3444 444.4995 477.4996 0.2934012 0.3452914
Moved 187.3562 443.0567 476.0566 0.2883912 0.3397245
Moved 187.3724 441.6138 474.6138 0.2833812 0.3341579
Moved 187.3895 440.1766 474 0.2783911 0.3317901
Moved 187.404 439.0303 473.0303 0.2744107 0.3280487
Moved 187.4186 437.5966 471.5966 0.2694328 0.3225176
Moved 187.4337 436.1595 470.1595 0.2644427 0.3169732
Moved 187.4511 434.7203 468.7203 0.2594454 0.3114208
Moved 187.4645 433.2795 467.2795 0.2544428 0.3058623
Moved 187.4806 430.68 464.6801 0.2454167 0.2958335
Moved 187.4961 429.3967 463.3967 0.2409607 0.2908821
Moved 187.5113 428.2193 462.2193 0.2368724 0.2863398
Moved 187.527 426.8542 460.8542 0.2321325 0.2810731
Moved 187.5439 425.4138 459.4138 0.2271312 0.2755162
Moved 187.5574 423.9797 457.9797 0.2221517 0.2699835
Moved 187.5739 422.5324 456.5324 0.2171263 0.2643996
Moved 187.5887 422.0964 455.0964 0.2156125 0.2588592
Moved 187.6045 420.6538 453.6538 0.2106035 0.2532938
Moved 187.619 419.5 451 0.2065971 0.2430554
Moved 187.6436 415.7024 445.4048 0.1934111 0.2214689
Moved 187.6562 414.2652 440.7957 0.1884208 0.2036869
Stationary 187.6671 414.2652 440.7957 0.1884208 0.2036869
Moved 187.681 412.8223 435.2894 0.1834108 0.1824435
Moved 187.6951 410.7647 430.5294 0.1762663 0.1640794
Moved 187.7115 408.9485 423.7427 0.1699603 0.137896
Moved 187.728 407.5052 418.0209 0.1649487 0.1158211
Moved 187.7437 405.7797 412.339 0.1589571 0.09390029
Moved 187.7578 402.8962 404.7404 0.148945 0.06458488
Moved 187.7733 401.5 400.5 0.1440972 0.04822525
Moved 187.7897 400.0707 394.2122 0.1391345 0.02396689
Moved 187.805 398.632 385.7922 0.1341391 -0.008517665
Moved 187.8203 396.191 378.9549 0.1256631 -0.03489635
Moved 187.8348 394.7516 370.5097 0.1206653 -0.06747799
Moved 187.8505 392.5067 365.7667 0.1128703 -0.08577687
Moved 187.8657 391.2259 358.9035 0.1084232 -0.1122551
Moved 187.8824 389.7718 351.8589 0.1033743 -0.1394332
Moved 187.8973 389 347.01 0.1006944 -0.1581405
Moved 187.912 387.8941 343.7882 0.09685456 -0.1705702
Moved 187.9272 388 339.5 0.09722218 -0.1871143
Moved 187.9456 386.0251 334.0754 0.09036496 -0.2080425
Moved 187.9587 384.9167 330.7501 0.08651628 -0.2208719
Moved 187.9742 383.444 324.2198 0.08140265 -0.2460657
