parking lot is full of trucks
Basic
0.6 0.6
432 388.8
Moved 280.5805 325 414 -0.08101851 0.06687239
Moved 280.596 325 415.0991 -0.08101851 0.06969918
Ended 280.6115 325 415.0991 -0.08101851 0.06969918
Began 280.9626 548 353 0.4351853 -0.09002065
Stationary 280.9829 548 353 0.4351853 -0.09002065
Stationary 280.9986 548 353 0.4351853 -0.09002065
Moved 281.012 548 361.3858 0.4351853 -0.06845215
Moved 281.0276 538.4308 367.4681 0.4130343 -0.05280852
Moved 281.0434 534.9775 380.045 0.4050405 -0.02046051
Moved 281.0602 531.251 390.2468 0.3964144 0.005778756
Moved 281.074 528.3493 406.9041 0.3896974 0.04862149
Moved 281.0901 524.4763 424.095 0.3807321 0.09283674
Moved 281.1066 522.8035 442.7518 0.3768599 0.1408226
Moved 281.1202 522 453.9627 0.375 0.1696571
Moved 281.1363 522 470.7157 0.375 0.2127461
Moved 281.1508 522 478.9691 0.375 0.2339738
Moved 281.166 522 489.0811 0.375 0.259982
Moved 281.1881 522 497.4632 0.375 0.281541
Moved 281.1998 522 505.0475 0.375 0.3010481
Moved 281.2122 522 510.7859 0.375 0.3158074
Moved 281.2282 522 516.5247 0.375 0.3305674
Moved 281.2438 529.8089 522.2357 0.3930762 0.3452562
Moved 281.2599 531.2562 526.7687 0.3964264 0.3569153
Moved 281.2746 532.5 530.5 0.3993056 0.3665122
Moved 281.2897 533.7863 533.5725 0.4022829 0.3744148
Moved 281.3077 534 536.4512 0.4027778 0.3818188
Moved 281.3241 535.5 540.5 0.40625 0.3922324
Moved 281.3356 535 540.0487 0.4050927 0.3910717
Moved 281.3506 535 541.5 0.4050927 0.3948044
Moved 281.3685 535 542.972 0.4050927 0.3985905
Moved 281.3824 535 544.4028 0.4050927 0.4022706
Stationary 281.3983 535 544.4028 0.4050927 0.4022706
Moved 281.4139 535 545.3159 0.4050927 0.4046189
Moved 281.4288 535 546.1766 0.4050927 0.4068328
Moved 281.4446 529.4482 546 0.3922412 0.4063785
Moved 281.4607 523.0888 546 0.3775204 0.4063785
Moved 281.4759 514.23 546 0.3570138 0.4063785
Moved 281.4908 504.2474 546 0.3339059 0.4063785
Moved 281.5069 492.1511 546 0.3059053 0.4063785
Moved 281.522 475.2715 546 0.2668321 0.4063785
Moved 281.5373 461.5164 546 0.2349916 0.4063785
Moved 281.552 447.9788 541.7852 0.2036546 0.3955379
Moved 281.5713 434.6194 539 0.1727302 0.3883744
Moved 281.585 421.6583 537.5176 0.1427275 0.3845616
Moved 281.5982 410.8202 538 0.1176393 0.3858024
Moved 281.6132 402.965 536.995 0.09945601 0.3832175
Moved 281.6294 388.5734 537 0.06614207 0.3832304
Moved 281.6447 376.9141 536 0.0391529 0.3806583
Moved 281.6602 366.8144 536 0.01577397 0.3806583
Moved 281.6751 356.6836 536 -0.007676879 0.3806583
Moved 281.6907 347.7855 536 -0.02827431 0.3806583
Moved 281.706 340.8327 536 -0.0443688 0.3806583
Moved 281.7219 334.8771 536 -0.05815476 0.3806583
Moved 281.7369 327.9583 536 -0.07417058 0.3806583
Moved 281.7525 322.3961 536 -0.08704592 0.3806583
Moved 281.7678 315.5549 536 -0.1028821 0.3806583
Moved 281.7829 310.4286 536 -0.1147486 0.3806583
Moved 281.7996 306.1163 536 -0.1247307 0.3806583
Moved 281.8147 303.237 536 -0.1313959 0.3806583
Moved 281.8304 301 536 -0.1365741 0.3806583
Moved 281.8458 298.126 536 -0.1432269 0.3806583
Moved 281.8626 296.6269 536 -0.146697 0.3806583
Moved 281.8751 295.1908 536 -0.1500214 0.3806583
Moved 281.8925 294.5 536 -0.1516204 0.3806583
Moved 281.9063 293.3177 536 -0.154357 0.3806583
Moved 281.9292 292.5 536 -0.15625 0.3806583
Stationary 281.942 292.5 536 -0.15625 0.3806583
Moved 281.9535 291.8159 536 -0.1578335 0.3806583
Stationary 281.9691 292 536 -0.1574074 0.3806583
Ended 281.984 292 536 -0.1574074 0.3806583
Began 282.3206 500 568 0.324074 0.4629629
Stationary 282.3376 500 568 0.324074 0.4629629
Stationary 282.3521 500 568 0.324074 0.4629629
Stationary 282.3687 500 568 0.324074 0.4629629
Stationary 282.3848 500 568 0.324074 0.4629629
Moved 282.3997 494.1545 561.57 0.3105429 0.4464248
Moved 282.4155 483.8777 551.8981 0.2867539 0.4215485
Moved 282.4313 473.872 544.7657 0.2635925 0.4032038
Moved 282.4466 464.2353 535.3627 0.2412854 0.3790193
Moved 282.4617 450.9731 522.9731 0.2105858 0.3471529
Moved 282.478 438.0213 514.3475 0.1806048 0.3249679
Moved 282.4927 424.0951 503.7301 0.1483684 0.2976596
Moved 282.5081 411.1487 496.416 0.1183999 0.2788475
Moved 282.523 401.9106 491.1942 0.0970153 0.265417
Moved 282.539 389.2613 484.0341 0.06773451 0.2470011
Moved 282.5553 381.3263 480.1631 0.04936645 0.2370451
Moved 282.5775 358.7125 471.6781 -0.002980431 0.2152213
Moved 282.5907 348.2094 468.2036 -0.02729297 0.2062847
Stationary 282.6023 348.2094 468.2036 -0.02729297 0.2062847
Moved 282.6159 336.723 463.8961 -0.05388195 0.1952059
Moved 282.6323 326.686 459.5797 -0.07711564 0.1841041
Moved 282.6472 316.6145 456.2634 -0.1004293 0.1755744
Moved 282.6625 307.7172 452.894 -0.121025 0.1669083
Moved 282.6782 298.0732 449.0244 -0.1433492 0.1569556
Moved 282.6929 287.6342 444.3171 -0.1675134 0.1448484
Moved 282.7121 281.5465 439.9099 -0.1816053 0.1335129
Moved 282.7245 272.9945 436.3978 -0.2014016 0.1244799
Moved 282.7395 264.6032 432.3016 -0.2208259 0.1139443
Moved 282.7546 257.3199 428.66 -0.2376854 0.1045781
Moved 282.771 252.6809 425.5106 -0.2484239 0.09647789
Moved 282.7865 243.6158 420.209 -0.2694077 0.08284211
Moved 282.8015 237.779 417.7116 -0.282919 0.07641866
Moved 282.8166 232.7421 414.8281 -0.2945784 0.06900218
Moved 282.8324 227.4388 411.9592 -0.3068547 0.06162325
Moved 282.8474 223.1347 409.0898 -0.3168178 0.05424338
Moved 282.8632 218.8311 407.6104 -0.32678 0.05043811
Moved 282.8836 214.2143 404.1071 -0.3374669 0.04142773
Stationary 282.8945 214.2143 404.1071 -0.3374669 0.04142773
Moved 282.9084 212.6728 402.6728 -0.3410352 0.03773862
Moved 282.9246 211.234 402.2339 -0.3443658 0.03660995
Moved 282.939 209.7973 400.7972 -0.3476916 0.0329146
Moved 282.9552 208.3546 401 -0.3510309 0.03343609
Moved 282.9706 208 399.92 -0.3518518 0.03065831
Moved 282.9861 206.5 400 -0.3553241 0.03086416
Stationary 283.0005 206.5 400 -0.3553241 0.03086416
Moved 283.0162 206 400 -0.3564815 0.03086416
