the dow jones index has risen
Basic
0.8 0.8
575.9999 518.4
Moved 574.5894 559.0451 557 0.3455644 0.326003
Moved 574.6055 560.0726 557 0.3473482 0.326003
Moved 574.6213 561.4736 557 0.3497806 0.326003
Moved 574.6367 561.8297 557 0.3503988 0.326003
Moved 574.6516 562.5 557 0.3515625 0.326003
Stationary 574.667 562.5 557 0.3515625 0.326003
Stationary 574.683 562.5 557 0.3515625 0.326003
Moved 574.6971 562 567.1832 0.3506944 0.3456466
Moved 574.7121 545.5 568 0.3220486 0.3472221
Moved 574.729 526.9004 574.9299 0.2897576 0.36059
Moved 574.7455 504.7231 580.0554 0.2512553 0.3704771
Moved 574.7595 484.23 582.7693 0.215677 0.3757124
Moved 574.7758 459.7765 586 0.1732231 0.3819443
Moved 574.7936 439.3736 586 0.1378015 0.3819443
Moved 574.8077 416.0889 586 0.09737662 0.3819443
Moved 574.8206 398.2868 586 0.0664702 0.3819443
Moved 574.8366 385.1986 586 0.0437475 0.3819443
Moved 574.8527 369.2873 586 0.01612373 0.3819443
Moved 574.8741 339.5465 587.9393 -0.03550946 0.3856852
Stationary 574.885 339.5465 587.9393 -0.03550946 0.3856852
Moved 574.8992 327.3494 589.2945 -0.05668502 0.3882995
Moved 574.913 315.144 589.6506 -0.07787499 0.3889865
Moved 574.9287 302.9798 591.0023 -0.09899344 0.3915938
Moved 574.9447 293.4716 591 -0.1155007 0.3915894
Moved 574.9601 288.2757 591 -0.1245213 0.3915894
Moved 574.9754 277.8187 591 -0.1426758 0.3915894
Moved 574.9906 270.5049 591 -0.1553735 0.3915894
Moved 575.0058 260.8488 591 -0.1721375 0.3915894
Moved 575.0215 252.1866 591 -0.1871759 0.3915894
Moved 575.0369 242.8832 591 -0.2033277 0.3915894
Moved 575.0522 236.3743 582.9497 -0.214628 0.3760603
Moved 575.0683 231.244 581.311 -0.2235347 0.3728991
Moved 575.0838 222.3262 577.1631 -0.239017 0.364898
Moved 575.0991 215.356 574.3424 -0.2511181 0.3594567
Moved 575.1148 207.5654 572.3131 -0.2646434 0.3555422
Moved 575.1307 199.6865 568.8433 -0.278322 0.3488488
Moved 575.1453 192.9074 567.5815 -0.2900914 0.3464148
Moved 575.1615 186.8721 565.436 -0.3005693 0.3422762
Moved 575.1766 181.4196 563.8549 -0.3100354 0.3392262
Moved 575.193 176.2808 561.7123 -0.3189569 0.3350931
Moved 575.2088 170.2125 558.885 -0.3294922 0.3296392
Moved 575.2232 164.3198 556.1599 -0.3397225 0.3243824
Moved 575.2382 160.1624 554.7208 -0.3469402 0.3216065
Moved 575.2572 155.7186 552.3593 -0.3546552 0.3170511
Moved 575.2705 151.9932 550.9977 -0.3611229 0.3144245
Moved 575.2825 150.6388 549.6388 -0.3634743 0.3118032
Moved 575.2991 148 548.5 -0.3680555 0.3096063
Moved 575.3131 144.7977 545.5318 -0.3736151 0.3038807
Moved 575.329 140.7101 542.8067 -0.3807117 0.2986239
Moved 575.3478 138.0816 540.0817 -0.3852749 0.2933673
Moved 575.3602 135.3556 537.3557 -0.3900076 0.2881088
Moved 575.3755 131.4759 535.8253 -0.3967433 0.2851568
Moved 575.3951 130.5 534.5 -0.3984375 0.2826002
Moved 575.4061 127.1114 533.1114 -0.4043204 0.2799216
Moved 575.4219 125.099 532.0495 -0.4078143 0.2778731
