the dow jones index has risen
Basic
0.8 0.8
575.9999 172.8
Moved 1060.778 487.1404 419 0.2207298 0.1793983
Moved 1060.792 494.4229 418.1154 0.233373 0.174279
Moved 1060.817 505.4278 418 0.2524789 0.1736111
Stationary 1060.828 505.4278 418 0.2524789 0.1736111
Moved 1060.84 509.9044 418 0.2602507 0.1736111
Moved 1060.855 513.9986 418 0.2673587 0.1736111
Moved 1060.87 517.0877 418 0.2727217 0.1736111
Moved 1060.886 519.6409 418 0.2771543 0.1736111
Moved 1060.901 521.1391 418 0.2797554 0.1736111
Moved 1060.916 523.9983 418 0.2847192 0.1736111
Moved 1060.932 525.8592 418 0.2879499 0.1736111
Moved 1060.948 527.2215 418 0.2903151 0.1736111
Moved 1060.962 528.587 418 0.2926857 0.1736111
Moved 1060.978 529.9493 418 0.2950508 0.1736111
Moved 1060.993 531.3035 418 0.2974018 0.1736111
Moved 1061.008 531 426.8493 0.296875 0.2248223
Moved 1061.023 532 428.4149 0.2986111 0.2338826
Moved 1061.039 532 432.2123 0.2986111 0.2558585
Moved 1061.055 532 439.1589 0.2986111 0.2960582
Moved 1061.071 532 445.178 0.2986111 0.3308914
Moved 1061.086 521.5887 449.4704 0.280536 0.3557315
Moved 1061.1 518.5 455 0.2751736 0.3877315
Moved 1061.119 515.043 458.957 0.2691718 0.410631
Moved 1061.132 511.2929 461.8047 0.2626612 0.4271108
Moved 1061.147 504.7109 468.2891 0.2512342 0.4646361
Moved 1061.163 499.5116 471.2442 0.2422075 0.4817373
Moved 1061.178 495.047 474.953 0.2344566 0.5032002
Moved 1061.195 489.6179 477.691 0.2250311 0.5190454
Moved 1061.21 485.8684 480.7105 0.2185215 0.5365192
Moved 1061.225 480.6955 483.1523 0.2095407 0.5506498
Moved 1061.24 476.6027 485.1987 0.2024353 0.5624923
Moved 1061.256 471.0195 487.9902 0.1927422 0.5786472
Moved 1061.277 457.933 492.2134 0.1700225 0.603087
Stationary 1061.287 457.933 492.2134 0.1700225 0.603087
Moved 1061.301 452.1173 493.5765 0.1599258 0.6109754
Moved 1061.317 446.2456 494.9386 0.1497319 0.6188576
Moved 1061.332 439.4667 495 0.137963 0.619213
Moved 1061.349 433.5 495 0.1276042 0.619213
Moved 1061.363 425.786 495 0.1142118 0.619213
Moved 1061.378 416.2881 495 0.09772233 0.619213
Moved 1061.394 408.2131 496.4645 0.08370325 0.6276879
Moved 1061.41 398.2448 496 0.06639711 0.6249999
Moved 1061.425 391.067 496 0.05393579 0.6249999
Moved 1061.441 382.2796 496 0.03867984 0.6249999
Moved 1061.456 375.4751 496 0.02686657 0.6249999
Moved 1061.471 370.0957 496 0.01752727 0.6249999
Moved 1061.487 363.349 496 0.005814284 0.6249999
Moved 1061.502 357.2665 488.3167 -0.004745573 0.5805362
Moved 1061.518 350.7865 486.9573 -0.01599561 0.5726695
Moved 1061.533 345.3952 485.5988 -0.02535548 0.564808
Moved 1061.549 339.9613 484.2403 -0.03478944 0.5569462
Moved 1061.566 335.6363 482.8788 -0.04229817 0.5490671
Moved 1061.581 330.0824 480.0412 -0.05194034 0.5326458
Moved 1061.594 326.4455 479.6114 -0.05825441 0.5301585
Moved 1061.611 315.8167 475.35 -0.07670715 0.5054979
Moved 1061.626 308.7893 472.5157 -0.0889074 0.4890958
Moved 1061.641 303.2703 470.6351 -0.09848908 0.4782126
Moved 1061.656 298.8487 468.9496 -0.1061655 0.4684582
Moved 1061.678 293.3378 466.1689 -0.1157329 0.4523666
Moved 1061.688 288.866 464.433 -0.1234966 0.4423205
Moved 1061.702 284.5836 463.1459 -0.1309312 0.4348724
Moved 1061.719 280.493 460.662 -0.1380329 0.420498
Moved 1061.733 276.5 459.5 -0.1449653 0.4137732
Moved 1061.749 272.2857 457.1905 -0.1522817 0.4004079
Moved 1061.764 268.1796 455.7266 -0.1594104 0.3919361
Moved 1061.78 262.1622 452.7207 -0.1698573 0.3745412
Moved 1061.795 256.9742 449.9828 -0.1788641 0.358697
Moved 1061.812 252.8677 448.6226 -0.1859936 0.350825
Moved 1061.826 248.8284 446.4142 -0.1930063 0.3380451
Moved 1061.841 245.4968 445.2484 -0.1987903 0.3312987
Moved 1061.857 241.6576 443.8859 -0.2054556 0.3234136
Moved 1061.874 239.0388 444 -0.2100021 0.3240742
Moved 1061.887 235.4798 443 -0.2161809 0.318287
Moved 1061.903 230.1802 441.795 -0.2253816 0.3113139
Moved 1061.918 227.291 441.4303 -0.2303976 0.309203
Moved 1061.933 224.5969 441 -0.2350748 0.3067129
Moved 1061.95 221.1022 440.0341 -0.2411419 0.3011231
Moved 1061.966 217.004 440 -0.2482569 0.3009259
Moved 1061.981 210.1929 439.2982 -0.2600817 0.2968647
Moved 1061.996 205.8071 439 -0.2676961 0.295139
Moved 1062.011 200.2775 439 -0.2772961 0.295139
Moved 1062.026 195.6319 439 -0.2853613 0.295139
Moved 1062.044 192.6837 439 -0.2904797 0.295139
Moved 1062.062 189.4538 439 -0.2960872 0.295139
Moved 1062.073 186.8067 439 -0.3006828 0.295139
Moved 1062.088 184.0661 439 -0.3054408 0.295139
Moved 1062.104 181.3547 439 -0.310148 0.295139
Moved 1062.119 180.3058 439 -0.3119691 0.295139
Moved 1062.135 178.9453 439 -0.314331 0.295139
Moved 1062.149 177.5787 439 -0.3167036 0.295139
Moved 1062.167 176.5 439 -0.3185764 0.295139
Moved 1062.181 174.1622 439 -0.3226351 0.295139
Moved 1062.196 172.7964 439 -0.3250063 0.295139
Moved 1062.212 170.4329 446.5671 -0.3291096 0.3389303
Moved 1062.226 169.0666 447.9333 -0.3314815 0.3468366
Moved 1062.242 167.7005 449.2995 -0.3338534 0.3547426
Moved 1062.257 166.3342 450.3315 -0.3362253 0.3607149
Moved 1062.275 164.968 451 -0.3385972 0.3645833
Moved 1062.289 163.9653 452.0347 -0.340338 0.3705711
Moved 1062.304 162.5869 453 -0.3427311 0.3761574
Moved 1062.321 162 453.7794 -0.34375 0.3806677
Moved 1062.336 160.8575 454 -0.3457335 0.3819445
Moved 1062.351 159.5 455.5 -0.3480903 0.390625
Moved 1062.367 159.1298 455 -0.348733 0.3877315
Moved 1062.381 159 456.2361 -0.3489583 0.3948847
Stationary 1062.401 159 456.2361 -0.3489583 0.3948847
Moved 1062.414 158 456 -0.3506944 0.3935184
Stationary 1062.428 158 456 -0.3506944 0.3935184
Stationary 1062.443 158 456 -0.3506944 0.3935184
Ended 1062.457 158 456 -0.3506944 0.3935184
Began 1063.796 475 395 0.1996528 0.04050935
Stationary 1063.816 475 395 0.1996528 0.04050935
Stationary 1063.83 475 395 0.1996528 0.04050935
Stationary 1063.845 475 395 0.1996528 0.04050935
Stationary 1063.86 475 395 0.1996528 0.04050935
Stationary 1063.876 475 395 0.1996528 0.04050935
Stationary 1063.892 475 395 0.1996528 0.04050935
Stationary 1063.907 475 395 0.1996528 0.04050935
Stationary 1063.922 475 395 0.1996528 0.04050935
Stationary 1063.938 475 395 0.1996528 0.04050935
Stationary 1063.952 475 395 0.1996528 0.04050935
Stationary 1063.968 475 395 0.1996528 0.04050935
Stationary 1063.984 475 395 0.1996528 0.04050935
Stationary 1063.999 475 395 0.1996528 0.04050935
Stationary 1064.015 475 395 0.1996528 0.04050935
Moved 1064.036 475 405.2559 0.1996528 0.09986074
Stationary 1064.047 475 405.2559 0.1996528 0.09986074
Moved 1064.063 475 407.3807 0.1996528 0.1121568
Moved 1064.077 482.3744 408 0.2124556 0.1157407
Moved 1064.093 483.4184 410.8369 0.2142681 0.1321579
Moved 1064.109 483.7838 411.7839 0.2149025 0.1376382
Moved 1064.123 485.1451 414.2901 0.2172657 0.1521417
Stationary 1064.139 485.1451 414.2901 0.2172657 0.1521417
Moved 1064.154 486.7015 416.7015 0.219968 0.166097
Moved 1064.17 487 417.9726 0.2204861 0.1734526
Moved 1064.186 489.6704 420.6704 0.2251222 0.1890648
Moved 1064.201 490.6961 422.6961 0.226903 0.2007876
Moved 1064.216 493.1377 427.2755 0.2311419 0.2272886
Moved 1064.232 495.8463 429.8464 0.2358443 0.2421665
Moved 1064.247 500.3785 435.9641 0.2437127 0.2775702
Moved 1064.263 504.4677 441.6237 0.250812 0.3103221
Moved 1064.278 506.2624 444.3936 0.2539278 0.3263515
Moved 1064.293 510.5 450 0.2612847 0.3587963
Moved 1064.309 513.8181 453.7272 0.2670453 0.3803656
Moved 1064.326 516.5504 456.5504 0.2717889 0.3967037
Moved 1064.346 523.0046 463.007 0.2829941 0.4340681
Stationary 1064.357 523.0046 463.007 0.2829941 0.4340681
Moved 1064.37 524.3685 464.3685 0.2853619 0.4419472
Moved 1064.385 527 467 0.2899306 0.4571759
Moved 1064.401 528.7874 467.7874 0.2930337 0.4617327
Moved 1064.417 531.3073 469.1536 0.2974084 0.4696391
Moved 1064.433 533.037 469.5186 0.3004115 0.4717509
Moved 1064.448 534.8837 470.8837 0.3036175 0.4796509
Moved 1064.464 536.2496 471 0.3059889 0.480324
Moved 1064.478 538.2208 472 0.3094111 0.4861112
Moved 1064.493 539.9793 472 0.3124641 0.4861112
Moved 1064.509 542.0034 472 0.3159781 0.4861112
Moved 1064.526 543.3722 472 0.3183545 0.4861112
Moved 1064.54 543.7327 473 0.3189804 0.4918981
Moved 1064.556 545.0952 473 0.3213458 0.4918981
Moved 1064.571 546.4657 473 0.3237252 0.4918981
Stationary 1064.586 546.4657 473 0.3237252 0.4918981
Moved 1064.602 547.3528 473 0.3252653 0.4918981
Moved 1064.618 548.2775 464.0575 0.3268707 0.4401476
Moved 1064.637 548 459.4504 0.3263889 0.413486
Moved 1064.649 548 453.9964 0.3263889 0.3819236
Moved 1064.663 548 448.5898 0.3263889 0.3506353
Moved 1064.679 542.2255 441.1127 0.3163637 0.3073654
Moved 1064.695 536.7338 435.645 0.3068294 0.2757236
Moved 1064.71 531.1799 425.8148 0.2971873 0.2188358
Moved 1064.724 524.9184 416.2858 0.2863166 0.1636909
Moved 1064.741 519.519 408.7267 0.2769428 0.1199462
Moved 1064.756 514.0695 401.8369 0.2674818 0.08007447
Moved 1064.772 507.0196 393.4235 0.2552423 0.0313863
Moved 1064.787 500.1919 386.1919 0.2433886 -0.01046357
Moved 1064.803 494.7025 378.0538 0.2338585 -0.05755901
Moved 1064.819 487.2448 371.2448 0.2209112 -0.09696289
Moved 1064.836 480.7391 363.687 0.2096165 -0.1407005
Moved 1064.848 472.4892 356.9077 0.1952937 -0.1799326
Moved 1064.865 467.076 352.3967 0.1858958 -0.2060378
Moved 1064.879 460.0128 346.8102 0.1736332 -0.2383667
Moved 1064.894 452.0216 340.1847 0.1597597 -0.2767088
Moved 1064.914 445.3733 335.8986 0.1482175 -0.3015126
Moved 1064.926 439.4382 332.2191 0.1379136 -0.3228059
Moved 1064.941 433.9748 328.2311 0.1284284 -0.3458849
Moved 1064.955 427.5139 324.1354 0.1172117 -0.3695866
Moved 1064.972 423.7371 322.2457 0.1106547 -0.3805226
Moved 1064.987 419.8674 319.9116 0.1039364 -0.3940302
Moved 1065.002 415.7801 317.1868 0.09684048 -0.4097988
Moved 1065.02 412.4551 315.4551 0.09106792 -0.4198198
Moved 1065.033 408.597 313.8657 0.0843697 -0.4290182
Moved 1065.049 406.0062 312.5031 0.07987193 -0.4369031
Moved 1065.065 403.2711 312 0.07512344 -0.4398146
Moved 1065.08 399.318 312 0.06826042 -0.4398146
Moved 1065.096 397.612 310.806 0.06529868 -0.4467244
Moved 1065.11 394.7528 311 0.0603348 -0.4456019
Moved 1065.126 392.0968 311 0.05572356 -0.4456019
Moved 1065.142 389.3577 311 0.0509683 -0.4456019
Moved 1065.158 384.9593 311 0.04333213 -0.4456019
Moved 1065.18 375.7757 323.2243 0.02738833 -0.3748594
Stationary 1065.19 375.7757 323.2243 0.02738833 -0.3748594
Moved 1065.202 369.5 329.5 0.01649305 -0.3385415
Moved 1065.219 357.3581 342.491 -0.004586651 -0.2633619
Moved 1065.234 349.9583 352.4583 -0.01743343 -0.2056811
Moved 1065.249 342 361.5 -0.03125 -0.1533563
Moved 1065.267 336.2316 368.7105 -0.04126459 -0.1116288
Moved 1065.281 330.7815 378.1324 -0.0507266 -0.0571039
Moved 1065.298 324.6509 384.6887 -0.06136995 -0.0191625
Moved 1065.311 319.8944 392.176 -0.06962772 0.02416664
Moved 1065.327 315.75 396.2501 -0.07682297 0.04774358
Moved 1065.342 310.2519 403.1851 -0.08636817 0.08787685
Moved 1065.357 305.5943 409.2076 -0.09445439 0.1227295
Moved 1065.374 300.317 414.683 -0.1036163 0.1544158
Moved 1065.387 293.8756 422.1243 -0.1147992 0.1974788
Moved 1065.403 288.4204 427.5797 -0.1242702 0.229049
Moved 1065.423 282.9569 435.5647 -0.1337554 0.2752587
Moved 1065.435 278 441.5 -0.1423611 0.3096066
Moved 1065.449 274.4393 445.5607 -0.1485429 0.3331058
Moved 1065.465 269.9756 450.0244 -0.1562924 0.3589376
Moved 1065.482 267.266 452.734 -0.1609965 0.374618
Moved 1065.497 262.5257 456.4743 -0.1692261 0.3962633
Moved 1065.511 258.7054 460.2946 -0.1758586 0.4183713
Moved 1065.527 254.6405 464.3594 -0.1829157 0.4418949
Moved 1065.542 251.3505 465.8248 -0.1886276 0.4503749
Moved 1065.558 249.1889 466.9056 -0.1923804 0.4566296
Moved 1065.575 246.5163 468.2419 -0.1970203 0.4643627
Moved 1065.589 243.1757 469.6081 -0.20282 0.4722691
Moved 1065.605 241.0309 470.9691 -0.2065436 0.4801454
Moved 1065.62 238.3369 471 -0.2112207 0.480324
Moved 1065.635 236.3003 471.6997 -0.2147565 0.4843733
Moved 1065.65 233.8591 472 -0.2189946 0.4861112
Moved 1065.673 230.6518 472 -0.2245629 0.4861112
Stationary 1065.684 230.6518 472 -0.2245629 0.4861112
Moved 1065.697 228.1738 472 -0.2288649 0.4861112
Moved 1065.713 225.6225 472 -0.2332942 0.4861112
Moved 1065.728 221.5 472 -0.2404514 0.4861112
Moved 1065.742 218.2506 472 -0.2460926 0.4861112
Moved 1065.758 214.163 463.0471 -0.2531891 0.4343002
Moved 1065.773 209.4268 460.0701 -0.2614117 0.4170724
Moved 1065.789 206.4372 456.6558 -0.2666021 0.3973137
Moved 1065.805 201.6646 452.7485 -0.2748877 0.3747019
Moved 1065.82 197.6734 447.2312 -0.281817 0.3427732
Moved 1065.835 195.3837 443.7674 -0.2857922 0.322728
Moved 1065.851 191.477 439.477 -0.2925746 0.2978993
Moved 1065.87 190.4594 436.3783 -0.2943412 0.2799669
Moved 1065.883 189.0932 433.1864 -0.2967132 0.2614955
Moved 1065.905 186.7572 428.5144 -0.3007687 0.2344584
Stationary 1065.916 186.7572 428.5144 -0.3007687 0.2344584
Moved 1065.927 186 423.938 -0.3020833 0.2079745
Moved 1065.943 186 419.8418 -0.3020833 0.1842697
Moved 1065.958 184.5849 415.7546 -0.3045401 0.160617
Moved 1065.974 185 413.4394 -0.3038194 0.1472188
