parking lot is full of trucks
Basic
0.6 0.6
432 129.6
Moved 297.4788 333.9231 409.9744 -0.06036311 0.1695554
Moved 297.4926 329.6111 408.537 -0.0703447 0.158465
Moved 297.5081 326.2914 407.0972 -0.07802913 0.1473548
Moved 297.5233 321.99 405.6633 -0.08798619 0.1362913
Moved 297.5387 319.1061 404.702 -0.09466186 0.1288738
Moved 297.5534 314.4645 402.3097 -0.1054062 0.1104144
Moved 297.5687 310.1428 400.7143 -0.1154102 0.09810425
Moved 297.5865 304.8333 399.2778 -0.1277008 0.08701996
Moved 297.6 300.5213 396.6809 -0.1376821 0.06698244
Moved 297.6152 295.812 395.4059 -0.1485835 0.05714488
Moved 297.6317 291.8971 393.9657 -0.1576456 0.0460315
Moved 297.6518 285.2549 392.4183 -0.1730211 0.03409209
Stationary 297.6628 285.2549 392.4183 -0.1730211 0.03409209
Moved 297.6768 280.9445 390.9815 -0.1829989 0.02300557
Moved 297.6929 276.6325 389.5442 -0.1929803 0.01191516
Moved 297.7075 273.2136 388.1068 -0.2008945 0.0008242808
Moved 297.7238 267.6781 386.6695 -0.2137082 -0.01026625
Moved 297.7425 263.497 386.1656 -0.2233865 -0.01415382
Moved 297.755 259.2263 385.0566 -0.2332726 -0.02271146
Moved 297.7698 254.913 383.6377 -0.2432569 -0.03365953
Moved 297.7853 249.6088 382.2029 -0.2555352 -0.04473039
Moved 297.8014 245.331 380.777 -0.2654375 -0.0557332
Moved 297.8163 240.9669 380.3223 -0.2755394 -0.05924108
Moved 297.8317 236.6577 378.8859 -0.2855145 -0.07032465
Moved 297.8464 232.5 379 -0.2951389 -0.06944421
Moved 297.8626 228.7407 378 -0.3038409 -0.0771605
Moved 297.8779 224.647 376.8823 -0.3133172 -0.08578454
Moved 297.8932 219 377 -0.3263889 -0.08487654
Moved 297.9083 216.0493 375.0164 -0.3332193 -0.100182
Moved 297.9243 213.1229 375 -0.3399932 -0.1003086
Moved 297.9394 209.2604 375 -0.3489343 -0.1003086
Moved 297.9537 205.1087 375 -0.3585448 -0.1003086
Moved 297.9698 203 375 -0.3634259 -0.1003086
Moved 297.9855 199.2953 375 -0.3720017 -0.1003086
Moved 298.0005 195.1704 375 -0.3815499 -0.1003086
Moved 298.0161 191.8128 375 -0.3893223 -0.1003086
Moved 298.031 188.6694 375 -0.3965986 -0.1003086
Moved 298.0516 186.7911 375 -0.4009466 -0.1003086
Moved 298.0636 184.9597 375 -0.4051857 -0.1003086
Moved 298.0774 183.5208 375 -0.4085166 -0.1003086
Moved 298.0925 182.4541 375 -0.410986 -0.1003086
Moved 298.1085 181.0194 375 -0.4143069 -0.1003086
Moved 298.1245 179.5887 375 -0.4176189 -0.1003086
Moved 298.1403 178.1477 375 -0.4209545 -0.1003086
Moved 298.155 176.7014 375 -0.4243022 -0.1003086
Moved 298.1699 175.2658 375 -0.4276255 -0.1003086
Moved 298.1867 174.5 375 -0.4293981 -0.1003086
Moved 298.201 173.8813 375 -0.4308302 -0.1003086
Stationary 298.2173 173.8813 375 -0.4308302 -0.1003086
Moved 298.2317 172.9456 375 -0.4329964 -0.1003086
Stationary 298.2492 172.9456 375 -0.4329964 -0.1003086
