watch out for low flying objects
Basic
0.8 0.8
575.9999 518.4
Moved 323.8568 570 587.6159 0.3645834 0.3850614
Moved 323.8726 570 590.1154 0.3645834 0.3898829
Moved 323.8882 570 591.4948 0.3645834 0.3925439
Moved 323.9043 570 593.8749 0.3645834 0.3971351
Moved 323.92 560.6479 595.0391 0.348347 0.399381
Moved 323.9346 553.519 596 0.3359704 0.4012344
Moved 323.9499 545.3888 596.9352 0.3218555 0.4030385
Moved 323.9656 536.7577 597 0.306871 0.4031635
Moved 323.9802 521.893 597 0.2810642 0.4031635
Moved 323.9957 501.2208 597 0.245175 0.4031635
Moved 324.0108 485.6179 586.603 0.2180867 0.3831075
Moved 324.0273 471.098 581.8069 0.1928784 0.3738557
Moved 324.042 448.0827 573.6174 0.1529214 0.3580582
Moved 324.0577 430.3396 566.6691 0.1221173 0.3446548
Moved 324.0738 412.6525 562.7754 0.09141064 0.3371438
Moved 324.0892 393.3767 555.7922 0.05794569 0.3236732
Moved 324.1039 374.2298 550.0657 0.02470456 0.3126266
Moved 324.1196 355.5638 544.2837 -0.007701777 0.3014731
Moved 324.141 319.95 536.99 -0.06953116 0.2874035
Stationary 324.1523 319.95 536.99 -0.06953116 0.2874035
Moved 324.1652 304.0001 534.0909 -0.09722199 0.2818112
Moved 324.1817 286.204 532.2007 -0.128118 0.2781649
Moved 324.1961 273.0126 530.6681 -0.1510198 0.2752085
Moved 324.2115 259.2426 530.2242 -0.174926 0.2743523
Moved 324.2272 243.7268 530 -0.2018631 0.2739197
Moved 324.2433 231 530 -0.2239583 0.2739197
Moved 324.2584 215.6976 530 -0.2505251 0.2739197
Moved 324.2736 203.4734 530 -0.2717475 0.2739197
Moved 324.2897 191.5491 530 -0.2924495 0.2739197
Moved 324.3051 179.301 530 -0.3137135 0.2739197
Moved 324.3206 171 530 -0.328125 0.2739197
Moved 324.3353 164.2113 530 -0.3399109 0.2739197
Moved 324.3514 158.398 530 -0.3500034 0.2739197
Moved 324.368 155.9676 530 -0.354223 0.2739197
Ended 324.3865 152 530 -0.3611111 0.2739197
Began 324.7019 267 390 -0.1614583 0.003857965
Stationary 324.722 267 390 -0.1614583 0.003857965
Stationary 324.7356 267 390 -0.1614583 0.003857965
Stationary 324.7509 267 390 -0.1614583 0.003857965
Moved 324.7681 278.6865 390 -0.1411692 0.003857965
Moved 324.7821 298.7355 403.935 -0.106362 0.03073877
Moved 324.7972 325.2956 409.5739 -0.06025071 0.04161625
Moved 324.813 354.2184 416.8046 -0.01003753 0.05556433
Moved 324.8293 395.3661 425.5927 0.06139949 0.07251662
Moved 324.8438 458.9494 437.208 0.1717871 0.09492282
Moved 324.8589 488.2935 441.2867 0.2227318 0.1027906
Moved 324.8748 503.0347 441 0.2483241 0.1022376
Moved 324.8907 520.3135 441 0.278322 0.1022376
Moved 324.9124 542.3652 441 0.3166062 0.1022376
