did you have a good time
Basic
0.8 0.8
575.9999 172.8
Moved 290.4418 553.6985 448 0.3362822 0.3472222
Moved 290.4573 559.4635 449.6159 0.3462908 0.3565735
Moved 290.4725 564.1912 451.0637 0.3544986 0.3649521
Moved 290.4885 569.9736 451 0.3645375 0.3645833
Moved 290.5034 574.7885 452 0.3728967 0.3703704
Moved 290.5189 577.0007 453.0004 0.3767374 0.3761596
Moved 290.5346 581.469 453 0.3844948 0.3761574
Moved 290.554 583.8619 453 0.3886492 0.3761574
Moved 290.5655 586.7264 454.3632 0.3936222 0.3840464
Moved 290.5876 589.236 454 0.3979792 0.3819445
Stationary 290.5981 589.236 454 0.3979792 0.3819445
Stationary 290.61 589.236 454 0.3979792 0.3819445
Moved 290.6247 590.3761 454 0.3999585 0.3819445
Stationary 290.6407 590 454 0.3993055 0.3819445
Stationary 290.6568 590 454 0.3993055 0.3819445
Stationary 290.6716 590 454 0.3993055 0.3819445
Stationary 290.6878 590 454 0.3993055 0.3819445
Stationary 290.7028 590 454 0.3993055 0.3819445
Stationary 290.7183 590 454 0.3993055 0.3819445
Moved 290.7339 577.2834 454 0.3772281 0.3819445
Moved 290.7499 570.4011 447.5615 0.3652796 0.3446843
Moved 290.7651 565.9445 445.6481 0.3575425 0.3336118
Moved 290.7807 558.8631 443.2158 0.3452484 0.3195356
Moved 290.7959 551.8702 441.774 0.3331081 0.3111925
Moved 290.8105 544.7115 440.3423 0.3206798 0.3029068
Moved 290.826 537.1524 438.8305 0.3075562 0.2941579
Moved 290.8427 527.5 437.5 0.2907986 0.2864583
Moved 290.8577 522.2857 437 0.281746 0.2835649
Moved 290.8735 516.2592 437 0.2712834 0.2835649
Moved 290.8881 510.1238 437 0.2606316 0.2835649
Moved 290.9048 505.8123 437 0.2531463 0.2835649
Moved 290.9252 501.4956 437 0.2456521 0.2835649
Moved 290.936 497.1794 437 0.2381588 0.2835649
Moved 290.952 492.847 437 0.2306373 0.2835649
Moved 290.965 488.553 437 0.2231823 0.2835649
Moved 290.9814 482.2646 437 0.2122649 0.2835649
Moved 290.9968 475.2092 437 0.2000159 0.2835649
Moved 291.0124 471.6093 437 0.193766 0.2835649
Moved 291.0257 468.5056 437 0.1883779 0.2835649
Moved 291.0435 464.6412 437 0.1816687 0.2835649
Moved 291.0585 461.7536 437 0.1766555 0.2835649
Moved 291.0732 458.5717 437 0.1711315 0.2835649
Moved 291.0895 455.1024 437 0.1651084 0.2835649
Moved 291.1059 451.8788 437 0.1595119 0.2835649
Moved 291.1212 449 437 0.1545139 0.2835649
Moved 291.1354 445.122 437 0.1477813 0.2835649
Moved 291.1501 442.2344 437 0.142768 0.2835649
Moved 291.1651 439.1808 437 0.1374667 0.2835649
Moved 291.1811 437.0948 437 0.1338452 0.2835649
Moved 291.1963 434.2528 437 0.1289112 0.2835649
Moved 291.2145 433.1875 437 0.1270616 0.2835649
Moved 291.2334 431.7478 437 0.1245622 0.2835649
Stationary 291.2441 431.7478 437 0.1245622 0.2835649
Moved 291.2577 429.8675 437 0.1212977 0.2835649
Stationary 291.2735 429.8675 437 0.1212977 0.2835649
Moved 291.289 428.6266 437 0.1191433 0.2835649
Stationary 291.3055 429 437 0.1197917 0.2835649
Moved 291.3199 427.5 437 0.1171875 0.2835649
Stationary 291.3357 427.5 437 0.1171875 0.2835649
Moved 291.351 426.5831 437 0.1155957 0.2835649
Stationary 291.3671 426.5831 437 0.1155957 0.2835649
Moved 291.3812 425.9027 437 0.1144145 0.2835649
Ended 291.4006 426 437 0.1145833 0.2835649
Began 291.6426 424 361 0.1111111 -0.15625
Stationary 291.6595 424 361 0.1111111 -0.15625
Stationary 291.6736 424 361 0.1111111 -0.15625
Stationary 291.6891 424 361 0.1111111 -0.15625
Stationary 291.7064 424 361 0.1111111 -0.15625
Stationary 291.7207 424 361 0.1111111 -0.15625
Stationary 291.736 424 361 0.1111111 -0.15625
Stationary 291.7561 424 361 0.1111111 -0.15625
Stationary 291.7672 424 361 0.1111111 -0.15625
Stationary 291.782 424 361 0.1111111 -0.15625
Stationary 291.7972 424 361 0.1111111 -0.15625
Stationary 291.8125 424 361 0.1111111 -0.15625
Stationary 291.8285 424 361 0.1111111 -0.15625
Stationary 291.8445 424 361 0.1111111 -0.15625
Stationary 291.86 424 361 0.1111111 -0.15625
Stationary 291.8747 424 361 0.1111111 -0.15625
Stationary 291.8894 424 361 0.1111111 -0.15625
Stationary 291.9057 424 361 0.1111111 -0.15625
Stationary 291.9219 424 361 0.1111111 -0.15625
Stationary 291.9358 424 361 0.1111111 -0.15625
Stationary 291.9528 424 361 0.1111111 -0.15625
Stationary 291.9668 424 361 0.1111111 -0.15625
Stationary 291.9825 424 361 0.1111111 -0.15625
Stationary 291.9976 424 361 0.1111111 -0.15625
Stationary 292.0119 424 361 0.1111111 -0.15625
Stationary 292.0313 424 361 0.1111111 -0.15625
Stationary 292.0431 424 361 0.1111111 -0.15625
Stationary 292.0584 424 361 0.1111111 -0.15625
Stationary 292.0735 424 361 0.1111111 -0.15625
Stationary 292.0888 424 361 0.1111111 -0.15625
Stationary 292.1048 424 361 0.1111111 -0.15625
Stationary 292.1199 424 361 0.1111111 -0.15625
Stationary 292.1351 424 361 0.1111111 -0.15625
Stationary 292.1541 424 361 0.1111111 -0.15625
Stationary 292.1682 424 361 0.1111111 -0.15625
Stationary 292.1835 424 361 0.1111111 -0.15625
Stationary 292.1984 424 361 0.1111111 -0.15625
Stationary 292.2143 424 361 0.1111111 -0.15625
Stationary 292.2296 424 361 0.1111111 -0.15625
Moved 292.2469 424 370.8804 0.1111111 -0.09907193
Moved 292.2625 424 372.3206 0.1111111 -0.09073699
Moved 292.2772 424 373.7607 0.1111111 -0.08240329
Moved 292.2932 424 375.1873 0.1111111 -0.07414747
Moved 292.314 415.5285 378.4715 0.09640365 -0.0551418
Stationary 292.3266 415.5285 378.4715 0.09640365 -0.0551418
Moved 292.338 411.4701 381.3533 0.08935779 -0.03846486
Moved 292.3537 407.1528 382.6157 0.08186243 -0.03115884
Moved 292.3703 402.829 384.057 0.07435597 -0.02281825
Moved 292.3843 395.5137 386.9945 0.06165579 -0.005818826
Moved 292.4012 389.3264 388.8694 0.05091399 0.005031427
Moved 292.4156 380.7281 390.3787 0.0359863 0.01376541
Moved 292.4317 373.7148 393.9794 0.02381049 0.03460293
Moved 292.4463 361.8051 398.655 0.003133788 0.06166079
Moved 292.4608 352.9824 401.6725 -0.01218341 0.07912362
Moved 292.4762 342.6253 404.5356 -0.03016446 0.0956923
Moved 292.4927 330.1275 406.2081 -0.05186196 0.1053709
Moved 292.5088 317.1588 408.649 -0.07437717 0.119497
Moved 292.5232 305.3199 410.085 -0.09493064 0.1278069
Moved 292.5377 299.0753 410 -0.1057721 0.1273148
Moved 292.5538 288.7947 411 -0.1236203 0.1331019
Moved 292.5735 279.4955 411 -0.1397648 0.1331019
Moved 292.5864 266.5 411 -0.1623264 0.1331019
Moved 292.6012 258.3665 403.4189 -0.176447 0.08922965
Moved 292.6165 248.2877 400.225 -0.1939449 0.07074665
Moved 292.6312 240.8549 397.342 -0.2068491 0.05406256
Moved 292.6468 234.378 395.126 -0.2180937 0.04123829
Moved 292.6622 223.2537 389.6269 -0.2374067 0.009414885
Moved 292.6774 211.6549 385.6206 -0.2575435 -0.01376956
Moved 292.6946 203.8069 381.2841 -0.2711686 -0.03886523
Moved 292.7081 195.6617 379.6647 -0.2853095 -0.04823667
Moved 292.7234 188.4164 377.8833 -0.2978881 -0.05854571
Moved 292.7397 177.0256 374.3419 -0.3176639 -0.07904018
Moved 292.7556 166.1366 371.4748 -0.3365685 -0.09563199
Moved 292.7707 152.6894 368.7379 -0.3599142 -0.1114706
Moved 292.7862 144.16 366.432 -0.3747222 -0.1248148
Moved 292.8018 134.9999 365 -0.3906252 -0.1331019
Moved 292.8155 132.1032 365 -0.3956541 -0.1331019
Moved 292.8361 127.2292 364 -0.404116 -0.1388887
Moved 292.8485 124.3626 364 -0.4090926 -0.1388887
Moved 292.8618 120.5 362.5 -0.4157986 -0.1475694
Moved 292.8786 118.2542 363 -0.4196975 -0.1446759
Moved 292.894 115.3806 361.6903 -0.4246865 -0.1522553
Moved 292.9099 113.4942 362 -0.4279614 -0.1504628
Moved 292.924 110.6125 362 -0.4329643 -0.1504628
Moved 292.9391 109.3661 361 -0.4351283 -0.15625
Moved 292.9566 106.8578 361 -0.4394829 -0.15625
Moved 292.9701 105.5 361 -0.4418403 -0.15625
Moved 292.9859 104.4147 360.4147 -0.4437244 -0.159637
Moved 293.0007 102.9758 360 -0.4462226 -0.162037
Moved 293.0164 101.5355 360 -0.448723 -0.162037
Moved 293.0313 100.0954 360 -0.4512232 -0.162037
Moved 293.0476 99.5 360 -0.4522569 -0.162037
Moved 293.0621 99 360 -0.453125 -0.162037
Moved 293.0817 97.8101 360 -0.4551908 -0.162037
Stationary 293.0935 97.8101 360 -0.4551908 -0.162037
Stationary 293.1085 97.8101 360 -0.4551908 -0.162037
Moved 293.1243 96.77518 360 -0.4569876 -0.162037
Moved 293.1403 96.37085 360 -0.4576895 -0.162037
Stationary 293.1551 96 360 -0.4583333 -0.162037
Stationary 293.1717 96 360 -0.4583333 -0.162037
Stationary 293.1845 96 360 -0.4583333 -0.162037
Stationary 293.2007 96 360 -0.4583333 -0.162037
Stationary 293.2166 96 360 -0.4583333 -0.162037
Stationary 293.2324 96 360 -0.4583333 -0.162037
Stationary 293.2501 96 360 -0.4583333 -0.162037
Stationary 293.2636 96 360 -0.4583333 -0.162037
Moved 293.2775 96 367.5545 -0.4583333 -0.1183188
Stationary 293.2943 96 367.5545 -0.4583333 -0.1183188
Stationary 293.3165 96 368.0588 -0.4583333 -0.1154006
Stationary 293.3257 96 368.0588 -0.4583333 -0.1154006
Stationary 293.3385 96 368.0588 -0.4583333 -0.1154006
Moved 293.3546 96 369.0435 -0.4583333 -0.109702
Stationary 293.3704 96 369.0435 -0.4583333 -0.109702
Moved 293.3866 107.0243 369 -0.439194 -0.1099537
Moved 293.403 111.7878 369 -0.4309239 -0.1099537
Moved 293.4182 116.6512 369 -0.4224806 -0.1099537
Moved 293.4335 122.9619 369 -0.4115245 -0.1099537
Moved 293.449 128.7306 369 -0.4015093 -0.1099537
Moved 293.4632 133.595 369 -0.3930642 -0.1099537
Moved 293.479 139.2175 369 -0.383303 -0.1099537
Moved 293.4946 143.9697 369 -0.3750526 -0.1099537
Moved 293.5098 149.7141 360.7504 -0.3650797 -0.1576948
Moved 293.5251 155 360.5 -0.3559027 -0.1591435
Moved 293.5468 159.7446 359.3138 -0.3476657 -0.1660077
Moved 293.5591 166.6156 357.8769 -0.3357368 -0.1743235
Moved 293.5725 171.2369 357 -0.3277137 -0.1793981
Moved 293.5877 176.9813 356.0046 -0.3177407 -0.1851583
Moved 293.603 181.2939 354.5687 -0.3102536 -0.193468
Moved 293.618 186.5948 353.1351 -0.3010506 -0.2017646
Moved 293.6334 190.9357 351.6881 -0.2935144 -0.2101381
Moved 293.6495 193.9214 350.6929 -0.2883308 -0.2158977
Moved 293.6638 200.4283 349.1429 -0.2770342 -0.224867
Moved 293.6797 204.9029 346.3981 -0.2692657 -0.2407517
Moved 293.6952 209.2083 344.5278 -0.2617911 -0.2515754
Moved 293.7109 213.5144 342.8286 -0.2543153 -0.2614087
Moved 293.7261 217.8192 341.3936 -0.2468417 -0.2697129
Moved 293.7411 221.0872 338.9128 -0.2411681 -0.284069
Moved 293.761 223.193 337.9035 -0.2375122 -0.2899101
Moved 293.7735 226.7123 336.8585 -0.2314022 -0.295958
Moved 293.787 230.0452 334.9774 -0.225616 -0.3068435
Moved 293.8021 232.9126 334 -0.2206378 -0.3124998
Moved 293.8196 235.8053 333.0974 -0.2156157 -0.3177237
Moved 293.8336 238.6781 331.6609 -0.2106283 -0.326036
Moved 293.8488 241.566 330.217 -0.2056145 -0.3343925
Moved 293.8657 242.9374 329.0626 -0.2032336 -0.341073
Moved 293.88 245.7248 329 -0.1983944 -0.341435
Moved 293.8961 249.5917 327.2041 -0.191681 -0.3518281
Moved 293.9113 252.451 325.7745 -0.186717 -0.3601011
Moved 293.9265 255.3466 325.3267 -0.1816898 -0.362693
Moved 293.9421 258.2149 323.8925 -0.1767102 -0.3709924
Moved 293.9577 261.6735 323 -0.1707058 -0.3761574
Moved 293.9764 264.495 322.2525 -0.1658072 -0.3804832
Moved 293.989 269.4143 322 -0.1572669 -0.3819443
Moved 294.0051 274.6227 321 -0.1482245 -0.3877315
Moved 294.0193 279.7987 320.0503 -0.1392383 -0.3932275
Moved 294.0359 285.5754 320 -0.1292094 -0.3935185
Moved 294.0513 290.4774 320 -0.1206989 -0.3935185
Moved 294.0656 294.7719 320 -0.1132432 -0.3935185
