the dow jones index has risen
Basic
0.6 0.6
432 388.8
Began 324.9708 273 315 -0.2013889 -0.1877573
Stationary 324.9911 273 315 -0.2013889 -0.1877573
Stationary 325.0056 273 315 -0.2013889 -0.1877573
Stationary 325.0205 273 315 -0.2013889 -0.1877573
Stationary 325.0358 273 315 -0.2013889 -0.1877573
Stationary 325.0512 273 315 -0.2013889 -0.1877573
Stationary 325.0666 273 315 -0.2013889 -0.1877573
Stationary 325.0824 273 315 -0.2013889 -0.1877573
Stationary 325.0975 273 315 -0.2013889 -0.1877573
Stationary 325.1126 273 315 -0.2013889 -0.1877573
Stationary 325.1281 273 315 -0.2013889 -0.1877573
Stationary 325.1443 273 315 -0.2013889 -0.1877573
Stationary 325.159 273 315 -0.2013889 -0.1877573
Stationary 325.1742 273 315 -0.2013889 -0.1877573
Stationary 325.1897 273 315 -0.2013889 -0.1877573
Stationary 325.2058 273 315 -0.2013889 -0.1877573
Stationary 325.2206 273 315 -0.2013889 -0.1877573
Stationary 325.2357 273 315 -0.2013889 -0.1877573
Stationary 325.2514 273 315 -0.2013889 -0.1877573
Stationary 325.2673 273 315 -0.2013889 -0.1877573
Stationary 325.2821 273 315 -0.2013889 -0.1877573
Stationary 325.2976 273 315 -0.2013889 -0.1877573
Stationary 325.3134 273 315 -0.2013889 -0.1877573
Stationary 325.3285 273 315 -0.2013889 -0.1877573
Stationary 325.3443 273 315 -0.2013889 -0.1877573
Stationary 325.361 273 315 -0.2013889 -0.1877573
Stationary 325.3753 273 315 -0.2013889 -0.1877573
Stationary 325.3902 273 315 -0.2013889 -0.1877573
Stationary 325.4075 273 315 -0.2013889 -0.1877573
Stationary 325.4227 273 315 -0.2013889 -0.1877573
Moved 325.4376 273 326.3708 -0.2013889 -0.1585115
Moved 325.4614 273 332.6898 -0.2013889 -0.1422588
Stationary 325.4728 273 332.6898 -0.2013889 -0.1422588
Moved 325.4844 273 335.9991 -0.2013889 -0.1337471
Moved 325.4998 273 340.3274 -0.2013889 -0.1226148
Moved 325.5154 273 342.7336 -0.2013889 -0.1164258
Moved 325.5316 273 346.0334 -0.2013889 -0.1079388
Moved 325.5476 273 348.9192 -0.2013889 -0.1005166
Moved 325.5614 273 351.7933 -0.2013889 -0.09312421
Moved 325.5775 273 353.3358 -0.2013889 -0.08915693
Moved 325.5927 273 356.5547 -0.2013889 -0.08087794
Moved 325.6076 273 359.4321 -0.2013889 -0.07347703
Moved 325.6222 273 361.4823 -0.2013889 -0.06820396
Moved 325.6374 273 363.519 -0.2013889 -0.0629655
Moved 325.654 273 366.398 -0.2013889 -0.05556075
Moved 325.6696 273 368.2734 -0.2013889 -0.0507372
Moved 325.6843 273 370.0765 -0.2013889 -0.04609959
Moved 325.7 273 372.5167 -0.2013889 -0.03982348
Moved 325.7151 273 374.9083 -0.2013889 -0.03367224
Moved 325.7306 273 377.0411 -0.2013889 -0.02818645
Moved 325.7466 273 378.4584 -0.2013889 -0.02454114
Moved 325.7619 273 379.8975 -0.2013889 -0.02083971
Moved 325.7782 273 382.6716 -0.2013889 -0.01370481
Moved 325.7922 273 383.7694 -0.2013889 -0.01088115
Moved 325.8081 273 385.2041 -0.2013889 -0.007191214
Moved 325.8234 273 388.2828 -0.2013889 0.000727265
Moved 325.8386 273 390.6303 -0.2013889 0.006765082
Moved 325.8541 273 392.1933 -0.2013889 0.01078519
Moved 325.8692 273 394.2698 -0.2013889 0.01612593
Moved 325.8847 273 397.1412 -0.2013889 0.02351125
Moved 325.9044 273 398.5 -0.2013889 0.02700609
Moved 325.9169 273 400.9511 -0.2013889 0.03331043
Moved 325.9302 273 403.7719 -0.2013889 0.04056546
Moved 325.9466 273 404.5 -0.2013889 0.04243823
Moved 325.962 273 405.9141 -0.2013889 0.04607522
Moved 325.9766 273 407.3528 -0.2013889 0.04977575
Moved 325.9926 273 408.7944 -0.2013889 0.05348358
Moved 326.0089 273 410.2297 -0.2013889 0.05717505
Moved 326.0222 273 411.67 -0.2013889 0.06087954
Moved 326.038 273 413.1078 -0.2013889 0.06457772
Moved 326.0542 273 414.5 -0.2013889 0.0681584
Moved 326.0691 273 417.0527 -0.2013889 0.07472391
Moved 326.0845 281.9763 421.3661 -0.1806105 0.08581804
Moved 326.1034 288.812 424.1248 -0.164787 0.09291358
Moved 326.1165 296.9805 427.9902 -0.1458785 0.1028555
Moved 326.1315 307.0772 429.4396 -0.1225065 0.1065832
Moved 326.1476 315.2558 431.876 -0.1035746 0.1128497
Moved 326.1618 325.1325 434.6093 -0.08071174 0.1198798
Moved 326.1774 330.8908 435.3151 -0.06738245 0.1216952
Moved 326.194 343.9429 436.849 -0.03716916 0.1256403
Moved 326.2098 354.0109 439.5745 -0.01386369 0.1326504
Moved 326.2238 362.3564 442.4521 0.005454619 0.1400518
Moved 326.2391 373.3715 445.3429 0.03095259 0.1474868
Moved 326.2556 381.0463 448.6093 0.04871825 0.1558879
Moved 326.27 389.2522 452.1261 0.06771336 0.1649333
Moved 326.2848 395.5253 453.0875 0.08223444 0.1674061
Moved 326.3069 411.9463 459.9821 0.1202461 0.1851391
Stationary 326.3177 411.9463 459.9821 0.1202461 0.1851391
Moved 326.3305 417.7504 462.8752 0.1336815 0.1925801
Moved 326.3467 424.3886 464.8777 0.1490477 0.1977306
Moved 326.3628 430.2634 467.6317 0.1626467 0.204814
Moved 326.3773 436.0353 468.7589 0.1760077 0.207713
Moved 326.3932 439.7152 470.8101 0.1845258 0.2129889
Moved 326.4094 445.2517 472.3129 0.197342 0.2168541
Moved 326.4234 449.2443 474.7481 0.206584 0.2231175
Moved 326.4395 453.5128 476.1709 0.2164647 0.2267769
Moved 326.4546 457.8448 477.6149 0.2264927 0.230491
Moved 326.47 462.1521 480.1014 0.2364631 0.2368862
Moved 326.4856 466.4686 481.4896 0.2464552 0.2404566
Moved 326.5032 468.372 482.686 0.2508611 0.243534
Moved 326.5165 472.0329 485.0219 0.2593354 0.2495418
Moved 326.5326 474.916 486.458 0.2660092 0.2532355
