watch out for low flying objects
Basic
0.4 0.4
288 259.2
Moved 397.6345 320.6938 383.7751 -0.1364799 -0.01629971
Moved 397.6504 320 377.7763 -0.1388889 -0.03944338
Moved 397.6693 318.8199 371.0998 -0.1429863 -0.06520153
Moved 397.683 319 367.1541 -0.1423611 -0.08042394
Moved 397.6994 318 361.1066 -0.1458333 -0.1037555
Moved 397.7113 318 356.5114 -0.1458333 -0.1214837
Moved 397.7263 318 351.7933 -0.1458333 -0.1396863
Moved 397.7429 316.9597 347.8793 -0.1494453 -0.1547869
Moved 397.7592 317 345.03 -0.1493055 -0.1657795
Moved 397.7733 317 341.2385 -0.1493055 -0.1804071
Moved 397.7883 317 339.0118 -0.1493055 -0.1889975
Moved 397.8047 317 336.1467 -0.1493055 -0.2000512
Moved 397.8196 317 333.2612 -0.1493055 -0.2111837
Moved 397.8347 317 330.3835 -0.1493055 -0.2222858
Moved 397.8494 316.2531 327.5062 -0.151899 -0.2333867
Moved 397.8654 316 324.6285 -0.1527778 -0.2444887
Moved 397.8809 316 322.749 -0.1527778 -0.2517399
Moved 397.8987 316 321.1974 -0.1527778 -0.257726
Moved 397.9117 316 318.6525 -0.1527778 -0.2675442
Moved 397.9267 316 316.7648 -0.1527778 -0.2748274
Moved 397.9444 316 313.8911 -0.1527778 -0.2859141
Moved 397.9577 316 312.0105 -0.1527778 -0.2931695
Moved 397.9723 316 310.0704 -0.1527778 -0.3006545
Moved 397.9895 316 308.6281 -0.1527778 -0.3062188
Moved 398.0052 316 306 -0.1527778 -0.3163581
Moved 398.0194 316 305.1049 -0.1527778 -0.3198113
Moved 398.0347 316 303.6662 -0.1527778 -0.325362
Moved 398.0501 316 301 -0.1527778 -0.3356484
Stationary 398.0656 316 300.8928 -0.1527778 -0.336062
Moved 398.0815 316 299.347 -0.1527778 -0.3420254
Moved 398.0965 316 297.9083 -0.1527778 -0.347576
Moved 398.1116 316 296.5 -0.1527778 -0.3530092
Stationary 398.127 316 296.5 -0.1527778 -0.3530092
Moved 398.1442 316 295.6755 -0.1527778 -0.35619
Moved 398.1654 316 294.751 -0.1527778 -0.3597568
