did you have a good time
Basic
0.6 0.6
432 129.6
Stationary 320.7057 509 422 0.3449074 0.2623458
Stationary 320.7202 509 422 0.3449074 0.2623458
Stationary 320.7397 509 422 0.3449074 0.2623458
Stationary 320.751 509 422 0.3449074 0.2623458
Stationary 320.7668 509 422 0.3449074 0.2623458
Moved 320.7821 509 431.6178 0.3449074 0.3365572
Moved 320.7974 505.5064 429.4991 0.3368203 0.3202091
Moved 320.8144 500.13 430.935 0.324375 0.3312885
Moved 320.8293 496.9865 431 0.3170984 0.33179
Moved 320.8444 490.7752 433.4449 0.3027205 0.3506554
Moved 320.8596 484.4654 434 0.2881144 0.3549384
Moved 320.8755 480.0326 434 0.2778531 0.3549384
Moved 320.8909 474.9554 435 0.2661005 0.3626544
Moved 320.9054 470.4105 435 0.2555799 0.3626544
Moved 320.9212 465.4338 435 0.2440598 0.3626544
Moved 320.9383 461.5642 435 0.2351024 0.3626544
Moved 320.9515 456.2594 435 0.2228226 0.3626544
Moved 320.9681 451.5023 435 0.2118108 0.3626544
Moved 320.9834 447.8737 435 0.2034113 0.3626544
Moved 320.9977 445 435 0.1967593 0.3626544
Moved 321.014 442.1246 435 0.1901033 0.3626544
Moved 321.0294 439.2391 435 0.183424 0.3626544
Moved 321.0436 438.5 435 0.181713 0.3626544
Moved 321.0602 436.0992 435 0.1761555 0.3626544
Moved 321.0758 433.321 435 0.1697244 0.3626544
Moved 321.0975 430.7859 435 0.1638563 0.3626544
Stationary 321.1098 430.7859 435 0.1638563 0.3626544
Moved 321.1218 430 435 0.162037 0.3626544
Moved 321.1374 428.8585 435 0.1593945 0.3626544
Stationary 321.1524 429 435 0.1597223 0.3626544
Moved 321.1674 428.2817 435 0.1580594 0.3626544
Moved 321.184 427.5 435 0.15625 0.3626544
Stationary 321.201 427.5 435 0.15625 0.3626544
Moved 321.2139 428 435 0.1574074 0.3626544
Stationary 321.2288 428 435 0.1574074 0.3626544
Stationary 321.2451 428 435 0.1574074 0.3626544
Stationary 321.2592 428 435 0.1574074 0.3626544
Ended 321.2741 428 435 0.1574074 0.3626544
