he is still on our team
Basic
0.8 0.8
575.9999 518.4
Moved 333.069 496.8534 601 0.2375927 0.4108795
Moved 333.0844 493.0792 601 0.2310402 0.4108795
Moved 333.1005 489.8582 601 0.2254482 0.4108795
Moved 333.116 486.4771 597.4466 0.2195783 0.404025
Moved 333.131 481.2361 592.118 0.2104793 0.3937461
Moved 333.146 472.7232 587.8616 0.1957 0.3855353
Moved 333.162 465.2731 583.5456 0.1827657 0.3772098
Moved 333.1771 457.5255 579.3003 0.1693151 0.3690206
Moved 333.1928 447.5896 572.2783 0.1520653 0.3554749
Moved 333.2079 436.7457 563.3093 0.133239 0.3381736
Moved 333.2227 426.4855 555.9182 0.1154262 0.3239162
Moved 333.2383 414.7538 547.7211 0.0950586 0.3081038
Moved 333.2544 404.36 541.6343 0.07701389 0.2963624
Moved 333.2692 394.2562 533.8607 0.05947261 0.281367
Moved 333.2846 384.2762 527.5175 0.04214607 0.2691309
Moved 333.3063 363.2075 512.8329 0.005568563 0.2408041
Stationary 333.3176 363.2075 512.8329 0.005568563 0.2408041
Moved 333.3302 350.2497 504.1748 -0.01692757 0.2241026
Moved 333.3476 341.4938 498.3292 -0.03212876 0.2128264
Moved 333.3612 330.8419 493.421 -0.05062163 0.2033582
Moved 333.3763 320.9021 489.1009 -0.06787836 0.1950248
Moved 333.3917 314 484 -0.07986109 0.1851851
Moved 333.407 303.483 478.1534 -0.09811974 0.1739071
Moved 333.4232 294.3343 474.4448 -0.114003 0.1667529
Moved 333.4389 287.1537 469.8653 -0.1264692 0.1579191
Moved 333.4549 277.9363 465.5441 -0.1424716 0.1495835
Moved 333.4683 269.4587 460.6392 -0.1571897 0.1401218
Moved 333.485 262.8839 456.942 -0.1686043 0.1329898
Moved 333.5018 255.703 451.1624 -0.1810712 0.121841
Moved 333.5161 252.4053 450.2026 -0.1867963 0.1199896
Moved 333.5309 246.1685 445.1011 -0.197624 0.1101487
Moved 333.5462 240.1956 441.1956 -0.2079937 0.1026149
Moved 333.562 236.47 437.47 -0.2144618 0.09542815
Moved 333.5779 230.8696 433.1522 -0.2241848 0.08709904
Moved 333.593 226.8275 429.8275 -0.2312021 0.0806857
Moved 333.6089 223.6807 426.6807 -0.2366654 0.07461553
Moved 333.6241 220.3795 423.3795 -0.2423967 0.06824746
Moved 333.6396 216.5769 420.8654 -0.2489984 0.06339765
Moved 333.6549 212.5638 416.5638 -0.2559656 0.05509985
Moved 333.6705 207.8252 412.2378 -0.2641924 0.04675491
Moved 333.6848 203.9303 407.9303 -0.2709544 0.03844576
Moved 333.7037 199.5889 403.5889 -0.2784916 0.03007109
Moved 333.7198 196.3299 399.4399 -0.2841494 0.02206767
Moved 333.7318 194.0331 396.0496 -0.288137 0.01552776
Moved 333.7487 191.1427 390.2855 -0.293155 0.004408595
Moved 333.7618 187.2831 386.4246 -0.2998558 -0.003038924
Moved 333.7781 185.7032 382.1097 -0.3025985 -0.01136238
Moved 333.794 182.5414 378.5414 -0.3080878 -0.01824585
Moved 333.8102 180.8275 374.4826 -0.3110633 -0.02607522
Ended 333.8247 180 374 -0.3125 -0.02700617
Began 335.6243 194 367 -0.2881944 -0.04050925
Stationary 335.647 194 367 -0.2881944 -0.04050925
Stationary 335.6602 194 367 -0.2881944 -0.04050925
Stationary 335.6728 194 367 -0.2881944 -0.04050925
Stationary 335.6895 194 367 -0.2881944 -0.04050925
Stationary 335.7063 194 367 -0.2881944 -0.04050925
Stationary 335.7212 194 367 -0.2881944 -0.04050925
Stationary 335.7364 194 367 -0.2881944 -0.04050925
Stationary 335.753 194 367 -0.2881944 -0.04050925
Stationary 335.7667 194 367 -0.2881944 -0.04050925
Stationary 335.782 194 367 -0.2881944 -0.04050925
Stationary 335.7984 194 367 -0.2881944 -0.04050925
Stationary 335.8128 194 367 -0.2881944 -0.04050925
Stationary 335.8279 194 367 -0.2881944 -0.04050925
Stationary 335.8432 194 367 -0.2881944 -0.04050925
Stationary 335.859 194 367 -0.2881944 -0.04050925
Moved 335.8821 194 379.6374 -0.2881944 -0.01613164
Stationary 335.8941 194 379.6374 -0.2881944 -0.01613164
Moved 335.907 194 382.5138 -0.2881944 -0.01058296
Moved 335.9216 198.8495 384.3856 -0.2797751 -0.0069723
Moved 335.937 201 386.1316 -0.2760417 -0.003604212
Moved 335.9524 202.5 389 -0.2734375 0.001929012
Moved 335.9676 202.6814 390.6814 -0.2731225 0.005172388
Moved 335.9836 203 393.2402 -0.2725694 0.01010848
Moved 335.9995 204 395.1292 -0.2708333 0.01375228
Moved 336.0132 204 396.992 -0.2708333 0.01734566
Moved 336.0291 205.4308 398.4307 -0.2683494 0.02012094
Moved 336.0448 205 400.741 -0.2690972 0.02457757
Moved 336.0603 206.3045 402.3044 -0.2668325 0.02759345
Moved 336.0752 206 403.2888 -0.2673611 0.02949217
Moved 336.0913 206.8357 405.8357 -0.2659102 0.03440518
Stationary 336.1071 207 406 -0.265625 0.03472213
Moved 336.1221 207.7002 409.4004 -0.2644094 0.04128158
Moved 336.1376 208 411.1373 -0.2638888 0.04463207
Moved 336.1527 209 412.5748 -0.2621528 0.04740497
Moved 336.1677 209 415.0237 -0.2621528 0.05212898
Moved 336.1836 210.1117 416.1117 -0.2602227 0.05422771
Moved 336.1995 210 417.5846 -0.2604167 0.05706901
Moved 336.2203 211 420.4621 -0.2586805 0.06261975
Stationary 336.2315 211 420.4621 -0.2586805 0.06261975
Stationary 336.2448 211 420.4621 -0.2586805 0.06261975
Moved 336.2605 212.3453 422.3453 -0.2563449 0.0662524
Moved 336.2756 212 423.5 -0.2569444 0.06847984
Stationary 336.2912 212 423.5 -0.2569444 0.06847984
