just in time for the party
Basic
0.4 0.4
288 259.2
Moved 488.5334 285.8068 409.7102 -0.2576152 0.08375844
Moved 488.5487 288.6848 414.0272 -0.2476223 0.1004134
Moved 488.564 292.5737 418.3606 -0.234119 0.1171318
Moved 488.5807 295.458 421.4581 -0.224104 0.1290819
Moved 488.5957 299.0015 426.0015 -0.2118003 0.1466107
Moved 488.6106 303.3176 430.3176 -0.1968138 0.1632623
Moved 488.6263 307.5 436 -0.1822916 0.185185
Moved 488.6422 310.8959 440.5278 -0.1705004 0.2026536
Moved 488.6568 315.2062 445.2062 -0.1555341 0.2207028
Moved 488.6721 319.5 451 -0.140625 0.2430554
Moved 488.6877 321.8928 452.8928 -0.1323166 0.2503581
Moved 488.7032 324.794 457.191 -0.1222432 0.2669404
Moved 488.7223 327.6696 460.6697 -0.1122582 0.2803613
Moved 488.734 330.5406 463.5406 -0.1022894 0.2914375
Moved 488.7491 331.3162 466.9484 -0.09959667 0.3045849
Moved 488.7651 334.7048 469.7048 -0.08783065 0.315219
Moved 488.7802 337.5531 472.5531 -0.07794052 0.3262078
Moved 488.7954 339.7285 475.7286 -0.07038697 0.3384589
Moved 488.8116 341.1791 477.1791 -0.06535023 0.3440552
Moved 488.8257 342.6159 479.2318 -0.06036147 0.3519744
Moved 488.8414 344.0546 481.0546 -0.05536601 0.3590067
Moved 488.8594 345.12 482.12 -0.05166657 0.363117
Moved 488.8737 346.5902 483.5902 -0.04656165 0.3687892
Moved 488.8885 348.0319 485.0319 -0.04155583 0.3743515
Moved 488.9051 349.4748 485 -0.03654584 0.3742283
Moved 488.9195 350.9227 486 -0.03151826 0.3780862
Moved 488.9343 351 487.3585 -0.03124997 0.3833275
Moved 488.9489 352 487.7897 -0.02777777 0.384991
Moved 488.9691 352.9058 488 -0.02463259 0.3858023
Moved 488.9812 353 489.3148 -0.02430558 0.3908747
Moved 488.9957 354.5 489 -0.01909725 0.3896604
Ended 489.0117 354 489 -0.02083331 0.3896604
Began 489.7657 441 455 0.28125 0.2584875
Stationary 489.7819 441 455 0.28125 0.2584875
Stationary 489.7958 441 455 0.28125 0.2584875
Stationary 489.812 441 455 0.28125 0.2584875
Stationary 489.8276 441 455 0.28125 0.2584875
Stationary 489.8435 441 455 0.28125 0.2584875
Stationary 489.8581 441 455 0.28125 0.2584875
Stationary 489.8733 441 455 0.28125 0.2584875
Stationary 489.8887 441 455 0.28125 0.2584875
Stationary 489.904 441 455 0.28125 0.2584875
Stationary 489.919 441 455 0.28125 0.2584875
Stationary 489.9358 441 455 0.28125 0.2584875
Stationary 489.9503 441 455 0.28125 0.2584875
Stationary 489.9672 441 455 0.28125 0.2584875
Stationary 489.9814 441 455 0.28125 0.2584875
Stationary 489.9968 441 455 0.28125 0.2584875
Stationary 490.0136 441 455 0.28125 0.2584875
Stationary 490.0277 441 455 0.28125 0.2584875
Stationary 490.0443 441 455 0.28125 0.2584875
Stationary 490.0584 441 455 0.28125 0.2584875
Stationary 490.075 441 455 0.28125 0.2584875
Moved 490.0893 451.6152 455 0.3181082 0.2584875
Moved 490.1062 450 462 0.3125 0.2854938
Stationary 490.1213 450 462 0.3125 0.2854938
Moved 490.1357 450.5561 462 0.3144307 0.2854938
Moved 490.1585 451 463.5 0.3159722 0.2912807
Stationary 490.1689 451 463.5 0.3159722 0.2912807
Moved 490.1823 451 463 0.3159722 0.2893517
Stationary 490.1976 451 463 0.3159722 0.2893517
Moved 490.2126 451 464.3197 0.3159722 0.2944431
Stationary 490.2284 451 464.3197 0.3159722 0.2944431
Moved 490.2439 451 465.2495 0.3159722 0.2980301
Stationary 490.2584 451 465.2495 0.3159722 0.2980301
Stationary 490.2768 451 465.2495 0.3159722 0.2980301
Moved 490.2963 451 466 0.3159722 0.3009257
Stationary 490.31 451 466 0.3159722 0.3009257
Stationary 490.3235 451 466 0.3159722 0.3009257
Stationary 490.3373 451 466 0.3159722 0.3009257
Stationary 490.352 451 466 0.3159722 0.3009257
Stationary 490.3677 451 466 0.3159722 0.3009257
Moved 490.3832 443.1106 466 0.2885784 0.3009257
Moved 490.3986 441.6719 456.7031 0.2835829 0.2650581
Moved 490.4133 440.4113 455.8226 0.2792059 0.2616609
Moved 490.4299 439.1075 452.3224 0.2746786 0.2481572
Moved 490.4443 436.3304 449.3304 0.2650361 0.2366139
Moved 490.4597 435.228 444.6841 0.2612084 0.2186884
Moved 490.4752 433.7887 440.366 0.2562107 0.2020293
Moved 490.4907 432.3554 436.0663 0.2512342 0.1854411
Moved 490.5064 429.8333 430.6665 0.2424766 0.1646083
Moved 490.5229 428.5 425 0.2378472 0.1427468
Moved 490.5378 427.391 420.5638 0.2339963 0.1256317
Moved 490.5589 425.951 415.853 0.2289966 0.1074576
Moved 490.5707 424.5009 410.0037 0.2239615 0.0848909
Moved 490.5832 423.0621 405.1864 0.2189657 0.06630544
Moved 490.5991 423 400.8703 0.2187499 0.04965375
Moved 490.6144 421.1841 397.5524 0.2124448 0.03685327
Moved 490.6295 421 393.2272 0.2118055 0.02016668
Moved 490.6448 419.6948 390.0845 0.2072736 0.008041829
Moved 490.6613 419 385.3246 0.2048611 -0.01032176
Moved 490.6752 417.7268 381.1805 0.2004404 -0.02630987
Moved 490.6924 417.2929 375.8788 0.1989338 -0.04676395
Moved 490.7076 415.8542 371.5627 0.1939383 -0.06341557
Moved 490.7234 415.4041 364.2122 0.1923752 -0.09177419
Moved 490.7375 415 358.8614 0.1909722 -0.1124176
Moved 490.7527 413.8972 354.589 0.1871432 -0.1289005
Moved 490.7684 413.424 350.696 0.1855001 -0.1439197
Moved 490.7839 413 345.9556 0.1840278 -0.1622083
Moved 490.7991 413 343.0846 0.1840278 -0.1732847
Moved 490.8163 412 339.3232 0.1805556 -0.1877965
Moved 490.8291 412 336.338 0.1805556 -0.1993133
Moved 490.8449 412 332.6823 0.1805556 -0.2134172
Moved 490.8622 412 330.2284 0.1805556 -0.2228844
Moved 490.8762 412 328.7137 0.1805556 -0.2287279
Moved 490.892 412 325.5639 0.1805556 -0.2408801
Moved 490.9066 412 322.6713 0.1805556 -0.2520397
Moved 490.929 412 319.8081 0.1805556 -0.263086
Moved 490.94 412 316.9305 0.1805556 -0.2741878
Moved 490.9535 412 315.0531 0.1805556 -0.281431
Moved 490.9673 412 313.31 0.1805556 -0.288156
Moved 490.9836 412 310.9421 0.1805556 -0.2972915
Moved 491.0002 412 306.5966 0.1805556 -0.3140563
Moved 491.0163 412 305.0793 0.1805556 -0.3199103
Moved 491.0299 412 302.2811 0.1805556 -0.3307056
Moved 491.055 412 296.5147 0.1805556 -0.3529526
Moved 491.0752 412 295.5 0.1805556 -0.3568674
Moved 491.0893 412 293.2309 0.1805556 -0.3656215
Moved 491.102 412 291.795 0.1805556 -0.3711614
Moved 491.1135 412 290.3538 0.1805556 -0.3767216
Stationary 491.1241 412 290.3538 0.1805556 -0.3767216
Moved 491.1392 412 288.9172 0.1805556 -0.3822641
Moved 491.1558 412 287.5 0.1805556 -0.3877316
Moved 491.171 412 286.0396 0.1805556 -0.393366
Moved 491.1857 412 284.6006 0.1805556 -0.3989176
Moved 491.2001 412 283.5883 0.1805556 -0.4028232
Moved 491.2159 412 282.5 0.1805556 -0.4070217
Moved 491.2304 412 281.7917 0.1805556 -0.409754
Moved 491.2463 412 280.5 0.1805556 -0.4147377
Moved 491.2611 412 279.853 0.1805556 -0.4172337
Moved 491.2831 412 277.8223 0.1805556 -0.4250681
Stationary 491.2932 412 277.8223 0.1805556 -0.4250681
Ended 491.3063 412 277.8223 0.1805556 -0.4250681
Began 491.8889 311 432 -0.1701389 0.169753
Stationary 491.9121 311 432 -0.1701389 0.169753
Stationary 491.9238 311 432 -0.1701389 0.169753
Stationary 491.9393 311 432 -0.1701389 0.169753
Stationary 491.9535 311 432 -0.1701389 0.169753
Stationary 491.9691 311 432 -0.1701389 0.169753
Stationary 491.9843 311 432 -0.1701389 0.169753
Stationary 491.9992 311 432 -0.1701389 0.169753
Stationary 492.0169 311 432 -0.1701389 0.169753
Stationary 492.0314 311 432 -0.1701389 0.169753
Stationary 492.0474 311 432 -0.1701389 0.169753
Stationary 492.0636 311 432 -0.1701389 0.169753
Stationary 492.0794 311 432 -0.1701389 0.169753
Stationary 492.0921 311 432 -0.1701389 0.169753
Stationary 492.1099 311 432 -0.1701389 0.169753
Stationary 492.125 311 432 -0.1701389 0.169753
Stationary 492.1393 311 432 -0.1701389 0.169753
Stationary 492.1546 311 432 -0.1701389 0.169753
Stationary 492.1766 311 432 -0.1701389 0.169753
Stationary 492.1875 311 432 -0.1701389 0.169753
Stationary 492.2027 311 432 -0.1701389 0.169753
Stationary 492.2165 311 432 -0.1701389 0.169753
Stationary 492.2313 311 432 -0.1701389 0.169753
Moved 492.2472 311 441.5027 -0.1701389 0.2064148
Stationary 492.2627 311 441.5027 -0.1701389 0.2064148
Stationary 492.278 311 441.5027 -0.1701389 0.2064148
Stationary 492.2932 311 442.1868 -0.1701389 0.2090539
Moved 492.3091 320.4548 443.3507 -0.1373098 0.2135443
Stationary 492.3253 320.4548 443.3507 -0.1373098 0.2135443
Moved 492.3418 321.5465 445.2733 -0.1335189 0.2209615
Moved 492.3562 322.7148 447.7148 -0.1294625 0.230381
Moved 492.3709 325.3219 450.3219 -0.1204102 0.2404392
Moved 492.3867 327.2067 452.2067 -0.1138657 0.2477107
Moved 492.4032 330.0989 454.0495 -0.1038231 0.2548204
Moved 492.4192 332.9755 456.9755 -0.09383507 0.2661091
Moved 492.4344 335.1873 458.1873 -0.08615538 0.2707841
Moved 492.4485 338.0577 460.0289 -0.07618836 0.2778891
Moved 492.4635 340.9523 462.9523 -0.06613784 0.2891676
Moved 492.483 342.9093 463.9094 -0.0593426 0.2928601
Moved 492.4947 345.7039 465.3519 -0.04963927 0.2984256
Moved 492.5088 346.7897 467.7897 -0.04586905 0.3078306
Moved 492.5244 349.4568 469.2285 -0.03660813 0.3133812
Moved 492.5403 350.2191 470.2191 -0.03396153 0.3172029
Moved 492.5552 351.7413 470.7413 -0.02867617 0.3192177
Moved 492.5711 353.1834 472.1834 -0.02366871 0.3247815
Moved 492.5862 354.6234 473 -0.01866884 0.3279319
Moved 492.6027 355 474.0632 -0.01736112 0.3320338
Moved 492.6187 356.5 474 -0.01215279 0.3317901
Moved 492.6341 357.5 475.5 -0.008680522 0.337577
Moved 492.649 358.026 476.026 -0.006854236 0.3396063
Stationary 492.6652 358 476 -0.006944462 0.339506
Moved 492.6801 359 476.9405 -0.003472194 0.3431345
