my bare face in the wind
Basic
0.4 0.4
288 259.2
Moved 173.4261 328.6158 481.6158 -0.1089731 0.3611719
Moved 173.4424 331.0001 483.0001 -0.1006941 0.3665125
Moved 173.4588 332.3898 484.3898 -0.09586863 0.3718743
Moved 173.4734 333.5942 485.5942 -0.09168692 0.3765206
Moved 173.4885 334.8554 486 -0.08730769 0.3780862
Moved 173.5043 336.2418 487.2418 -0.08249379 0.3828772
Moved 173.5197 336.6322 487 -0.08113809 0.3819444
Moved 173.5346 337 488.0164 -0.07986113 0.3858657
Stationary 173.5503 337 488 -0.07986113 0.3858023
Stationary 173.5658 337 488 -0.07986113 0.3858023
Stationary 173.5802 337 488 -0.07986113 0.3858023
Stationary 173.596 337 488 -0.07986113 0.3858023
Moved 173.612 337 489.1409 -0.07986113 0.390204
Stationary 173.6279 337 489.1409 -0.07986113 0.390204
Stationary 173.6416 337 489 -0.07986113 0.3896604
Stationary 173.662 337 489 -0.07986113 0.3896604
Moved 173.6734 329.4575 489 -0.1060503 0.3896604
Moved 173.6893 326.9146 489 -0.11488 0.3896604
Moved 173.7047 324.5534 489 -0.1230785 0.3896604
Moved 173.7196 322.9698 489 -0.1285771 0.3896604
Moved 173.7359 321.5798 489 -0.1334035 0.3896604
Moved 173.7504 319.2 489 -0.1416668 0.3896604
Moved 173.7656 317.8146 489 -0.1464771 0.3896604
Moved 173.7819 316.4242 489 -0.1513049 0.3896604
Moved 173.7973 315.0371 489 -0.1561213 0.3896604
Moved 173.8124 313.6474 489 -0.1609465 0.3896604
Stationary 173.827 313.6474 489 -0.1609465 0.3896604
Moved 173.8427 312.1928 489 -0.1659973 0.3896604
Moved 173.8593 310.8063 489 -0.1708114 0.3896604
Moved 173.8726 309.4187 489 -0.1756295 0.3896604
Moved 173.8892 308.5 489 -0.1788194 0.3896604
Moved 173.9057 307.8211 489 -0.1811766 0.3896604
Moved 173.92 306.2541 489 -0.1866177 0.3896604
Moved 173.9363 304.3251 489 -0.1933155 0.3896604
Moved 173.9515 302.8305 489 -0.1985051 0.3896604
Moved 173.967 299.8845 489 -0.2087343 0.3896604
Moved 173.9825 297.1073 489 -0.2183773 0.3896604
Moved 173.9976 295.6639 489 -0.2233893 0.3896604
Moved 174.0139 293.2773 489 -0.231676 0.3896604
Moved 174.0272 291.8898 489 -0.2364937 0.3896604
Moved 174.0437 290.5122 489 -0.241277 0.3896604
Moved 174.0585 289.4325 482 -0.2450262 0.3626542
Moved 174.0735 288.5 482 -0.2482639 0.3626542
Moved 174.0881 287.828 482 -0.250597 0.3626542
Stationary 174.1036 287.828 482 -0.250597 0.3626542
Moved 174.1192 286.6394 482 -0.2547242 0.3626542
Stationary 174.1413 287 482 -0.2534722 0.3626542
Stationary 174.1513 287 482 -0.2534722 0.3626542
Stationary 174.1655 287 482 -0.2534722 0.3626542
Ended 174.1815 287 482 -0.2534722 0.3626542
Began 175.2709 372 391 0.04166662 0.01157396
Stationary 175.2922 372 391 0.04166662 0.01157396
Stationary 175.3069 372 391 0.04166662 0.01157396
Stationary 175.3252 372 391 0.04166662 0.01157396
Stationary 175.3362 372 391 0.04166662 0.01157396
Stationary 175.3526 372 391 0.04166662 0.01157396
Stationary 175.367 372 391 0.04166662 0.01157396
Stationary 175.3817 372 391 0.04166662 0.01157396
Stationary 175.3978 372 391 0.04166662 0.01157396
Stationary 175.414 372 391 0.04166662 0.01157396
Moved 175.4278 359.7866 391 -0.0007410347 0.01157396
Moved 175.4447 356.0218 391 -0.01381323 0.01157396
Moved 175.4595 351.864 381.3494 -0.02824984 -0.02565819
Moved 175.4761 345.166 383.2332 -0.0515069 -0.01839049
Moved 175.4928 340.5396 383 -0.0675708 -0.01929024
Moved 175.5069 337.4904 383 -0.07815816 -0.01929024
Moved 175.5216 332.198 383 -0.09653486 -0.01929024
Moved 175.5365 327.0838 383 -0.1142924 -0.01929024
Moved 175.5526 324.2924 383 -0.1239845 -0.01929024
Moved 175.5674 319.527 383 -0.1405313 -0.01929024
Moved 175.5822 315.6305 383 -0.1540609 -0.01929024
Moved 175.5977 312.4763 383 -0.1650129 -0.01929024
Moved 175.6141 309.674 383 -0.174743 -0.01929024
Moved 175.6357 303.0567 383 -0.1977198 -0.01929024
Stationary 175.6467 303.0567 383 -0.1977198 -0.01929024
Moved 175.6643 299.898 383 -0.2086875 -0.01929024
Moved 175.6764 297.9095 383 -0.2155918 -0.01929024
Moved 175.691 294.0449 383 -0.2290108 -0.01929024
Moved 175.7065 291.2605 383 -0.2386789 -0.01929024
Moved 175.7212 287.2409 383 -0.2526358 -0.01929024
Moved 175.7375 285.4975 383 -0.2586893 -0.01929024
Moved 175.7537 283.5641 382.282 -0.2654025 -0.02206025
Moved 175.7693 280.7859 382 -0.275049 -0.02314826
Moved 175.7832 278.506 382 -0.2829654 -0.02314826
Moved 175.7986 277.1186 382 -0.2877828 -0.02314826
Moved 175.8137 275.7291 382 -0.2926073 -0.02314826
Moved 175.8298 273.3438 382 -0.3008894 -0.02314826
Moved 175.8454 272.2195 382 -0.3047935 -0.02314826
Moved 175.8604 270.907 382 -0.3093506 -0.02314826
Moved 175.8763 269.5128 382 -0.3141915 -0.02314826
Moved 175.8913 268.1275 382 -0.3190018 -0.02314826
Moved 175.9091 266.7408 382 -0.3238165 -0.02314826
Moved 175.9212 265.3574 381.3574 -0.3286201 -0.02562734
Moved 175.9375 264.5 380.5 -0.3315972 -0.0289353
Moved 175.9532 263.7908 381 -0.3340596 -0.02700629
Moved 175.9675 262.6006 381 -0.3381925 -0.02700629
Stationary 175.9836 262.6006 381 -0.3381925 -0.02700629
Moved 175.9998 262 381 -0.3402778 -0.02700629
Moved 176.0148 260.5 381 -0.3454861 -0.02700629
Moved 176.0338 259.9651 381 -0.3473433 -0.02700629
Stationary 176.0451 259.9651 381 -0.3473433 -0.02700629
Moved 176.0598 259 381 -0.3506944 -0.02700629
Stationary 176.0764 259 381 -0.3506944 -0.02700629
Moved 176.0905 259 379.8738 -0.3506944 -0.03135092
Stationary 176.1068 259 379.8738 -0.3506944 -0.03135092
Moved 176.1219 259 377.9499 -0.3506944 -0.03877357
Moved 176.1378 259 376.5714 -0.3506944 -0.04409189
Moved 176.1528 259 374.3895 -0.3506944 -0.05250989
Moved 176.1684 259 371.6151 -0.3506944 -0.06321353
Moved 176.1835 259 369 -0.3506944 -0.07330258
Moved 176.1993 259 366.7722 -0.3506944 -0.08189754
Moved 176.2151 259 363.9926 -0.3506944 -0.09262143
Moved 176.2291 259 361.2208 -0.3506944 -0.1033149
Moved 176.2443 264.4385 358.4462 -0.3318106 -0.1140195
Moved 176.2621 268.3044 355.6956 -0.3183874 -0.1246312
Moved 176.2769 269.5 353 -0.3142361 -0.135031
Moved 176.2915 270.9256 351.0744 -0.3092861 -0.1424599
Moved 176.3068 271.9945 349.011 -0.3055747 -0.1504204
Moved 176.3228 274.7424 346.2576 -0.2960332 -0.1610436
Moved 176.3377 275.7469 345.2532 -0.2925456 -0.1649183
Moved 176.3544 277.1253 342.7494 -0.2877594 -0.174578
Moved 176.3692 278.5 341.5 -0.2829861 -0.1793981
Moved 176.3896 281.2544 337.7457 -0.2734224 -0.1938826
Stationary 176.4003 281.2544 337.7457 -0.2734224 -0.1938826
Moved 176.4148 282.5 336.5 -0.2690972 -0.1986883
Moved 176.4299 283.6814 335.3186 -0.2649952 -0.2032462
Moved 176.4455 285.0682 333.9318 -0.2601797 -0.2085967
Moved 176.4629 286.4582 332.5417 -0.2553534 -0.2139594
Moved 176.4768 288.8453 330.1547 -0.2470649 -0.2231688
Moved 176.4917 290.225 328.775 -0.2422742 -0.2284918
Moved 176.5072 291.6034 327.3966 -0.237488 -0.2338094
Moved 176.5228 292.9818 326.0182 -0.232702 -0.2391275
Moved 176.5384 294.057 324.9431 -0.2289689 -0.2432753
Moved 176.5535 296.9036 323.5482 -0.2190848 -0.2486567
Moved 176.5679 297.8302 321.3397 -0.2158674 -0.2571773
Moved 176.5833 300.4238 319.7881 -0.2068619 -0.2631632
Moved 176.5987 302.5925 317.8151 -0.1993317 -0.2707753
Moved 176.6171 305.0181 314.9819 -0.1909093 -0.2817058
Moved 176.6305 307.7905 313.6048 -0.1812831 -0.2870185
Moved 176.6466 308.5 312.5 -0.1788194 -0.291281
Moved 176.6614 309.8402 311.1597 -0.1741658 -0.2964516
Moved 176.677 312.4728 309.7636 -0.1650248 -0.301838
Moved 176.6907 313.6139 308.3861 -0.1610628 -0.3071523
Moved 176.7085 315.0037 306.9963 -0.1562372 -0.3125141
Moved 176.7286 316.768 306 -0.150111 -0.3163581
Stationary 176.7404 316.768 306 -0.150111 -0.3163581
Moved 176.7547 318.1631 306 -0.1452672 -0.3163581
Moved 176.77 319.1358 306 -0.1418897 -0.3163581
Stationary 176.7855 319 306 -0.1423611 -0.3163581
Moved 176.7992 319.9597 306 -0.1390287 -0.3163581
Moved 176.8152 320.5 306 -0.1371527 -0.3163581
Moved 176.8304 321 312.6104 -0.1354167 -0.2908551
Moved 176.8459 321 320.6022 -0.1354167 -0.2600226
Moved 176.8612 321 327.5 -0.1354167 -0.2334106
Moved 176.8768 321 332.4049 -0.1354167 -0.2144873
Moved 176.892 321 336.912 -0.1354167 -0.1970987
Moved 176.9074 321 342.4419 -0.1354167 -0.1757644
Moved 176.9234 321 346.9843 -0.1354167 -0.1582399
Moved 176.9392 321 351.4121 -0.1354167 -0.141157
Moved 176.9575 321 355.5731 -0.1354167 -0.1251042
Moved 176.9699 321 359.735 -0.1354167 -0.1090471
Moved 176.9842 321 365.2049 -0.1354167 -0.08794419
Moved 177.0009 312.1951 369.0314 -0.1659892 -0.07318155
Moved 177.018 312.2668 376.666 -0.1657403 -0.04372691
Moved 177.0344 312 382.4344 -0.1666667 -0.02147239
Moved 177.046 310.5128 389.4362 -0.1718307 0.005540612
Moved 177.0634 311 392.5911 -0.1701389 0.01771262
Moved 177.0773 309.745 396.7651 -0.1744966 0.03381605
Moved 177.0916 310 400.2615 -0.1736111 0.04730489
Moved 177.1078 309.2158 403.3525 -0.1763339 0.05923041
Moved 177.1234 309 406.2012 -0.1770833 0.0702208
Moved 177.1384 309 410.4373 -0.1770833 0.08656365
Moved 177.1543 308 412.715 -0.1805556 0.09535076
Moved 177.1694 308 415.4719 -0.1805556 0.1059872
Moved 177.1839 307 418.2177 -0.1840278 0.1165805
Moved 177.2001 307 420.9692 -0.1840278 0.127196
Moved 177.2159 305.6371 423.7258 -0.1887601 0.1378309
Moved 177.2316 306 426.9423 -0.1875 0.15024
Moved 177.2465 306 430.3839 -0.1875 0.1635178
Moved 177.2619 304.8301 433.3398 -0.1915623 0.1749222
Moved 177.2783 305 437.1207 -0.1909722 0.1895089
Moved 177.2927 305 439.8768 -0.1909722 0.200142
Moved 177.3078 305 443.9821 -0.1909722 0.21598
Moved 177.323 304 445.4289 -0.1944444 0.221562
Moved 177.3434 304 446.8147 -0.1944444 0.2269084
Moved 177.3566 304 448.1356 -0.1944444 0.2320043
Moved 177.3691 304 449.5 -0.1944444 0.2372684
Moved 177.3859 304 450.913 -0.1944444 0.2427199
Moved 177.4004 304 452.3026 -0.1944444 0.248081
Moved 177.4155 304 453.6897 -0.1944444 0.2534323
Moved 177.4314 302.9205 455.0795 -0.1981926 0.258794
Moved 177.4476 303 456.4651 -0.1979167 0.2641401
Moved 177.463 303 457.4127 -0.1979167 0.2677958
Moved 177.478 303 458.5 -0.1979167 0.2719905
Moved 177.4924 303 459.1593 -0.1979167 0.2745343
Moved 177.5102 303 460.7039 -0.1979167 0.2804934
Moved 177.5228 301.9273 462.0728 -0.2016414 0.2857744
Stationary 177.5382 301.9273 462.0728 -0.2016414 0.2857744
Moved 177.5539 302 463.8508 -0.2013889 0.2926342
Moved 177.5698 302 464.9247 -0.2013889 0.2967774
Moved 177.5853 302 466.2888 -0.2013889 0.3020401
Moved 177.6007 301 467.6815 -0.2048611 0.307413
Moved 177.6234 301 469.2135 -0.2048611 0.3133235
Stationary 177.6343 301 469.2135 -0.2048611 0.3133235
Moved 177.6464 300.1785 470 -0.2077135 0.3163579
Moved 177.6628 300 471.207 -0.2083334 0.3210144
Stationary 177.6778 300 471.207 -0.2083334 0.3210144
Moved 177.6923 300 472.3065 -0.2083334 0.3252562
Stationary 177.7091 300 472.3065 -0.2083334 0.3252562
Moved 177.7246 300 473.1559 -0.2083334 0.3285334
Moved 177.7393 299 473 -0.2118055 0.3279319
Stationary 177.7545 299 473 -0.2118055 0.3279319
Ended 177.7689 299 473 -0.2118055 0.3279319
Began 178.1991 463 498 0.3576389 0.4243826
Stationary 178.2173 463 498 0.3576389 0.4243826
Stationary 178.2302 463 498 0.3576389 0.4243826
Stationary 178.2457 463 498 0.3576389 0.4243826
Stationary 178.2635 463 498 0.3576389 0.4243826
Stationary 178.2784 463 498 0.3576389 0.4243826
Stationary 178.293 463 498 0.3576389 0.4243826
Stationary 178.3128 463 498 0.3576389 0.4243826
Moved 178.3242 451.2143 486.3214 0.3167163 0.3793263
Moved 178.34 442.3679 478.601 0.2859996 0.3495407
Moved 178.3552 435.3202 468.0936 0.2615285 0.3090032
Moved 178.3709 428.0092 458.0128 0.2361429 0.270111
Moved 178.3859 422.4786 451.0982 0.2169394 0.2434344
Moved 178.401 417.6895 444.1491 0.2003106 0.2166244
Moved 178.4169 412.4132 437.2665 0.1819903 0.1900714
Moved 178.4325 408.5 430.5 0.1684028 0.1639659
Moved 178.4482 404.6327 424.2654 0.1549746 0.1399125
Moved 178.4634 400.0305 416.0508 0.1389948 0.1082205
Moved 178.4787 397.248 409.1201 0.1293334 0.08148169
Moved 178.4944 395.2381 403.9523 0.1223543 0.06154407
Moved 178.5095 392.6978 398.3957 0.1135342 0.04010671
Moved 178.5248 390.831 392.662 0.1070522 0.01798624
Moved 178.5395 389.0323 387.1292 0.1008065 -0.003359877
Moved 178.5569 387.9935 382.9741 0.09719982 -0.01938996
Moved 178.5777 385.2359 371.1797 0.08762478 -0.06489317
Stationary 178.5892 385.2359 371.1797 0.08762478 -0.06489317
Moved 178.6016 383.8352 364.1758 0.08276104 -0.0919143
Moved 178.6169 383 358.8112 0.07986113 -0.1126111
Moved 178.6323 382.0655 354.1964 0.07661626 -0.1304152
Moved 178.6481 382 348.698 0.07638887 -0.1516282
Moved 178.6631 381 345.3492 0.07291659 -0.1645478
Moved 178.6781 380.1924 341.5771 0.0701125 -0.1791006
Moved 178.6936 380 338.6089 0.06944447 -0.1905522
Moved 178.7118 380 334.2609 0.06944447 -0.207327
Moved 178.7249 380 330.1294 0.06944447 -0.2232663
Moved 178.7408 380 324.6537 0.06944447 -0.2443916
Moved 178.7566 380 320.1426 0.06944447 -0.2617955
Moved 178.7719 378.9126 314.6502 0.06566866 -0.2829854
Moved 178.787 379 310.5328 0.06597221 -0.2988702
Moved 178.8004 379 306.3763 0.06597221 -0.3149064
Moved 178.8171 379 303.1478 0.06597221 -0.3273619
Moved 178.8395 378.3101 298.3101 0.06357685 -0.3460259
Stationary 178.8515 378.3101 298.3101 0.06357685 -0.3460259
Moved 178.8641 378 296.9224 0.06249994 -0.3513798
Moved 178.8788 378 295.5512 0.06249994 -0.3566697
Moved 178.8948 378 294.5 0.06249994 -0.3607254
Moved 178.9106 378 293.1276 0.06249994 -0.3660203
Moved 178.9244 378 291.7515 0.06249994 -0.3713291
Moved 178.9407 378 290.5 0.06249994 -0.3761575
Moved 178.9569 378 289.9915 0.06249994 -0.3781192
Stationary 178.9718 378 289.9915 0.06249994 -0.3781192
Moved 178.9862 378 288.6423 0.06249994 -0.3833243
Moved 179.0018 378 287.9144 0.06249994 -0.3861329
Stationary 179.0182 378 287.9144 0.06249994 -0.3861329
Moved 179.0332 378 286.7454 0.06249994 -0.3906429
Ended 179.0483 377 287 0.05902782 -0.3896604
Began 180.0607 318 507 -0.1458333 0.4591048
Stationary 180.0885 318 507 -0.1458333 0.4591048
Stationary 180.0996 318 507 -0.1458333 0.4591048
Stationary 180.1118 318 507 -0.1458333 0.4591048
Stationary 180.1263 318 507 -0.1458333 0.4591048
Stationary 180.1404 318 507 -0.1458333 0.4591048
Stationary 180.1562 318 507 -0.1458333 0.4591048
Stationary 180.1717 318 507 -0.1458333 0.4591048
Stationary 180.1866 318 507 -0.1458333 0.4591048
Moved 180.2026 318 493.9209 -0.1458333 0.4086453
Moved 180.2187 318 489.8074 -0.1458333 0.3927754
Moved 180.2337 323.5274 483.8415 -0.1266409 0.3697587
Moved 180.2501 328.506 475.988 -0.1093541 0.3394596
Moved 180.2688 331.0984 470.254 -0.1003528 0.3173379
Moved 180.2821 333.8639 464.2722 -0.09075029 0.2942597
Moved 180.2964 336.0419 459.9161 -0.08318774 0.2774542
Moved 180.3184 342.6016 448.7968 -0.06041117 0.2345555
Stationary 180.3292 342.6016 448.7968 -0.06041117 0.2345555
Moved 180.3423 345.3671 444.4493 -0.05080856 0.2177826
Moved 180.3585 348.1468 439.8532 -0.04115685 0.2000508
Moved 180.3726 350.9201 435.1599 -0.0315275 0.1819437
Moved 180.3887 353.6858 429.6284 -0.02192423 0.1606032
Moved 180.4037 357.5 425 -0.008680522 0.1427468
Moved 180.4187 360.3391 419.1015 0.001177341 0.1199902
Moved 180.4343 363.3123 413.3755 0.01150086 0.09789907
Moved 180.451 366 409.5 0.02083331 0.08294752
Moved 180.467 367.9306 405.2082 0.02753675 0.06638962
Moved 180.481 369.3171 402.3658 0.03235101 0.05542354
Moved 180.496 371.6974 398.6052 0.04061609 0.04091486
Moved 180.5117 374.1638 395.8362 0.04917964 0.03023241
Moved 180.5265 375.0865 393.8269 0.05238384 0.02248022
Moved 180.542 376.5 392.5 0.05729168 0.01736105
Moved 180.5619 377.8754 390.1246 0.06206736 0.008196654
Moved 180.5736 379.2778 388.7222 0.06693676 0.002786024
Moved 180.5886 379.656 387.344 0.06824999 -0.002531004
Moved 180.6049 380 385.964 0.06944447 -0.007855156
Moved 180.621 381.4149 384.5851 0.07435738 -0.01317489
Stationary 180.6363 381.4149 384.5851 0.07435738 -0.01317489
Moved 180.651 381 384.1279 0.07291659 -0.01493866
Stationary 180.6649 381 384 0.07291659 -0.0154321
Moved 180.6797 381 383.3669 0.07291659 -0.01787468
Stationary 180.6953 381 383 0.07291659 -0.01929024
Stationary 180.7107 381 383 0.07291659 -0.01929024
Moved 180.7263 370.4774 383 0.03637984 -0.01929024
Moved 180.7418 365.4113 383 0.01878947 -0.01929024
Moved 180.7574 362.5678 383 0.008915961 -0.01929024
Moved 180.7793 351.1347 391.9326 -0.03078215 0.01517201
Stationary 180.7896 351.1347 391.9326 -0.03078215 0.01517201
Moved 180.8034 346.9525 393.3492 -0.045304 0.02063722
Moved 180.8192 341.7839 395.7387 -0.06325021 0.02985607
Moved 180.8349 336.4959 398.252 -0.08161135 0.03955252
Moved 180.8494 333.4494 400.5169 -0.09218968 0.04829041
Moved 180.865 329.9006 402.3996 -0.1045119 0.05555388
Moved 180.8802 326.0325 404.9783 -0.1179428 0.0655027
Moved 180.8965 323.2639 406.3681 -0.127556 0.07086447
Moved 180.915 320.5139 407.743 -0.1371045 0.07616896
Moved 180.9276 317.7526 410.2474 -0.1466922 0.0858308
Moved 180.9427 316.5 411.5 -0.1510417 0.09066352
Moved 180.9592 313.2062 413.7938 -0.1624785 0.09951314
