did you have a good time
Basic
0.8 0.8
575.9999 518.4
Moved 282.6318 275.2398 380.8158 -0.1471532 -0.01385842
Moved 282.6516 264.7651 371.5445 -0.1653384 -0.03174293
Moved 282.6654 256.0714 364.2261 -0.1804316 -0.04586007
Moved 282.6787 247.6344 357.2258 -0.1950792 -0.05936392
Moved 282.6937 241.8723 352.9042 -0.2050827 -0.06770016
Moved 282.7104 237.6256 348.6256 -0.2124556 -0.07595374
Moved 282.726 235.1922 346.1922 -0.2166801 -0.08064781
Moved 282.7407 233.6614 344.6614 -0.2193378 -0.08360061
Moved 282.7559 231 343.5 -0.2239583 -0.0858411
Moved 282.7715 230.1217 342.1217 -0.2254831 -0.08849985
Moved 282.7868 228.687 340.687 -0.2279739 -0.09126733
Moved 282.8023 227.2495 340.2495 -0.2304696 -0.09211127
Moved 282.8172 225.8114 338.8114 -0.2329663 -0.0948854
Stationary 282.831 225.8114 338.8114 -0.2329663 -0.0948854
Moved 282.8477 225 337.9398 -0.234375 -0.0965667
Moved 282.8632 223.5053 338 -0.23697 -0.09645066
Stationary 282.8783 223.5053 338 -0.23697 -0.09645066
Moved 282.8933 224 336.6846 -0.2361111 -0.09898815
Moved 282.9086 222.781 337 -0.2382274 -0.09837962
Ended 282.9257 223 337 -0.2378472 -0.09837962
Began 283.2298 335 471 -0.04340276 0.1601079
Stationary 283.2487 335 471 -0.04340276 0.1601079
Stationary 283.2627 335 471 -0.04340276 0.1601079
Stationary 283.2801 335 471 -0.04340276 0.1601079
Stationary 283.3013 335 471 -0.04340276 0.1601079
Stationary 283.3122 335 471 -0.04340276 0.1601079
Stationary 283.3298 335 471 -0.04340276 0.1601079
Stationary 283.3441 335 471 -0.04340276 0.1601079
Stationary 283.3568 335 471 -0.04340276 0.1601079
Stationary 283.3722 335 471 -0.04340276 0.1601079
Stationary 283.3877 335 471 -0.04340276 0.1601079
Stationary 283.4021 335 471 -0.04340276 0.1601079
Stationary 283.4177 335 471 -0.04340276 0.1601079
Stationary 283.433 335 471 -0.04340276 0.1601079
Stationary 283.4479 335 471 -0.04340276 0.1601079
Stationary 283.4632 335 471 -0.04340276 0.1601079
Moved 283.4802 376.1395 482.9088 0.02801999 0.1830802
Moved 283.4958 446.213 499.9788 0.1496752 0.2160083
Moved 283.5109 506.1893 509.7737 0.2538009 0.2349029
Moved 283.5273 537.1991 510 0.3076373 0.2353395
Moved 283.5422 549.2201 510 0.3285071 0.2353395
Moved 283.5579 559.2944 510 0.3459973 0.2353395
Moved 283.5731 563.4636 511.6159 0.3532354 0.2384566
Moved 283.5884 569.2065 513.0516 0.3632058 0.2412261
Moved 283.6036 572.9754 513.4877 0.369749 0.2420672
Moved 283.6185 575.8476 514 0.3747354 0.2430555
Moved 283.6336 577.3623 514 0.3773651 0.2430555
Moved 283.6496 578.5 515.5 0.3793402 0.245949
Moved 283.6714 578 515 0.3784722 0.2449845
Stationary 283.6819 578 515 0.3784722 0.2449845
Moved 283.6945 558.354 478.59 0.3443646 0.1747491
Moved 283.7108 523.4487 420.819 0.2837651 0.06330822
Moved 283.7265 493.3709 361.7418 0.2315467 -0.05065235
Moved 283.742 475.1249 325.2498 0.1998696 -0.1210459
Moved 283.7566 458 286.5 0.1701389 -0.1957947
