the dow jones index has risen
Basic
0.6 0.6
432 388.8
Moved 124.079 278.8848 438.192 -0.1877666 0.1290947
Moved 124.0944 274.5536 446.8929 -0.1977927 0.1514734
Moved 124.1079 271.1403 453.6492 -0.2056938 0.1688508
Moved 124.124 266.8842 459.4877 -0.2155458 0.1838675
Moved 124.14 264.3704 465.2592 -0.2213648 0.1987118
Moved 124.1546 261.4989 469.7516 -0.2280117 0.2102663
Moved 124.1701 259.5984 477.8032 -0.2324111 0.2309753
Moved 124.1856 258.1222 481.6335 -0.2358283 0.2408268
Moved 124.2004 256.7311 487.0754 -0.2390483 0.2548234
Moved 124.2161 255 492.8625 -0.2430556 0.2697079
Moved 124.2322 253.8457 497.463 -0.2457276 0.2815405
Moved 124.2472 252.4024 500.793 -0.2490686 0.2901053
Moved 124.2618 252 505.1484 -0.25 0.3013075
Moved 124.2786 250.5249 510.9003 -0.2534145 0.3161015
Moved 124.2946 250 513.0652 -0.2546296 0.3216696
Moved 124.3086 248.9738 516.0524 -0.2570052 0.3293529
Moved 124.3317 248.0935 520.813 -0.2590429 0.3415973
Stationary 124.3428 248.0935 520.813 -0.2590429 0.3415973
Moved 124.3546 248 523.698 -0.2592593 0.3490174
Moved 124.37 248 524.7913 -0.2592593 0.3518295
Moved 124.387 246.7688 525 -0.2621093 0.3523662
Moved 124.4013 247 526.5 -0.2615741 0.3562242
Stationary 124.4168 247 526.5 -0.2615741 0.3562242
Moved 124.4309 245.82 527 -0.2643055 0.3575102
Moved 124.4461 246 528.5 -0.2638889 0.3613682
Moved 124.4628 244.9698 528 -0.2662736 0.3600822
Moved 124.4804 243.5 528 -0.2696759 0.3600822
Moved 124.4935 242.0506 528 -0.2730311 0.3600822
Stationary 124.5086 242 528 -0.2731481 0.3600822
Moved 124.5233 239.9904 528 -0.2777999 0.3600822
Moved 124.5403 238.0538 521.3764 -0.2822829 0.3430462
Moved 124.5549 236.6109 515.4436 -0.2856229 0.327787
Moved 124.5705 234.169 507.845 -0.2912755 0.3082432
Moved 124.5858 232.7245 500.6223 -0.2946193 0.2896664
Moved 124.6015 232 493.5833 -0.2962963 0.2715619
Moved 124.6173 230.8833 483.0666 -0.2988812 0.2445128
Moved 124.6332 229.8453 475.9171 -0.3012841 0.226124
Moved 124.6513 229 467.1337 -0.3032407 0.2035331
Moved 124.6627 227.92 459.5997 -0.3057408 0.1841556
Moved 124.6801 227.4766 454.9064 -0.3067671 0.1720844
Moved 124.6933 227 449.1572 -0.3078704 0.1572973
Moved 124.7089 227 446.2012 -0.3078704 0.1496943
Moved 124.7247 227 440.5 -0.3078704 0.1350308
Moved 124.74 227 435.1183 -0.3078704 0.121189
Moved 124.755 227 430.7764 -0.3078704 0.1100215
Moved 124.7708 227 423.6133 -0.3078704 0.09159786
Moved 124.7862 227 419.1439 -0.3078704 0.08010244
Moved 124.8014 227 414.8362 -0.3078704 0.06902306
Moved 124.817 227 410.5298 -0.3078704 0.05794694
Moved 124.8321 227 407.8081 -0.3078704 0.05094673
Moved 124.8479 227 406.2256 -0.3078704 0.04687666
Moved 124.8638 227 403.7256 -0.3078704 0.04044639
Moved 124.8803 227 402.4285 -0.3078704 0.03711021
Moved 124.8945 227 400.988 -0.3078704 0.0334054
Moved 124.9094 227 399.5494 -0.3078704 0.02970515
Ended 124.9257 227 398 -0.3078704 0.02572008
Began 125.3235 443 585 0.1921296 0.5066872
Stationary 125.3447 443 585 0.1921296 0.5066872
Stationary 125.3567 443 585 0.1921296 0.5066872
Stationary 125.3707 443 585 0.1921296 0.5066872
Stationary 125.3872 443 585 0.1921296 0.5066872
Stationary 125.4018 443 585 0.1921296 0.5066872
Moved 125.417 443 576.1091 0.1921296 0.4838196
Moved 125.4332 443 565.6227 0.1921296 0.4568483
Moved 125.4494 443 558.6189 0.1921296 0.4388345
Moved 125.4648 434.0871 536.7394 0.1714979 0.38256
Moved 125.4797 427.6609 521.6521 0.1566223 0.3437553
Moved 125.4957 421.9009 501.7028 0.1432891 0.2924454
Moved 125.5099 417.3987 485.7951 0.1328673 0.2515305
Moved 125.5278 412.6922 469.1151 0.1219728 0.2086292
Moved 125.5418 409.8166 457.2662 0.1153161 0.1781538
Moved 125.5571 407.7335 447.8007 0.1104942 0.1538082
Moved 125.5724 403.7533 431.3898 0.1012807 0.1115992
Moved 125.5881 401.9369 417.3685 0.0970761 0.07553615
Moved 125.6037 400.5 407.5 0.09374996 0.05015428
Moved 125.6191 400.0536 395.3755 0.09271681 0.01896999
Moved 125.6384 398.6227 385.3586 0.08940438 -0.006793654
Moved 125.6517 398.1829 374.4631 0.08838633 -0.03481712
Moved 125.6654 397.0504 366.3525 0.08576472 -0.05567762
Moved 125.6802 397 353.7067 0.0856481 -0.08820309
Moved 125.6952 397 344.2763 0.0856481 -0.1124581
Moved 125.7109 397 336.7155 0.0856481 -0.1319046
Moved 125.7273 397 329.5502 0.0856481 -0.150334
Moved 125.7422 397 320.0991 0.0856481 -0.1746422
Moved 125.7571 397 309.9501 0.0856481 -0.2007458
Moved 125.7727 397 301.6275 0.0856481 -0.2221516
Moved 125.7886 397 289.8416 0.0856481 -0.252465
Moved 125.8038 397 284.1627 0.0856481 -0.2670714
Moved 125.8181 397 279.0071 0.0856481 -0.2803316
Moved 125.8341 397 273.238 0.0856481 -0.2951697
Moved 125.8493 397 269.3575 0.0856481 -0.3051504
Moved 125.8645 397 263.7214 0.0856481 -0.3196466
Moved 125.8804 397 262 0.0856481 -0.3240741
Moved 125.8955 397 259.3362 0.0856481 -0.3309255
Moved 125.9154 397 256.4504 0.0856481 -0.3383478
Moved 125.9289 397 254.5688 0.0856481 -0.3431871
Moved 125.9424 397 252.8456 0.0856481 -0.3476195
Moved 125.9575 397 251.5 0.0856481 -0.3510802
Moved 125.9727 397 252 0.0856481 -0.3497943
Stationary 125.9882 397 252 0.0856481 -0.3497943
Moved 126.0037 396.4052 252 0.08427133 -0.3497943
Moved 126.0183 392.896 261.3121 0.07614812 -0.3258435
Moved 126.0341 385.5902 269.8917 0.05923669 -0.3037764
Moved 126.0499 377.5097 280.4054 0.04053165 -0.2767352
Moved 126.0649 371.5226 289.2162 0.02667258 -0.2540737
Moved 126.0805 365.8185 299.5675 0.01346886 -0.2274499
Moved 126.0958 358.8291 309.6392 -0.002710422 -0.2015453
Moved 126.1122 356.2838 316.6712 -0.008602341 -0.1834588
Moved 126.1271 346.1622 332.1404 -0.03203188 -0.1436718
Moved 126.1423 338.9025 343.7559 -0.04883677 -0.1137966
Moved 126.1572 334.0528 352.8945 -0.06006306 -0.090292
Moved 126.1734 327.5402 363.7357 -0.07513836 -0.06240829
Moved 126.1951 318.084 381.8039 -0.09702767 -0.01593656
Stationary 126.2057 318.084 381.8039 -0.09702767 -0.01593656
Moved 126.2204 315.8329 387.4178 -0.1022387 -0.001497504
Moved 126.2358 311.3536 395.744 -0.1126073 0.01991751
Moved 126.2502 307.0328 402.9453 -0.1226092 0.03843939
Moved 126.2659 302.7042 407.2958 -0.1326291 0.04962894
Moved 126.2809 299.2603 412.6095 -0.1406011 0.06329591
Moved 126.2963 296.3836 416.9245 -0.1472601 0.07439425
Moved 126.3114 291.4961 420.5039 -0.1585738 0.08360054
Moved 126.3271 288.3193 423.6807 -0.1659275 0.09177133
Moved 126.342 284.1096 426.5936 -0.1756722 0.09926321
Moved 126.3575 280.5247 431.2129 -0.1839706 0.1111442
Moved 126.3748 277.6458 434.3542 -0.1906347 0.1192236
Moved 126.3904 274.7625 436.6188 -0.197309 0.1250482
Moved 126.4032 271.8791 439.1209 -0.2039836 0.1314837
Moved 126.4191 269.9989 441.001 -0.2083358 0.1363195
Moved 126.435 267.6271 443.3729 -0.2138262 0.1424199
Moved 126.4534 265.9881 446.0237 -0.2176201 0.1492379
Moved 126.465 264.541 448.918 -0.2209699 0.1566819
Moved 126.4806 262.2143 451.7857 -0.2263558 0.1640578
Moved 126.4958 260.6537 454.6926 -0.2299682 0.1715343
Moved 126.5126 259.2274 458.5451 -0.2332698 0.1814431
Moved 126.528 257.7817 461.4366 -0.2366164 0.18888
Moved 126.5421 256.5 464 -0.2395834 0.1954732
Moved 126.5568 255.2287 466.5425 -0.242526 0.2020124
Moved 126.5751 255 468.2114 -0.2430556 0.2063049
Moved 126.5885 253.348 471.3041 -0.2468797 0.2142594
Moved 126.6036 251.9049 474.1902 -0.2502201 0.2216825
Moved 126.6204 251.4652 476.0696 -0.2512379 0.2265163
Moved 126.6348 251 477.9721 -0.2523148 0.2314096
Moved 126.6502 251 479.4149 -0.2523148 0.2351205
Moved 126.6659 251 480.3688 -0.2523148 0.2375741
Moved 126.6813 250.0647 481.9354 -0.25448 0.2416032
Moved 126.6969 250 483.3815 -0.2546296 0.2453228
Moved 126.7155 250 484.8163 -0.2546296 0.2490132
Stationary 126.7275 250 485 -0.2546296 0.2494856
Moved 126.7422 250 486.6979 -0.2546296 0.2538525
Stationary 126.7578 250 487 -0.2546296 0.2546296
Stationary 126.7733 250 487 -0.2546296 0.2546296
Moved 126.7889 250 488.5 -0.2546296 0.2584876
Moved 126.8033 250 489.0801 -0.2546296 0.2599796
Stationary 126.8217 250 489.0801 -0.2546296 0.2599796
Moved 126.8357 250 490.0374 -0.2546296 0.2624416
Stationary 126.8511 250 490.0374 -0.2546296 0.2624416
Stationary 126.8648 250 490 -0.2546296 0.2623456
Moved 126.8824 249.0018 490 -0.2569403 0.2623456
Stationary 126.8971 249 490 -0.2569445 0.2623456
Moved 126.9131 249 490.8787 -0.2569445 0.2646057
Moved 126.9281 247.6757 491 -0.2600099 0.2649176
Stationary 126.9487 247.6757 491 -0.2600099 0.2649176
Stationary 126.9593 247.6757 491 -0.2600099 0.2649176
Stationary 126.9725 247.6757 491 -0.2600099 0.2649176
Moved 126.9894 247 491 -0.2615741 0.2649176
Stationary 127.0048 247 491 -0.2615741 0.2649176
Stationary 127.0198 247 491 -0.2615741 0.2649176
Stationary 127.0354 247 491 -0.2615741 0.2649176
Moved 127.0514 247 481.1658 -0.2615741 0.2396238
Moved 127.0664 247 475.5105 -0.2615741 0.2250783
Moved 127.0827 247 468.2975 -0.2615741 0.2065265
Moved 127.0975 247 459.5 -0.2615741 0.1838991
Moved 127.1129 247 450.7523 -0.2615741 0.1614
Moved 127.1278 247 440.6565 -0.2615741 0.1354333
Moved 127.1426 253.193 425.2587 -0.2472384 0.09582993
Moved 127.1593 256.2177 412.0413 -0.2402369 0.06183444
Moved 127.1741 258.3078 401.1151 -0.2353987 0.03373205
Moved 127.1936 260.0917 390.358 -0.2312692 0.006064701
Moved 127.2055 263 376 -0.2245371 -0.03086435
Moved 127.2208 264.2273 369.7043 -0.221696 -0.04705672
Moved 127.237 266.0547 359.6174 -0.2174661 -0.07300066
Moved 127.2529 267.4962 351.5187 -0.214129 -0.0938304
Moved 127.2676 268.9297 344.3517 -0.210811 -0.1122642
Moved 127.2818 270.3681 338.5276 -0.2074812 -0.1272438
Moved 127.2972 271.8143 331.9286 -0.2041336 -0.1442165
Moved 127.3125 273.2434 324.7831 -0.2008255 -0.1625949
Moved 127.3284 274.2993 320.8028 -0.1983813 -0.1728323
Moved 127.3432 274.8243 316.527 -0.1971658 -0.1838298
Moved 127.3588 275 312.1683 -0.1967592 -0.1950403
Moved 127.3746 275 308.5818 -0.1967592 -0.204265
Moved 127.3899 275 304.5344 -0.1967592 -0.214675
Moved 127.405 276 301.8219 -0.1944444 -0.2216516
Moved 127.4251 276 298.942 -0.1944444 -0.2290588
Moved 127.4386 276 296.803 -0.1944444 -0.2345602
Moved 127.4526 276 292.8471 -0.1944444 -0.2447349
Moved 127.4673 276 289.9473 -0.1944444 -0.2521933
