my bare face in the wind
Basic
0.6 0.6
432 129.6
Moved 408.6324 432.8491 378.283 0.1686323 -0.0749767
Moved 408.6487 428.0838 375.0629 0.1576014 -0.09982357
Moved 408.6635 423.9579 372.3052 0.1480506 -0.1211016
Moved 408.6791 419.1626 369.5813 0.1369504 -0.1421194
Moved 408.6944 414.7969 365.7969 0.1268446 -0.1713202
Moved 408.7146 409.2993 363.1497 0.1141188 -0.1917465
Moved 408.7259 403.6229 359.4153 0.1009789 -0.2205611
Moved 408.7403 399.5282 355.5282 0.09150038 -0.250554
Moved 408.7563 396.4507 353.6338 0.08437653 -0.2651712
Moved 408.7716 393.8109 351.8109 0.07826586 -0.2792373
Moved 408.7869 391.0803 350.0402 0.07194509 -0.2928998
Moved 408.8026 389.6752 348.6752 0.06869266 -0.3034316
Moved 408.8179 388.313 347.313 0.06553937 -0.3139425
Moved 408.8333 386.9425 347 0.06236682 -0.3163578
Moved 408.8486 385.5894 345.5894 0.0592346 -0.3272424
Moved 408.8641 384.5 344.5 0.05671293 -0.3356481
Moved 408.8792 383.1752 344 0.05364627 -0.3395062
Moved 408.8956 383 342.8071 0.05324075 -0.3487107
Moved 408.9105 381.4497 342.4496 0.04965206 -0.3514685
Moved 408.9259 380.5 341.5 0.04745374 -0.3587961
Moved 408.9413 379.859 342 0.04596988 -0.3549381
Moved 408.9566 379.3563 341 0.0448062 -0.3626543
Moved 408.9727 378.5 341 0.04282405 -0.3626543
Moved 408.9877 379 339.9883 0.04398147 -0.3704608
Moved 409.0064 377.6188 340 0.04078428 -0.3703704
Stationary 409.0178 377.6188 340 0.04078428 -0.3703704
Moved 409.0326 376.883 339 0.03908098 -0.3780862
Stationary 409.0494 376.883 339 0.03908098 -0.3780862
Stationary 409.0646 376.883 339 0.03908098 -0.3780862
Stationary 409.0797 376.883 339 0.03908098 -0.3780862
Moved 409.0961 375.8872 337.8872 0.03677587 -0.3866728
Ended 409.1133 376 338 0.03703703 -0.3858025
Began 409.5245 270 411 -0.2083333 0.1774691
Stationary 409.5426 270 411 -0.2083333 0.1774691
Stationary 409.5606 270 411 -0.2083333 0.1774691
Stationary 409.5751 270 411 -0.2083333 0.1774691
Stationary 409.5877 270 411 -0.2083333 0.1774691
Moved 409.6045 279.3486 411 -0.1866931 0.1774691
Moved 409.6194 283.215 411 -0.177743 0.1774691
Moved 409.6344 287.3173 411 -0.168247 0.1774691
Moved 409.6523 295.0034 411 -0.1504552 0.1774691
Moved 409.6694 300.638 411 -0.137412 0.1774691
Moved 409.6805 307.5 411 -0.1215278 0.1774691
Moved 409.6967 312.5821 411 -0.1097637 0.1774691
Moved 409.7123 316.7853 411 -0.1000339 0.1774691
Moved 409.7271 321.5079 406.6111 -0.08910199 0.1436046
Moved 409.7429 325.3135 402.4576 -0.08029271 0.111556
Moved 409.7585 329.2135 400.9288 -0.07126494 0.09975952
Moved 409.774 331.8517 399.5742 -0.06515816 0.08930701
Moved 409.7901 335.4027 398.1991 -0.05693808 0.07869674
Moved 409.8058 337.164 396.836 -0.05286117 0.06817924
Moved 409.8202 339.5294 395.4706 -0.04738574 0.05764396
Moved 409.8351 341.7889 395 -0.04215539 0.05401247
Moved 409.8514 343.2604 393.7396 -0.03874898 0.04428663
Moved 409.8664 345.4616 392.7692 -0.03365378 0.03679982
Moved 409.8818 347.6712 392 -0.0285388 0.03086432
Moved 409.8966 350.0693 390.9653 -0.02298772 0.02288089
Moved 409.9136 352.817 389.5915 -0.01662726 0.01228015
Moved 409.9275 354.7644 389.2356 -0.01211941 0.009534154
Moved 409.9512 361.4545 387.5151 0.003366967 -0.003740994
Stationary 409.9624 361.4545 387.5151 0.003366967 -0.003740994
Moved 409.9743 363 386.5 0.006944438 -0.01157396
Moved 409.9893 367.6146 386.1285 0.01762648 -0.01444087
Moved 410.0058 372.955 384.7612 0.02998829 -0.02499039
Moved 410.0204 377.7954 383.4016 0.04119316 -0.03548163
Moved 410.0359 381.9052 382.0316 0.05070646 -0.04605211
