coming up with killer sound bites
Basic
0.4 0.4
288 259.2
Stationary 135.1215 381.0199 402.4702 0.07298558 0.05582632
Moved 135.1327 383.9108 399.0892 0.08302345 0.04278247
Moved 135.1483 385.3932 396.2136 0.08817076 0.03168824
Moved 135.165 385 395.5 0.08680552 0.02893507
Moved 135.1794 386.9229 394.0771 0.09348214 0.02344567
Moved 135.1931 387 392.6472 0.09375005 0.01792896
Moved 135.211 388 391.1994 0.09722218 0.01234337
Moved 135.2259 389.2309 391 0.1014961 0.01157396
Moved 135.2406 392.3619 389.319 0.1123677 0.005088794
Ended 135.2567 394 388.5 0.1180555 0.001928836
Began 135.4671 491 366 0.4548611 -0.08487666
Stationary 135.4855 491 366 0.4548611 -0.08487666
Stationary 135.5003 491 366 0.4548611 -0.08487666
Stationary 135.5168 491 366 0.4548611 -0.08487666
Stationary 135.5319 491 366 0.4548611 -0.08487666
Stationary 135.5475 491 366 0.4548611 -0.08487666
Moved 135.5658 477.44 366 0.4077778 -0.08487666
Moved 135.5821 473.0057 377.9829 0.392381 -0.0386463
Moved 135.5951 467.2109 383.1469 0.37226 -0.01872345
Moved 135.6088 462.2587 390.6552 0.3550648 0.01024352
Moved 135.624 459.2886 397.7786 0.3447519 0.03772576
Moved 135.6401 457.2097 405.5325 0.3375335 0.06764058
Moved 135.655 457 414.38 0.3368056 0.1017746
Moved 135.6738 457 424.7334 0.3368056 0.1417182
Moved 135.6932 457 440.1696 0.3368056 0.2012714
Stationary 135.7065 457 440.1696 0.3368056 0.2012714
Moved 135.7184 457 447.3504 0.3368056 0.2289751
Moved 135.7334 457 452.3052 0.3368056 0.248091
Moved 135.7499 457 457.0825 0.3368056 0.2665216
Moved 135.7633 457 460.9569 0.3368056 0.2814695
Moved 135.7798 457 462.4688 0.3368056 0.2873022
Moved 135.795 457 464.9089 0.3368056 0.2967162
Moved 135.8108 457 465.9885 0.3368056 0.3008813
Moved 135.8252 457 467.4218 0.3368056 0.306411
Stationary 135.8415 457 467.4218 0.3368056 0.306411
Moved 135.8571 457 468.374 0.3368056 0.3100845
Moved 135.8748 457 469.3702 0.3368056 0.3139281
Stationary 135.8897 457 469.3702 0.3368056 0.3139281
Stationary 135.9022 457 469.3702 0.3368056 0.3139281
Stationary 135.9185 457 469 0.3368056 0.3125
Stationary 135.9326 457 469 0.3368056 0.3125
Stationary 135.9488 457 469 0.3368056 0.3125
Moved 135.965 457 454.6971 0.3368056 0.2573192
Moved 135.9826 457 446 0.3368056 0.2237652
Moved 135.9939 457 424.8905 0.3368056 0.1423244
Moved 136.0114 455.6023 408.6253 0.3319524 0.07957287
Moved 136.026 453 398 0.3229167 0.03858013
Moved 136.0413 451.0966 387.6758 0.3163075 -0.001250608
Moved 136.0577 449.6441 380.2205 0.3112642 -0.03001342
Moved 136.0724 448.2114 375.6342 0.3062895 -0.04770785
Moved 136.0944 443.6571 368.6571 0.2904761 -0.07462536
Stationary 136.1049 443.6571 368.6571 0.2904761 -0.07462536
Moved 136.119 440.7743 366.8871 0.2804662 -0.08145402
Moved 136.1334 435 364 0.2604167 -0.09259258
Moved 136.1487 428.1361 365 0.2365838 -0.08873468
Moved 136.1651 419.2159 365 0.2056107 -0.08873468
Moved 136.1802 408.9435 365 0.1699427 -0.08873468
Moved 136.1959 396.8471 365 0.1279412 -0.08873468
Moved 136.2165 377.6171 378.7943 0.0611706 -0.03551577
Stationary 136.2285 377.6171 378.7943 0.0611706 -0.03551577
Moved 136.2429 367.6831 382.9929 0.02667755 -0.01931744
Moved 136.2572 362.0042 385.9979 0.006958842 -0.007724172
Moved 136.2723 348.7899 393.5486 -0.03892377 0.02140651
Moved 136.2881 340.0052 399.3298 -0.0694263 0.04371072
Moved 136.3047 328.8223 404.0889 -0.108256 0.06207118
Moved 136.3203 318.4998 409.8572 -0.1440977 0.08432576
Moved 136.3347 309.7693 413.2923 -0.1744123 0.09757824
Moved 136.3528 300.4231 417.2473 -0.2068642 0.1128364
Moved 136.3673 295.4192 419.2323 -0.2242388 0.1204949
Moved 136.3789 284.3484 423.2172 -0.2626792 0.1358688
Moved 136.3949 276.7796 427.1323 -0.2889598 0.1509731
Moved 136.4106 270.0342 428.9829 -0.3123813 0.158113
Moved 136.4264 265.2093 430.9302 -0.3291345 0.1656258
Moved 136.4464 262.2726 432.3637 -0.3393313 0.1711561
Moved 136.4581 260.1986 433.8015 -0.3465326 0.176703
Moved 136.4729 259.0625 435.875 -0.3504774 0.1847029
Moved 136.4875 259 437.3586 -0.3506944 0.1904265
Moved 136.5032 259 440.5943 -0.3506944 0.2029099
Moved 136.519 259 443.4772 -0.3506944 0.2140325
Moved 136.5337 259 448.3582 -0.3506944 0.2328634
Moved 136.5493 267.9202 451.23 -0.3197214 0.2439429
Moved 136.5656 270.6726 454.1151 -0.3101647 0.2550735
Moved 136.5799 274.209 456.4727 -0.2978852 0.2641692
Moved 136.5957 280.4614 459.1846 -0.2761757 0.2746317
Moved 136.6194 303.7493 464.9687 -0.1953148 0.2969469
Moved 136.632 313.8702 466.41 -0.160173 0.3025077
Stationary 136.6444 313.8702 466.41 -0.160173 0.3025077
Moved 136.6575 322.2714 466 -0.131002 0.3009257
Moved 136.6727 329.4605 467.2921 -0.1060399 0.3059107
Moved 136.6876 334 467 -0.09027779 0.3047838
Moved 136.7034 335.8732 467 -0.08377351 0.3047838
Moved 136.7183 338.6363 467 -0.07417962 0.3047838
Moved 136.7332 339.755 467 -0.07029504 0.3047838
Moved 136.7495 341.1972 467 -0.06528749 0.3047838
Stationary 136.7649 341.1972 467 -0.06528749 0.3047838
Moved 136.7829 342.0247 467 -0.06241418 0.3047838
Stationary 136.7948 342.0247 467 -0.06241418 0.3047838
Ended 136.8119 343 467 -0.05902775 0.3047838
Began 137.0831 206 357 -0.5347222 -0.1195989
Stationary 137.1025 206 357 -0.5347222 -0.1195989
Stationary 137.1175 206 357 -0.5347222 -0.1195989
Stationary 137.1348 206 357 -0.5347222 -0.1195989
Stationary 137.149 206 357 -0.5347222 -0.1195989
Moved 137.1647 221.1917 357 -0.4819731 -0.1195989
Moved 137.181 237.4001 368.4667 -0.4256942 -0.07536004
Moved 137.1969 252.078 373.1009 -0.3747292 -0.05748124
Moved 137.212 269.1579 378.3563 -0.3154241 -0.03720589
Moved 137.2296 281.5 381 -0.2725694 -0.02700629
Moved 137.2431 296.692 385.9076 -0.2198195 -0.008072676
Moved 137.2569 311.1186 388.8237 -0.1697271 0.003177913
Moved 137.2747 323.5519 390.8552 -0.1265558 0.01101541
Moved 137.2978 356.5 399 -0.01215279 0.04243821
Moved 137.3148 417.1282 420.5662 0.1983617 0.1256412
Moved 137.3303 456.3477 435.9391 0.3345407 0.1849501
Moved 137.3475 459.4053 438.2026 0.3451572 0.1936829
Moved 137.3652 466.8906 442.5344 0.3711478 0.2103948
Moved 137.3876 479.1809 454.1809 0.4138225 0.2553274
Stationary 137.4005 479.1809 454.1809 0.4138225 0.2553274
Moved 137.4132 485 458.5 0.4340277 0.2719905
Moved 137.4263 487.1874 462.1874 0.4416229 0.2862166
Moved 137.4433 489.0319 465.0638 0.4480276 0.2973141
Moved 137.4607 490.4543 467.9086 0.4529663 0.3082894
Moved 137.4746 490 469.8926 0.4513889 0.3159434
Moved 137.4884 490 471.3384 0.4513889 0.3215216
Moved 137.5041 490 473.7809 0.4513889 0.3309449
Moved 137.5204 480.2535 475.2183 0.417547 0.3364903
Moved 137.5341 475.625 476.275 0.4014755 0.3405671
Moved 137.5496 462.3749 477 0.3554684 0.3433641
Moved 137.5666 449.7751 477 0.3117189 0.3433641
Moved 137.581 436.828 477 0.2667639 0.3433641
Moved 137.5964 426.1393 477 0.2296504 0.3433641
Moved 137.6143 417.1902 477 0.1985772 0.3433641
Moved 137.6272 407.9798 477 0.1665966 0.3433641
Moved 137.6423 402.5771 477 0.1478372 0.3433641
Moved 137.6573 392.6844 468.3422 0.1134875 0.3099621
Moved 137.6783 385.0389 464.0233 0.08694067 0.2932998
Moved 137.6892 377.8328 459.6996 0.06191938 0.2766188
Moved 137.7039 372.5013 454.5012 0.04340708 0.2565633
Moved 137.7216 366.7662 447.4577 0.02349362 0.2293891
Moved 137.7351 361.735 430.6951 0.006024539 0.1647187
Moved 137.751 357.5059 417.5176 -0.008660181 0.1138795
Moved 137.7737 354 384.6264 -0.02083331 -0.01301553
Stationary 137.7849 354 384.6264 -0.02083331 -0.01301553
Moved 137.7973 354 373.9657 -0.02083331 -0.0541448
Moved 137.8133 358.1706 363.4252 -0.006351993 -0.09481029
Moved 137.8293 366.1933 354.7681 0.02150446 -0.1282096
Moved 137.8445 370.4272 347.6214 0.0362055 -0.1557817
Moved 137.8597 374.0827 342.9173 0.04889831 -0.1739303
Moved 137.8751 377.0734 337.8533 0.05928247 -0.1934674
Moved 137.8898 379.9225 333.6163 0.06917536 -0.2098139
Moved 137.9057 381.8155 328.369 0.07574826 -0.2300581
Moved 137.9212 382 325.3098 0.07638887 -0.2418603
Moved 137.937 383 318.8506 0.07986113 -0.26678
Moved 137.9574 384 309 0.0833334 -0.3047839
Stationary 137.9685 384 309 0.0833334 -0.3047839
Moved 137.9809 384 305.4938 0.0833334 -0.3183112
Moved 137.9971 384 302.6155 0.0833334 -0.3294153
Moved 138.0124 379.5256 299.0824 0.0677973 -0.3430463
Moved 138.0291 373.768 295.8453 0.04780561 -0.3555351
Moved 138.0438 368 294.5 0.02777785 -0.3607254
Moved 138.0592 361.2144 293.0428 0.004216582 -0.3663471
Moved 138.0743 352.5861 293 -0.02574265 -0.3665124
Moved 138.0906 347.9294 293 -0.0419119 -0.3665124
Moved 138.1062 334.1536 300.8464 -0.08974447 -0.3362409
Moved 138.1228 321.2386 308.0897 -0.134588 -0.308296
Moved 138.138 313.8497 314.2919 -0.1602442 -0.2843678
Moved 138.1619 295.2964 335.1851 -0.2246654 -0.2037611
Moved 138.1745 288.0939 345.2686 -0.2496739 -0.1648591
Stationary 138.1858 288.0939 345.2686 -0.2496739 -0.1648591
Moved 138.1972 282.9331 352.4937 -0.2675935 -0.1369842
Moved 138.2142 277.0825 360.3763 -0.287908 -0.1065731
Moved 138.2353 268.7798 375.4404 -0.3167368 -0.04845548
Stationary 138.2462 268.7798 375.4404 -0.3167368 -0.04845548
Moved 138.2598 266.9498 381.2009 -0.323091 -0.02623122
Moved 138.2757 265.5043 388.4783 -0.3281099 0.001845124
Moved 138.2903 266 391.8071 -0.3263889 0.0146877
Moved 138.3059 266 393.9952 -0.3263889 0.02312966
Moved 138.3211 266 396.876 -0.3263889 0.03424367
Ended 138.3364 266 397.5 -0.3263889 0.03665111
Began 138.5669 317 272 -0.1493055 -0.4475308
Stationary 138.5836 317 272 -0.1493055 -0.4475308
Stationary 138.5981 317 272 -0.1493055 -0.4475308
Stationary 138.6134 317 272 -0.1493055 -0.4475308
Stationary 138.6294 317 272 -0.1493055 -0.4475308
Stationary 138.6436 317 272 -0.1493055 -0.4475308
Stationary 138.6611 317 272 -0.1493055 -0.4475308
Moved 138.6761 328.8844 293.7688 -0.1080403 -0.3635463
Moved 138.6901 333.1982 302.3964 -0.09306185 -0.330261
Moved 138.7119 341.3733 317.7466 -0.06467596 -0.2710392
Moved 138.7237 348.431 328.0034 -0.04017025 -0.2314686
Moved 138.7367 354.6739 339.1435 -0.01849331 -0.1884897
Moved 138.7525 361.7891 350.2626 0.006212294 -0.1455917
Moved 138.7701 372.4613 363.2818 0.0432685 -0.09536365
Moved 138.7834 382.2756 378.4593 0.07734566 -0.03680841
Moved 138.7987 389.7622 390.1978 0.103341 0.008478929
Moved 138.8156 400.466 405.199 0.1405071 0.0663543
Moved 138.8296 408.1023 418.1841 0.1670218 0.1164508
Moved 138.8463 413.8369 429.6739 0.1869339 0.1607788
Moved 138.8603 419.6031 440.2063 0.2069554 0.2014131
Moved 138.8765 424.0533 450.4576 0.2224073 0.2409631
Moved 138.8907 427.5713 457.1425 0.2346223 0.2667535
Moved 138.9065 429.8826 461.7652 0.2426479 0.2845879
Moved 138.9236 431.3623 468.8114 0.2477857 0.3117723
Moved 138.9384 433.8016 473.4049 0.2562557 0.3294941
Moved 138.9535 435.2434 478.9735 0.2612618 0.3509779
Moved 138.9724 436 483.0641 0.2638888 0.3667594
Moved 138.9845 436 486.2646 0.2638888 0.3791073
Moved 138.9988 436 488.5715 0.2638888 0.3880074
Moved 139.0161 436 489.76 0.2638888 0.3925925
Moved 139.0299 436 491.1234 0.2638888 0.3978524
Moved 139.0452 431.4475 492 0.2480815 0.4012344
Moved 139.0615 423.9637 493.0091 0.2220963 0.4051276
Moved 139.0755 419.6567 493 0.2071412 0.4050924
Moved 139.0914 411.5262 493 0.1789105 0.4050924
Moved 139.1069 404.5134 493 0.1545604 0.4050924
Moved 139.1225 398.5 493 0.1336806 0.4050924
Moved 139.1376 389.9522 493 0.1040007 0.4050924
Moved 139.1527 382.7631 493 0.07903843 0.4050924
Moved 139.1714 375.5522 488.1731 0.05400076 0.3864701
Moved 139.1845 369.5017 484.8754 0.03299191 0.3737476
Moved 139.199 362.7383 484.4346 0.009507984 0.3720469
Moved 139.2211 350.179 481.5447 -0.03410071 0.3608977
Stationary 139.2324 350.179 481.5447 -0.03410071 0.3608977
Moved 139.2445 346.1471 481 -0.04810036 0.3587961
Moved 139.2627 338.9523 479.9905 -0.07308215 0.3549013
Moved 139.2783 331.7451 480 -0.09810731 0.3549381
Moved 139.2928 324.5122 479 -0.1232215 0.3510802
Moved 139.3107 317.3214 477.6643 -0.1481895 0.345927
Moved 139.3241 311.1093 477.2219 -0.1697593 0.34422
Moved 139.3389 306.3518 477 -0.1862784 0.3433641
Moved 139.3536 302.0715 475.7679 -0.2011406 0.3386106
Moved 139.3795 294.6267 473.8134 -0.2269907 0.33107
Moved 139.3916 291.7474 473.3737 -0.2369882 0.3293738
Stationary 139.4019 291.7474 473.3737 -0.2369882 0.3293738
Moved 139.4139 288.8605 473 -0.2470122 0.3279319
Moved 139.4293 287.5019 473 -0.2517295 0.3279319
Moved 139.4459 286.0506 472 -0.2567687 0.324074
Moved 139.4683 283.5 470.5 -0.265625 0.3182868
Stationary 139.4791 283.5 470.5 -0.265625 0.3182868
Moved 139.4908 282.0319 470.0319 -0.2707227 0.3164808
Moved 139.5064 280.5823 468.5823 -0.2757557 0.3108885
Moved 139.5224 279.1458 467.1458 -0.2807439 0.3053462
Moved 139.5373 277.7085 463.1254 -0.2857344 0.2898355
Moved 139.5522 275.268 457.0721 -0.2942082 0.2664819
Moved 139.5685 274.1178 452.4711 -0.2982021 0.2487311
Moved 139.5838 272.7147 446.8588 -0.303074 0.2270787
