just in time for the party
Basic
0.8 0.8
575.9999 518.4
Moved 205.1105 201.4645 410.4645 -0.2752353 0.04333422
Moved 205.1257 197.1686 406.1686 -0.2826934 0.03504738
Moved 205.141 194.2434 403.2433 -0.2877719 0.02940454
Moved 205.1575 190.9525 401.3016 -0.2934852 0.02565902
Moved 205.172 188.0826 399.0826 -0.2984678 0.02137837
Moved 205.1873 185.3173 396.3173 -0.3032685 0.01604418
Moved 205.2031 183.4255 395.2127 -0.306553 0.01391334
Moved 205.2187 181.7922 392.5844 -0.3093885 0.008843357
Moved 205.2345 180.3481 391.3481 -0.3118957 0.006458435
Moved 205.2501 178.9146 389.9146 -0.3143845 0.003693133
Moved 205.2692 176.7748 390 -0.3180993 0.003857965
Moved 205.2826 176.4086 388.4086 -0.3187352 0.0007881352
Moved 205.2967 174.971 388 -0.3212309 -2.943439E-08
Stationary 205.3125 174.971 388 -0.3212309 -2.943439E-08
Moved 205.3247 174.0907 387 -0.3227592 -0.001929042
Moved 205.3411 173.5 387 -0.3237847 -0.001929042
Moved 205.3587 174 387 -0.3229167 -0.001929042
Stationary 205.3716 174 387 -0.3229167 -0.001929042
Moved 205.3871 183.2905 398.9449 -0.3067873 0.02111288
Moved 205.4049 194.0434 410.7989 -0.288119 0.04397925
Moved 205.4201 207.9817 427.3781 -0.2639206 0.07596068
Moved 205.4348 221.4417 443.0763 -0.2405525 0.1062428
Moved 205.4498 234.6826 457.7509 -0.2175649 0.1345502
Moved 205.4659 247.5 472 -0.1953125 0.162037
Moved 205.481 255.2121 481.9023 -0.1819234 0.1811387
Moved 205.4965 269.2888 498.3412 -0.1574848 0.2128496
Moved 205.511 280.6857 509.6857 -0.1376984 0.2347331
Moved 205.5262 292.1377 521.1377 -0.1178166 0.2568242
Moved 205.5421 302.2904 532.6176 -0.1001903 0.278969
Moved 205.5593 310.8235 542.3528 -0.08537594 0.2977484
Moved 205.5768 318.0141 550.0142 -0.07289211 0.3125272
Moved 205.5892 323 555 -0.06423611 0.322145
Moved 205.6038 328.2119 560.212 -0.0551876 0.3321989
Moved 205.6202 332.8369 564.8369 -0.04715823 0.3411204
Moved 205.6345 337.1511 567.4341 -0.03966823 0.3461305
Moved 205.6502 340.3079 570.3079 -0.03418769 0.3516741
Moved 205.6665 343.1913 572.5956 -0.0291818 0.3560872
Moved 205.6822 346.0695 575.0695 -0.02418496 0.3608592
Stationary 205.6978 346 575 -0.02430554 0.3607252
Moved 205.7126 347.576 576.576 -0.02156939 0.3637654
Ended 205.7274 349.0133 577 -0.01907412 0.3645833
Began 206.296 506 579 0.2534722 0.3684413
Stationary 206.3163 506 579 0.2534722 0.3684413
Stationary 206.3293 506 579 0.2534722 0.3684413
Stationary 206.3453 506 579 0.2534722 0.3684413
Stationary 206.3591 506 579 0.2534722 0.3684413
Moved 206.3749 506 566.2458 0.2534722 0.3438384
Moved 206.3907 498.1215 559.3725 0.2397942 0.3305795
Moved 206.4122 496 551 0.2361111 0.3144289
Moved 206.4241 492.0816 535.6052 0.2293083 0.2847323
Moved 206.4366 488.8366 521.1831 0.2236747 0.2569118
Moved 206.4537 486 510 0.21875 0.2353395
Moved 206.4683 482.1563 493.6251 0.2120769 0.2037521
Moved 206.4833 480.616 483.312 0.2094027 0.1838579
Moved 206.4988 479.1771 473.2396 0.2069047 0.1644281
Moved 206.5155 476.4602 459.3012 0.2021879 0.1375409
Moved 206.5291 475.7187 456.8748 0.2009005 0.1328602
Moved 206.545 474.1813 447.9065 0.1982314 0.1155603
Moved 206.5614 472.7559 442.0234 0.1957567 0.1042117
Moved 206.5755 472.3129 434.8773 0.1949876 0.09042671
Moved 206.5914 470.8727 427.3636 0.1924873 0.07593278
Moved 206.6078 470 419.6124 0.1909722 0.06098055
Moved 206.6222 468.9866 407.8791 0.1892128 0.03834698
Moved 206.6381 467.926 404.7779 0.1873714 0.03236476
Moved 206.6551 468 396 0.1875 0.01543204
Moved 206.6703 467 387.2939 0.1857639 -0.001362047
Moved 206.6875 465.5941 370.1292 0.1833231 -0.03447303
Moved 206.7 464.1566 357.5665 0.1808275 -0.05870671
Moved 206.7146 464 348.2523 0.1805556 -0.07667393
Moved 206.7288 463 335.2979 0.1788194 -0.101663
Moved 206.7455 462.1145 325.0307 0.1772822 -0.1214685
Moved 206.7622 460.7126 311.1259 0.1748482 -0.1482912
Moved 206.7768 460.2616 301.5695 0.1740652 -0.1667256
Moved 206.7925 460 291.7598 0.1736111 -0.1856485
Moved 206.8083 459.3873 286.5493 0.1725475 -0.1956997
Moved 206.8229 459 280.8401 0.171875 -0.2067127
Moved 206.8379 457.5321 273.6603 0.1693265 -0.2205626
Moved 206.8544 457.3217 267.6084 0.1689613 -0.2322369
Moved 206.8691 455.9924 260.9618 0.1666534 -0.2450583
Moved 206.8849 454.5522 255.209 0.1641532 -0.2561555
Moved 206.9 453.1089 250.4357 0.1616474 -0.2653633
Moved 206.9151 453 245.9957 0.1614583 -0.273928
Moved 206.9309 451.2304 242.4608 0.1583861 -0.2807468
Moved 206.9523 449.5 234.5 0.1553819 -0.2961034
Stationary 206.9638 449.5 234.5 0.1553819 -0.2961034
Moved 206.9762 449.2787 231.8362 0.1549978 -0.301242
Moved 206.9923 447.8419 227.5255 0.1525033 -0.3095572
Moved 207.008 447 223.8025 0.1510417 -0.3167391
Moved 207.0236 445.9699 221.9698 0.1492533 -0.3202742
Moved 207.0388 445.5307 219.0615 0.1484908 -0.3258844
Moved 207.0549 444.0921 216.1842 0.1459932 -0.3314348
Moved 207.0696 442.652 210.6079 0.143493 -0.3421915
Moved 207.085 441.6559 207.9678 0.1417637 -0.3472844
Moved 207.1008 439.0992 203.1984 0.137325 -0.3564847
Moved 207.1157 439 200.3257 0.1371527 -0.362026
Moved 207.1311 437.2274 197.4548 0.1340754 -0.367564
Moved 207.1459 437 195.7906 0.1336806 -0.3707743
Moved 207.1616 435.3499 192.6998 0.1308159 -0.3767365
Moved 207.1768 435 189.788 0.1302084 -0.3823534
Moved 207.1928 433.8728 190 0.1282514 -0.3819444
Moved 207.2148 434 188.3821 0.1284722 -0.3850654
Ended 207.2263 432.9427 188 0.1266367 -0.3858025
Began 207.6672 256 549 -0.1805555 0.3105709
Stationary 207.6853 256 549 -0.1805555 0.3105709
Stationary 207.7006 256 549 -0.1805555 0.3105709
Stationary 207.7175 256 549 -0.1805555 0.3105709
Moved 207.7317 268.8066 549 -0.1583219 0.3105709
Moved 207.7484 282.0276 549 -0.1353688 0.3105709
Moved 207.7631 293.397 543.8824 -0.1156302 0.3006989
Moved 207.7793 304.4312 540.1743 -0.09647357 0.2935461
Moved 207.7939 316.8095 537.5979 -0.07498343 0.2885761
Moved 207.8099 326.5504 536.3499 -0.05807221 0.2861687
Moved 207.8247 336.6 534.9143 -0.04062492 0.2833995
Moved 207.8397 346.5 533.5 -0.02343751 0.2806712
Moved 207.8553 354.7132 531.0956 -0.009178444 0.2760331
Moved 207.8776 367.5 527 0.01302086 0.2681327
Stationary 207.8877 367.5 527 0.01302086 0.2681327
Moved 207.9008 374.6465 525.1414 0.02542794 0.2645474
Moved 207.9173 380.441 523.6398 0.03548793 0.2616507
Moved 207.9328 385.417 520.3887 0.0441268 0.2553793
Moved 207.9479 392.2101 516.2739 0.05592033 0.2474419
Moved 207.9643 397.718 512.9615 0.0654827 0.2410522
Moved 207.9793 402.3519 509.7654 0.07352761 0.2348869
Moved 207.994 406.5 507 0.0807292 0.2295524
Moved 208.0101 409.2468 505.7532 0.08549786 0.2271474
Moved 208.0259 412.1143 503.9429 0.09047627 0.2236552
Moved 208.0405 416.476 502.508 0.09804859 0.2208873
Moved 208.0577 418.8649 500.1351 0.102196 0.2163099
Moved 208.0716 423.1363 498.6212 0.1096116 0.2133896
Moved 208.088 428.2664 496.3668 0.118518 0.2090408
Moved 208.1084 438.1088 492.4456 0.1356055 0.2014768
Stationary 208.1206 438.1088 492.4456 0.1356055 0.2014768
Moved 208.1331 443.2133 491.1967 0.1444676 0.1990676
Moved 208.1486 446.4783 489.7609 0.1501359 0.1962979
Moved 208.1684 449.3571 489 0.1551339 0.1948302
Moved 208.1803 451.111 487.889 0.1581787 0.1926871
Moved 208.1954 454 488 0.1631944 0.1929012
Moved 208.2107 455.9783 487 0.1666289 0.1909722
Moved 208.2256 458.1058 484.8942 0.1703226 0.18691
Moved 208.2414 462.4803 480.5197 0.1779172 0.1784715
Moved 208.2571 467.789 474.2813 0.1871337 0.1664376
Moved 208.2732 474.8791 464.3693 0.1994428 0.1473173
Moved 208.2877 480.211 444.9587 0.2086996 0.109874
Moved 208.3035 484.7406 423.2968 0.2165636 0.06808793
Moved 208.3214 485.6814 398.0527 0.218197 0.0193917
Moved 208.3374 486 378.5449 0.21875 -0.01823914
Moved 208.3481 488.6042 350.9583 0.2232712 -0.07145404
Moved 208.364 488 326.8107 0.2222222 -0.118035
Moved 208.3792 489.1761 314.7674 0.224264 -0.1412666
Moved 208.3946 491.6235 293.518 0.228513 -0.182257
Moved 208.4116 493.0607 281.5754 0.2310081 -0.2052944
Moved 208.4255 495.5067 270.4667 0.2352546 -0.2267232
Moved 208.4406 497.4142 261.6362 0.2385663 -0.2437574
Moved 208.4561 499.045 251.6849 0.2413976 -0.2629534
Moved 208.4716 500.4853 246.059 0.243898 -0.273806
Moved 208.4869 500.9224 239.3882 0.2446569 -0.286674
Moved 208.5021 502.3589 233.5643 0.2471509 -0.2979083
Moved 208.5179 502.8001 230.5996 0.2479169 -0.3036273
Moved 208.5338 503 227.5264 0.2482639 -0.3095556
Moved 208.5536 504.5 223.5 0.2508681 -0.3173226
Moved 208.5645 504 219.5094 0.25 -0.3250205
Moved 208.5798 504 215.4049 0.25 -0.3329381
Moved 208.595 505 212.7523 0.2517361 -0.338055
Moved 208.6114 505 207.7517 0.2517361 -0.3477012
Moved 208.6265 505 205.0037 0.2517361 -0.3530022
Stationary 208.6425 505 205 0.2517361 -0.3530092
Moved 208.6574 505 203.6211 0.2517361 -0.3556691
Moved 208.6719 505 203 0.2517361 -0.3568673
Stationary 208.6877 505 203 0.2517361 -0.3568673
Stationary 208.7042 505 203 0.2517361 -0.3568673
Moved 208.7192 484.2728 211.106 0.2157513 -0.3412308
