come and see our new car
Basic
0.6 0.6
432 388.8
Moved 256.6361 381.5 283 0.04976849 -0.2700618
Moved 256.6508 386.8521 279.111 0.06215761 -0.2800645
Moved 256.6664 392.6091 274.7932 0.07548402 -0.2911699
Moved 256.6831 395.1333 271.8666 0.08132716 -0.298697
Moved 256.6971 398.8871 268.1129 0.09001642 -0.3083517
Moved 256.713 400.3823 265.2355 0.09347746 -0.3157524
Moved 256.7289 402.8117 262.3765 0.09910127 -0.3231057
Moved 256.7439 405.4687 260.7656 0.1052516 -0.3272491
Moved 256.7599 406.6805 258.3195 0.1080567 -0.3335404
Moved 256.7733 408.1298 255.7404 0.1114115 -0.340174
Moved 256.79 409.1391 254.861 0.1137478 -0.3424358
Moved 256.8066 410.5 253.5 0.1168981 -0.3459363
Moved 256.8208 411.0402 252.9597 0.1181486 -0.3473259
Moved 256.8353 412.5 251.5 0.1215278 -0.3510802
Stationary 256.8502 412.5 251.5 0.1215278 -0.3510802
Moved 256.8661 413.3729 250.6271 0.1235484 -0.3533255
Moved 256.8806 413.8367 250 0.1246221 -0.3549383
Moved 256.8976 414.5 250 0.1261574 -0.3549383
Moved 256.9207 414 248.829 0.125 -0.3579502
Stationary 256.9335 414 248.829 0.125 -0.3579502
Stationary 256.9447 414 248.829 0.125 -0.3579502
Stationary 256.9585 414 248.829 0.125 -0.3579502
Stationary 256.9738 414 248.829 0.125 -0.3579502
Stationary 256.9884 414 249 0.125 -0.3575103
Stationary 257.0043 414 249 0.125 -0.3575103
Stationary 257.0194 414 249 0.125 -0.3575103
Stationary 257.0348 414 249 0.125 -0.3575103
Moved 257.0512 403.2128 262.9033 0.1000296 -0.3217509
Moved 257.0682 394.5567 274.2578 0.07999241 -0.292547
Moved 257.0822 384.7853 287.0837 0.05737345 -0.2595583
Moved 257.0979 374.8427 299.7737 0.03435811 -0.2269196
Moved 257.1132 366.5 312 0.0150463 -0.1954732
Moved 257.1298 357.7662 323.8507 -0.005170802 -0.164993
Moved 257.1466 346.4815 338.1481 -0.03129274 -0.1282201
Moved 257.16 339.6765 348.0839 -0.04704505 -0.1026649
Moved 257.1762 333.2004 357.1993 -0.06203602 -0.07921988
Moved 257.1919 326.8492 364.1508 -0.07673795 -0.06134072
Moved 257.2071 320.7244 373.4822 -0.09091566 -0.03733992
Moved 257.2213 313.5 383.5 -0.1076389 -0.01157415
Moved 257.2374 309.2987 390.0519 -0.1173641 0.005277625
Moved 257.2534 304.6801 396.4266 -0.1280554 0.02167325
Moved 257.2695 300.8813 402.6781 -0.1368489 0.03775227
Moved 257.2838 298.0008 406.9988 -0.1435166 0.04886509
Moved 257.2983 295.1451 409.8549 -0.1501271 0.05621117
Moved 257.3159 292.2573 414.614 -0.1568118 0.06845164
Moved 257.3297 289.3771 417.6229 -0.163479 0.07619057
Moved 257.3513 285.3581 424.4629 -0.1727822 0.09378307
Stationary 257.3619 285.3581 424.4629 -0.1727822 0.09378307
Moved 257.3756 283.731 427.5379 -0.1765485 0.1016921
Moved 257.3906 282.299 429.4019 -0.1798633 0.1064864
Moved 257.4075 280.8515 431.1485 -0.1832141 0.1109786
Moved 257.4238 280.4235 433.5765 -0.1842048 0.1172234
Moved 257.4374 278.9834 435.0166 -0.1875384 0.1209274
Moved 257.4541 279 436.0997 -0.1875 0.1237131
Moved 257.4688 277.5 437.5 -0.1909722 0.1273147
Moved 257.4832 278 438.0062 -0.1898148 0.1286166
Moved 257.4995 278 439.4485 -0.1898148 0.1323262
Moved 257.5154 276.5 439 -0.193287 0.1311728
Moved 257.5294 277 440.1633 -0.1921296 0.1341649
Ended 257.5445 277 440.1633 -0.1921296 0.1341649
Began 257.8971 194 363 -0.3842593 -0.06430049
Stationary 257.9167 194 363 -0.3842593 -0.06430049
Stationary 257.9316 194 363 -0.3842593 -0.06430049
Stationary 257.9444 194 363 -0.3842593 -0.06430049
Stationary 257.9615 194 363 -0.3842593 -0.06430049
