my bare face in the wind
Basic
0.4 0.4
288 86.39999
Moved 618.0185 325.7951 422.6325 -0.1187669 0.4008394
Moved 618.0322 331.2088 423 -0.09996957 0.4050926
Moved 618.0491 336.9239 423 -0.08012548 0.4050926
Moved 618.064 339.1306 424 -0.07246338 0.4166668
Moved 618.0792 342.0077 424 -0.06247319 0.4166668
Moved 618.0942 343.4317 424 -0.05752883 0.4166668
Moved 618.1094 344.5 424 -0.05381941 0.4166668
Moved 618.1261 345.1563 424 -0.0515408 0.4166668
Stationary 618.1436 345.1563 424 -0.0515408 0.4166668
Stationary 618.158 345.1563 424 -0.0515408 0.4166668
Stationary 618.1713 345.1563 424 -0.0515408 0.4166668
Stationary 618.1857 345 424 -0.05208335 0.4166668
Stationary 618.2014 345 424 -0.05208335 0.4166668
Stationary 618.2179 345 424 -0.05208335 0.4166668
Moved 618.2326 335.5975 424 -0.08473098 0.4166668
Moved 618.2492 331.4117 424 -0.09926512 0.4166668
Moved 618.264 327.091 424 -0.1142673 0.4166668
Moved 618.2798 322.7796 424 -0.1292376 0.4166668
Moved 618.295 317 413.5 -0.1493055 0.2951389
Moved 618.3107 311.2446 417 -0.1692895 0.3356481
Moved 618.3253 304.0433 417 -0.1942941 0.3356481
Moved 618.3414 299.6855 417 -0.2094254 0.3356481
Moved 618.3562 295.1938 417 -0.2250217 0.3356481
Moved 618.3717 291.5862 417 -0.237548 0.3356481
Moved 618.3875 288.4854 417 -0.2483147 0.3356481
Moved 618.4026 285.5622 417 -0.2584645 0.3356481
Moved 618.418 284.3409 417 -0.2627052 0.3356481
Moved 618.4327 282.9008 417 -0.2677057 0.3356481
Stationary 618.4481 282.9008 417 -0.2677057 0.3356481
Stationary 618.4647 283 417 -0.2673611 0.3356481
Stationary 618.4799 283 417 -0.2673611 0.3356481
Ended 618.4995 283 417 -0.2673611 0.3356481
Began 618.8007 358 371 -0.006944462 -0.1967593
Stationary 618.8207 358 371 -0.006944462 -0.1967593
Stationary 618.8339 358 371 -0.006944462 -0.1967593
Stationary 618.851 358 371 -0.006944462 -0.1967593
Stationary 618.8648 358 371 -0.006944462 -0.1967593
Stationary 618.8804 358 371 -0.006944462 -0.1967593
Moved 618.8958 347.8736 371 -0.04210546 -0.1967593
Moved 618.9116 344.5 371 -0.05381941 -0.1967593
Moved 618.9265 340.8908 371 -0.06635136 -0.1967593
Moved 618.9419 334.0833 371 -0.08998863 -0.1967593
Moved 618.958 326.8398 371 -0.1151396 -0.1967593
Moved 618.9735 319.6995 371 -0.1399322 -0.1967593
Moved 618.9879 312.5164 371 -0.1648735 -0.1967593
Moved 619.0042 307.3084 371 -0.1829569 -0.1967593
Moved 619.021 302.8647 371 -0.1983866 -0.1967593
Moved 619.0349 296.942 374.5677 -0.2189515 -0.1554666
Moved 619.0497 289.2293 378 -0.2457315 -0.1157407
Moved 619.0663 282.0091 379.3982 -0.2708016 -0.09955794
Moved 619.0828 275.6608 380.8348 -0.2928445 -0.08292975
Moved 619.0963 268.6276 381 -0.3172652 -0.08101851
Moved 619.1128 264.8646 382 -0.3303312 -0.06944445
Moved 619.1271 261.7155 383.1422 -0.3412655 -0.0562244
Moved 619.1424 258.4215 384.1928 -0.3527029 -0.0440647
Moved 619.1586 256.6117 384.6942 -0.3589873 -0.0382623
Moved 619.174 253.7331 385 -0.3689822 -0.03472222
Moved 619.1887 251.8552 386 -0.3755029 -0.02314815
Moved 619.2051 249.989 387.0109 -0.3819825 -0.0114478
Moved 619.2216 248.5489 387 -0.386983 -0.0115739
Moved 619.2352 248.1068 388 -0.388518 1.766063E-07
Moved 619.2504 247.5 388 -0.390625 1.766063E-07
Moved 619.2672 248 389.1691 -0.3888888 0.01353105
Stationary 619.2824 248 389.1691 -0.3888888 0.01353105
Stationary 619.2969 248 389 -0.3888888 0.01157443
Stationary 619.3124 248 389 -0.3888888 0.01157443
Moved 619.3271 265.3943 380.9155 -0.3284918 -0.08199586
Moved 619.3502 287.8076 365.7539 -0.2506681 -0.2574779
Moved 619.3696 298.0209 357.125 -0.2152053 -0.3573492
Moved 619.3831 305.9748 351.6202 -0.1875874 -0.4210624
Stationary 619.3939 305.9748 351.6202 -0.1875874 -0.4210624
Moved 619.4061 312.1407 346.8945 -0.166178 -0.4757584
Moved 619.4208 316.4259 343.0494 -0.1512989 -0.5202618
Moved 619.4363 319.8257 341.0871 -0.1394939 -0.5429734
Moved 619.4512 321.3376 338.3247 -0.1342443 -0.5749455
Moved 619.4681 322.5 337.5 -0.1302084 -0.5844907
Moved 619.4817 323.8774 337.1226 -0.1254257 -0.5888585
Moved 619.4976 325.3023 335.6976 -0.120478 -0.6053512
Stationary 619.5128 325.3023 335.6976 -0.120478 -0.6053512
Stationary 619.5289 325 336 -0.1215278 -0.6018519
Stationary 619.5437 325 336 -0.1215278 -0.6018519
Stationary 619.5597 325 336 -0.1215278 -0.6018519
Moved 619.5739 325 349.5 -0.1215278 -0.4456015
Moved 619.5898 325 351.2109 -0.1215278 -0.4257993
Moved 619.6061 325 357.293 -0.1215278 -0.3554047
Moved 619.6229 315.9723 365.0833 -0.1528741 -0.2652401
Moved 619.6357 314.0404 372.798 -0.1595819 -0.1759494
Moved 619.6509 311.2084 381.3748 -0.1694152 -0.07668107
