coming up with killer sound bites
Basic
0.6 0.6
432 388.8
Moved 481.1982 384.6955 528 0.05716552 0.3600822
Moved 481.2139 377.1784 528 0.03976494 0.3600822
Moved 481.2313 370.0711 528 0.02331267 0.3600822
Moved 481.2447 362.9111 520.3822 0.006738702 0.3404891
Moved 481.2602 356.7851 518.9463 -0.007441988 0.336796
Moved 481.2755 351.5227 517.5076 -0.01962339 0.3330955
Moved 481.2912 346.2867 516.0717 -0.03174379 0.3294024
Moved 481.3065 341.8956 514.6318 -0.04190842 0.3256991
Moved 481.3215 340 512 -0.04629632 0.31893
Moved 481.3373 336.189 508.2834 -0.05511815 0.309371
Moved 481.3531 333.3248 506.6624 -0.06174823 0.3052015
Moved 481.3677 333 504.2198 -0.06249999 0.2989191
Moved 481.384 331.7734 501.5468 -0.06533936 0.2920442
Moved 481.3987 332 498.0302 -0.06481484 0.2829994
Moved 481.4141 332 492.6516 -0.06481484 0.2691654
Moved 481.4314 332 487 -0.06481484 0.2546296
Moved 481.4463 343.3754 479.437 -0.03848295 0.2351772
Moved 481.4662 357.39 459.654 -0.006041626 0.1842952
Stationary 481.4777 357.39 459.654 -0.006041626 0.1842952
Moved 481.4914 361.9831 453.0211 0.004590551 0.1672353
Moved 481.5078 368.7601 446.7999 0.020278 0.1512341
Moved 481.5228 375.3488 439.6512 0.03552963 0.1328476
Moved 481.5379 381.2875 433.7125 0.04927655 0.1175734
Moved 481.5533 386.6505 429.6796 0.0616909 0.1072007
Moved 481.5689 392.533 425.3502 0.07530788 0.09606533
Moved 481.5842 398.305 419.695 0.08866886 0.08152004
Moved 481.5992 405.8498 414.9202 0.1061337 0.06923903
Moved 481.6145 411.8351 411.5824 0.1199887 0.06065427
Moved 481.6299 416.9631 408.6913 0.131859 0.05321832
Moved 481.6465 421.3042 406.8986 0.1419079 0.04860741
Moved 481.6691 427.7232 403.8512 0.1567666 0.04076954
Stationary 481.6796 427.7232 403.8512 0.1567666 0.04076954
Moved 481.6924 432.0442 401.9852 0.166769 0.03597024
Moved 481.708 434.9201 401 0.1734263 0.03343609
Moved 481.7222 437.7925 400.1037 0.1800754 0.03113083
Moved 481.7389 442.0475 400 0.1899247 0.03086416
Ended 481.7533 444 399 0.1944444 0.02829214
Began 483.0297 521 376 0.3726852 -0.03086435
Stationary 483.0547 521 376 0.3726852 -0.03086435
Stationary 483.0649 521 376 0.3726852 -0.03086435
Stationary 483.0775 521 376 0.3726852 -0.03086435
Stationary 483.0954 521 376 0.3726852 -0.03086435
Stationary 483.1086 521 376 0.3726852 -0.03086435
Moved 483.1248 511.7762 393.7834 0.3513337 0.01487512
Moved 483.1432 509 402 0.3449074 0.03600815
Moved 483.1561 505.3998 413.4505 0.3365737 0.06545907
Moved 483.1725 500.7243 427.8271 0.3257507 0.1024358
Moved 483.1882 496.9331 439.2677 0.3169747 0.1318613
Moved 483.2026 494.0558 450.7768 0.3103143 0.1614629
Moved 483.2181 489.7918 459.4164 0.300444 0.1836841
Moved 483.2336 486.3018 469.0945 0.2923653 0.2085762
Moved 483.2497 482.1353 482.8823 0.2827206 0.2440387
Moved 483.2645 480.4742 488.8402 0.2788755 0.2593626
Moved 483.2801 476.4036 497.7891 0.2694528 0.2823793
Moved 483.2951 474.7559 503.9764 0.2656387 0.298293
Moved 483.3095 471.6429 509.7143 0.2584325 0.3130511
Moved 483.3257 469.8795 513.241 0.2543507 0.3221219
Moved 483.3415 467.8822 517.6766 0.2497274 0.3335303
Moved 483.3611 466.0023 520.9954 0.2453757 0.3420662
Moved 483.373 464.9158 524.2527 0.2428606 0.3504442
Moved 483.3878 462.4496 528.1007 0.237152 0.3603413
Moved 483.4029 459.0241 531.9759 0.2292225 0.3703083
Moved 483.4182 457.5653 534.8694 0.2258456 0.3777506
Moved 483.4333 455.2603 536.7397 0.2205099 0.3825608
Moved 483.4504 453.6881 538.3119 0.2168707 0.3866045
Moved 483.4646 451.248 540.752 0.2112224 0.3928804
Moved 483.4803 450.1196 541.8804 0.2086102 0.3957828
Moved 483.4979 448.7232 543.2769 0.2053777 0.3993745
Moved 483.5102 447.2836 544.7164 0.2020453 0.4030771
Stationary 483.5268 447 545 0.2013889 0.4038065
Moved 483.5432 446 545.5977 0.199074 0.4053437
Stationary 483.5582 446 546 0.199074 0.4063785
Moved 483.5728 445 546.4791 0.1967593 0.4076108
Moved 483.5876 445 547.5 0.1967593 0.4102365
Stationary 483.6067 445 547.5 0.1967593 0.4102365
Stationary 483.6199 445 547.5 0.1967593 0.4102365
Moved 483.633 445 534.7775 0.1967593 0.377514
Moved 483.6498 460.2604 520.1269 0.2320843 0.3398324
Moved 483.6714 474.8997 480.3864 0.2659715 0.2376193
Stationary 483.6828 474.8997 480.3864 0.2659715 0.2376193
Moved 483.6958 479 471.5 0.275463 0.2147633
Moved 483.7108 485.2157 457.9609 0.2898511 0.1799405
Moved 483.7266 490.9706 443.5737 0.3031726 0.1429363
Moved 483.7434 497.071 430.858 0.3172939 0.1102315
Moved 483.7571 502.5377 418.7902 0.3299485 0.07919276
Moved 483.7724 507.7194 408.415 0.341943 0.05250774
Moved 483.7884 513.0359 396.928 0.3542499 0.02296298
Moved 483.8045 515.8957 389.7607 0.3608696 0.004528579
Moved 483.8199 519.5394 382.8949 0.3693042 -0.01313049
Moved 483.8336 523.8554 375.1927 0.3792949 -0.03294046
Moved 483.851 526.8057 367.9858 0.3861243 -0.05147683
Moved 483.8659 529.6534 364.52 0.3927161 -0.06039105
Moved 483.881 532.531 360.2035 0.3993773 -0.07149316
Moved 483.8966 533.7144 357.2856 0.4021167 -0.07899806
Moved 483.9121 534 354.6857 0.4027778 -0.08568501
Moved 483.9267 535.1919 353.8081 0.4055368 -0.08794219
Moved 483.9444 535 352.2872 0.4050927 -0.0918539
Stationary 483.9617 535 352 0.4050927 -0.09259266
Stationary 483.9745 535 352 0.4050927 -0.09259266
Moved 483.988 524.9124 352 0.3817417 -0.09259266
Moved 484.0048 514.7176 363.7513 0.3581426 -0.06236802
Moved 484.0183 501.1725 371.2539 0.3267881 -0.0430713
Moved 484.0352 490.1651 379.8679 0.3013082 -0.02091584
Moved 484.0514 464.5032 398.4144 0.2419057 0.02678588
Moved 484.0664 448.809 409.7476 0.2055764 0.0559352
Moved 484.0818 431.449 422.6633 0.1653912 0.08915445
Moved 484.097 413.1555 435.6334 0.1230451 0.1225137
Moved 484.1129 396.9714 446.2909 0.08558194 0.1499251
Moved 484.1273 383.723 456.3939 0.05491436 0.1759102
Moved 484.1436 370.1871 464.7242 0.02358129 0.1973358
Moved 484.1587 354.8387 474.3754 -0.0119475 0.2221588
Moved 484.1729 341.5847 483.4907 -0.0426279 0.2456035
Moved 484.1892 328.2498 492.5002 -0.07349595 0.2687761
Moved 484.2061 317.3469 500.6094 -0.09873405 0.2896331
Moved 484.2199 305.3544 507.8031 -0.1264944 0.3081355
Moved 484.2411 296.6041 513.5973 -0.1467498 0.3230382
Moved 484.2525 288.2257 518.8871 -0.1661443 0.3366438
Moved 484.2666 280.3571 523.7619 -0.1843585 0.3491817
