parking lot is full of trucks
Basic
0.4 0.4
288 86.39999
Stationary 1094.724 228 383 -0.4583333 -0.05787037
Stationary 1094.737 228 383 -0.4583333 -0.05787037
Stationary 1094.753 228 383 -0.4583333 -0.05787037
Stationary 1094.769 228 383 -0.4583333 -0.05787037
Moved 1094.784 236.0393 383 -0.4304191 -0.05787037
Stationary 1094.799 236.0393 383 -0.4304191 -0.05787037
Stationary 1094.816 236.0393 383 -0.4304191 -0.05787037
Stationary 1094.83 236.1474 383 -0.4300438 -0.05787037
Stationary 1094.845 236.1474 383 -0.4300438 -0.05787037
Moved 1094.862 237.8925 383 -0.4239844 -0.05787037
Moved 1094.877 239.0987 383 -0.4197963 -0.05787037
Moved 1094.897 240.302 383 -0.4156179 -0.05787037
Moved 1094.909 243 393.5 -0.40625 0.06365723
Moved 1094.923 245.4278 391.7139 -0.3978202 0.04298458
Moved 1094.939 248.1056 392.7019 -0.3885221 0.05442037
Moved 1094.954 251.4534 393.8178 -0.3768979 0.06733612
Moved 1094.97 255.0668 396.0446 -0.3643512 0.09310828
Moved 1094.985 257.4516 397.2258 -0.3560709 0.1067797
Moved 1095 261.2882 398.4294 -0.3427492 0.1207111
Moved 1095.016 264.2737 399.6368 -0.3323829 0.1346858
Moved 1095.031 267.5179 400.8393 -0.3211185 0.1486033
Moved 1095.046 271.1348 401 -0.3085596 0.1504628
Moved 1095.063 274.7453 402.2485 -0.2960232 0.1649129
Moved 1095.078 275.1442 403.1442 -0.2946383 0.1752797
Moved 1095.094 277.7796 403 -0.2854874 0.1736111
Moved 1095.109 280 404.5 -0.2777778 0.1909724
Moved 1095.123 281.798 404 -0.2715348 0.1851855
Moved 1095.139 284.0089 405.0044 -0.2638581 0.1968103
Moved 1095.155 285.2079 405 -0.2596947 0.1967594
Moved 1095.171 286.4149 405 -0.255504 0.1967594
Moved 1095.187 287.6199 405.6199 -0.2513199 0.2039341
Moved 1095.202 288.6369 406 -0.2477885 0.2083331
Moved 1095.216 289.7342 406 -0.2439785 0.2083331
Moved 1095.233 290.9377 406.9377 -0.2397997 0.2191863
Moved 1095.248 292.1413 407 -0.2356205 0.2199076
Moved 1095.263 293.3481 407 -0.2314304 0.2199076
Moved 1095.278 294.5522 407 -0.2272495 0.2199076
Moved 1095.294 295.7568 407.7568 -0.2230666 0.2286662
Moved 1095.316 299.1667 408 -0.2112269 0.2314815
Stationary 1095.327 299.1667 408 -0.2112269 0.2314815
Moved 1095.34 300.0959 409.0959 -0.2080003 0.2441662
Moved 1095.356 301.3234 409 -0.2037382 0.2430559
Moved 1095.372 302.5 409 -0.1996528 0.2430559
Moved 1095.387 303.7347 409 -0.1953656 0.2430559
Moved 1095.402 304.5 409 -0.1927083 0.2430559
Moved 1095.418 305.0725 410.0725 -0.1907203 0.2554691
Moved 1095.433 306.3484 410 -0.1862903 0.2546296
Moved 1095.449 307.5 410 -0.1822916 0.2546296
Moved 1095.463 308.5 410 -0.1788194 0.2546296
Moved 1095.479 309.4873 411.4872 -0.1753914 0.2718431
Stationary 1095.495 309.4873 411.4872 -0.1753914 0.2718431
Moved 1095.511 311.0927 411 -0.1698168 0.2662037
Stationary 1095.527 311.0927 411 -0.1698168 0.2662037
Moved 1095.54 312.502 411 -0.1649234 0.2662037
Moved 1095.558 313.5 411 -0.1614583 0.2662037
Stationary 1095.572 313.5 411 -0.1614583 0.2662037
Moved 1095.588 314.1178 412 -0.1593133 0.2777779
Stationary 1095.603 314.1178 412 -0.1593133 0.2777779
Moved 1095.618 315.0954 412 -0.1559187 0.2777779
Stationary 1095.634 315.0954 412 -0.1559187 0.2777779
Stationary 1095.648 315.0954 412 -0.1559187 0.2777779
Moved 1095.663 316.208 413.2081 -0.1520554 0.2917602
Moved 1095.684 317.0183 413 -0.149242 0.2893519
Stationary 1095.696 317.0183 413 -0.149242 0.2893519
Moved 1095.711 317 414.2219 -0.1493055 0.3034939
Moved 1095.725 318.5 414 -0.1440972 0.3009261
Stationary 1095.741 318.5 414 -0.1440972 0.3009261
Moved 1095.758 319 414.7853 -0.1423611 0.3100157
Moved 1095.774 319 415.5 -0.1423611 0.318287
Moved 1095.788 320.0963 415 -0.1385546 0.3125
Stationary 1095.803 320.0963 415 -0.1385546 0.3125
