the dow jones index has risen
Basic
0.8 0.8
575.9999 172.8
Moved 520.843 207.6266 451 -0.2645372 0.3645833
Moved 520.8588 206.8136 451 -0.2659485 0.3645833
Ended 520.8724 207 451 -0.265625 0.3645833
Began 521.0542 275 341 -0.1475694 -0.2719907
Stationary 521.0739 275 341 -0.1475694 -0.2719907
Stationary 521.0892 275 341 -0.1475694 -0.2719907
Stationary 521.1108 275 341 -0.1475694 -0.2719907
Stationary 521.1273 275 341 -0.1475694 -0.2719907
Stationary 521.1391 275 341 -0.1475694 -0.2719907
Stationary 521.1517 275 341 -0.1475694 -0.2719907
Stationary 521.1651 275 341 -0.1475694 -0.2719907
Stationary 521.1816 275 341 -0.1475694 -0.2719907
Stationary 521.1981 275 341 -0.1475694 -0.2719907
Stationary 521.2136 275 341 -0.1475694 -0.2719907
Stationary 521.229 275 341 -0.1475694 -0.2719907
Stationary 521.2428 275 341 -0.1475694 -0.2719907
Stationary 521.2581 275 341 -0.1475694 -0.2719907
Moved 521.2745 283 332 -0.1336806 -0.3240741
Stationary 521.2904 283 332 -0.1336806 -0.3240741
Moved 521.3066 283 330.5 -0.1336806 -0.3327546
Moved 521.3215 283.9417 331 -0.1320457 -0.3298611
Stationary 521.3365 284 331 -0.1319444 -0.3298611
Moved 521.3529 284 330 -0.1319444 -0.335648
Stationary 521.3663 284 330 -0.1319444 -0.335648
Stationary 521.3813 284 330 -0.1319444 -0.335648
Moved 521.3981 285 329.2108 -0.1302083 -0.3402155
Moved 521.4148 285 328.5 -0.1302083 -0.3443287
Stationary 521.4275 285 328.5 -0.1302083 -0.3443287
Stationary 521.444 285 328.5 -0.1302083 -0.3443287
Moved 521.4597 285 329 -0.1302083 -0.341435
Stationary 521.4747 285 329 -0.1302083 -0.341435
Stationary 521.4894 285 329 -0.1302083 -0.341435
Stationary 521.5051 285 329 -0.1302083 -0.341435
Stationary 521.5207 285 329 -0.1302083 -0.341435
Stationary 521.5406 285 329 -0.1302083 -0.341435
Stationary 521.5519 285 329 -0.1302083 -0.341435
Stationary 521.5663 285 329 -0.1302083 -0.341435
Stationary 521.5817 285 329 -0.1302083 -0.341435
Moved 521.5989 278 329 -0.1423611 -0.341435
