parking lot is full of trucks
Basic
0.4 0.4
288 259.2
Moved 154.7323 429.3011 385 0.2406289 -0.01157419
Moved 154.7474 430.6831 384 0.2454275 -0.0154321
Moved 154.7626 433.1289 384 0.2539196 -0.0154321
Moved 154.7851 438.6467 384 0.2730787 -0.0154321
Stationary 154.7955 438.6467 384 0.2730787 -0.0154321
Moved 154.8091 439.9035 384 0.2774428 -0.0154321
Moved 154.8257 442.5207 384 0.2865302 -0.0154321
Moved 154.8401 445.2932 389.1727 0.2961568 0.004524419
Moved 154.8567 448.052 396.1041 0.3057362 0.03126556
Moved 154.8711 449.4044 403.0218 0.3104318 0.05795425
Moved 154.8872 450.7767 409.1068 0.3151968 0.08143059
Moved 154.9018 451 418.1798 0.3159722 0.1164344
Moved 154.9176 452.5 424.5 0.3211805 0.1408178
Moved 154.9327 452 431.5386 0.3194444 0.1679728
Moved 154.9489 452 439.1721 0.3194444 0.1974229
Moved 154.9645 452 446.1408 0.3194444 0.2243087
Moved 154.9787 452 452.0096 0.3194444 0.2469504
Moved 154.9938 442.557 456.5411 0.2866563 0.2644333
Moved 155.01 442.5 462 0.2864583 0.2854938
Moved 155.0253 440.0606 464.8788 0.2779882 0.2966003
Moved 155.0399 437.9895 467.0105 0.2707969 0.3048243
Moved 155.0567 435.2143 469.7857 0.2611609 0.315531
Moved 155.0716 434.2248 471.7752 0.2577249 0.3232068
Moved 155.0871 432.8406 474.3187 0.2529189 0.3330197
Moved 155.1011 431.5 475.5 0.2482639 0.337577
Moved 155.1186 429.163 475.9185 0.2401493 0.3391915
Moved 155.1331 427.6964 477.3036 0.2350569 0.3445356
Moved 155.1484 428 478.5 0.2361111 0.349151
Moved 155.1638 426.2741 478 0.2301183 0.3472221
Moved 155.1788 424.8904 478 0.2253137 0.3472221
Moved 155.1944 423.5 479.5 0.2204861 0.3530091
Stationary 155.2102 423.5 479.5 0.2204861 0.3530091
Moved 155.2251 421.7329 479 0.2143502 0.3510802
Moved 155.2463 418.9475 479 0.2046789 0.3510802
Stationary 155.2584 418.9475 479 0.2046789 0.3510802
Moved 155.2716 417.9336 470.4688 0.2011584 0.3181666
Moved 155.2879 415.0193 460.5677 0.1910393 0.2799678
Moved 155.3037 415 454.6473 0.1909722 0.2571268
Moved 155.3175 413.7567 446.5403 0.1866552 0.2258498
Moved 155.3334 414 439.8179 0.1875 0.1999147
Moved 155.3485 414 432.8833 0.1875 0.1731607
Moved 155.3647 414 425.9142 0.1875 0.1462737
Moved 155.3805 414 419 0.1875 0.1195988
Moved 155.395 414 411.9141 0.1875 0.09226092
Moved 155.412 414 404.8425 0.1875 0.06497853
Moved 155.4257 414 400.5341 0.1875 0.04835694
Moved 155.4402 414 394.9943 0.1875 0.02698404
Moved 155.4566 414 389.4957 0.1875 0.0057702
Moved 155.4712 414 384.771 0.1875 -0.01245763
Moved 155.4864 414 379.2006 0.1875 -0.03394857
