travel at the speed of light
travel at the speed of light
FixStart
0.6 0.6
432 388.8
Moved 338.9209 360.1454 443.0485 0.0003366669 0.1415855
Stationary 338.9321 360.1454 443.0485 0.0003366669 0.1415855
Moved 338.9445 351.4425 441.0885 -0.01980896 0.1365444
Moved 338.9604 345.8194 439.9639 -0.03282547 0.1336519
Moved 338.9755 338.5785 438.5157 -0.04958689 0.1299271
Moved 338.991 330.4998 438.0833 -0.0682874 0.128815
Moved 339.0066 323.1557 438 -0.08528765 0.1286007
Moved 339.0217 316.416 437.2832 -0.1008889 0.1267572
Moved 339.0371 310.4121 437 -0.1147867 0.1260288
Moved 339.0522 305.6693 437 -0.1257654 0.1260288
Moved 339.0678 301.71 436.2367 -0.1349306 0.1240655
Moved 339.0833 296.5154 436 -0.1469552 0.1234567
Moved 339.0984 292.3162 436 -0.1566755 0.1234567
Moved 339.1149 289.0141 436 -0.1643192 0.1234567
Moved 339.1299 286.1067 436 -0.1710493 0.1234567
Moved 339.1447 284.1271 436 -0.1756316 0.1234567
Moved 339.1606 282.6426 436 -0.179068 0.1234567
Moved 339.1821 281.5 436 -0.181713 0.1234567
Stationary 339.1928 281.5 436 -0.181713 0.1234567
Moved 339.2075 281 436 -0.1828704 0.1234567
Moved 339.2235 279.5 436 -0.1863426 0.1234567
Moved 339.238 280 444.7371 -0.1851852 0.1459288
Moved 339.2524 280 448.8882 -0.1851852 0.1566055
Moved 339.2691 280 452.1292 -0.1851852 0.1649413
Moved 339.2838 280 456.5 -0.1851852 0.1761831
Moved 339.2985 280 459.8616 -0.1851852 0.1848293
Moved 339.3141 288.461 465.2305 -0.1655996 0.198638
Moved 339.3298 292.493 471.4883 -0.1562662 0.2147331
Moved 339.3452 297.7512 478.689 -0.1440945 0.2332535
Moved 339.3611 304.8562 487.2274 -0.1276478 0.2552145
Moved 339.3756 313.0595 496.8714 -0.1086585 0.280019
Moved 339.3918 320.285 503.028 -0.09193286 0.2958539
Moved 339.4081 324.0036 507.0037 -0.0833249 0.3060793
Moved 339.4254 331.9495 513.1596 -0.06493166 0.3219125
Moved 339.4375 339.1597 517.6959 -0.04824137 0.3335797
Moved 339.4533 349.0061 523.0031 -0.02544885 0.34723
Moved 339.4684 359.7477 527.2804 -0.0005839269 0.3582314
Moved 339.4843 374.9419 534.1607 0.03458778 0.3759276
Moved 339.4997 396.4791 542.7855 0.0844423 0.3981108
Moved 339.5156 418.7481 550.6118 0.135991 0.4182401
Moved 339.5313 469.121 567.1481 0.2525949 0.4607716
Moved 339.5461 500.8489 574.9717 0.3260391 0.4808941
Moved 339.5625 519.5629 576.4279 0.3693585 0.4846396
Moved 339.5763 542.1375 580.8759 0.4216145 0.4960798
Moved 339.592 564.7863 584.8974 0.4740423 0.5064232
Moved 339.6144 592.8952 592.6686 0.5391093 0.5264108
Stationary 339.6255 592.8952 592.6686 0.5391093 0.5264108
Moved 339.6376 610.6229 598.1147 0.5801455 0.5404185
Moved 339.6546 621.4335 601.1445 0.60517 0.548211
Moved 339.6747 640.2242 608.1121 0.6486671 0.5661318
Stationary 339.6861 640.2242 608.1121 0.6486671 0.5661318
Moved 339.6984 645.9848 610.9924 0.6620019 0.5735401
Moved 339.7149 649.8639 613.4319 0.6709812 0.5798146
Moved 339.7299 652.2844 615.2844 0.6765843 0.5845792
Moved 339.7451 654.8879 616.944 0.6826109 0.5888475
Moved 339.7644 656.3848 618.3848 0.6860759 0.5925534
Moved 339.7759 657.8305 618.8305 0.6894225 0.5936997
Moved 339.7924 659.2734 619 0.6927624 0.5941358
Moved 339.807 659.7025 620 0.6937559 0.5967077
Stationary 339.8225 660 620 0.6944445 0.5967077
Moved 339.8382 661.5 621.5 0.6979166 0.6005658
Moved 339.853 661 621.7477 0.6967592 0.6012027
Moved 339.869 661 622.5 0.6967592 0.6031378
Moved 339.8846 661 623.623 0.6967592 0.6060262
Moved 339.9033 661 625.0603 0.6967592 0.6097229
Moved 339.9148 649.5366 628.4843 0.6702235 0.6185295
Moved 339.9308 640.4548 631.8484 0.6492009 0.6271819
Moved 339.9457 629.1437 634.7141 0.6230177 0.6345527
Moved 339.9614 618.6207 638.0138 0.5986589 0.6430395
Moved 339.9766 598.9854 640.781 0.553207 0.6501569
Moved 339.992 586.2143 643.6191 0.5236441 0.6574564
Moved 340.0083 573.1559 644 0.4934164 0.6584361
Moved 340.0232 556.4698 644 0.4547912 0.6584361
Moved 340.0385 542.9476 644 0.4234897 0.6584361
Moved 340.054 528.2869 644 0.3895531 0.6584361
Moved 340.0705 518.5226 644 0.3669505 0.6584361
Moved 340.0844 500.9759 633.5952 0.3263331 0.6316746
Moved 340.1004 487.7478 631.8609 0.2957126 0.6272141
Moved 340.116 474.8354 629.8523 0.2658227 0.622048
Moved 340.1353 461.9016 626.9781 0.2358834 0.6146556
Moved 340.1473 450.3584 622.6344 0.2091629 0.6034834
Moved 340.1616 435.981 618.327 0.1758819 0.5924048
Moved 340.1771 428.0622 615.0266 0.1575513 0.5839161
Moved 340.1928 413.6775 612.1355 0.1242533 0.5764801
Moved 340.2084 403.9055 610.1293 0.1016331 0.5713201
Moved 340.2231 393.8493 610 0.07835478 0.5709876
Moved 340.239 387.2629 609 0.0631085 0.5684156
Moved 340.2548 378.8916 609 0.04373054 0.5684156
Moved 340.2701 371.888 609 0.02751857 0.5684156
Moved 340.2851 366.9012 609 0.01597514 0.5684156
Moved 340.3006 360.3612 609 0.0008361538 0.5684156
Moved 340.316 355.7355 609 -0.009871573 0.5684156
Moved 340.3318 350.9842 609 -0.02087002 0.5684156
Moved 340.3475 345.2356 609 -0.03417686 0.5684156
Moved 340.3659 342.2401 609 -0.04111077 0.5684156
Moved 340.3779 338.03 609 -0.05085647 0.5684156
Moved 340.393 335.2812 609 -0.05721942 0.5684156
Moved 340.4084 332.2622 609 -0.06420776 0.5684156
Moved 340.4236 330.6882 609 -0.06785144 0.5684156
Moved 340.4395 328.2533 609 -0.07348776 0.5684156
Moved 340.4543 326.8114 609 -0.07682551 0.5684156
Moved 340.4693 325.3139 609 -0.08029187 0.5684156
Moved 340.4845 323.8757 607.8757 -0.08362114 0.5655237
Stationary 340.5005 323.8757 607.8757 -0.08362114 0.5655237
Moved 340.5159 323 606.3444 -0.08564815 0.5615852
Moved 340.5314 323 604.9077 -0.08564815 0.5578901
Moved 340.5475 321.5 602 -0.08912037 0.5504114
Moved 340.564 322 598.1156 -0.08796295 0.5404207
Moved 340.5839 322 576.0788 -0.08796295 0.4837417
Stationary 340.5957 322 576.0788 -0.08796295 0.4837417
Moved 340.608 322 565.9902 -0.08796295 0.4577937
Moved 340.6238 322 557.3948 -0.08796295 0.4356861
Moved 340.6398 322 538.324 -0.08796295 0.3866358
