players must know all the rules
players must know all the rules
Basic
0.6 0.6
432 388.8
Stationary 336.6109 313.3196 522 -0.1080564 0.3446501
Stationary 336.6267 313.3196 522 -0.1080564 0.3446501
Stationary 336.6418 313 522 -0.1087963 0.3446501
Moved 336.657 313 515.1332 -0.1087963 0.3269885
Moved 336.6742 313 506.9743 -0.1087963 0.3060038
Moved 336.6892 307.2574 497.5336 -0.1220892 0.2817221
Moved 336.7048 299.6911 486.3823 -0.1396039 0.2530407
Moved 336.7203 294.274 476.6933 -0.1521434 0.2281206
Moved 336.7352 286.444 465.166 -0.1702685 0.1984722
Moved 336.7554 281.7655 456.531 -0.1810984 0.1762628
Moved 336.7675 275.9431 448.9147 -0.1945761 0.1566735
Moved 336.7811 270.2095 440.3142 -0.2078484 0.134553
Moved 336.7964 265.8376 433.0627 -0.2179686 0.1159018
Moved 336.8125 260.517 425.8616 -0.2302847 0.09738066
Moved 336.8293 256.2525 420.3157 -0.2401562 0.08311637
Moved 336.8432 251.9473 413.2455 -0.250122 0.06493168
Moved 336.8585 248.6069 409.6069 -0.2578545 0.05557315
Moved 336.874 246.762 405.2861 -0.2621249 0.04446018
Moved 336.8892 243.3181 401.6361 -0.2700971 0.03507229
Moved 336.9046 240.7648 397.6472 -0.2760075 0.02481264
Moved 336.9206 238.4435 394.887 -0.2813808 0.01771334
Moved 336.9351 236.4648 392.4648 -0.2859611 0.01148342
Moved 336.9501 234.8603 388.581 -0.2896751 0.001494325
Moved 336.9659 233.4287 385.8574 -0.2929891 -0.005510785
Moved 336.982 231.9914 383.9914 -0.2963162 -0.01031028
Moved 336.9983 230.543 382.543 -0.299669 -0.01403573
Moved 337.0126 229.1054 380.1053 -0.3029968 -0.02030526
Moved 337.0293 227.6652 378.6652 -0.3063305 -0.0240092
Moved 337.0444 228 376 -0.3055556 -0.03086435
Moved 337.058 227 376.1157 -0.3078704 -0.03056679
Moved 337.0766 225.6752 374.6752 -0.310937 -0.0342716
Ended 337.09 224 372 -0.3148148 -0.04115226
Candidates 337.2676 12 players played layers lawyers plates insurers plays plated laura lasted posters instead
Began 337.7191 363 328 0.006944438 -0.1543211
Stationary 337.7383 363 328 0.006944438 -0.1543211
Stationary 337.7528 363 328 0.006944438 -0.1543211
Stationary 337.7679 363 328 0.006944438 -0.1543211
Moved 337.7902 363 340.6147 0.006944438 -0.1218758
Stationary 337.8023 363 340.6147 0.006944438 -0.1218758
Moved 337.8135 363 355.688 0.006944438 -0.0831071
Moved 337.8295 373.5 366.5 0.03125002 -0.05529835
Moved 337.845 375.3453 381.2542 0.03552159 -0.01735036
Moved 337.8607 378.4468 392.7872 0.04270097 0.01231284
Moved 337.8761 380.6634 401.9803 0.04783193 0.03595748
Moved 337.8915 383.2061 411.7214 0.05371789 0.0610118
Moved 337.9077 384.5509 418.7546 0.05683084 0.0791014
Moved 337.9223 386.9673 425.9182 0.06242424 0.09752607
Moved 337.9376 388.4221 433.1108 0.065792 0.1160256
Moved 337.9526 389.4138 436.6553 0.06808758 0.1251421
Moved 337.9687 390.9834 442.9503 0.07172088 0.1413328
Moved 337.984 392.4181 448.6724 0.07504185 0.1560504
Moved 337.9994 392.7699 450.5398 0.07585625 0.1608533
Moved 338.0169 393 453.3885 0.07638891 0.1681804
Moved 338.0296 394 455.633 0.07870366 0.1739531
Moved 338.0453 395.0687 458.1373 0.08117745 0.1803942
Moved 338.0601 395 459.1188 0.08101851 0.1829186
Moved 338.0767 396 461.5988 0.08333336 0.1892973
Moved 338.0905 397.0346 463.0346 0.08572827 0.1929902
Moved 338.106 397 465.9554 0.0856481 0.2005025
Ended 338.1216 398 467 0.08796295 0.2031892
Accept 338.183 0 players
Began 338.5965 464 238 0.2407408 -0.3858025
Stationary 338.6163 464 238 0.2407408 -0.3858025
Stationary 338.6328 464 238 0.2407408 -0.3858025
Stationary 338.6551 464 238 0.2407408 -0.3858025
Stationary 338.6658 464 238 0.2407408 -0.3858025
Moved 338.6774 464 247.5242 0.2407408 -0.3613061
Moved 338.6932 464 254.953 0.2407408 -0.3421991
Moved 338.7095 464 264.1569 0.2407408 -0.3185265
Moved 338.7242 464 271.3466 0.2407408 -0.3000345
Moved 338.7398 457.6342 282.6585 0.2260051 -0.2709401
Moved 338.7547 451.5642 293.0168 0.2119542 -0.2442983
Moved 338.771 447.2502 302.687 0.2019681 -0.2194265
Moved 338.7856 441.2131 317.5737 0.1879933 -0.1811375
Moved 338.8005 433.1567 337.1083 0.1693442 -0.1308944
Moved 338.8164 428.6877 345.6246 0.1589994 -0.1089904
Moved 338.8318 423.9605 355.0789 0.1480568 -0.08467364
Moved 338.847 419.8363 363.3273 0.1385101 -0.06345858
Moved 338.8621 415.6849 370.6301 0.1289003 -0.04467567
Moved 338.8795 413.23 376.425 0.1232175 -0.02977096
Moved 338.8936 409.1576 383.4039 0.1137908 -0.01182124
Moved 338.9093 406.5454 388.9091 0.107744 0.00233815
Moved 338.9297 403.6828 394.6344 0.1011176 0.01706371
Moved 338.9409 400.7948 402.0131 0.09443243 0.03604174
Moved 338.9547 397.9179 408.1641 0.08777301 0.05186245
Moved 338.9697 395.0505 413.899 0.08113543 0.06661262
Moved 338.9858 392.6257 418.7487 0.07552236 0.07908598
Moved 339.0009 388.9348 428.174 0.06697863 0.103328
Moved 339.0165 387.5361 435.3195 0.06374101 0.1217065
Moved 339.0362 385.0995 440.6019 0.05810072 0.1352929
Moved 339.0479 383.65 447.75 0.05474537 0.1536779
Moved 339.0622 382.2139 453.1443 0.05142113 0.1675521
Moved 339.0776 380.7742 457.6775 0.04808833 0.1792116
Moved 339.0937 381 461.5 0.04861106 0.1890431
Moved 339.1096 380 464.4557 0.04629632 0.1966454
Moved 339.1252 380 467.5213 0.04629632 0.20453
Moved 339.141 379.3246 471.3508 0.04473289 0.2143795
Moved 339.1569 379 474.0722 0.04398147 0.221379
Moved 339.1712 379 479.8871 0.04398147 0.236335
Moved 339.1865 379 484.7486 0.04398147 0.248839
Moved 339.2014 379 490.4458 0.04398147 0.2634922
Moved 339.2179 378 493.0001 0.04166663 0.2700619
Moved 339.2327 378 494.9416 0.04166663 0.2750555
Moved 339.2478 378 496.3793 0.04166663 0.2787532
Moved 339.2633 376.5 497.5 0.03819446 0.2816358
Moved 339.2791 375.8652 497 0.03672491 0.2803498
Moved 339.2938 370.4193 497 0.02411862 0.2803498
Moved 339.3097 359.7385 488.8962 -0.0006053348 0.2595066
Moved 339.3247 350.551 481.873 -0.02187272 0.2414428
Moved 339.3396 331.0475 462.7089 -0.06701966 0.1921525
Moved 339.3552 318.0834 450.0834 -0.0970291 0.1596795
Moved 339.379 298.1643 431.1409 -0.1431382 0.1109589
Stationary 339.39 298.1643 431.1409 -0.1431382 0.1109589
Moved 339.4021 289.5311 422.5311 -0.1631224 0.08881454
Moved 339.4178 281.9377 415.9376 -0.1806999 0.0718559
Moved 339.4339 277.2513 412.1885 -0.191548 0.06221316
Moved 339.4477 271.6039 405.2549 -0.2046206 0.0443798
Moved 339.4633 266.6252 401.6252 -0.2161453 0.03504412
Moved 339.4798 262.2984 398.5323 -0.2261611 0.02708917
Moved 339.4949 257.9815 395.6543 -0.236154 0.01968694
Moved 339.5106 254.785 393.8925 -0.2435532 0.01515557
Moved 339.5275 251.9126 391.4563 -0.2502023 0.008889617
Moved 339.542 249.5263 389.5263 -0.2557261 0.003925606
Moved 339.5553 247.9122 387.9122 -0.2594625 -0.0002259384
Moved 339.572 245.4707 387.4707 -0.2651142 -0.0013614
Moved 339.5863 244.0374 387 -0.268432 -0.002572055
Moved 339.6026 242.5907 385.5908 -0.2717807 -0.006196685
Stationary 339.618 242.5907 385.5908 -0.2717807 -0.006196685
Moved 339.6331 242 386 -0.2731481 -0.005144111
Stationary 339.6493 242 386 -0.2731481 -0.005144111
Moved 339.664 242 394.0362 -0.2731481 0.01552511
Moved 339.6802 242 403.4675 -0.2731481 0.03978258
Moved 339.6946 251.0299 410.3831 -0.2522457 0.0575697
Moved 339.7142 257.5519 421.9933 -0.2371484 0.08743133
Moved 339.7277 263.7597 431.4155 -0.2227785 0.1116652
Moved 339.7414 270.9832 440.9799 -0.2060574 0.1362649
Moved 339.757 279.6131 451.0486 -0.1860809 0.1621619
