good jobs for those with education
good jobs for those with education
Moved 109.0381 194.6458 459.1705 -0.3827642 0.1830515
Moved 109.0561 210.788 468.4597 -0.3453982 0.2069435
Moved 109.0706 239.8737 479.3804 -0.2780702 0.2350318
Moved 109.0862 287.3729 496.3077 -0.1681184 0.2785692
Moved 109.1083 370.2191 517.624 0.0236553 0.3333949
Stationary 109.1193 370.2191 517.624 0.0236553 0.3333949
Moved 109.1313 402.733 523.5682 0.09891907 0.3486835
Moved 109.1468 419.1825 524.9455 0.1369966 0.352226
Moved 109.1629 435.5081 525 0.1747874 0.3523662
Moved 109.1786 449.8665 525 0.2080244 0.3523662
Moved 109.1931 460.1171 525 0.2317525 0.3523662
Moved 109.2085 466.9077 525 0.2474714 0.3523662
Moved 109.2238 471.2596 525 0.2575455 0.3523662
Moved 109.2405 475.3674 525 0.2670541 0.3523662
Moved 109.2621 477.5312 525 0.2720628 0.3523662
Stationary 109.2742 477.5312 525 0.2720628 0.3523662
Stationary 109.2853 478 525 0.2731481 0.3523662
Stationary 109.3019 478 525 0.2731481 0.3523662
Stationary 109.317 478 525 0.2731481 0.3523662
Stationary 109.3316 478 525 0.2731481 0.3523662
Stationary 109.3476 478 525 0.2731481 0.3523662
Moved 109.3629 457.1296 525 0.224837 0.3523662
Moved 109.3794 441.7201 525 0.189167 0.3523662
Moved 109.3942 407.3463 525 0.1095978 0.3523662
Moved 109.4095 369.3004 525 0.0215287 0.3523662
Moved 109.4252 344.9349 517.1382 -0.03487289 0.3321455
Moved 109.4403 334.397 517 -0.05926619 0.33179
Moved 109.4587 326.0404 516.4081 -0.07861008 0.3302676
Moved 109.4708 319.21 515.042 -0.09442126 0.326754
Moved 109.4864 315.0134 513.6711 -0.1041356 0.3232282
Moved 109.5068 313.498 512.749 -0.1076436 0.3208562
Moved 109.5175 312.2899 512.2899 -0.11044 0.3196757
Moved 109.5327 310.9227 510.9227 -0.1136049 0.3161592
Moved 109.549 311 500.9162 -0.113426 0.2904223
Moved 109.5669 327.0681 473.8978 -0.07623121 0.2209305
Moved 109.5791 344.3387 449.7619 -0.03625314 0.1588525
Moved 109.5947 360 427.5 0 0.1015946
Moved 109.6088 367.5424 413.9937 0.0174592 0.06685598
Moved 109.6252 379.6609 397.4409 0.04551132 0.024282
Ended 109.6408 391.9676 377.0541 0.07399896 -0.02815317
Candidates 109.7608 12 with worth work word weird truth sword south worn depth quoted stored
Began 110.1773 365 322 0.01157403 -0.1697531
Stationary 110.1955 365 322 0.01157403 -0.1697531
Stationary 110.2101 365 322 0.01157403 -0.1697531
Stationary 110.2246 365 322 0.01157403 -0.1697531
Stationary 110.2402 365 322 0.01157403 -0.1697531
Stationary 110.2609 365 322 0.01157403 -0.1697531
Stationary 110.2723 365 322 0.01157403 -0.1697531
Moved 110.2862 365 331.5437 0.01157403 -0.1452066
Moved 110.3054 365 346.0736 0.01157403 -0.1078354
Moved 110.3181 365 356.235 0.01157403 -0.08170006
Moved 110.3328 376.2309 371.4424 0.03757149 -0.04258639
Moved 110.3492 374.769 377.8449 0.03418744 -0.02611906
Moved 110.3641 376.132 383.5282 0.0373427 -0.01150155
Moved 110.3791 376 386.5084 0.03703703 -0.003836557
Moved 110.3947 376 388.8703 0.03703703 0.002238427
Moved 110.4121 376 390.2399 0.03703703 0.005760899
Moved 110.4268 376 391.2188 0.03703703 0.008278638
Moved 110.4416 376 392.6526 0.03703703 0.01196665
Moved 110.4565 376 394.0199 0.03703703 0.0154832
Stationary 110.4721 376 394 0.03703703 0.01543206
Ended 110.4936 376 395 0.03703703 0.01800408
Accept 110.546 0 with
Began 111.0842 253 494 -0.2476852 0.2726337
Stationary 111.1049 253 494 -0.2476852 0.2726337
Stationary 111.1191 253 494 -0.2476852 0.2726337
Stationary 111.1343 253 494 -0.2476852 0.2726337
Stationary 111.1506 253 494 -0.2476852 0.2726337
Stationary 111.1648 253 494 -0.2476852 0.2726337
Stationary 111.1793 253 494 -0.2476852 0.2726337
Stationary 111.1954 253 494 -0.2476852 0.2726337
Stationary 111.2135 253 494 -0.2476852 0.2726337
Stationary 111.2268 253 494 -0.2476852 0.2726337
Stationary 111.2423 253 494 -0.2476852 0.2726337
Moved 111.256 253 479.5441 -0.2476852 0.235453
Moved 111.279 253 462.8495 -0.2476852 0.1925141
Stationary 111.2904 253 462.8495 -0.2476852 0.1925141
Moved 111.3029 244.5747 448.8737 -0.2671881 0.1565681
Moved 111.3196 243.202 438.8183 -0.2703656 0.1307054
Moved 111.3353 240.818 423.908 -0.2758842 0.09235594
Moved 111.3507 238.0672 411.8024 -0.2822518 0.06122023
Moved 111.3655 238 403.1979 -0.2824074 0.0390893
Moved 111.3806 238 396.0219 -0.2824074 0.02063249
Moved 111.398 238 391.8876 -0.2824074 0.009998941
Moved 111.4118 238 389.1607 -0.2824074 0.002985236
Moved 111.4274 238 387.7101 -0.2824074 -0.0007455928
Moved 111.4426 238 386.7424 -0.2824074 -0.003234526
Moved 111.4571 238 386 -0.2824074 -0.005144111
Stationary 111.4741 238 386 -0.2824074 -0.005144111
Stationary 111.4883 238 386 -0.2824074 -0.005144111
Moved 111.5039 264.8599 394.8412 -0.2202317 0.0175956
Moved 111.5234 304.0573 420.2628 -0.1294971 0.08298026
Moved 111.5357 336.5 439.5 -0.05439813 0.1324588
Moved 111.5498 349.5 447 -0.02430553 0.1517489
Moved 111.5657 366.0549 459.3457 0.01401593 0.1835022
Moved 111.5809 381.2395 469.0615 0.04916559 0.2084914
Moved 111.5969 388.2998 474.9799 0.06550878 0.2237135
Moved 111.6112 394.0829 478.0414 0.07889559 0.231588
Moved 111.627 398.1527 480.7685 0.0883165 0.238602
Moved 111.6424 399.7532 482.7532 0.09202122 0.2437066
Moved 111.6581 401.1167 484.1167 0.0951776 0.2472137
Moved 111.6732 402.1505 484 0.09757072 0.2469135
Stationary 111.689 402.1505 484 0.09757072 0.2469135
