healthy food is good for you
healthy food is good for you
Basic
0.6 0.6
432 388.8
Moved 1855.432 471.2534 524.1689 0.257531 0.3502287
Moved 1855.447 485.0044 532.4026 0.2893621 0.3714059
Moved 1855.462 495.5074 538.1471 0.3136746 0.3861807
Moved 1855.478 505.2151 543.6944 0.3361462 0.4004484
Moved 1855.494 508.5 546 0.34375 0.4063785
Moved 1855.51 510.3873 547.6936 0.3481186 0.4107345
Moved 1855.524 512 548.5 0.3518519 0.4128085
Moved 1855.54 512.1783 548 0.3522646 0.4115225
Stationary 1855.555 512 548 0.3518519 0.4115225
Stationary 1855.57 512 548 0.3518519 0.4115225
Stationary 1855.585 512 548 0.3518519 0.4115225
Moved 1855.602 496.7466 535.6399 0.316543 0.3797321
Moved 1855.617 484.5052 527.3369 0.2882066 0.3583766
Moved 1855.633 475.4413 521.2942 0.2672253 0.3428347
Moved 1855.648 448.5215 505.0123 0.2049109 0.3009575
Moved 1855.664 421.2856 487.1904 0.1418648 0.2551192
Moved 1855.679 380.2676 458.3365 0.04691581 0.1809065
Moved 1855.694 341.0388 429.3053 -0.04389162 0.1062379
Moved 1855.71 308.8006 404.1483 -0.1185172 0.0415335
Moved 1855.725 286.0717 389.7145 -0.1711303 0.004409586
Moved 1855.741 272.5444 381.4843 -0.2024435 -0.01675869
Moved 1855.757 260.2172 373.4781 -0.2309787 -0.03735043
Moved 1855.772 249.6147 369.0459 -0.2555216 -0.04875026
Moved 1855.787 242.7177 366.2871 -0.2714867 -0.05584591
Moved 1855.802 238.3038 366 -0.2817042 -0.05658444
Ended 1855.819 236 366 -0.287037 -0.05658444
Candidates 1855.955 12 did food good dod foods this dos dogs god soda goods sosa
Began 1856.481 366 422 0.01388888 0.08744851
Stationary 1856.496 366 422 0.01388888 0.08744851
Stationary 1856.511 366 422 0.01388888 0.08744851
Moved 1856.534 351.889 422 -0.01877536 0.08744851
Stationary 1856.545 351.889 422 -0.01877536 0.08744851
Moved 1856.557 336.8916 422 -0.05349174 0.08744851
Moved 1856.574 311.5642 433.5748 -0.1121198 0.1172192
Moved 1856.588 256.6765 438.6831 -0.2391747 0.1303577
Moved 1856.604 210.7694 439 -0.3454411 0.1311728
Ended 1856.619 182.5 439 -0.4108796 0.1311728
Accept 1856.646 1 food
Began 1857.048 496 501 0.3148148 0.2906378
Stationary 1857.066 496 501 0.3148148 0.2906378
Stationary 1857.081 496 501 0.3148148 0.2906378
Stationary 1857.097 496 501 0.3148148 0.2906378
Stationary 1857.114 496 501 0.3148148 0.2906378
Stationary 1857.129 496 501 0.3148148 0.2906378
Stationary 1857.145 496 501 0.3148148 0.2906378
Moved 1857.16 496 510.3849 0.3148148 0.314776
Moved 1857.175 496 512.3817 0.3148148 0.3199116
Moved 1857.19 504.2733 515.2733 0.3339658 0.3273488
Moved 1857.206 508.0534 519.0533 0.3427162 0.3370713
Moved 1857.221 512.1627 523.1627 0.3522285 0.3476407
Moved 1857.236 517.1132 527.3349 0.3636879 0.3583716
Moved 1857.252 521.4836 531.4836 0.3738046 0.369042
Moved 1857.267 527 535.5 0.3865741 0.3793723
Moved 1857.281 531.1738 538.4492 0.3962356 0.3869576
Moved 1857.298 535.0949 541.0633 0.4053123 0.3936813
Moved 1857.313 537.8329 543.8329 0.4116503 0.4008048
Moved 1857.328 538.7981 544.7981 0.4138845 0.4032872
Moved 1857.345 539 546.1868 0.4143518 0.406859
Stationary 1857.359 539 546.1868 0.4143518 0.406859
Stationary 1857.374 539 546 0.4143518 0.4063785
Stationary 1857.39 539 546 0.4143518 0.4063785
Moved 1857.405 523.2154 546 0.3778134 0.4063785
Moved 1857.421 516.2112 546 0.3616001 0.4063785
Moved 1857.436 506.6691 536.479 0.3395118 0.3818904
Moved 1857.455 498.5398 534.2699 0.3206939 0.3762085
Moved 1857.467 492.1638 531.0819 0.3059348 0.368009
Moved 1857.482 485.2248 526.9349 0.2898722 0.3573427
Moved 1857.503 469.7206 519.126 0.2539827 0.3372583
Moved 1857.515 456.9401 510.411 0.2243984 0.314843
Moved 1857.528 434.2155 495.1437 0.1717952 0.2755752
Moved 1857.546 408.5 479 0.1122685 0.2340534
Moved 1857.561 391.0379 465.8649 0.07184704 0.2002698
Moved 1857.576 377.0624 453.3562 0.03949642 0.1680972
Moved 1857.589 356.7122 440.4748 -0.007610619 0.1349659
Moved 1857.606 340.1685 430.515 -0.04590625 0.1093491
Moved 1857.621 327.9782 422.3188 -0.07412444 0.08826852
Moved 1857.637 318.3886 416.4381 -0.09632264 0.07314317
Moved 1857.652 303.2161 408.608 -0.1314441 0.05300408
Moved 1857.668 292.9655 404.1281 -0.1551725 0.04148149
Moved 1857.684 283.6575 401.663 -0.1767187 0.03514145
Moved 1857.698 276.7756 399.9551 -0.1926491 0.03074874
Moved 1857.714 271.3262 398.5815 -0.2052635 0.02721582
Moved 1857.729 265.5943 398 -0.2185318 0.02572008
Moved 1857.745 262.3651 397.1217 -0.2260067 0.02346113
Moved 1857.76 258.3282 395.7761 -0.2353515 0.02000012
Moved 1857.776 254.177 395 -0.2449606 0.01800408
Moved 1857.791 250.0529 394.0176 -0.2545071 0.01547739
Moved 1857.807 246.0283 392.6761 -0.2638234 0.01202693
