the facts get in the way
the facts get in the way
Basic
0.6 0.6
432 388.8
Moved 666.2175 348.4066 548.8131 -0.02683669 0.4136138
Moved 666.2327 339.7398 541.8513 -0.04689853 0.395708
Moved 666.2477 331.4375 534.8646 -0.06611694 0.377738
Moved 666.2632 315.0639 520.8763 -0.1040186 0.3417599
Moved 666.2789 297.4289 504.6267 -0.1448405 0.2999657
Moved 666.2934 285 493.5 -0.1736111 0.2713476
Moved 666.3155 256.5491 456.2915 -0.2394696 0.1756468
Stationary 666.326 256.5491 456.2915 -0.2394696 0.1756468
Moved 666.34 243.909 436.6362 -0.2687292 0.1250931
Moved 666.3564 235.6665 421.4996 -0.2878091 0.08616133
Moved 666.3718 226.4571 404.1346 -0.3091272 0.04149837
Moved 666.3858 222.1762 392.1366 -0.3190366 0.01063936
Moved 666.4011 219.0272 381.1088 -0.3263259 -0.01772429
Moved 666.4178 215.8974 373.7606 -0.3335709 -0.03662416
Moved 666.4339 213.1685 364.0898 -0.3398877 -0.06149755
Moved 666.4482 211.3907 357.7813 -0.3440031 -0.07772304
Moved 666.4631 209.8005 353.4016 -0.3476839 -0.0889877
Moved 666.482 209.4134 349.8268 -0.34858 -0.09818206
Moved 666.4951 209 348.0275 -0.349537 -0.1028101
Moved 666.5106 209 346.6378 -0.349537 -0.1063844
Moved 666.5253 209 345.5 -0.349537 -0.1093108
Moved 666.5406 209 344.2119 -0.349537 -0.1126239
Ended 666.556 209 344 -0.349537 -0.1131688
Candidates 666.7239 12 facts caves babies bacteria faces banned manners vectors backed massachusetts faced acts
Began 667.2452 368 380 0.01851857 -0.02057613
Stationary 667.2654 368 380 0.01851857 -0.02057613
Moved 667.282 368 391.6778 0.01851857 0.009459272
Moved 667.2957 368 404.2769 0.01851857 0.0418645
Moved 667.3115 368 422.0469 0.01851857 0.0875692
Moved 667.3268 375.9818 438.6832 0.03699501 0.1303579
Moved 667.3417 375 450.5 0.03472219 0.1607509
Moved 667.3561 375 457.8938 0.03472219 0.1797679
Moved 667.3738 375 462.9686 0.03472219 0.1928203
Moved 667.3879 375 468.4923 0.03472219 0.2070275
Moved 667.4035 375 470.5298 0.03472219 0.2122679
Moved 667.4196 375 473.2969 0.03472219 0.219385
Moved 667.4413 375 475.9318 0.03472219 0.2261619
Stationary 667.452 375 475.9318 0.03472219 0.2261619
Stationary 667.4647 375 476 0.03472219 0.2263374
Moved 667.4802 375 477.2734 0.03472219 0.2296127
Stationary 667.4952 375 477 0.03472219 0.2289094
Ended 667.5106 375 477 0.03472219 0.2289094
Accept 667.5372 0 facts
Began 668.0471 389 232 0.06712963 -0.4012346
Stationary 668.0652 389 232 0.06712963 -0.4012346
Stationary 668.08 389 232 0.06712963 -0.4012346
Stationary 668.0952 389 232 0.06712963 -0.4012346
Stationary 668.1107 389 232 0.06712963 -0.4012346
Stationary 668.1276 389 232 0.06712963 -0.4012346
Stationary 668.1423 389 232 0.06712963 -0.4012346
Moved 668.1572 381.3011 248.4977 0.04930804 -0.3588022
Moved 668.1729 375.045 260.91 0.03482639 -0.3268775
Moved 668.189 370 275.5 0.02314816 -0.2893519
Moved 668.2046 365.1201 287.6796 0.01185219 -0.2580257
Moved 668.2189 360.9958 296.0083 0.00230521 -0.2366042
Moved 668.2348 356.8235 302.6274 -0.007352879 -0.2195796
Moved 668.2511 352.6725 309.5458 -0.01696184 -0.2017855
Moved 668.2665 347.0346 316.4568 -0.03001248 -0.1840103
Moved 668.2805 343 323 -0.03935183 -0.1671811
Moved 668.296 336.2159 332.6761 -0.05505577 -0.1422939
Moved 668.3118 329.3217 341.014 -0.07101467 -0.1208488
Moved 668.3292 325.1172 347.6035 -0.08074731 -0.1039004
Moved 668.343 320.6708 353.439 -0.09103988 -0.08889163
Moved 668.3583 316.5382 359.9491 -0.1006061 -0.07214738
Moved 668.3793 310.2861 374.6657 -0.1150784 -0.03429601
Stationary 668.3903 310.2861 374.6657 -0.1150784 -0.03429601
Moved 668.4041 308.5941 381.4207 -0.1189952 -0.01692211
Moved 668.4198 304.3554 395.6115 -0.1288069 0.01957677
Moved 668.4355 299.853 409.4902 -0.1392293 0.05527296
Moved 668.4496 292.8053 427.7062 -0.1555433 0.102125
Moved 668.4669 285.0681 445.6857 -0.1734534 0.1483686
Moved 668.481 279.1456 458.9224 -0.1871629 0.1824134
Moved 668.4957 273.6016 475.3964 -0.1999963 0.2247848
Moved 668.5118 270.5069 484.2258 -0.2071599 0.2474942
Moved 668.5284 270 489.1639 -0.2083333 0.2601951
Moved 668.5421 270 494.746 -0.2083333 0.2745524
Moved 668.5582 270 498.653 -0.2083333 0.2846012
Moved 668.5738 270 503.8632 -0.2083333 0.2980018
Moved 668.5895 270 506.209 -0.2083333 0.3040355
Moved 668.6049 270 509.978 -0.2083333 0.3137294
Moved 668.6198 270 512.7649 -0.2083333 0.3208973
Moved 668.6359 270 514.642 -0.2083333 0.3257253
Moved 668.6503 270 517.64 -0.2083333 0.333436
Moved 668.6663 270 519.217 -0.2083333 0.3374923
Moved 668.6802 270 522.2079 -0.2083333 0.3451848
Moved 668.6967 270 524.9853 -0.2083333 0.3523283
Moved 668.7119 270 529.1361 -0.2083333 0.3630044
Moved 668.7272 276.1785 531.5446 -0.1940313 0.369199
Moved 668.7429 281.5674 532.8918 -0.181557 0.3726641
Moved 668.7585 289.5347 535.5115 -0.1631142 0.379402
Moved 668.7742 300.8137 536 -0.1370053 0.3806583
Moved 668.7964 322.9752 536 -0.08570556 0.3806583
Stationary 668.8073 322.9752 536 -0.08570556 0.3806583
Moved 668.8195 331.0484 536 -0.06701753 0.3806583
Moved 668.8353 339.2273 536 -0.04808495 0.3806583
Moved 668.8507 345.5 525.5 -0.03356482 0.3536522
Moved 668.8661 351.9041 525.6987 -0.01874059 0.3541631
Moved 668.8815 360.2197 522.9268 0.0005086263 0.3470337
