good jobs for those with education
good jobs for those with education
Basic
0.6 0.6
432 388.8
Moved 602.5397 358.0999 450.0666 -0.004398426 0.1596362
Stationary 602.5503 358.0999 450.0666 -0.004398426 0.1596362
Moved 602.5641 349.3935 445.6967 -0.02455215 0.1483968
Moved 602.58 343.5517 443.2759 -0.03807475 0.1421704
Moved 602.5952 335.1348 439.0674 -0.05755827 0.1313463
Moved 602.6104 326.5742 434.7871 -0.07737463 0.1203371
Moved 602.6263 320.6598 430.5278 -0.09106521 0.1093822
Moved 602.6417 313.7194 427.4878 -0.107131 0.1015632
Moved 602.6575 306.2217 421.9163 -0.1244867 0.08723325
Moved 602.6721 298.2303 417.6151 -0.1429855 0.07617051
Moved 602.6884 291.7123 413.2842 -0.1580733 0.06503136
Moved 602.7045 285.9408 409.9704 -0.1714333 0.05650818
Moved 602.7186 281.6764 407.1176 -0.1813047 0.04917074
Moved 602.7341 275.9638 402.6425 -0.1945283 0.03766076
Moved 602.7498 272.8527 399.8527 -0.2017298 0.03048528
Moved 602.7659 268.5 397 -0.2118056 0.02314815
Moved 602.7823 266.0975 395.0488 -0.2173668 0.01812943
Moved 602.796 264.6086 393.6086 -0.2208133 0.0144254
Moved 602.8121 263.1709 393 -0.2241414 0.01285996
Moved 602.8286 261.7312 391.7313 -0.227474 0.009596828
Moved 602.8433 260.5 392 -0.2303241 0.01028803
Moved 602.8589 260.1847 391 -0.2310539 0.007715971
Moved 602.8737 259.5 391 -0.2326389 0.007715971
Moved 602.8897 259 390 -0.2337963 0.005143954
Moved 602.9036 257.8761 388.8762 -0.2363978 0.002253419
Stationary 602.9183 258 389 -0.2361111 0.002572016
Ended 602.935 256.9988 389 -0.2384287 0.002572016
Candidates 603.1061 12 did good food his god dos foods this dod goods gods ross
Began 604.0577 302 418 -0.1342593 0.07716041
Stationary 604.0795 302 418 -0.1342593 0.07716041
Stationary 604.0994 302 418 -0.1342593 0.07716041
Stationary 604.1103 302 418 -0.1342593 0.07716041
Stationary 604.1221 302 418 -0.1342593 0.07716041
Stationary 604.1379 302 418 -0.1342593 0.07716041
Stationary 604.1523 302 418 -0.1342593 0.07716041
Stationary 604.1683 302 418 -0.1342593 0.07716041
Moved 604.1839 290.1591 418 -0.1616688 0.07716041
Moved 604.2014 284.2558 418 -0.1753339 0.07716041
Moved 604.2157 277.1291 418 -0.1918307 0.07716041
Moved 604.2302 266.6632 413.6631 -0.2160575 0.06600595
Moved 604.2458 256.6053 411 -0.2393397 0.05915629
Moved 604.2615 245.0285 411 -0.2661378 0.05915629
Moved 604.2772 237.1789 411 -0.2843081 0.05915629
Moved 604.2921 227.8837 411 -0.3058246 0.05915629
Moved 604.3079 220.7309 411 -0.3223822 0.05915629
Moved 604.3232 215.3252 411 -0.3348954 0.05915629
Moved 604.3393 209.68 411 -0.347963 0.05915629
Moved 604.3544 204.9337 418 -0.3589499 0.07716041
Moved 604.3691 200.3858 418 -0.3694772 0.07716041
Moved 604.3843 196.5 418 -0.3784722 0.07716041
Moved 604.4006 193.67 418 -0.3850231 0.07716041
Moved 604.4158 191.7908 418 -0.3893733 0.07716041
Moved 604.4308 189.3556 418 -0.3950102 0.07716041
Moved 604.4462 187.9116 418 -0.3983528 0.07716041
Ended 604.4623 186 418 -0.4027778 0.07716041
Accept 604.5035 1 good
Began 605.1678 418 397 0.1342593 0.02314815
Stationary 605.1863 418 397 0.1342593 0.02314815
Stationary 605.2057 418 397 0.1342593 0.02314815
Stationary 605.2167 418 397 0.1342593 0.02314815
Stationary 605.2322 418 397 0.1342593 0.02314815
Stationary 605.2479 418 397 0.1342593 0.02314815
Moved 605.2628 429.1837 420.1837 0.1601475 0.082777
Moved 605.2795 434.5 433 0.1724537 0.1157406
Moved 605.2942 440.8025 446.3655 0.1870428 0.1501169
Moved 605.3098 446.7996 458.5992 0.200925 0.1815821
Moved 605.3272 451.8997 467.7995 0.2127309 0.2052455
Moved 605.3417 457.2633 477.4608 0.2251465 0.2300944
Moved 605.3548 463 486 0.2384259 0.2520575
Moved 605.3725 468.8083 495.7125 0.2518711 0.2770383
Moved 605.3889 474.5163 502.8954 0.265084 0.2955128
Moved 605.4035 477.979 507.4738 0.2730996 0.3072886
Moved 605.4177 482.7048 512.7048 0.2840388 0.3207427
Moved 605.433 486.7633 518.0178 0.2934337 0.3344078
Moved 605.449 491.1272 522.1273 0.3035352 0.3449774
Moved 605.4639 495.4362 526.4362 0.3135098 0.3560602
Moved 605.4813 500.7623 531.3497 0.3258386 0.3686976
Moved 605.4947 504.0465 535.0465 0.333441 0.3782059
Moved 605.5103 507.2207 536.0735 0.3407887 0.3808475
Moved 605.5263 511.0873 539.0873 0.3497392 0.3885989
Moved 605.5411 513.9503 540.9752 0.3563665 0.3934545
Moved 605.5568 516.8271 542.4136 0.3630258 0.3971541
Moved 605.5721 517.9032 544.9032 0.3655167 0.4035575
Moved 605.5934 520 547 0.3703704 0.4089505
Stationary 605.6049 520 547 0.3703704 0.4089505
Stationary 605.6175 520 547 0.3703704 0.4089505
Stationary 605.6321 520 547 0.3703704 0.4089505
Stationary 605.6484 520 547 0.3703704 0.4089505
Moved 605.6637 511.2529 547 0.3501225 0.4089505
Moved 605.6816 483.1277 511.8072 0.2850177 0.318434
Moved 605.6948 452.3314 476.8673 0.2137301 0.228568
Moved 605.7109 418.2115 437.4313 0.1347487 0.1271381
Moved 605.7271 398.2751 411.5348 0.08859982 0.06053182
Moved 605.7421 383.3749 384.8066 0.05410859 -0.008213451
Moved 605.7576 368.4511 353.4887 0.01956284 -0.08876377
Moved 605.7733 364.5427 342.3566 0.01051545 -0.1173956
Moved 605.7881 360.0842 325.3367 0.0001949072 -0.161171
Moved 605.804 357.2497 313.748 -0.006366372 -0.1909772
Moved 605.8198 355.8202 303.7411 -0.009675573 -0.2167151
Moved 605.8356 356 297.5 -0.009259283 -0.2327676
Moved 605.8506 356 295.1938 -0.009259283 -0.2386989
Moved 605.8647 354.8644 289.4577 -0.01188795 -0.2534525
Moved 605.8809 355 286.8385 -0.01157408 -0.2601891
Moved 605.8955 355 283.9668 -0.01157408 -0.2675752
Moved 605.9118 355 281.0809 -0.01157408 -0.2749978
Moved 605.9272 354 278.2231 -0.01388888 -0.2823479
Moved 605.9495 354 275.6606 -0.01388888 -0.2889388
Stationary 605.9615 354 275.6606 -0.01388888 -0.2889388
Moved 605.9735 353 273.2488 -0.01620372 -0.295142
Moved 605.9888 353 271.6833 -0.01620372 -0.2991686
Moved 606.004 352.244 270.244 -0.01795366 -0.3028703
Moved 606.0199 351.5 269.5 -0.01967594 -0.304784
Moved 606.0356 352 268.675 -0.01851852 -0.306906
Stationary 606.0511 352 269 -0.01851852 -0.30607
Stationary 606.0657 352 269 -0.01851852 -0.30607
Moved 606.0801 349.21 269 -0.02497693 -0.30607
Moved 606.0961 342.8319 277.2689 -0.03974095 -0.2848022
Moved 606.1125 336.1068 288.3398 -0.05530824 -0.2563279
Moved 606.1278 328.3715 298.5542 -0.07321412 -0.2300561
