exercise is good for the mind
exercise is good for the mind
Basic
0.6 0.6
432 388.8
Moved 1587.096 248.4213 485.4741 -0.2582839 0.250705
Moved 1587.112 255.6311 497.0098 -0.2415946 0.280375
Moved 1587.127 264 509.5 -0.2222222 0.3124999
Moved 1587.143 269.2025 516.4836 -0.2101793 0.3304618
Moved 1587.159 274.2502 524.4169 -0.198495 0.3508665
Moved 1587.174 280 530 -0.1851852 0.3652262
Moved 1587.189 281.9265 533.8897 -0.1807258 0.3752306
Moved 1587.205 284.7887 536.7887 -0.1741003 0.3826869
Moved 1587.222 287.685 537.8425 -0.1673959 0.3853972
Ended 1587.241 289 538.5 -0.1643519 0.3870883
Candidates 1587.357 12 exercise everybody activist revenue extensive executive avenue adventure recognize avenger anticipate evaluate
Began 1587.786 386 353 0.06018519 -0.09002065
Stationary 1587.806 386 353 0.06018519 -0.09002065
Stationary 1587.82 386 353 0.06018519 -0.09002065
Moved 1587.835 386 379.7874 0.06018519 -0.02112298
Moved 1587.852 386 394.6644 0.06018519 0.01714094
Moved 1587.867 386 406.4949 0.06018519 0.047569
Moved 1587.882 386 418.6098 0.06018519 0.07872883
Moved 1587.897 386 425.9935 0.06018519 0.0977199
Moved 1587.913 386 431.8135 0.06018519 0.1126889
Moved 1587.928 386 434.3021 0.06018519 0.1190896
Moved 1587.943 386 438.2946 0.06018519 0.1293585
Ended 1587.963 386 442.5 0.06018519 0.1401748
Accept 1588.018 0 exercise
Began 1588.335 522 500 0.375 0.2880658
Stationary 1588.346 522 500 0.375 0.2880658
Stationary 1588.36 522 500 0.375 0.2880658
Stationary 1588.375 522 500 0.375 0.2880658
Stationary 1588.391 522 500 0.375 0.2880658
Stationary 1588.407 522 500 0.375 0.2880658
Moved 1588.42 511.8263 500 0.3514497 0.2880658
Moved 1588.437 505.5976 500 0.3370316 0.2880658
Moved 1588.451 499.6125 495.2575 0.3231771 0.275868
Moved 1588.469 491.9624 491.9937 0.3054685 0.2674735
Moved 1588.489 476.6977 487.2325 0.2701335 0.2552277
Stationary 1588.5 476.6977 487.2325 0.2701335 0.2552277
Moved 1588.514 469.3687 485.6737 0.2531682 0.2512183
Moved 1588.529 462.1514 483.2303 0.2364615 0.2449338
Moved 1588.544 456.1523 481.7881 0.2225748 0.2412245
Moved 1588.56 449.5 479 0.2071759 0.2340534
Moved 1588.575 443.8436 477.4218 0.1940824 0.2299943
Moved 1588.59 436.8579 474.5432 0.1779119 0.2225904
Moved 1588.606 431.3047 471.6523 0.1650573 0.2151551
Moved 1588.621 424.4102 467.6461 0.1490975 0.204851
Moved 1588.636 417.2355 464.3413 0.1324895 0.1963511
Moved 1588.653 409.0482 459.0321 0.1135375 0.1826957
Moved 1588.669 400.4644 454.7322 0.09366761 0.1716364
Moved 1588.684 391.6972 450.8486 0.07337311 0.1616475
Moved 1588.698 381.1164 445.0665 0.04888058 0.146776
Moved 1588.714 370.0648 439.3227 0.02329806 0.1320028
Moved 1588.73 360.8369 434.4185 0.00193735 0.1193889
Moved 1588.745 350.9027 431.4008 -0.02105862 0.1116274
Moved 1588.761 341.5353 425.7677 -0.04274229 0.09713906
Moved 1588.776 331.6729 421.4313 -0.06557196 0.08598571
Moved 1588.79 325.8456 418.4228 -0.07906124 0.0782478
Moved 1588.806 317.503 416.3006 -0.09837279 0.07278948
Moved 1588.822 308.0621 413.7321 -0.1202266 0.06618323
Moved 1588.837 300.6881 408.8441 -0.137296 0.05361125
Moved 1588.853 292.9112 404.9556 -0.1552982 0.04360995
Moved 1588.876 281.5215 400.1304 -0.1816631 0.03119951
Stationary 1588.888 281.5215 400.1304 -0.1816631 0.03119951
Moved 1588.9 278.048 398.032 -0.1897036 0.0258025
Moved 1588.914 275.1652 396.5826 -0.1963768 0.02207442
Moved 1588.93 271.4144 395.1381 -0.2050593 0.01835929
Moved 1588.946 269.6956 395 -0.2090379 0.01800408
Moved 1588.961 266.5183 393.2592 -0.2163927 0.01352659
Moved 1588.976 263.6303 393 -0.2230779 0.01285996
Moved 1588.991 262.3757 392 -0.2259822 0.01028803
Moved 1589.007 261.212 392 -0.2286759 0.01028803
Moved 1589.022 258.6952 390.8476 -0.234502 0.007323983
Moved 1589.037 257.4071 391 -0.2374835 0.007715971
Moved 1589.053 255.9672 389.9672 -0.2408167 0.005059497
Moved 1589.069 254.5256 390 -0.2441537 0.005143954
Moved 1589.085 253.5 390 -0.2465278 0.005143954
Moved 1589.099 252.8224 388.8224 -0.2480963 0.002115155
Stationary 1589.118 253 389 -0.2476852 0.002572016
Stationary 1589.13 253 389 -0.2476852 0.002572016
Ended 1589.145 253 389 -0.2476852 0.002572016
Candidates 1589.344 12 of is odd odds if off ps pd id pa psa pass
Began 1589.944 406 370 0.1064815 -0.04629637
Stationary 1589.971 406 370 0.1064815 -0.04629637
Stationary 1589.981 406 370 0.1064815 -0.04629637
Moved 1589.992 389.45 370 0.06817122 -0.04629637
Moved 1590.01 376.9095 370 0.03914237 -0.04629637
Moved 1590.024 362.5672 374.73 0.005942484 -0.03413071
Moved 1590.039 348.9609 377 -0.02555345 -0.02829226
Moved 1590.055 335 377 -0.05787035 -0.02829226
Moved 1590.07 327.3499 377 -0.07557899 -0.02829226
Moved 1590.086 318.3569 378.1072 -0.09639601 -0.0254445
Moved 1590.101 312.8238 378 -0.1092041 -0.02572024
Moved 1590.118 308.0556 378 -0.1202417 -0.02572024
Moved 1590.131 306.5757 379.4243 -0.1236673 -0.02205688
Moved 1590.147 304 379 -0.1296296 -0.02314815
Ended 1590.163 305 380.16 -0.1273148 -0.02016468
Accept 1590.204 1 is
Began 1590.671 465 349 0.2430555 -0.1003086
Stationary 1590.688 465 349 0.2430555 -0.1003086
Stationary 1590.701 465 349 0.2430555 -0.1003086
Stationary 1590.716 465 349 0.2430555 -0.1003086
Stationary 1590.732 465 349 0.2430555 -0.1003086
Stationary 1590.747 465 349 0.2430555 -0.1003086
Stationary 1590.772 465 349 0.2430555 -0.1003086
Stationary 1590.782 465 349 0.2430555 -0.1003086
Stationary 1590.794 465 349 0.2430555 -0.1003086
Moved 1590.809 470.0845 355.5373 0.2548254 -0.08349461
Moved 1590.826 475.4019 361.4019 0.267134 -0.06841086
Moved 1590.84 479.1515 365.7272 0.2758136 -0.057286
Moved 1590.856 482.0286 370.0429 0.2824735 -0.04618593
Moved 1590.871 484.9031 374.3547 0.2891276 -0.03509584
Moved 1590.886 485.8918 377.7835 0.291416 -0.02627706
Moved 1590.902 487.9725 380.9587 0.2962326 -0.01811024
Moved 1590.917 488 383.8378 0.2962963 -0.01070533
Moved 1590.933 489 387.3973 0.2986111 -0.001550133
Moved 1590.949 489 389.2997 0.2986111 0.003342805
Moved 1590.964 489 392.4703 0.2986111 0.01149766
Moved 1590.979 489 395.3286 0.2986111 0.01884924
Moved 1590.994 489 397.2119 0.2986111 0.02369316
Moved 1591.011 489 400.412 0.2986111 0.03192379
Moved 1591.026 489 404.5513 0.2986111 0.04257006
Moved 1591.041 484.0085 408.2479 0.2870569 0.0520778
Moved 1591.057 477.8161 412.1839 0.2727224 0.06220138
Moved 1591.078 472.1167 416.8833 0.2595294 0.07428829
Stationary 1591.088 472.1167 416.8833 0.2595294 0.07428829
Moved 1591.102 469.2342 419.7659 0.2528568 0.08170222
Moved 1591.119 465.1635 422.8365 0.2434339 0.08960006
Moved 1591.133 463.0718 425.8564 0.2385921 0.0973672
Moved 1591.148 460.2909 432.7728 0.2321547 0.1151564
Moved 1591.166 459.1953 436.414 0.2296188 0.1245215
Moved 1591.179 459 440.7097 0.2291666 0.1355702
Moved 1591.195 459 445.0402 0.2291666 0.1467082
Moved 1591.211 459 448.2239 0.2291666 0.1548967
Moved 1591.227 459 454 0.2291666 0.169753
Moved 1591.242 459 455.8816 0.2291666 0.1745925
Moved 1591.258 459 460.1874 0.2291666 0.1856672
Moved 1591.273 459 464.5 0.2291666 0.1967592
Moved 1591.288 465.5976 468.885 0.2444389 0.2080375
Moved 1591.302 466 471.7686 0.2453704 0.2154541
Moved 1591.318 467 475.4973 0.2476852 0.2250445
Moved 1591.334 467 478.5084 0.2476852 0.2327889
Moved 1591.349 467 480.5703 0.2476852 0.2380922
Moved 1591.365 468 482.8173 0.25 0.2438716
Moved 1591.386 468 485.6909 0.25 0.2512626
Stationary 1591.396 468 485.6909 0.25 0.2512626
Stationary 1591.411 468 486 0.25 0.2520575
Moved 1591.425 468 487 0.25 0.2546296
Moved 1591.441 468 488.0085 0.25 0.2572235
Stationary 1591.458 468 488.0085 0.25 0.2572235
Moved 1591.473 459.9287 488 0.2313165 0.2572016
Moved 1591.488 457.0542 488 0.2246624 0.2572016
Moved 1591.504 452.7328 488 0.2146592 0.2572016
Moved 1591.519 449.4389 488 0.2070345 0.2572016
Moved 1591.534 444.9439 488 0.1966295 0.2572016
Moved 1591.549 439.8475 488 0.1848322 0.2572016
Moved 1591.565 435.2459 481.4303 0.1741803 0.2403041
Moved 1591.58 428.2021 476.9213 0.1578752 0.2287069
Moved 1591.596 420.2773 473.8516 0.1395309 0.2208115
Moved 1591.612 410.3737 468.0707 0.1166057 0.205943
Moved 1591.627 400.957 463.3046 0.09480783 0.1936847
Moved 1591.642 391.2696 456.4783 0.07238328 0.1761272
Moved 1591.664 373.0962 447.0481 0.03031522 0.1518726
Stationary 1591.675 373.0962 447.0481 0.03031522 0.1518726
Moved 1591.688 361.2349 439.4899 0.00285844 0.1324329
Moved 1591.703 348.7859 432.8929 -0.02595856 0.1154653
Moved 1591.719 336.2369 426.1317 -0.05500709 0.09807519
Moved 1591.734 325.957 419.7742 -0.07880331 0.08172361
Moved 1591.75 317.9285 415.4642 -0.09738774 0.07063842
Moved 1591.765 309.3322 411.1661 -0.1172867 0.05958349
Moved 1591.78 303.5 406 -0.130787 0.04629618
Moved 1591.796 297.0849 401.8679 -0.1456368 0.0356684
Moved 1591.812 291.1104 397.3328 -0.1594668 0.02400398
Moved 1591.827 287.0214 394.681 -0.1689319 0.01718352
Moved 1591.841 282.7106 391.8071 -0.1789107 0.009791802
Moved 1591.857 278.9323 389.4661 -0.1876568 0.003770859
Moved 1591.873 276.0579 388.0289 -0.1943104 7.43709E-05
Moved 1591.888 273.178 385.178 -0.2009768 -0.007258285
