exercise is good for the mind
exercise is good for the mind
FixStart
0.6 0.6
432 388.8
Moved 1253.996 291.5385 541.8462 -0.1584757 0.3956948
Moved 1254.011 297.3315 553.8302 -0.1450659 0.4265179
Moved 1254.026 303.0416 565.0833 -0.1318481 0.4554609
Ended 1254.041 306 574 -0.125 0.478395
Candidates 1254.165 12 exercise executive effector excessive argue after secure sure desire assure statue statute
Began 1254.548 391 369 0.07175922 -0.04886839
Stationary 1254.567 391 369 0.07175922 -0.04886839
Stationary 1254.582 391 369 0.07175922 -0.04886839
Moved 1254.601 391 380.4066 0.07175922 -0.01953039
Moved 1254.613 391 396.8947 0.07175922 0.02287712
Moved 1254.628 379.9048 437.5554 0.04607588 0.1274573
Moved 1254.646 374.432 484.8279 0.03340741 0.249043
Moved 1254.66 370.5 535.5 0.02430558 0.3793723
Moved 1254.674 362.0313 593.0721 0.004702211 0.5274487
Ended 1254.691 357 635 -0.006944438 0.6352879
Accept 1254.734 0 exercise
Began 1255.061 332 498 -0.06481484 0.2829217
Stationary 1255.075 332 498 -0.06481484 0.2829217
Stationary 1255.09 332 498 -0.06481484 0.2829217
Stationary 1255.105 332 498 -0.06481484 0.2829217
Stationary 1255.12 332 498 -0.06481484 0.2829217
Moved 1255.136 343.3754 509.3754 -0.03848295 0.3121794
Moved 1255.152 350.0057 515.5048 -0.02313495 0.3279443
Moved 1255.168 361.3821 525.4507 0.003199279 0.3535255
Moved 1255.184 368.3197 531.2664 0.01925856 0.3684835
Moved 1255.201 383.0993 546.0994 0.05347073 0.4066341
Moved 1255.214 393.7067 557.6647 0.07802466 0.4363804
Moved 1255.229 407.8272 574.5927 0.1107111 0.4799193
Moved 1255.247 416.9461 592.2435 0.1318197 0.5253176
Moved 1255.261 425.609 605.4135 0.1518727 0.559191
Moved 1255.276 433.824 620.3539 0.1708888 0.597618
Moved 1255.292 438.4332 629.0081 0.1815584 0.6198767
Moved 1255.307 442.7552 640.0138 0.1915629 0.6481835
Moved 1255.322 445.3798 646.4495 0.1976384 0.6647361
