do you prefer a window seat
do you prefer a window seat
Basic
Moved 696.713 263.9568 490 -0.2223223 0.2623456
Moved 696.7292 260.0246 490.4877 -0.2314245 0.2635999
Moved 696.744 258 491.5 -0.2361111 0.2662036
Moved 696.7598 251.6532 491 -0.2508028 0.2649176
Moved 696.7745 246.2629 491 -0.2632803 0.2649176
Moved 696.7903 242.4786 491.8405 -0.2720403 0.2670792
Moved 696.8061 239.5558 492 -0.2788061 0.2674896
Moved 696.822 238.3569 493.6431 -0.2815813 0.2717157
Moved 696.8368 236.7377 495.2623 -0.2853295 0.2758804
Moved 696.8521 237 497.325 -0.2847222 0.2811854
Moved 696.8672 244.7903 503.5645 -0.2666892 0.2972336
Moved 696.8841 259.5668 512.2429 -0.2324844 0.3195547
Moved 696.8983 275.0919 517.7975 -0.1965464 0.3338414
Moved 696.9128 291.3945 521.0657 -0.158809 0.3422472
Moved 696.9289 309.2171 521 -0.117553 0.3420781
Moved 696.9445 324.1083 521 -0.08308271 0.3420781
Moved 696.9594 334.5073 521 -0.05901083 0.3420781
Moved 696.9792 342.9958 514.6066 -0.03936147 0.3256342
Moved 696.9932 348.9716 511.7571 -0.02552872 0.3183052
Moved 697.0058 354 507.5 -0.01388888 0.3073559
Moved 697.021 355.615 504.5775 -0.01015047 0.2998392
Moved 697.0379 358.4775 500.2838 -0.003524274 0.2887955
Moved 697.0529 359 495.9486 -0.002314796 0.2776455
Moved 697.0671 360.1239 489.3804 0.000286897 0.2607519
Moved 697.0846 360 483.5983 0 0.2458804
Moved 697.0984 360 471.9868 0 0.2160154
Moved 697.1143 348.3673 453.0969 -0.02692759 0.1674301
Moved 697.1297 344.3147 441.0181 -0.03630867 0.1363634
Moved 697.145 338.0688 424.1893 -0.05076657 0.09307951
Moved 697.1602 332.2914 412.5828 -0.06414026 0.06322735
Moved 697.1754 328.3941 401.0508 -0.07316187 0.03356694
Moved 697.1908 322.7785 388.2516 -0.08616085 0.0006471641
Moved 697.2064 316.7585 375.0225 -0.1000962 -0.03337837
Moved 697.2216 313.6199 367.0498 -0.1073613 -0.05388432
Moved 697.2376 309.954 354.8851 -0.1158471 -0.08517221
Moved 697.2529 308.541 349.1642 -0.1191179 -0.09988628
Moved 697.2701 307.8163 346.265 -0.1207957 -0.1073433
Moved 697.2852 305.6505 341.3011 -0.1258089 -0.1201104
Moved 697.3008 304.9273 340.9274 -0.127483 -0.1210717
Moved 697.3146 302.7565 336.5129 -0.1325082 -0.1324256
Moved 697.33 303 335.5 -0.1319445 -0.1350309
Moved 697.3505 301.9412 334.9412 -0.1343953 -0.1364681
Moved 697.3625 299.7443 334 -0.1394809 -0.1388889
Moved 697.3768 292.3999 334 -0.1564816 -0.1388889
Stationary 697.3926 292.3999 334 -0.1564816 -0.1388889
Moved 697.4073 268.0273 356.1754 -0.2128997 -0.08185335
Moved 697.4222 249.9043 376.572 -0.2548511 -0.02939318
Moved 697.4373 240.9225 389.1162 -0.2756423 0.002870874
Moved 697.4528 235.7236 399.3719 -0.2876769 0.02924876
Moved 697.4684 230.1971 413.0074 -0.3004698 0.06431936
Moved 697.4833 226.743 426.6563 -0.3084652 0.09942459
Moved 697.4991 223.8702 439.584 -0.3151152 0.1326747
Moved 697.5146 222.5 452.5 -0.318287 0.165895
Moved 697.5303 221.0489 465.56 -0.3216461 0.1994855
Moved 697.5465 219.6195 475.6637 -0.3249549 0.2254723
Moved 697.5601 220 482 -0.3240741 0.2417695
Moved 697.5753 220 489.5 -0.3240741 0.2610596
Moved 697.592 220 493.3602 -0.3240741 0.270988
Moved 697.6067 220 501.7348 -0.3240741 0.2925277
Moved 697.6221 220 506.3963 -0.3240741 0.3045171
Moved 697.6371 220 511.6856 -0.3240741 0.3181213
Moved 697.6539 220 515.0106 -0.3240741 0.3266733
Moved 697.6688 230.0695 517.877 -0.3007651 0.3340457
Moved 697.6841 228.5753 521.1506 -0.3042238 0.3424655
Moved 697.7068 232.5889 528.5889 -0.294933 0.361597
Stationary 697.7177 232.5889 528.5889 -0.294933 0.361597
Moved 697.7307 235.9504 532.9256 -0.2871519 0.372751
Moved 697.748 241.6347 537.226 -0.2739938 0.3838117
Moved 697.7621 249.2743 540.5646 -0.2563095 0.3923985
Moved 697.7767 259.0255 543.5787 -0.2337374 0.4001508
Moved 697.7924 267.6377 544.3297 -0.2138015 0.4020825
Moved 697.8077 286.526 546.866 -0.1700787 0.408606
Moved 697.8238 307.6001 550.92 -0.1212962 0.4190328
Ended 697.8389 327 554.5 -0.07638887 0.4282407
Candidates 697.958 12 jersey lesser leader order jesse pierce least jeffrey prefer use legendary part
Began 699.4215 459 373 0.2291666 -0.03858032
Stationary 699.4442 459 373 0.2291666 -0.03858032
Stationary 699.4567 459 373 0.2291666 -0.03858032
Ended 699.471 459 373 0.2291666 -0.03858032
NextCandidatePanel 699.5479
Began 700.9341 453 373 0.2152778 -0.03858032
Stationary 700.9517 453 373 0.2152778 -0.03858032
Stationary 700.9659 453 373 0.2152778 -0.03858032
Ended 700.9866 453 373 0.2152778 -0.03858032
NextCandidatePanel 701.0099
Began 701.8913 441 311 0.1875 -0.1980453
Stationary 701.9075 441 311 0.1875 -0.1980453
Stationary 701.9219 441 311 0.1875 -0.1980453
Moved 701.9385 441 340.8105 0.1875 -0.1213721
Moved 701.9523 432.5557 386.2746 0.1679531 -0.004437765
Moved 701.9682 430.8266 442.9368 0.1639504 0.1412982
Ended 701.9855 431 496 0.1643519 0.2777777
Accept 702.0525 8 prefer
Began 702.7066 183 359 -0.4097222 -0.07458848
Stationary 702.725 183 359 -0.4097222 -0.07458848
Stationary 702.7396 183 359 -0.4097222 -0.07458848
Stationary 702.7535 183 359 -0.4097222 -0.07458848
Stationary 702.7695 183 359 -0.4097222 -0.07458848
Stationary 702.7855 183 359 -0.4097222 -0.07458848
Stationary 702.8005 183 359 -0.4097222 -0.07458848
Ended 702.8151 183 359 -0.4097222 -0.07458848
Candidates 702.8765 5 a s d z x
Began 703.4284 433 294 0.1689814 -0.2417696
Stationary 703.4474 433 294 0.1689814 -0.2417696
Stationary 703.4614 433 294 0.1689814 -0.2417696
Stationary 703.4781 433 294 0.1689814 -0.2417696
Moved 703.4934 433 348.8123 0.1689814 -0.1007914
Moved 703.509 447.3157 401.1528 0.2021196 0.03382926
Ended 703.5236 449 428 0.2060185 0.1028806
Accept 703.5536 0 a
Began 704.386 174 476 -0.4305556 0.2263374
Stationary 704.4032 174 476 -0.4305556 0.2263374
Stationary 704.418 174 476 -0.4305556 0.2263374
Stationary 704.4337 174 476 -0.4305556 0.2263374
Moved 704.4493 188.9223 476 -0.3960131 0.2263374
Moved 704.4648 211.9359 463.0986 -0.342741 0.1931547
Moved 704.4811 239.3256 457.7641 -0.279339 0.1794343
Moved 704.4981 273.4638 447.8231 -0.2003153 0.1538658
Moved 704.5258 318.3728 431.6259 -0.0963592 0.1122064
Moved 704.5372 338.1874 423.2054 -0.05049204 0.0905487
Moved 704.5486 351.7091 415.2727 -0.0191919 0.07014576
Stationary 704.5594 351.7091 415.2727 -0.0191919 0.07014576
Moved 704.5712 363.4584 409.2708 0.0080055 0.0547088
Moved 704.5957 385.5967 398.7762 0.05925168 0.02771664
Moved 704.6185 392.8609 396.754 0.07606696 0.02251543
Moved 704.632 406.3485 395 0.1072883 0.01800408
Moved 704.6479 421.0375 395 0.1412904 0.01800408
Moved 704.6641 438.4043 415.3051 0.1814915 0.07022901
Moved 704.6797 456.3717 434.0228 0.2230827 0.1183714
Moved 704.6958 469.9361 457.2198 0.2544817 0.1780343
Moved 704.7095 482.6013 494.1047 0.2837994 0.2729029
Moved 704.7255 488.6301 516.5944 0.2977548 0.3307467
Moved 704.7444 494.3846 547.6155 0.3110755 0.4105335
Moved 704.7563 495.7858 557.0722 0.3143189 0.4348564
Moved 704.7719 496 567.5836 0.3148148 0.4618919
Moved 704.7899 497 573.6649 0.3171296 0.477533
Moved 704.8069 497 577.2117 0.3171296 0.4866556
Moved 704.8184 497 580.095 0.3171296 0.4940715
Moved 704.8337 497 581.7429 0.3171296 0.4983097
Moved 704.8486 497 582.5 0.3171296 0.5002571
Stationary 704.8645 497 582.5 0.3171296 0.5002571
Moved 704.8794 497 573.2007 0.3171296 0.4763393
Moved 704.896 482.8347 557.4182 0.2843396 0.4357463
Moved 704.9108 479.5677 537.8451 0.2767771 0.3854039
Moved 704.9261 473.7679 515.0717 0.2633517 0.3268303
Moved 704.9428 469 502 0.2523148 0.2932098
Moved 704.9571 465.7358 476.2309 0.2447588 0.2269312
Moved 704.9721 462.4861 456.9164 0.2372363 0.1772541
Moved 704.9875 459.614 434.605 0.2305879 0.1198687
Moved 705.0035 456.7376 419.8195 0.2239297 0.08184005
Moved 705.0185 456 406.988 0.2222222 0.0488375
Moved 705.0349 454.9938 393.938 0.2198931 0.01527256
Moved 705.0509 453.551 383.857 0.2165532 -0.01065596
Moved 705.0651 452.4285 372.2848 0.2139547 -0.04041985
Moved 705.0889 452 348.8347 0.2129629 -0.1007337
Stationary 705.0995 452 348.8347 0.2129629 -0.1007337
Moved 705.1114 452 338.7565 0.2129629 -0.1266552
Moved 705.1271 452 328.7361 0.2129629 -0.1524277
Moved 705.1463 452 316.0444 0.2129629 -0.1850711
Moved 705.1595 452 305.5491 0.2129629 -0.2120651
Moved 705.1732 452 300.8492 0.2129629 -0.2241534
Moved 705.1915 452 293.2864 0.2129629 -0.2436051
Moved 705.2057 452 287.2933 0.2129629 -0.2590194
Moved 705.2217 452 281.525 0.2129629 -0.2738554
Moved 705.2361 452 276.8276 0.2129629 -0.2859374
Moved 705.2518 459 272.999 0.2291666 -0.2957846
Moved 705.2664 459 271.0593 0.2291666 -0.3007733
Moved 705.2817 460.0595 269.9405 0.2316193 -0.3036511
Moved 705.2964 460 267 0.2314815 -0.311214
Moved 705.312 460 265.0394 0.2314815 -0.3162566
Moved 705.3274 461.3994 263.6006 0.2347207 -0.3199572
Moved 705.3503 461 260.7203 0.2337964 -0.3273655
Stationary 705.3604 461 260.7203 0.2337964 -0.3273655
Moved 705.3729 461 259.5 0.2337964 -0.3305041
Stationary 705.39 461 259.5 0.2337964 -0.3305041
Moved 705.4044 461 259 0.2337964 -0.3317901
Moved 705.4203 461 258 0.2337964 -0.3343622
Moved 705.4355 461 256.8513 0.2337964 -0.3373166
Stationary 705.4502 461 256.8513 0.2337964 -0.3373166
Stationary 705.466 461 256.8513 0.2337964 -0.3373166
Moved 705.4816 461 255.8822 0.2337964 -0.3398092
Stationary 705.4988 461 255.8822 0.2337964 -0.3398092
Stationary 705.5119 461 255.8822 0.2337964 -0.3398092
Moved 705.5277 461 254.7781 0.2337964 -0.3426491
Stationary 705.545 461 254.7781 0.2337964 -0.3426491
Moved 705.5604 461 253.7509 0.2337964 -0.3452911
Stationary 705.5763 461 253.7509 0.2337964 -0.3452911
Stationary 705.5898 461 254 0.2337964 -0.3446502
Moved 705.609 461 252.5 0.2337964 -0.3485083
Stationary 705.6198 461 252.5 0.2337964 -0.3485083
Stationary 705.6357 461 252.5 0.2337964 -0.3485083
Stationary 705.6516 461 252.5 0.2337964 -0.3485083
Stationary 705.6667 461 252.5 0.2337964 -0.3485083
Stationary 705.6822 461 252.5 0.2337964 -0.3485083
Stationary 705.6984 461 252.5 0.2337964 -0.3485083
Stationary 705.7137 461 252.5 0.2337964 -0.3485083
Stationary 705.7282 461 252.5 0.2337964 -0.3485083
Moved 705.7459 461 253 0.2337964 -0.3472223
Moved 705.759 451.5289 253 0.2118724 -0.3472223
Moved 705.775 445.8093 260.179 0.1986327 -0.3287577
Moved 705.794 437.5741 266.9506 0.1795697 -0.3113412
Moved 705.8067 427.2699 274.3786 0.1557174 -0.2922362
Moved 705.8215 418.3133 281.5723 0.1349844 -0.273734
Moved 705.844 393.4119 297.4926 0.07734228 -0.2327867
Stationary 705.8552 393.4119 297.4926 0.07734228 -0.2327867
Moved 705.8668 380.6761 304.7355 0.04786134 -0.2141577
Moved 705.8828 364.6277 311.8965 0.01071225 -0.1957396
Moved 705.8984 348.7752 321.1431 -0.0259834 -0.1719571
Moved 705.9153 332.9943 328.2753 -0.06251319 -0.1536129
Moved 705.9303 315.2248 340.2855 -0.1036464 -0.1227225
Moved 705.9452 301.8661 349.0893 -0.1345693 -0.100079
Moved 705.9601 281.9363 360.465 -0.1807031 -0.07082056
Moved 705.9754 271.8669 366.4582 -0.2040118 -0.05540588
Moved 705.9918 259.1223 372.279 -0.2335131 -0.04043477
Moved 706.0053 250.6719 378.0447 -0.2530744 -0.02560541
Moved 706.0214 240.552 385.0342 -0.2764999 -0.007627981
Moved 706.0369 232.0823 391.2647 -0.2961057 0.008396886
Moved 706.0519 226.0087 396.1931 -0.310165 0.02107259
Moved 706.0709 221.5112 399.3259 -0.3205758 0.02913027
Moved 706.082 217.7978 403.8032 -0.3291717 0.04064603
Moved 706.0989 214.9371 407.0629 -0.3357938 0.04903008
Moved 706.114 213.5252 409.9496 -0.339062 0.05645461
Moved 706.1295 212.0771 412.8459 -0.3424142 0.06390395
Moved 706.1447 210.653 415.6939 -0.3457106 0.07122907
Moved 706.1606 211 416.5 -0.3449074 0.07330243
Moved 706.1757 211 419.7451 -0.3449074 0.08164872
Moved 706.1924 211 424.0612 -0.3449074 0.09274985
Moved 706.2068 218.0814 431.7209 -0.3285152 0.112451
Moved 706.2215 238.4882 446.558 -0.2812774 0.1506121
Moved 706.2372 264.5743 459.6247 -0.2208929 0.1842199
Moved 706.253 289.7044 468.5327 -0.1627213 0.2071312
Moved 706.2682 307.5 474 -0.1215278 0.2211934
Moved 706.2833 326.2442 475.9208 -0.07813851 0.2261336
Moved 706.3026 344.9243 478.077 -0.03489742 0.2316795
Moved 706.3149 366.5 479.5 0.0150463 0.2353394
Moved 706.3303 399.0311 481.9579 0.09034981 0.2416612
Moved 706.345 426.6847 483.4045 0.1543626 0.2453818
Moved 706.3607 443.2773 483.8434 0.1927715 0.2465107
Moved 706.3763 455.173 484 0.2203078 0.2469135
Moved 706.3917 462.2085 485.3155 0.2365938 0.250297
Moved 706.4059 471.2922 486.8585 0.2576208 0.2542655
Moved 706.4218 479.7149 490.8575 0.2771179 0.264551
Moved 706.4387 486.9194 494.1895 0.2937949 0.2731211
Moved 706.4529 493.8427 497.3371 0.3098212 0.2812168
Moved 706.4689 497.2238 500.6119 0.3176478 0.2896397
Moved 706.4834 500.1035 502.0518 0.3243136 0.2933429
Moved 706.5004 501.1179 503.1179 0.3266618 0.296085
Moved 706.5182 501 504.5977 0.3263889 0.299891
Moved 706.532 501 505.5 0.3263889 0.3022119
Moved 706.5446 501 506.2399 0.3263889 0.304115
Moved 706.5602 501 507 0.3263889 0.3060699
Moved 706.5762 490.1547 508.3557 0.301284 0.3095566
Moved 706.5904 475.3943 511.601 0.2671164 0.3179036
Moved 706.6064 452.1476 515.6265 0.2133046 0.3282574
Moved 706.6219 402.6663 521.2593 0.09876449 0.3427449
Moved 706.6376 361.9876 522.7505 0.004600982 0.3465803
Moved 706.6525 329.7029 523 -0.07013232 0.3472221
Moved 706.6677 301.8114 523 -0.1346958 0.3472221
Moved 706.6838 278.8872 523 -0.1877612 0.3472221
Moved 706.6993 263.5 523 -0.2233796 0.3472221
Moved 706.7142 252.5461 523 -0.248736 0.3472221
