if you were not so stupid
if you were not so stupid
FixStart
0.6 0.6
432 388.8
Moved 3257.486 493.2818 465 0.3085227 0.1980452
Moved 3257.5 505.6332 465 0.3371139 0.1980452
Moved 3257.515 520.1871 457.7226 0.3708034 0.1793276
Moved 3257.532 531.788 454.303 0.3976574 0.1705323
Moved 3257.546 539.9532 452.2094 0.4165585 0.1651475
Moved 3257.562 545.6178 451.0764 0.4296708 0.1622335
Moved 3257.578 552.685 449.663 0.4460301 0.1585982
Moved 3257.593 558.1147 448.2213 0.4585988 0.1548902
Moved 3257.616 566.977 446 0.4791133 0.1491768
Stationary 3257.627 566.977 446 0.4791133 0.1491768
Moved 3257.64 570.1893 444.9054 0.4865492 0.1463615
Moved 3257.654 572.538 445 0.4919862 0.1466049
Moved 3257.671 574.4304 444.2848 0.4963667 0.1447653
Moved 3257.688 576.0493 444 0.5001141 0.1440329
Stationary 3257.701 576.0493 444 0.5001141 0.1440329
Moved 3257.715 577.9323 443 0.5044729 0.1414608
Moved 3257.732 578.5 443 0.505787 0.1414608
Moved 3257.746 579 443 0.5069445 0.1414608
Stationary 3257.762 579 443 0.5069445 0.1414608
Stationary 3257.777 579 443 0.5069445 0.1414608
Moved 3257.792 571.7617 442 0.490189 0.1388888
Moved 3257.808 560.0275 440.7534 0.4630266 0.1356825
Moved 3257.824 546.848 439.3165 0.4325184 0.1319868
Moved 3257.84 526.1725 434.5432 0.3846585 0.1197097
Moved 3257.857 506.3423 431.8904 0.3387553 0.1128867
Moved 3257.871 483.1376 427.0306 0.2850407 0.1003872
Moved 3257.885 465.6295 424.1049 0.2445127 0.09286236
Moved 3257.901 457.2336 423.4704 0.2250778 0.09123033
Moved 3257.916 446.2318 423 0.1996108 0.09002049
Moved 3257.931 436.1622 421.5946 0.1763015 0.08640584
Moved 3257.948 427.7813 422 0.1569011 0.08744851
Moved 3257.962 420.5855 422 0.1402443 0.08744851
Moved 3257.977 416.8265 422 0.1315429 0.08744851
Moved 3257.994 413.6734 422 0.124244 0.08744851
Moved 3258.009 410.3088 422 0.1164555 0.08744851
Moved 3258.024 408.5125 422 0.1122974 0.08744851
Moved 3258.04 405.6402 422 0.1056486 0.08744851
Stationary 3258.055 405.6402 422 0.1056486 0.08744851
Moved 3258.07 404.626 422 0.103301 0.08744851
Stationary 3258.087 405 422 0.1041667 0.08744851
Ended 3258.1 405 422 0.1041667 0.08744851
Candidates 3258.249 12 you toy tour root roy teppy your report type terror error rope
Began 3258.657 431 269 0.1643519 -0.30607
Stationary 3258.672 431 269 0.1643519 -0.30607
Moved 3258.695 431 279.3785 0.1643519 -0.2793762
Stationary 3258.706 431 279.3785 0.1643519 -0.2793762
Moved 3258.717 422.5619 311.9432 0.1448191 -0.1956195
Moved 3258.733 418.2446 351.7172 0.1348255 -0.09331997
Moved 3258.75 413.9174 398.9092 0.1248087 0.02805855
Moved 3258.764 415 428.4054 0.1273148 0.1039232
Moved 3258.78 415 441.9346 0.1273148 0.1387206
Moved 3258.793 415 457.4031 0.1273148 0.178506
Moved 3258.81 420.9958 470.2463 0.141194 0.2115387
Moved 3258.825 425.3778 482.7001 0.1513375 0.2435701
Moved 3258.841 428.2646 489.5293 0.1580201 0.261135
Moved 3258.855 431.138 496.345 0.1646713 0.278665
Ended 3258.872 431.138 496.345 0.1646713 0.278665
Accept 3258.9 0 you
Began 3259.365 435 332 0.1736111 -0.144033
Stationary 3259.38 435 332 0.1736111 -0.144033
Stationary 3259.395 435 332 0.1736111 -0.144033
Stationary 3259.41 435 332 0.1736111 -0.144033
Stationary 3259.426 435 332 0.1736111 -0.144033
Stationary 3259.443 435 332 0.1736111 -0.144033
Stationary 3259.457 435 332 0.1736111 -0.144033
Stationary 3259.472 435 332 0.1736111 -0.144033
Stationary 3259.489 435 332 0.1736111 -0.144033
Stationary 3259.503 435 332 0.1736111 -0.144033
Moved 3259.519 425.4362 340.6944 0.1514726 -0.1216709
Moved 3259.536 418.7674 347.2325 0.1360357 -0.1048546
Moved 3259.551 412.3079 355.4305 0.1210832 -0.08376934
Moved 3259.565 402.7128 366.4711 0.09887218 -0.05537284
Moved 3259.581 392.2256 377.7744 0.07459641 -0.02630061
Moved 3259.597 384.4712 386.3186 0.05664637 -0.004324658
Moved 3259.612 371.5215 402.9221 0.02667 0.03837993
Moved 3259.628 356.883 420.8962 -0.007215241 0.08460955
Moved 3259.65 328.21 455.269 -0.07358799 0.1730168
Stationary 3259.662 328.21 455.269 -0.07358799 0.1730168
Moved 3259.674 315.6131 471.2994 -0.1027475 0.2142472
Moved 3259.689 304.193 484.1579 -0.1291829 0.2473197
Moved 3259.704 296.5 490 -0.1469907 0.2623456
Moved 3259.72 288.3401 495.7278 -0.1658793 0.2770777
Moved 3259.738 282.5165 500.1126 -0.1793599 0.2883554
Moved 3259.751 276.5555 501.8148 -0.1931585 0.2927335
Moved 3259.766 272.2378 504.5081 -0.2031532 0.2996607
Moved 3259.781 267.913 505.6957 -0.2131643 0.3027152
Moved 3259.797 264.7313 506 -0.2205295 0.3034978
Moved 3259.812 262 507.5 -0.2268519 0.3073559
Moved 3259.828 258.6428 507.6786 -0.2346231 0.3078153
Moved 3259.843 256.8827 508 -0.2386974 0.3086419
Moved 3259.859 255.4395 509 -0.2420382 0.3112139
Moved 3259.874 253.9995 509 -0.2453715 0.3112139
Moved 3259.891 252.5607 509 -0.2487021 0.3112139
Moved 3259.906 252.1191 509 -0.2497242 0.3112139
Moved 3259.92 252 510.3196 -0.25 0.3146079
Stationary 3259.935 252 510.3196 -0.25 0.3146079
Stationary 3259.951 252 510.3196 -0.25 0.3146079
Stationary 3259.966 252 510 -0.25 0.3137859
Stationary 3259.982 252 510 -0.25 0.3137859
Moved 3259.995 268.0668 510 -0.2128083 0.3137859
Moved 3260.013 283.0629 505.2914 -0.1780951 0.3016752
Moved 3260.027 298.2613 498.9216 -0.1429137 0.2852921
Moved 3260.044 307.9305 497.8966 -0.1205313 0.2826558
Moved 3260.058 316.9026 494.8389 -0.09976239 0.2747914
Moved 3260.074 323.07 492.9825 -0.08548607 0.2700166
Moved 3260.089 328.8256 491.5436 -0.07216305 0.2663159
Moved 3260.109 332.7845 490.1077 -0.06299888 0.2626227
Moved 3260.121 336.9929 488.6691 -0.05325724 0.2589224
Moved 3260.135 340.3045 488.2318 -0.04559144 0.2577978
Moved 3260.151 342.7894 487.1053 -0.03983945 0.2549004
Moved 3260.167 345.6085 485.6958 -0.03331373 0.2512752
Moved 3260.183 347.7413 484.2587 -0.02837668 0.2475789
Moved 3260.197 350.36 482.82 -0.02231484 0.2438786
Moved 3260.211 352.6177 482.3823 -0.0170887 0.2427528
Moved 3260.228 354.0515 480.9485 -0.01376972 0.2390649
Moved 3260.243 355.499 481 -0.01041894 0.2391974
Moved 3260.258 356.7203 480.2797 -0.007591893 0.2373447
Moved 3260.274 358.0746 480 -0.004456987 0.2366254
Moved 3260.29 358 478.5 -0.004629641 0.2327674
Moved 3260.305 359.5 479 -0.001157423 0.2340534
Moved 3260.32 360.1968 479 0.0004556775 0.2340534
Moved 3260.337 361.5 477.5 0.003472269 0.2301954
Moved 3260.352 362.1324 478 0.00493596 0.2314814
Moved 3260.367 365 476.5 0.01157403 0.2276234
Moved 3260.382 369.257 477 0.02142817 0.2289094
Moved 3260.397 378.7535 475.7495 0.04341096 0.2256931
Moved 3260.413 388.8496 474.3072 0.06678154 0.2219834
Moved 3260.429 396.6417 472.8716 0.0848188 0.2182911
Moved 3260.444 400.7024 472.4326 0.09421846 0.2171618
Moved 3260.459 404.0124 472 0.1018805 0.2160493
Moved 3260.475 406.8898 472 0.1085413 0.2160493
Moved 3260.49 407.5189 472 0.1099975 0.2160493
Moved 3260.506 408.9604 472 0.1133343 0.2160493
Moved 3260.525 409 470.6006 0.113426 0.2124502
Stationary 3260.538 409 471 0.113426 0.2134772
Stationary 3260.552 409 471 0.113426 0.2134772
Stationary 3260.566 409 471 0.113426 0.2134772
Moved 3260.582 399.3459 471 0.09107848 0.2134772
Moved 3260.598 393.9936 471 0.07868896 0.2134772
Moved 3260.613 381.7058 471 0.05024483 0.2134772
Moved 3260.629 367.627 471 0.01765519 0.2134772
Moved 3260.644 357.3921 471 -0.006036758 0.2134772
Moved 3260.659 347.8591 471 -0.02810389 0.2134772
Moved 3260.676 340.6689 471 -0.04474793 0.2134772
Moved 3260.692 336.3752 471 -0.05468701 0.2134772
Moved 3260.705 333.0179 471 -0.06245852 0.2134772
Moved 3260.722 329.7041 471 -0.07012939 0.2134772
Moved 3260.737 327.1277 471 -0.07609332 0.2134772
Moved 3260.751 325.689 471 -0.07942364 0.2134772
Stationary 3260.767 325.689 471 -0.07942364 0.2134772
Stationary 3260.783 326 471 -0.07870371 0.2134772
Ended 3260.797 326 471 -0.07870371 0.2134772
Candidates 3260.917 12 were wet wt eye get et fewer feet water require greater we
Began 3261.335 465 265 0.2430555 -0.3163581
Stationary 3261.352 465 265 0.2430555 -0.3163581
Stationary 3261.367 465 265 0.2430555 -0.3163581
Moved 3261.383 465 280.4612 0.2430555 -0.2765915
Moved 3261.4 455.7644 304.4974 0.2216768 -0.21477
Moved 3261.415 451.5677 337.981 0.2119623 -0.1286499
Moved 3261.43 451 380.058 0.2106482 -0.020427
Moved 3261.452 451 426.9361 0.2106482 0.1001443
Stationary 3261.461 451 426.9361 0.2106482 0.1001443
Moved 3261.476 451 446.1617 0.2106482 0.1495928
Moved 3261.491 460.5636 459.2961 0.2327861 0.1833746
Moved 3261.508 459.804 468.6276 0.2310277 0.2073755
Moved 3261.522 461.2427 474.9706 0.234358 0.2236898
Moved 3261.538 462.6843 478.0528 0.2376951 0.2316172
Ended 3261.553 464.136 481.272 0.2410556 0.2398971
Accept 3261.581 0 were
Began 3262.367 412 399 0.1203704 0.02829214
Stationary 3262.387 412 399 0.1203704 0.02829214
Stationary 3262.4 412 399 0.1203704 0.02829214
Stationary 3262.416 412 399 0.1203704 0.02829214
Stationary 3262.432 412 399 0.1203704 0.02829214
Stationary 3262.447 412 399 0.1203704 0.02829214
Stationary 3262.461 412 399 0.1203704 0.02829214
Stationary 3262.477 412 399 0.1203704 0.02829214
Stationary 3262.492 412 399 0.1203704 0.02829214
Stationary 3262.507 412 399 0.1203704 0.02829214
Stationary 3262.523 412 399 0.1203704 0.02829214
Stationary 3262.541 412 399 0.1203704 0.02829214
Stationary 3262.557 412 399 0.1203704 0.02829214
Stationary 3262.57 412 399 0.1203704 0.02829214
Moved 3262.586 412 377.2322 0.1203704 -0.02769509
Moved 3262.608 437.668 345.5691 0.1797871 -0.1091331
Stationary 3262.619 437.668 345.5691 0.1797871 -0.1091331
Moved 3262.632 447.7361 328.3096 0.2030928 -0.1535248
Moved 3262.648 457.0374 308.9253 0.2246235 -0.2033815
Moved 3262.664 464.3267 294.3467 0.2414968 -0.2408779
Moved 3262.679 470.5352 277.8086 0.2558684 -0.2834141
Moved 3262.694 475.4375 265.9791 0.2672165 -0.3138398
Moved 3262.709 478.52 254.0933 0.2743519 -0.3444104
Moved 3262.725 480.6758 245.6213 0.279342 -0.3662003
Moved 3262.74 483.2225 238.4437 0.2852372 -0.3846613
Moved 3262.756 484 233.8904 0.287037 -0.3963725
Moved 3262.771 484.9864 230.0408 0.2893203 -0.4062738
Moved 3262.788 485 225.7126 0.2893518 -0.4174057
Moved 3262.802 485 224.1281 0.2893518 -0.4214814
Moved 3262.817 486.0091 222.9908 0.2916877 -0.4244063
Moved 3262.834 486 221.5493 0.2916667 -0.428114
