are you sure you want this
are you sure you want this
Basic
0.6 0.6
432 388.8
Moved 1858.583 284 548 -0.1759259 0.4115225
Moved 1858.599 283.2338 548 -0.1776996 0.4115225
Moved 1858.614 281.8656 548 -0.1808666 0.4115225
Stationary 1858.63 281.8656 548 -0.1808666 0.4115225
Moved 1858.645 279.9823 548 -0.1852261 0.4115225
Moved 1858.665 278.5437 548 -0.1885563 0.4115225
Moved 1858.677 277.1024 548 -0.1918927 0.4115225
Moved 1858.691 274.319 548 -0.1983357 0.4115225
Moved 1858.71 273.5 537.5 -0.2002315 0.3845164
Moved 1858.722 269.349 540.1163 -0.2098403 0.3912457
Moved 1858.737 266.3399 540 -0.2168058 0.3909464
Moved 1858.753 263.4719 539 -0.2234446 0.3883744
Moved 1858.769 260.6012 537.8006 -0.2300898 0.3852895
Moved 1858.783 257.7149 537.3574 -0.2367711 0.3841496
Moved 1858.799 254.8332 537 -0.2434416 0.3832304
Moved 1858.815 252 535.5 -0.25 0.3793723
Moved 1858.831 249.8138 536 -0.2550607 0.3806583
Moved 1858.846 247.9682 534.9682 -0.2593329 0.3780045
Moved 1858.862 246.5252 535 -0.2626732 0.3780863
Moved 1858.877 244.0878 535 -0.2683153 0.3780863
Moved 1858.892 242.6491 535 -0.2716456 0.3780863
Moved 1858.907 241.2081 534 -0.2749813 0.3755144
Moved 1858.923 239.7722 534 -0.278305 0.3755144
Moved 1858.938 238.7388 534 -0.2806971 0.3755144
Moved 1858.954 237.2138 534 -0.2842273 0.3755144
Moved 1858.975 235.3337 534 -0.2885793 0.3755144
Stationary 1858.986 235.3337 534 -0.2885793 0.3755144
Moved 1859 233.891 534 -0.291919 0.3755144
Stationary 1859.016 233.891 534 -0.291919 0.3755144
Moved 1859.029 232.0137 534 -0.2962645 0.3755144
Moved 1859.046 230.9448 532.9448 -0.2987389 0.3728002
Moved 1859.063 229.5 533 -0.3020833 0.3729423
Moved 1859.084 225.2127 530.6063 -0.3120077 0.3667857
Stationary 1859.095 225.2127 530.6063 -0.3120077 0.3667857
Moved 1859.107 223.3304 529.1652 -0.3163647 0.3630792
Moved 1859.123 220.4521 529 -0.3230276 0.3626543
Moved 1859.139 217.5647 526.2823 -0.3297113 0.3556644
Moved 1859.155 215.2263 525.1132 -0.3351243 0.3526572
Moved 1859.17 212.4325 523.7162 -0.3415914 0.3490643
Moved 1859.185 209.5419 522.2709 -0.3482827 0.345347
Moved 1859.201 207.8248 520.8248 -0.3522575 0.3416274
Moved 1859.216 205.3916 520.3915 -0.35789 0.3405131
Moved 1859.232 203.9539 518.9539 -0.3612177 0.3368156
Moved 1859.247 202.5109 519 -0.364558 0.3369341
Moved 1859.262 201.306 518 -0.3673472 0.3343621
Moved 1859.278 199.9592 518 -0.3704649 0.3343621
Moved 1859.293 198.5208 518 -0.3737944 0.3343621
Moved 1859.308 198.0849 517 -0.3748033 0.33179
Stationary 1859.323 198 517 -0.375 0.33179
Stationary 1859.338 198 517 -0.375 0.33179
Stationary 1859.354 198 517 -0.375 0.33179
Ended 1859.37 198 517 -0.375 0.33179
Candidates 1860.46 12 sure assure sue ate arrow site suite dye due after air are
Began 1861.277 392 380 0.07407407 -0.02057613
Stationary 1861.306 392 380 0.07407407 -0.02057613
Stationary 1861.319 392 380 0.07407407 -0.02057613
Stationary 1861.332 392 380 0.07407407 -0.02057613
Stationary 1861.344 392 380 0.07407407 -0.02057613
Stationary 1861.358 392 380 0.07407407 -0.02057613
Stationary 1861.373 392 380 0.07407407 -0.02057613
Stationary 1861.388 392 380 0.07407407 -0.02057613
Stationary 1861.403 392 380 0.07407407 -0.02057613
Stationary 1861.418 392 380 0.07407407 -0.02057613
Stationary 1861.434 392 380 0.07407407 -0.02057613
Stationary 1861.45 392 380 0.07407407 -0.02057613
Stationary 1861.464 392 380 0.07407407 -0.02057613
Stationary 1861.48 392 380 0.07407407 -0.02057613
Stationary 1861.495 392 380 0.07407407 -0.02057613
Ended 1861.515 392 380 0.07407407 -0.02057613
NextCandidatePanel 1861.756
Began 1862.345 384 373 0.0555556 -0.03858032
Stationary 1862.363 384 373 0.0555556 -0.03858032
Stationary 1862.376 384 373 0.0555556 -0.03858032
Stationary 1862.39 384 373 0.0555556 -0.03858032
Stationary 1862.407 384 373 0.0555556 -0.03858032
Ended 1862.421 384 373 0.0555556 -0.03858032
NextCandidatePanel 1862.496
Began 1863.67 402 374 0.09722222 -0.03600823
Stationary 1863.687 402 374 0.09722222 -0.03600823
Stationary 1863.7 402 374 0.09722222 -0.03600823
Stationary 1863.715 402 374 0.09722222 -0.03600823
Stationary 1863.731 402 374 0.09722222 -0.03600823
Moved 1863.747 402 364.9991 0.09722222 -0.05915873
Moved 1863.763 402 350.3994 0.09722222 -0.09670956
Moved 1863.778 388.7299 327.433 0.06650448 -0.1557793
Moved 1863.793 383.9191 308.6764 0.05536824 -0.2040217
Moved 1863.811 381.0951 293.0229 0.0488312 -0.2442828
Moved 1863.825 379.1046 272.2552 0.04422366 -0.2976975
Moved 1863.84 377.6546 257.5464 0.04086723 -0.3355289
Moved 1863.855 378 246.501 0.04166663 -0.3639379
Moved 1863.873 378 237.6464 0.04166663 -0.386712
Moved 1863.887 378 230.7355 0.04166663 -0.4044869
Ended 1863.902 378 223 0.04166663 -0.4243828
Accept 1864.036 11 are
Began 1864.655 434 485 0.1712963 0.2494856
Stationary 1864.674 434 485 0.1712963 0.2494856
Stationary 1864.693 434 485 0.1712963 0.2494856
Stationary 1864.704 434 485 0.1712963 0.2494856
Stationary 1864.718 434 485 0.1712963 0.2494856
Stationary 1864.733 434 485 0.1712963 0.2494856
Stationary 1864.748 434 485 0.1712963 0.2494856
Stationary 1864.764 434 485 0.1712963 0.2494856
Stationary 1864.779 434 485 0.1712963 0.2494856
Stationary 1864.795 434 485 0.1712963 0.2494856
Stationary 1864.811 434 485 0.1712963 0.2494856
Stationary 1864.825 434 485 0.1712963 0.2494856
Stationary 1864.84 434 485 0.1712963 0.2494856
Moved 1864.859 444.2503 485 0.1950238 0.2494856
Moved 1864.872 456.8846 485 0.2242699 0.2494856
Moved 1864.888 464.5146 485 0.2419321 0.2494856
Moved 1864.902 474.5 485 0.2650462 0.2494856
Moved 1864.918 482.8506 485 0.2843765 0.2494856
Moved 1864.934 491.5302 485 0.304468 0.2494856
Moved 1864.949 500.2903 485 0.3247462 0.2494856
Moved 1864.965 506.1871 485 0.3383962 0.2494856
Moved 1864.979 510.1723 485 0.3476211 0.2494856
Moved 1864.995 513.5833 485 0.355517 0.2494856
Moved 1865.017 519.697 485 0.369669 0.2494856
