travel at the speed of light
travel at the speed of light
FixStart
0.6 0.6
432 388.8
Moved 2677.167 190.2823 260 -0.3928651 -0.3292181
Moved 2677.182 187.384 260 -0.3995741 -0.3292181
Moved 2677.198 185.2595 260 -0.404492 -0.3292181
Moved 2677.212 182.6401 260 -0.4105554 -0.3292181
Moved 2677.228 181.3831 260 -0.4134651 -0.3292181
Moved 2677.251 176 260 -0.4259259 -0.3292181
Stationary 2677.262 176 260 -0.4259259 -0.3292181
Moved 2677.274 174.7967 260 -0.4287114 -0.3292181
Moved 2677.289 173 260 -0.4328704 -0.3292181
Stationary 2677.306 172.7587 260 -0.4334291 -0.3292181
Moved 2677.322 171.5 260 -0.4363426 -0.3292181
Moved 2677.335 172 268.2618 -0.4351852 -0.3079686
Moved 2677.35 178.4454 274.834 -0.4202653 -0.2910647
Moved 2677.366 197.4368 290.9458 -0.3763038 -0.249625
Moved 2677.382 212.5124 300.3416 -0.3414064 -0.2254589
Moved 2677.4 262.9931 322.9971 -0.224553 -0.1671888
Moved 2677.412 298.4433 339.0365 -0.1424924 -0.125935
Moved 2677.428 322.5218 351.0782 -0.0867552 -0.09496336
Moved 2677.444 339.7204 359.3275 -0.04694353 -0.07374634
Moved 2677.46 357 366.5 -0.006944438 -0.05529835
Moved 2677.474 370.5646 373.7581 0.02445509 -0.03663035
Moved 2677.49 379.3094 378.1547 0.04469762 -0.02532237
Moved 2677.507 392.4143 386.9429 0.07503311 -0.002719031
Moved 2677.52 399.6464 390.7878 0.09177396 0.007170296
Moved 2677.536 405.5032 395.1274 0.1053315 0.01833182
Moved 2677.551 407.6228 396.6228 0.1102379 0.02217791
Moved 2677.567 409.262 398.262 0.1140324 0.02639405
Ended 2677.582 409.262 398.262 0.1140324 0.02639405
Candidates 2677.719 12 at say day are gay assay art fat sat ay fatty fast
Began 2678.104 405 258 0.1041667 -0.3343622
Stationary 2678.122 405 258 0.1041667 -0.3343622
Stationary 2678.136 405 258 0.1041667 -0.3343622
Moved 2678.152 405 295.4558 0.1041667 -0.2380252
Moved 2678.168 416.9698 335.2392 0.1318745 -0.1357018
Moved 2678.185 418.5395 371.3231 0.1355082 -0.04289344
Moved 2678.2 424.991 421.1349 0.150442 0.08522355
Moved 2678.215 434.5 459 0.1724537 0.1826131
Moved 2678.23 439.0762 467.9215 0.1830468 0.2055594
Moved 2678.245 446.0595 477.2715 0.1992119 0.2296077
Ended 2678.26 446.0595 477.2715 0.1992119 0.2296077
Accept 2678.308 0 at
Began 2678.768 415 305 0.1273148 -0.2134774
Stationary 2678.785 415 305 0.1273148 -0.2134774
Stationary 2678.8 415 305 0.1273148 -0.2134774
Stationary 2678.816 415 305 0.1273148 -0.2134774
Stationary 2678.831 415 305 0.1273148 -0.2134774
Stationary 2678.852 415 305 0.1273148 -0.2134774
Stationary 2678.862 415 305 0.1273148 -0.2134774
Stationary 2678.878 415 305 0.1273148 -0.2134774
Stationary 2678.893 415 305 0.1273148 -0.2134774
Moved 2678.908 406.0382 326.5394 0.1065698 -0.1580778
Moved 2678.924 400.6211 347.5157 0.0940302 -0.1041262
Moved 2678.939 392 383.5 0.07407407 -0.01157415
Moved 2678.954 386.1402 417.3272 0.06050964 0.07542995
Moved 2678.97 383.1944 439.0422 0.05369067 0.1312812
Moved 2678.985 383 447.9296 0.05324075 0.1541399
Moved 2679.001 382.064 455.5521 0.05107403 0.1737451
Moved 2679.017 380.6606 460.0184 0.04782538 0.1852324
Moved 2679.031 381 465.3508 0.04861106 0.1989476
Moved 2679.047 379.7871 468.4258 0.04580339 0.2068565
Moved 2679.062 380 469.6586 0.04629632 0.2100272
Moved 2679.077 380 471.0974 0.04629632 0.2137277
Moved 2679.094 378.5 471 0.04282405 0.2134772
Moved 2679.111 379 472 0.04398147 0.2160493
Stationary 2679.123 379 472 0.04398147 0.2160493
Stationary 2679.139 379 472 0.04398147 0.2160493
Moved 2679.154 389.6636 447.4282 0.06866564 0.1528502
Moved 2679.17 399.9685 422.7907 0.09251972 0.0894822
Moved 2679.186 411.7642 387.8621 0.1198244 -0.000354861
Moved 2679.201 418.1894 364.5396 0.1346978 -0.06034058
Moved 2679.216 423 349.5 0.1458333 -0.09902263
Moved 2679.232 430.0778 329.951 0.1622171 -0.1493029
Moved 2679.247 436.0135 314.4662 0.1759573 -0.1891302
Moved 2679.263 443.0784 298.4576 0.1923111 -0.2303045
Moved 2679.278 447.385 286.9733 0.2022801 -0.2598423
Moved 2679.294 449.5674 279.1627 0.2073321 -0.2799313
Moved 2679.309 450.9949 273.0206 0.2106362 -0.295729
