a picture is worth many words
a picture is worth many words
FixStart
0.6 0.6
432 388.8
Stationary 3775.816 414 184 0.125 -0.5246913
Stationary 3775.83 414 184 0.125 -0.5246913
Moved 3775.846 414 193.2383 0.125 -0.5009303
Moved 3775.861 414 200.8116 0.125 -0.4814515
Moved 3775.878 423.4117 209.6274 0.1467865 -0.4587771
Moved 3775.893 427.6964 220.8572 0.1567047 -0.4298941
Moved 3775.907 431.5 231 0.1655093 -0.4038066
Moved 3775.923 438.9029 243.8058 0.1826456 -0.3708699
Moved 3775.938 445.0276 256.0553 0.1968233 -0.339364
Moved 3775.953 451.4311 265.4897 0.211646 -0.3150985
Moved 3775.969 458.6454 277.0327 0.228346 -0.2854097
Moved 3775.984 465.4123 286.5497 0.24401 -0.2609317
Moved 3776 474.0199 299.0298 0.2639348 -0.2288329
Moved 3776.015 482.653 309.0951 0.2839189 -0.2029448
Moved 3776.032 489.877 324.0924 0.3006412 -0.1643714
Moved 3776.047 498.9354 336.9139 0.3216098 -0.1313944
Moved 3776.062 503.2835 345.5671 0.3316748 -0.1091382
Moved 3776.077 508.4893 352.3616 0.3437252 -0.09166254
Moved 3776.093 512.8996 358.1995 0.3539343 -0.07664731
Moved 3776.108 515.4827 363.2241 0.3599137 -0.06372405
Moved 3776.13 519.1816 367.1816 0.368476 -0.05354524
Stationary 3776.141 519.1816 367.1816 0.368476 -0.05354524
Moved 3776.154 520 369.6852 0.3703704 -0.04710609
Moved 3776.169 520 371.1295 0.3703704 -0.0433914
Moved 3776.185 520 372.5756 0.3703704 -0.03967191
Moved 3776.201 520 373.5 0.3703704 -0.03729432
Moved 3776.216 520 374.2253 0.3703704 -0.03542888
Moved 3776.23 502.7849 374 0.3305207 -0.03600823
Moved 3776.248 492.9964 374 0.3078621 -0.03600823
Moved 3776.262 477.8167 370.5445 0.2727238 -0.04489585
Moved 3776.278 460.4425 361.6011 0.2325058 -0.06789855
Moved 3776.293 440.5249 353.0821 0.1864003 -0.08980951
