come and see our new car
come and see our new car
Basic
0.6 0.6
432 388.8
NextCandidatePanel 1539.08
Began 1540.111 316 443 -0.1018519 0.1414608
Stationary 1540.13 316 443 -0.1018519 0.1414608
Stationary 1540.143 316 443 -0.1018519 0.1414608
Moved 1540.159 309.7541 413.2927 -0.1163101 0.06505307
Moved 1540.175 304.9958 374.6276 -0.1273245 -0.03439404
Moved 1540.191 306 321.1931 -0.125 -0.1718286
Ended 1540.206 306 294 -0.125 -0.2417696
Accept 1540.265 11 see
Began 1540.88 508 540 0.3425926 0.3909464
Stationary 1540.9 508 540 0.3425926 0.3909464
Stationary 1540.915 508 540 0.3425926 0.3909464
Stationary 1540.934 508 540 0.3425926 0.3909464
Stationary 1540.945 508 540 0.3425926 0.3909464
Stationary 1540.962 508 540 0.3425926 0.3909464
Stationary 1540.977 508 540 0.3425926 0.3909464
Stationary 1540.993 508 540 0.3425926 0.3909464
Moved 1541.007 490.0625 540 0.3010706 0.3909464
Moved 1541.025 479.9913 540 0.2777577 0.3909464
Moved 1541.039 465.3253 540 0.2438086 0.3909464
Moved 1541.055 452.1676 540 0.213351 0.3909464
Moved 1541.07 436.5115 540 0.1771099 0.3909464
Moved 1541.086 419.7889 540 0.1384003 0.3909464
Moved 1541.101 404 540 0.1018518 0.3909464
Moved 1541.117 391.895 540 0.07383098 0.3909464
Moved 1541.131 374.3521 551.3733 0.03322244 0.4201987
Moved 1541.146 361.5535 552.6339 0.003596147 0.423441
Moved 1541.161 349.1325 555.9669 -0.02515629 0.4320135
Moved 1541.179 338.988 557.4303 -0.04863892 0.4357774
Moved 1541.193 330.6402 559 -0.0679625 0.4398148
Moved 1541.208 323.4449 560.311 -0.08461837 0.4431868
Moved 1541.226 318.4101 561.318 -0.09627298 0.4457766
Moved 1541.239 311.7382 562 -0.1117171 0.4475308
Moved 1541.254 307.0933 562 -0.1224693 0.4475308
Moved 1541.27 301.8099 563 -0.1346993 0.4501028
Moved 1541.285 297.4929 563 -0.1446925 0.4501028
Moved 1541.309 288.8618 563 -0.1646717 0.4501028
Stationary 1541.32 288.8618 563 -0.1646717 0.4501028
Moved 1541.332 285.7084 563 -0.1719712 0.4501028
Moved 1541.348 282.2757 563 -0.1799174 0.4501028
Moved 1541.362 277.9559 563 -0.189917 0.4501028
Moved 1541.38 273.6765 563 -0.1998229 0.4501028
Moved 1541.393 270.227 563 -0.2078079 0.4501028
Moved 1541.408 266.024 563 -0.2175371 0.4501028
Moved 1541.423 263.4763 563 -0.2234346 0.4501028
Moved 1541.44 261.1568 563 -0.2288036 0.4501028
Moved 1541.455 258.319 563 -0.2353726 0.4501028
Moved 1541.47 255.4593 563 -0.2419924 0.4501028
Moved 1541.486 252.5829 563 -0.2486506 0.4501028
Moved 1541.502 250.7132 563 -0.2529786 0.4501028
Moved 1541.516 248.9199 563 -0.2571298 0.4501028
Moved 1541.532 247.5 563 -0.2604167 0.4501028
Moved 1541.548 246.2838 563 -0.2632319 0.4501028
Moved 1541.563 244.9427 563 -0.2663364 0.4501028
Moved 1541.579 243.508 563 -0.2696573 0.4501028
Stationary 1541.593 243.508 563 -0.2696573 0.4501028
Moved 1541.608 242.6266 563 -0.2716977 0.4501028
Stationary 1541.624 242.6266 563 -0.2716977 0.4501028
Ended 1541.64 243 563 -0.2708333 0.4501028
Candidates 1541.745 12 or our per outer pure pie pre peer potter pe it owe
Began 1542.539 339 448 -0.04861111 0.1543209
Stationary 1542.551 339 448 -0.04861111 0.1543209
Stationary 1542.564 339 448 -0.04861111 0.1543209
Moved 1542.58 313.8981 457.4012 -0.1067174 0.1785011
Moved 1542.599 295.3976 460.2289 -0.1495427 0.185774
Moved 1542.612 276.3864 461 -0.19355 0.1877571
Moved 1542.627 248.6808 462.4905 -0.2576832 0.1915906
Ended 1542.641 231 463 -0.2986111 0.1929011
Accept 1542.7 1 our
Began 1543.072 355 319 -0.01157408 -0.1774692
Stationary 1543.089 355 319 -0.01157408 -0.1774692
Stationary 1543.104 355 319 -0.01157408 -0.1774692
Stationary 1543.119 355 319 -0.01157408 -0.1774692
Moved 1543.142 376.5612 297.8047 0.03833602 -0.2319839
Stationary 1543.153 376.5612 297.8047 0.03833602 -0.2319839
Moved 1543.166 382.7875 291.2125 0.05274892 -0.2489392
Moved 1543.181 391.456 283.7867 0.07281481 -0.2680384
Moved 1543.197 394.9657 281.2757 0.08093923 -0.2744967
Moved 1543.212 399.5308 277.4692 0.09150653 -0.2842872
Moved 1543.229 402.4084 274.5916 0.09816765 -0.2916884
Moved 1543.243 404.6429 273.3571 0.10334 -0.2948634
Moved 1543.259 406.0817 273 0.1066707 -0.295782
Stationary 1543.274 406.0817 273 0.1066707 -0.295782
Stationary 1543.289 406.0817 273 0.1066707 -0.295782
Moved 1543.304 395.2634 286.9576 0.08162816 -0.2598827
Moved 1543.321 371.0488 315.09 0.02557596 -0.187526
Moved 1543.336 350.4816 341.39 -0.0220334 -0.1198818
Moved 1543.351 331.5582 363.279 -0.06583745 -0.06358291
Moved 1543.367 317.2906 384.1358 -0.09886429 -0.009938777
Moved 1543.382 303.1917 405.2125 -0.1315008 0.04427081
Moved 1543.398 289.7363 425.6219 -0.1626474 0.09676399
Moved 1543.413 278.3051 443.0424 -0.1891086 0.1415699
Moved 1543.429 266.8296 462.7983 -0.2156723 0.1923823
Moved 1543.443 258.4372 479.8382 -0.2350991 0.2362092
Moved 1543.459 251.3165 494.3669 -0.2515821 0.2735773
Moved 1543.474 246.2727 510.0304 -0.2632577 0.3138641
Moved 1543.49 240.9466 523.1334 -0.2755865 0.3475653
Moved 1543.504 236.6189 536.1432 -0.2856043 0.3810268
Moved 1543.522 234.6997 540.2507 -0.290047 0.3915913
Moved 1543.536 233.0382 547.7708 -0.293893 0.410933
Moved 1543.551 230.1904 555.0239 -0.3004851 0.4295881
Moved 1543.566 228.1628 561.3486 -0.3051786 0.4458555
Moved 1543.583 225.4418 565.8373 -0.3114773 0.4574004
Moved 1543.598 223.5676 570.1486 -0.3158157 0.468489
Moved 1543.614 221.8475 574.4575 -0.3197974 0.4795716
Moved 1543.628 220.5 575.5 -0.3229167 0.482253
Moved 1543.644 220 577.7048 -0.3240741 0.4879237
Moved 1543.666 218.4169 580 -0.3277387 0.4938271
Stationary 1543.677 218.4169 580 -0.3277387 0.4938271
Moved 1543.689 217.5 580 -0.3298611 0.4938271
Moved 1543.705 218 581.2303 -0.3287037 0.4969916
Moved 1543.721 217 582 -0.3310185 0.4989711
Stationary 1543.737 217 582 -0.3310185 0.4989711
Stationary 1543.751 217 582 -0.3310185 0.4989711
Moved 1543.767 216 582.8624 -0.3333333 0.5011891
Stationary 1543.783 216 583 -0.3333333 0.5015431
Moved 1543.797 215.2602 583 -0.3350459 0.5015431
Moved 1543.813 214.5 583 -0.3368055 0.5015431
Moved 1543.83 215 584.3068 -0.3356481 0.5049043
Moved 1543.844 213.9734 584 -0.3380245 0.5041152
Stationary 1543.859 213.9734 584 -0.3380245 0.5041152
Moved 1543.876 212.3713 584 -0.341733 0.5041152
Moved 1543.89 210.9325 584 -0.3450636 0.5041152
Moved 1543.905 206.9638 584 -0.3542506 0.5041152
Moved 1543.922 201.209 584 -0.3675719 0.5041152
Moved 1543.942 195.485 574.3488 -0.3808216 0.4792922
Moved 1543.953 186.8667 571.52 -0.4007716 0.4720164
Moved 1543.968 180.3112 568.1556 -0.4159462 0.4633632
Moved 1543.984 166.3443 557.0754 -0.4482771 0.4348647
Moved 1543.998 150.5949 540.151 -0.484734 0.3913347
Ended 1544.013 141 528.5 -0.5069445 0.3613682
Candidates 1544.103 12 new be mwe mere btw crew ne vw ve few me here
Began 1544.644 291 462 -0.1597222 0.1903292
Stationary 1544.662 291 462 -0.1597222 0.1903292
Moved 1544.678 291 488.6143 -0.1597222 0.2587816
Moved 1544.692 300.2242 540.0267 -0.1383699 0.3910152
Moved 1544.707 319.8516 600.83 -0.09293605 0.5474022
Ended 1544.729 349 662.5 -0.02546296 0.7060184
Accept 1544.783 0 new
Began 1545.336 355 325 -0.01157408 -0.1620371
Stationary 1545.355 355 325 -0.01157408 -0.1620371
Stationary 1545.372 355 325 -0.01157408 -0.1620371
Stationary 1545.387 355 325 -0.01157408 -0.1620371
Stationary 1545.401 355 325 -0.01157408 -0.1620371
Moved 1545.416 344.4081 325 -0.03609225 -0.1620371
Moved 1545.432 339.7843 316.3922 -0.04679566 -0.1841766
Moved 1545.449 334.4564 313.2738 -0.0591288 -0.192197
Moved 1545.463 327.4305 309.0583 -0.07539233 -0.2030394
Moved 1545.48 320.2759 302.2759 -0.09195393 -0.2204839
Moved 1545.493 313.086 296.2688 -0.1085973 -0.2359342
