good jobs for those with education
good jobs for those with education
FixStart
0.6 0.6
432 388.8
Stationary 1195.121 281 401 -0.1828704 0.03343609
Stationary 1195.135 281 401 -0.1828704 0.03343609
Stationary 1195.151 281 401 -0.1828704 0.03343609
Moved 1195.166 299.8088 401 -0.1393314 0.03343609
Moved 1195.182 314.233 410.2631 -0.1059421 0.05726111
Moved 1195.197 330.5 412.5 -0.06828706 0.06301432
Moved 1195.22 356.4812 419.6203 -0.008145372 0.08132785
Stationary 1195.23 356.4812 419.6203 -0.008145372 0.08132785
Moved 1195.242 362.9793 421.7448 0.006896655 0.08679213
Moved 1195.259 368.639 423.1598 0.01999776 0.09043147
Moved 1195.276 372.8273 424.6091 0.02969285 0.09415904
Moved 1195.289 376.092 427.092 0.03725002 0.1005451
Moved 1195.305 383.4242 435.909 0.05422264 0.1232227
Moved 1195.321 389.3631 449.8473 0.06797016 0.1590722
Moved 1195.335 399.0034 469.0064 0.09028573 0.2083498
Moved 1195.351 407.6111 489.0925 0.1102108 0.2600114
Moved 1195.367 419.8702 509.2425 0.1385883 0.3118376
Moved 1195.382 432.825 526.7667 0.1685764 0.3569103
Moved 1195.397 442.5377 544.0754 0.1910595 0.4014285
Moved 1195.412 449.9515 552.9515 0.2082212 0.424258
Moved 1195.428 455.126 560.5764 0.2201991 0.4438692
Moved 1195.443 461.2301 567.2301 0.2343289 0.4609827
Moved 1195.459 465.5484 571.5485 0.2443251 0.4720896
Moved 1195.474 467.226 574.226 0.2482084 0.4789762
Moved 1195.489 469.0488 577.0976 0.2524278 0.486362
Stationary 1195.505 469 577.4877 0.2523148 0.4873653
Moved 1195.52 469 578 0.2523148 0.488683
Stationary 1195.537 469 578 0.2523148 0.488683
Stationary 1195.551 469 578 0.2523148 0.488683
Moved 1195.566 469 570.7939 0.2523148 0.4701489
Moved 1195.583 455.6041 556.6041 0.2213059 0.4336525
Moved 1195.598 441.2012 530.7421 0.1879658 0.3671349
Moved 1195.613 423.1862 497.8053 0.1462643 0.2824209
Moved 1195.629 406.0636 463.4676 0.1066287 0.1941038
Moved 1195.645 394.6085 438.5387 0.08011221 0.1299863
Moved 1195.66 381.849 406.503 0.05057643 0.04758995
Moved 1195.681 370.5422 374.8555 0.02440323 -0.03380779
Stationary 1195.692 370.5422 374.8555 0.02440323 -0.03380779
Moved 1195.706 365.8981 359.1435 0.01365304 -0.07421949
Moved 1195.721 362.0155 344.062 0.004665554 -0.1130094
Moved 1195.736 360.5665 333.9652 0.001311302 -0.1389784
Moved 1195.752 357.6916 323.4205 -0.005343557 -0.1660995
Moved 1195.769 355.0446 314.1563 -0.01147072 -0.1899273
Moved 1195.783 352.167 304.0845 -0.01813198 -0.2158321
Moved 1195.798 350.2791 298.5581 -0.0225022 -0.230046
Moved 1195.813 348.7003 292.8013 -0.02615665 -0.2448527
Moved 1195.829 346.5188 288.0377 -0.03120641 -0.2571049
Moved 1195.845 344.8262 283.4786 -0.03512447 -0.2688307
Moved 1195.86 343.5 281 -0.03819446 -0.2752058
Moved 1195.875 342.3158 278.6315 -0.04093572 -0.2812976
Moved 1195.891 340.8738 275.7476 -0.04427358 -0.288715
Moved 1195.906 339.4366 274.4366 -0.04760037 -0.2920868
Moved 1195.921 339 272.9967 -0.04861111 -0.2957903
Moved 1195.937 338 271.5579 -0.05092591 -0.2994912
Moved 1195.953 337.1192 270.1192 -0.05296489 -0.3031913
Moved 1195.97 335.6728 268.6728 -0.05631297 -0.3069116
Moved 1195.985 334.6685 269 -0.05863781 -0.30607
Moved 1195.999 334 267.1249 -0.06018519 -0.3108929
Moved 1196.014 331.3647 265.6824 -0.06628543 -0.314603
Moved 1196.029 331.2445 265 -0.06656364 -0.3163581
Moved 1196.047 329.8058 265 -0.0698941 -0.3163581
Moved 1196.062 328.3688 264 -0.07322028 -0.31893
Moved 1196.081 326.9281 264 -0.07655542 -0.31893
