do you prefer a window seat
do you prefer a window seat
FixStart
0.6 0.6
432 388.8
Moved 1312.016 470.8337 312.1663 0.2565596 -0.1950457
Moved 1312.031 468 313.5 0.25 -0.1916154
Moved 1312.047 466.0732 315.9634 0.2455397 -0.1852792
Moved 1312.063 464.9725 317.0275 0.2429919 -0.1825425
Moved 1312.079 465 318.4805 0.2430555 -0.1788055
Ended 1312.095 464 320 0.2407408 -0.1748972
Candidates 1312.215 12 you toy tour your roy root roof tough truly fig rough fully
Began 1312.537 449 248 0.2060185 -0.3600824
Stationary 1312.557 449 248 0.2060185 -0.3600824
Stationary 1312.572 449 248 0.2060185 -0.3600824
Stationary 1312.586 449 248 0.2060185 -0.3600824
Stationary 1312.6 449 248 0.2060185 -0.3600824
Stationary 1312.618 449 248 0.2060185 -0.3600824
Moved 1312.632 449 261.6234 0.2060185 -0.3250429
Moved 1312.649 449 271.4741 0.2060185 -0.2997066
Moved 1312.663 449 282.7692 0.2060185 -0.2706553
Moved 1312.679 453.386 294.386 0.2161714 -0.2407768
Moved 1312.696 457.0631 304.442 0.2246832 -0.2149125
Moved 1312.711 458.5 313 0.2280092 -0.1929013
Moved 1312.725 459 321.731 0.2291666 -0.1704451
Moved 1312.748 460.613 332.839 0.2329005 -0.1418752
Stationary 1312.759 460.613 332.839 0.2329005 -0.1418752
Moved 1312.772 461 336.7529 0.2337964 -0.1318084
Moved 1312.787 461 341.0815 0.2337964 -0.1206751
Moved 1312.803 462 342.8028 0.2361111 -0.1162479
Moved 1312.818 462 345.4923 0.2361111 -0.1093306
Stationary 1312.834 462 345.4923 0.2361111 -0.1093306
Moved 1312.848 462 346 0.2361111 -0.1080248
Ended 1312.864 462 346 0.2361111 -0.1080248
Accept 1312.907 0 you
Began 1313.078 424 226 0.1481481 -0.4166668
Stationary 1313.094 424 226 0.1481481 -0.4166668
Stationary 1313.115 424 226 0.1481481 -0.4166668
Stationary 1313.126 424 226 0.1481481 -0.4166668
Stationary 1313.141 424 226 0.1481481 -0.4166668
Stationary 1313.155 424 226 0.1481481 -0.4166668
Stationary 1313.172 424 226 0.1481481 -0.4166668
Stationary 1313.187 424 226 0.1481481 -0.4166668
Stationary 1313.206 424 226 0.1481481 -0.4166668
Stationary 1313.222 424 226 0.1481481 -0.4166668
Stationary 1313.237 424 226 0.1481481 -0.4166668
Stationary 1313.25 424 226 0.1481481 -0.4166668
Stationary 1313.264 424 226 0.1481481 -0.4166668
Stationary 1313.279 424 226 0.1481481 -0.4166668
Stationary 1313.295 424 226 0.1481481 -0.4166668
Stationary 1313.31 424 226 0.1481481 -0.4166668
Stationary 1313.326 424 226 0.1481481 -0.4166668
Stationary 1313.341 424 226 0.1481481 -0.4166668
Stationary 1313.357 424 226 0.1481481 -0.4166668
Stationary 1313.372 424 226 0.1481481 -0.4166668
Moved 1313.391 435.5228 226 0.1748213 -0.4166668
Moved 1313.403 439.8471 232.6433 0.1848313 -0.3995799
Moved 1313.419 443.1772 236.1772 0.1925398 -0.3904906
Moved 1313.434 450.5 245 0.2094908 -0.3677984
Moved 1313.45 455.7655 251.7069 0.2216793 -0.3505481
Moved 1313.465 462.8971 261.6559 0.2381876 -0.3249591
Moved 1313.481 469.105 270.7471 0.252558 -0.3015764
Moved 1313.496 475.0825 280.8943 0.2663946 -0.2754775
Moved 1313.51 483.2323 290.2323 0.28526 -0.2514601
Moved 1313.527 488.4082 297.1123 0.2972412 -0.2337647
Moved 1313.542 496.4391 306.679 0.3158314 -0.209159
Moved 1313.558 503.374 315.374 0.3318842 -0.1867954
Moved 1313.572 509.4707 321.4707 0.345997 -0.1711144
Moved 1313.587 518.321 331.321 0.3664837 -0.1457794
Moved 1313.604 526.969 338.9742 0.3865023 -0.1260952
Moved 1313.62 537.1216 347.6757 0.4100038 -0.1037148
Moved 1313.635 543.4085 352.0451 0.4245567 -0.09247665
Moved 1313.65 552.1628 358.1163 0.4448212 -0.07686152
Moved 1313.666 559.3313 362.3988 0.4614151 -0.06584677
Moved 1313.681 567.5068 367.7041 0.4803399 -0.05220146
Moved 1313.696 576.0371 372.0186 0.5000859 -0.04110461
Moved 1313.711 582.1359 374.568 0.5142035 -0.03454742
Moved 1313.727 587.905 377.4525 0.5275579 -0.02712838
Moved 1313.742 591.5 380 0.5358797 -0.02057613
Moved 1313.758 595.3165 381.5444 0.5447142 -0.01660398
Moved 1313.774 599.6424 384.4283 0.5547278 -0.009186513
Moved 1313.788 602.3152 385.6577 0.5609148 -0.006024631
Moved 1313.811 606.5 388.5 0.5706018 0.00128589
Stationary 1313.822 606.5 388.5 0.5706018 0.00128589
Moved 1313.833 607.9805 389.9805 0.574029 0.005093916
Moved 1313.851 609.4194 391.4194 0.5773597 0.008794604
Moved 1313.867 609 391 0.576389 0.007715971
Moved 1313.882 609.9379 392 0.5785599 0.01028803
Stationary 1313.897 610 392 0.5787036 0.01028803
Moved 1313.911 610 393 0.5787036 0.01285996
Moved 1313.926 610 394.267 0.5787036 0.01611871
Moved 1313.942 586.8824 396 0.5251907 0.02057605
Moved 1313.959 569.2796 397.1434 0.4844435 0.02351682
Moved 1313.973 556.6732 397 0.4552619 0.02314815
Moved 1313.988 523.5977 397 0.3786984 0.02314815
Moved 1314.005 504.2892 389.0021 0.3340029 0.002577275
Moved 1314.02 486.4907 385.2671 0.2928024 -0.007029129
Moved 1314.035 468.7538 380.9384 0.2517449 -0.01816251
Moved 1314.052 451.4901 376.6225 0.2117826 -0.02926312
Moved 1314.065 438.8907 375.0989 0.1826173 -0.03318182
Moved 1314.081 429.0726 374.0081 0.1598902 -0.03598751
Moved 1314.096 411.8166 371.1361 0.1199458 -0.04337429
Moved 1314.112 401.8965 369.1281 0.09698271 -0.04853904
Moved 1314.127 393.089 369 0.07659485 -0.04886839
Moved 1314.143 386.1975 368 0.06064246 -0.05144041
Moved 1314.158 379.0006 368 0.04398287 -0.05144041
Moved 1314.173 374.0871 368 0.032609 -0.05144041
Moved 1314.189 370.512 368 0.0243334 -0.05144041
Moved 1314.211 366.3385 368 0.01467238 -0.05144041
Moved 1314.221 363.0241 368 0.007000168 -0.05144041
Moved 1314.234 359.7927 368 -0.0004798671 -0.05144041
Moved 1314.253 357.4553 368 -0.005890479 -0.05144041
Moved 1314.266 355.0276 368 -0.0115103 -0.05144041
Moved 1314.281 353.6023 368 -0.01480942 -0.05144041
Moved 1314.298 351 368 -0.02083332 -0.05144041
Moved 1314.312 349.1187 368 -0.02518823 -0.05144041
Moved 1314.328 346.2252 368 -0.03188605 -0.05144041
Moved 1314.344 342.5213 368 -0.04046003 -0.05144041
Moved 1314.359 339.4691 368 -0.04752522 -0.05144041
Moved 1314.374 335.8789 367.293 -0.05583594 -0.05325882
Moved 1314.391 332.6887 367 -0.06322071 -0.05401234
Moved 1314.406 330 365.5 -0.06944443 -0.05787045
Moved 1314.42 327.6695 366 -0.07483914 -0.05658444
Moved 1314.436 325.8972 364.8972 -0.07894167 -0.05942073
Moved 1314.453 324.5 365 -0.08217593 -0.05915646
Stationary 1314.466 324.5 365 -0.08217593 -0.05915646
Moved 1314.482 324 365 -0.08333336 -0.05915646
Stationary 1314.498 324 365 -0.08333336 -0.05915646
Stationary 1314.513 324 365 -0.08333336 -0.05915646
Moved 1314.528 324 363.6771 -0.08333336 -0.06255907
Moved 1314.544 339.3084 362.1383 -0.04789715 -0.06651678
Moved 1314.559 347.8875 359.3708 -0.02803832 -0.07363472
Moved 1314.579 356.516 356.4947 -0.008064906 -0.08103233
