travel at the speed of light
travel at the speed of light
FixStart
0.6 0.6
432 388.8
Stationary 552.4647 228.6174 310 -0.3041265 -0.2006174
Moved 552.4805 219.024 310 -0.3263333 -0.2006174
Moved 552.4966 214 310 -0.3379629 -0.2006174
Moved 552.5143 211.46 310 -0.3438425 -0.2006174
Moved 552.528 208.4293 310 -0.3508581 -0.2006174
Moved 552.5427 206.5687 310 -0.3551649 -0.2006174
Moved 552.5578 204.8456 310 -0.3591536 -0.2006174
Stationary 552.5728 204.8456 310 -0.3591536 -0.2006174
Stationary 552.5888 205 310 -0.3587963 -0.2006174
Moved 552.611 225.3628 341.3628 -0.3116602 -0.1199517
Stationary 552.6215 225.3628 341.3628 -0.3116602 -0.1199517
Moved 552.6366 241.4145 357.4145 -0.2745034 -0.07866651
Moved 552.6518 263.2734 373.3339 -0.2239041 -0.03772162
Moved 552.6666 284.7937 390.0776 -0.1740887 0.005343558
Moved 552.6819 307.826 404.6413 -0.120773 0.04280161
Moved 552.6983 327.362 413.681 -0.07555097 0.06605175
Moved 552.7133 342.4347 419.9739 -0.04066035 0.08223725
Moved 552.7277 353.8947 424.0526 -0.01413266 0.09272783
Moved 552.7432 366.8967 430.1587 0.01596461 0.1084328
Moved 552.7589 376.3702 434.6851 0.03789405 0.1200748
Moved 552.7749 386.6902 440.6801 0.061783 0.135494
Moved 552.7897 394.5438 445.3263 0.07996251 0.1474441
Moved 552.8057 401.7598 449.6559 0.09666622 0.1585799
Moved 552.8206 406.9759 452.9839 0.1087404 0.1671396
Moved 552.8367 411.1849 455.0925 0.1184836 0.1725628
Moved 552.8522 415.4803 457.9868 0.1284266 0.1800072
Ended 552.8673 445.5 469 0.1979166 0.2083333
Candidates 553.0023 12 are art at gary far asset sweet dare fare set ar fat
Began 553.834 320 332 -0.09259259 -0.144033
Moved 553.8542 330.0028 332 -0.06943787 -0.144033
Moved 553.8678 343.1325 332 -0.03904507 -0.144033
Moved 553.8848 374.1481 332 0.03275017 -0.144033
Moved 553.905 490.5493 346.9856 0.3021973 -0.1054898
Stationary 553.915 490.5493 346.9856 0.3021973 -0.1054898
Ended 553.9288 507 349 0.3402778 -0.1003086
Accept 553.9734 2 at
Began 554.6661 433 262 0.1689814 -0.3240741
Stationary 554.688 433 262 0.1689814 -0.3240741
Stationary 554.6998 433 262 0.1689814 -0.3240741
Stationary 554.7151 433 262 0.1689814 -0.3240741
Stationary 554.7305 433 262 0.1689814 -0.3240741
Moved 554.7462 412.284 293.074 0.1210277 -0.2441512
Moved 554.7614 396.4496 322.878 0.08437414 -0.1674949
Moved 554.7779 383.2508 347.707 0.05382121 -0.1036343
Moved 554.7935 365.142 386.3095 0.01190275 -0.004348009
Moved 554.808 357.3082 403.122 -0.006231119 0.03889405
Moved 554.8233 351.2913 421.3033 -0.02015904 0.08565655
Moved 554.8394 347.7626 431.9498 -0.02832735 0.1130395
Moved 554.855 344.8789 440.3026 -0.03500248 0.1345231
Moved 554.8698 344 446.5025 -0.03703703 0.1504693
Moved 554.8862 343.2807 451.158 -0.03870214 0.1624432
Moved 554.9016 343 455.206 -0.03935183 0.1728548
Moved 554.9169 343 456.5 -0.03935183 0.1761831
Moved 554.938 343 461.3937 -0.03935183 0.1887696
Stationary 554.9498 343 461.3937 -0.03935183 0.1887696
Stationary 554.9612 343 461.3937 -0.03935183 0.1887696
Moved 554.9774 355.7764 450.7789 -0.009776802 0.1614682
Moved 554.9933 374 430.5 0.03240744 0.1093106
Moved 555.0079 394.3298 396.4504 0.0794671 0.02173443
Moved 555.0227 413.33 363.1084 0.1234491 -0.06402168
Moved 555.0377 424.5878 341.2214 0.1495087 -0.1203153
Moved 555.055 436.1238 319.8929 0.1762125 -0.1751725
Moved 555.0707 444.9216 306.9098 0.1965777 -0.2085654
Moved 555.0875 451.1158 296.7974 0.2109162 -0.2345747
Moved 555.1022 456.7885 286.8702 0.2240474 -0.2601075
Moved 555.1169 460.5232 281.7151 0.2326927 -0.2733665
Moved 555.1324 466.7614 265.5369 0.2471329 -0.3149772
Moved 555.147 469.7588 258.103 0.2540713 -0.3340972
Moved 555.1625 473.6364 249.0909 0.2630471 -0.3572764
Moved 555.1793 476.5211 241.6973 0.2697247 -0.3762931
Moved 555.1938 478.6993 236.902 0.274767 -0.3886267
Moved 555.209 481.281 232.5785 0.280743 -0.3997467
Moved 555.2247 482.1943 229.417 0.2828572 -0.4078782
Moved 555.2397 483.6976 226.6047 0.2863371 -0.4151113
Moved 555.2615 485.576 223.424 0.2906852 -0.4232923
Stationary 555.2719 485.576 223.424 0.2906852 -0.4232923
Moved 555.2858 486 223 0.2916667 -0.4243828
Stationary 555.3014 486 223 0.2916667 -0.4243828
Stationary 555.3152 486 223 0.2916667 -0.4243828
Moved 555.3323 486 229.9143 0.2916667 -0.406599
Moved 555.3481 470.2209 240.0413 0.255141 -0.3805523
Moved 555.363 459.0302 252.0985 0.2292366 -0.3495409
Moved 555.3785 445.0013 264.6988 0.1967624 -0.3171328
Moved 555.3943 427.8148 280.4411 0.1569788 -0.2766433
Moved 555.4091 409.5785 296.049 0.1147651 -0.2364996
Moved 555.4236 388.9975 311.127 0.06712387 -0.1977187
Moved 555.4406 369.9568 327.4127 0.02304822 -0.1558316
Moved 555.4559 342.9222 346.8545 -0.03953199 -0.105827
Moved 555.4703 328.8449 358.5107 -0.07211824 -0.07584709
Moved 555.4874 318.4182 367.4987 -0.0962543 -0.05272971
Moved 555.5016 309.8517 376.673 -0.1160841 -0.02913314
Moved 555.5168 303.1571 383.8429 -0.1315808 -0.01069222
Moved 555.5325 297.3865 389.6135 -0.1449387 0.004149974
Moved 555.5471 294.737 393.8945 -0.1510718 0.01516075
Moved 555.5671 291.1527 397.8473 -0.1593687 0.02532735
Moved 555.5793 288.2001 403.5999 -0.1662035 0.04012304
Moved 555.5945 287.1648 404.8352 -0.1686001 0.04330038
Moved 555.6094 287 407.5264 -0.1689815 0.05022225
Ended 555.6241 287 407.5264 -0.1689815 0.05022225
Candidates 555.7452 12 the where there threw further gene egfr edge regret refer either refuge
Began 556.1772 437 266 0.1782407 -0.3137861
Stationary 556.1946 437 266 0.1782407 -0.3137861
Stationary 556.2102 437 266 0.1782407 -0.3137861
Moved 556.2259 437 282.4484 0.1782407 -0.2714805
Moved 556.241 437 302.8101 0.1782407 -0.21911
Moved 556.2567 447.6058 359.2315 0.2027912 -0.07399312
Moved 556.271 483.8117 468.4351 0.2866011 0.2068802
Ended 556.2869 483.8117 468.4351 0.2866011 0.2068802
Accept 556.3465 0 the
Began 557.2718 430 333 0.162037 -0.141461
