a picture is worth many words
a picture is worth many words
FixStart
0.6 0.6
432 388.8
Moved 162.5605 449.9365 310.9365 0.2081864 -0.1982087
Moved 162.5754 461.1693 319.4868 0.2341882 -0.1762173
Moved 162.5918 478.0822 332.2941 0.2733386 -0.1432766
Moved 162.6066 488.0473 340.0368 0.2964057 -0.1233622
Moved 162.6219 503.0737 355.0737 0.331189 -0.08468714
Moved 162.6372 515.1238 372.0779 0.3590828 -0.04095187
Moved 162.6534 526.7982 386.9978 0.386107 -0.002577746
Moved 162.6681 533.3572 397.7715 0.4012898 0.02513249
Moved 162.6827 541.196 406.9951 0.4194353 0.04885571
Moved 162.6991 548.4287 423.0003 0.4361775 0.09002127
Moved 162.7153 550.8889 427.7779 0.4418725 0.1023093
Moved 162.7292 552.7397 435.589 0.4461567 0.1223996
Moved 162.745 553 440.2955 0.4467593 0.1345049
Moved 162.7602 553 445.8655 0.4467593 0.1488309
Moved 162.7751 553 451.1653 0.4467593 0.1624622
Moved 162.7908 553 453.8998 0.4467593 0.1694952
Moved 162.8066 553 456.62 0.4467593 0.1764917
Moved 162.8254 548.2608 459.3541 0.4357889 0.1835237
Moved 162.8369 543.6807 460.7731 0.4251868 0.1871736
Moved 162.8529 537.7234 464.166 0.4113969 0.1959
Moved 162.8683 529.4865 464 0.3923299 0.1954732
Moved 162.8837 516.0065 464 0.3611263 0.1954732
Moved 162.8988 501.4533 464 0.3274383 0.1954732
Moved 162.9164 483.5 452 0.2858797 0.164609
Moved 162.9304 461.2925 443.0189 0.2344734 0.1415094
Moved 162.9451 439.2151 434.5807 0.1833684 0.1198062
Moved 162.9685 396.9108 415.3248 0.08544167 0.07027983
Stationary 162.9801 396.9108 415.3248 0.08544167 0.07027983
Moved 162.9913 377.2153 401.8912 0.03985028 0.03572848
Moved 163.0103 359.3539 390.7562 -0.001495729 0.007089018
Moved 163.023 345.5676 381.1406 -0.03340841 -0.01764266
Moved 163.038 333.9243 373.9526 -0.06036053 -0.03613013
Moved 163.0531 321.6099 365.7399 -0.08886591 -0.05725327
Moved 163.0679 314.5 359 -0.1053241 -0.07458848
Moved 163.0837 306.6311 354.9321 -0.123539 -0.08505134
Moved 163.0987 299.3596 350.6158 -0.1403713 -0.09615289
Moved 163.1147 292.5161 347.0107 -0.1562127 -0.1054251
Moved 163.1311 288.4187 344.2791 -0.1656974 -0.1124509
Moved 163.1453 284.3069 340.3069 -0.1752155 -0.1226676
Ended 163.1619 282 341 -0.1805555 -0.1208849
Candidates 163.3453 12 its ita hours goes irs hits gotta ira is ours how hired
Began 163.8678 422 301 0.1435185 -0.2237656
Stationary 163.8852 422 301 0.1435185 -0.2237656
Stationary 163.899 422 301 0.1435185 -0.2237656
Stationary 163.9155 422 301 0.1435185 -0.2237656
Stationary 163.9312 422 301 0.1435185 -0.2237656
Stationary 163.9472 422 301 0.1435185 -0.2237656
Stationary 163.9636 422 301 0.1435185 -0.2237656
Stationary 163.9767 422 301 0.1435185 -0.2237656
Stationary 163.9908 422 301 0.1435185 -0.2237656
Stationary 164.0067 422 301 0.1435185 -0.2237656
Stationary 164.0276 422 301 0.1435185 -0.2237656
Stationary 164.0395 422 301 0.1435185 -0.2237656
Stationary 164.0528 422 301 0.1435185 -0.2237656
Ended 164.0693 422 301 0.1435185 -0.2237656
NextCandidatePanel 164.1133
Began 164.5454 414 332 0.125 -0.144033
Stationary 164.5652 414 332 0.125 -0.144033
Stationary 164.5779 414 332 0.125 -0.144033
Stationary 164.593 414 332 0.125 -0.144033
Stationary 164.6093 414 332 0.125 -0.144033
Stationary 164.626 414 332 0.125 -0.144033
Stationary 164.64 414 332 0.125 -0.144033
Ended 164.6559 414 332 0.125 -0.144033
NextCandidatePanel 164.7151
Began 165.0067 424 325 0.1481481 -0.1620371
Stationary 165.0261 424 325 0.1481481 -0.1620371
Stationary 165.0403 424 325 0.1481481 -0.1620371
Stationary 165.0553 424 325 0.1481481 -0.1620371
Stationary 165.0721 424 325 0.1481481 -0.1620371
Stationary 165.0863 424 325 0.1481481 -0.1620371
Stationary 165.1008 424 325 0.1481481 -0.1620371
Stationary 165.1184 424 325 0.1481481 -0.1620371
Stationary 165.1405 424 325 0.1481481 -0.1620371
Stationary 165.1507 424 325 0.1481481 -0.1620371
Stationary 165.1636 424 325 0.1481481 -0.1620371
Stationary 165.1793 424 325 0.1481481 -0.1620371
Stationary 165.194 424 325 0.1481481 -0.1620371
Stationary 165.2104 424 325 0.1481481 -0.1620371
Stationary 165.2257 424 325 0.1481481 -0.1620371
Stationary 165.2412 424 325 0.1481481 -0.1620371
Stationary 165.2567 424 325 0.1481481 -0.1620371
Stationary 165.2723 424 325 0.1481481 -0.1620371
Stationary 165.2867 424 325 0.1481481 -0.1620371
Stationary 165.3015 424 325 0.1481481 -0.1620371
Stationary 165.3183 424 325 0.1481481 -0.1620371
Stationary 165.3333 424 325 0.1481481 -0.1620371
Stationary 165.3479 424 325 0.1481481 -0.1620371
Moved 165.3636 424 342.8405 0.1481481 -0.1161511
Moved 165.3801 424 363.0884 0.1481481 -0.06407318
Moved 165.3954 424 378.4159 0.1481481 -0.02465048
Moved 165.4107 424 391.6401 0.1481481 0.009362334
Moved 165.4258 424 401.0222 0.1481481 0.03349312
Moved 165.4406 424 406.202 0.1481481 0.04681583
Moved 165.4568 424 409.3307 0.1481481 0.0548628
Moved 165.479 424 414.8795 0.1481481 0.06913432
Stationary 165.4891 424 414.8795 0.1481481 0.06913432
Moved 165.5023 417.3568 416.8981 0.1327704 0.07432627
Moved 165.5184 417 418.314 0.1319444 0.07796797
Stationary 165.5341 417 418.314 0.1319444 0.07796797
Moved 165.5471 417 420.041 0.1319444 0.08240994
Stationary 165.5638 417 420.041 0.1319444 0.08240994
Moved 165.5789 416 421 0.1296297 0.08487643
Moved 165.5956 416 421.8457 0.1296297 0.08705162
Stationary 165.6108 416 422 0.1296297 0.08744851
Moved 165.6261 415.4847 423 0.1284368 0.09002049
Moved 165.6406 414.5 423 0.1261574 0.09002049
Stationary 165.6571 414.5 423 0.1261574 0.09002049
Moved 165.6709 414.3843 423 0.1258896 0.09002049
Stationary 165.6865 414 423 0.125 0.09002049
Ended 165.7037 414 423 0.125 0.09002049
