this is a very good idea
this is a very good idea
FixStart
0.6 0.6
432 388.8
Stationary 986.8318 473 618 0.2615741 0.5915637
Moved 986.8497 462.7388 618 0.2378213 0.5915637
Moved 986.8638 456.4914 610.4066 0.2233597 0.5720334
Moved 986.8864 430.133 597.0665 0.162345 0.5377225
Stationary 986.8968 430.133 597.0665 0.162345 0.5377225
Moved 986.9091 412.9335 588.4667 0.1225313 0.5156036
Moved 986.9257 398.3624 579.8174 0.08880178 0.4933574
Moved 986.9409 380.1638 567.3442 0.0466755 0.4612761
Moved 986.9557 360.3754 552.3368 0.0008689364 0.4226769
Moved 986.9716 343.7233 538.6199 -0.03767763 0.3873968
Moved 986.9875 323.6923 522.8297 -0.08404553 0.3467841
Moved 987.0028 309.3265 510.7449 -0.1172997 0.3157017
Moved 987.019 294.4585 498.9668 -0.1517164 0.2854083
Moved 987.0341 282.1125 489.5089 -0.1802952 0.2610825
Moved 987.0502 272.0518 480.0519 -0.2035837 0.2367589
Moved 987.0653 264.5369 474.6913 -0.2209794 0.2229713
Moved 987.0809 258.9753 470.7315 -0.2338534 0.2127867
Moved 987.0967 253.542 466.6565 -0.2464306 0.2023057
Moved 987.1107 247.7701 462.8851 -0.2597914 0.1926055
Moved 987.1269 242.0094 460.0047 -0.2731264 0.1851972
Moved 987.1436 237.6781 458.5594 -0.2831524 0.1814798
Moved 987.1579 232.4063 456.2031 -0.2953559 0.1754195
Moved 987.173 229.6465 454.8232 -0.3017441 0.1718704
Moved 987.1887 228.9076 455 -0.3034545 0.172325
Moved 987.204 226.9526 453.9763 -0.3079801 0.1696921
Moved 987.2197 224.1723 452.5861 -0.3144161 0.1661166
Moved 987.2346 221.3236 452.1618 -0.3210101 0.1650251
Moved 987.2508 219.7448 450.7448 -0.3246649 0.1613804
Moved 987.2656 217.3321 450.3321 -0.3302498 0.1603191
Moved 987.2811 214.835 448.9175 -0.33603 0.1566809
Moved 987.2961 212 449 -0.3425926 0.156893
Moved 987.311 210.7886 447.3943 -0.3453968 0.152763
Moved 987.327 207.9317 445.9659 -0.3520099 0.1490891
Moved 987.343 206.5347 446 -0.3552438 0.1491768
Moved 987.3575 205.1006 445.1006 -0.3585633 0.1468637
Moved 987.3729 203.6714 445 -0.3618717 0.1466049
Stationary 987.3887 203.6714 445 -0.3618717 0.1466049
Moved 987.4045 201.7968 445 -0.3662111 0.1466049
Stationary 987.4184 202 445 -0.3657407 0.1466049
Moved 987.4386 200.5 445 -0.369213 0.1466049
Stationary 987.4515 200.5 445 -0.369213 0.1466049
Stationary 987.466 200.5 445 -0.369213 0.1466049
Moved 987.4808 199.8138 445 -0.3708013 0.1466049
Stationary 987.499 200 445 -0.3703704 0.1466049
Moved 987.5117 200 451.2147 -0.3703704 0.1625892
Ended 987.5264 200 452 -0.3703704 0.164609
Candidates 987.679 12 is good of his god if goods odds odd gods off id
Began 988.253 359 411 -0.002314796 0.05915629
Stationary 988.2681 359 411 -0.002314796 0.05915629
Stationary 988.282 359 411 -0.002314796 0.05915629
Stationary 988.2979 359 411 -0.002314796 0.05915629
Moved 988.3129 359 437.863 -0.002314796 0.1282485
Moved 988.3292 359 482.3961 -0.002314796 0.2427881
Moved 988.3454 370.1483 538.348 0.02349148 0.3866973
Moved 988.3608 369 593.7587 0.02083332 0.5292146
Ended 988.376 369 618.5 0.02083332 0.5928496
Accept 988.4047 0 is
Began 988.7256 345 432 -0.03472224 0.1131687
Stationary 988.748 345 432 -0.03472224 0.1131687
Stationary 988.761 345 432 -0.03472224 0.1131687
Stationary 988.7766 345 432 -0.03472224 0.1131687
Moved 988.792 333.3085 432 -0.06178588 0.1131687
Moved 988.8071 327.5714 432 -0.0750661 0.1131687
Moved 988.8223 319.1589 428.1589 -0.09453957 0.1032894
Moved 988.8391 310.9577 425 -0.1135238 0.09516452
Moved 988.8538 294.1261 423.9376 -0.152486 0.09243196
Moved 988.8687 280.1932 422.5193 -0.184738 0.08878425
