a very traditional way to dress
a very traditional way to dress
Basic
0.6 0.6
432 388.8
Moved 2131.061 240 508.3611 -0.2777777 0.3095706
Moved 2131.076 255.9409 512.8528 -0.2408777 0.3211235
Moved 2131.092 267.4839 517.1815 -0.2141576 0.3322568
Moved 2131.106 277.4047 521.4592 -0.1911928 0.3432591
Moved 2131.121 287.545 522.935 -0.16772 0.3470549
Moved 2131.136 297.616 524.3737 -0.1444075 0.3507554
Moved 2131.152 304.2772 525.3253 -0.128988 0.3532029
Moved 2131.168 312.3343 525 -0.1103373 0.3523662
Moved 2131.183 316.9731 525 -0.09959936 0.3523662
Moved 2131.199 319.7669 525 -0.09313221 0.3523662
Moved 2131.213 322.4111 526.2056 -0.08701126 0.3554669
Moved 2131.229 324.6462 526 -0.08183742 0.3549381
Moved 2131.245 326.086 526 -0.07850468 0.3549381
Moved 2131.26 327.1509 526 -0.07603963 0.3549381
Moved 2131.275 328.5 526 -0.07291664 0.3549381
Moved 2131.291 329.0401 526 -0.07166635 0.3549381
Moved 2131.306 330.522 526 -0.06823609 0.3549381
Moved 2131.324 331.5 526 -0.06597221 0.3549381
Moved 2131.337 332.1994 526 -0.06435324 0.3549381
Moved 2131.351 333.5 526 -0.06134262 0.3549381
Stationary 2131.369 333.5 526 -0.06134262 0.3549381
Moved 2131.383 335.3691 526 -0.05701602 0.3549381
Moved 2131.399 338.6136 526 -0.04950558 0.3549381
Moved 2131.416 342.7365 526 -0.03996169 0.3549381
Moved 2131.429 348.4211 526 -0.02680307 0.3549381
Moved 2131.445 357.8832 526 -0.004899899 0.3549381
Moved 2131.46 367.9549 526 0.01841406 0.3549381
Moved 2131.481 376.3977 519.8312 0.03795763 0.3390718
Moved 2131.493 384.8799 518 0.05759229 0.3343621
Moved 2131.507 391.3285 515.4179 0.07251967 0.3277209
Moved 2131.522 396.0525 513.9825 0.08345495 0.3240289
Moved 2131.538 400.3816 512.5395 0.09347587 0.3203175
Moved 2131.553 402.8016 512.0992 0.09907772 0.3191852
Moved 2131.568 405.6868 512 0.1057564 0.31893
Moved 2131.584 408 512 0.1111111 0.31893
Moved 2131.599 409.8862 511 0.1154773 0.3163579
Moved 2131.615 411.3252 511 0.1188084 0.3163579
Moved 2131.63 413.5413 510 0.1239381 0.3137859
Ended 2131.645 418.8452 510 0.1362159 0.3137859
Candidates 2131.765 12 very cry betty vary barry veto bet better battery carey bay carry
Began 2132.243 404 209 0.1018518 -0.4603909
