if you were not so stupid
if you were not so stupid
FixStart
0.6 0.6
432 388.8
Moved 1245.57 432.0753 328.527 0.1668409 -0.1529655
Moved 1245.585 434.9225 346.5352 0.1734318 -0.1066481
Moved 1245.6 439.2101 379.2775 0.1833567 -0.02243458
Moved 1245.615 442.2439 391.2196 0.1903794 0.008280836
Moved 1245.637 452.0442 430.1768 0.2130653 0.1084794
Stationary 1245.648 452.0442 430.1768 0.2130653 0.1084794
Moved 1245.662 455.3861 442.9536 0.2208011 0.1413414
Moved 1245.677 459.6504 455.9512 0.2306722 0.1747714
Moved 1245.693 463.9844 468.2917 0.2407046 0.2065116
Moved 1245.709 469.4007 482.0017 0.2532422 0.2417739
Moved 1245.723 473.5 493 0.2627315 0.2700616
Moved 1245.739 477.6152 499.5767 0.2722575 0.2869769
Moved 1245.753 482.2558 507.4263 0.2829996 0.3071664
Moved 1245.77 488.1104 515.6931 0.2965518 0.3284287
Moved 1245.786 494.8315 527.6966 0.3121099 0.3593019
Moved 1245.8 500.6043 540.6096 0.3254729 0.3925143
Moved 1245.816 506.3448 548.0173 0.3387612 0.4115669
Moved 1245.83 512.1846 555.4807 0.3522792 0.4307629
Moved 1245.846 516.1024 562.9292 0.3613482 0.4499207
Moved 1245.863 521.3947 570.193 0.3735988 0.4686033
Moved 1245.878 524.467 574.7004 0.3807106 0.4801965
Moved 1245.894 526.6766 579.0299 0.3858255 0.491332
Moved 1245.909 527 582.2289 0.3865741 0.4995598
Moved 1245.925 527 585.1064 0.3865741 0.5069608
Moved 1245.94 527 586.9919 0.3865741 0.5118105
Moved 1245.955 527 589.1882 0.3865741 0.5174592
Moved 1245.974 511.4508 592.1373 0.3505806 0.5250443
Moved 1245.986 498.9952 595.0011 0.3217481 0.5324101
Moved 1246 481.779 595 0.2818957 0.5324073
Moved 1246.017 462.9042 595 0.2382042 0.5324073
Moved 1246.031 445.2233 595 0.1972762 0.5324073
Moved 1246.046 420.4401 584.74 0.1399076 0.5060184
Moved 1246.062 400.7777 578.6274 0.0943929 0.4902968
Moved 1246.078 377.0934 570.2682 0.03956794 0.4687968
Moved 1246.093 349.2432 559.326 -0.02489999 0.4406531
Moved 1246.108 329.7771 549.8031 -0.06996036 0.4161601
Moved 1246.124 315.8983 543.9492 -0.1020873 0.4011037
Moved 1246.139 303.6082 538.8531 -0.1305365 0.3879965
Moved 1246.154 294.074 534.537 -0.1526065 0.3768954
Moved 1246.17 287.6199 532.324 -0.1675465 0.3712036
Moved 1246.188 283.9933 530.9966 -0.1759415 0.3677896
Ended 1246.201 283 531 -0.1782407 0.3677982
Candidates 1246.446 12 not more npr mph blood blot mood mog nor moore note nope
Began 1246.938 405 300 0.1041667 -0.2263375
Stationary 1246.957 405 300 0.1041667 -0.2263375
Moved 1246.979 415.9202 387.4967 0.1294449 -0.001294525
