want to join us for lunch
want to join us for lunch
Basic
0.6 0.6
432 388.8
Moved 457.128 206.1475 381.1844 -0.3561399 -0.01752971
Moved 457.1429 203.1937 375.3875 -0.3629775 -0.03243968
Moved 457.1584 200.3103 371.4655 -0.369652 -0.04252696
Moved 457.1734 198.7136 369.7136 -0.3733481 -0.04703294
Moved 457.1905 197.5 368.5 -0.3761574 -0.0501544
Moved 457.2049 196.1991 367.1992 -0.3791686 -0.0535001
Ended 457.2203 195.5 366.5 -0.3807871 -0.05529835
Candidates 457.3568 12 ya ita its usa us ura ts ta ira yes eta irs
Began 457.7256 365 246 0.01157403 -0.3652264
Stationary 457.7448 365 246 0.01157403 -0.3652264
Stationary 457.7586 365 246 0.01157403 -0.3652264
Stationary 457.7737 365 246 0.01157403 -0.3652264
Stationary 457.7903 365 246 0.01157403 -0.3652264
Stationary 457.8048 365 246 0.01157403 -0.3652264
Stationary 457.8202 365 246 0.01157403 -0.3652264
Stationary 457.8355 365 246 0.01157403 -0.3652264
Moved 457.8505 365 255.5416 0.01157403 -0.3406852
Stationary 457.8671 365 256 0.01157403 -0.3395062
Stationary 457.8841 365 256 0.01157403 -0.3395062
Moved 457.8979 365 257 0.01157403 -0.3369342
Stationary 457.9138 365 257 0.01157403 -0.3369342
Moved 457.9289 365 258.3999 0.01157403 -0.3333336
Stationary 457.9525 365 258 0.01157403 -0.3343622
Stationary 457.963 365 258 0.01157403 -0.3343622
Stationary 457.9733 365 258 0.01157403 -0.3343622
Stationary 457.9912 365 258 0.01157403 -0.3343622
Moved 458.0053 365 259.086 0.01157403 -0.331569
Stationary 458.021 365 259.086 0.01157403 -0.331569
Stationary 458.0366 365 259 0.01157403 -0.3317901
Stationary 458.0519 365 259 0.01157403 -0.3317901
Moved 458.0672 365 260.3125 0.01157403 -0.3284144
Stationary 458.082 365 260.3125 0.01157403 -0.3284144
Stationary 458.0987 365 260.3125 0.01157403 -0.3284144
Stationary 458.1134 365 260 0.01157403 -0.3292181
Stationary 458.1289 365 260 0.01157403 -0.3292181
Stationary 458.1437 365 260 0.01157403 -0.3292181
Stationary 458.1592 365 260 0.01157403 -0.3292181
Stationary 458.1732 365 260 0.01157403 -0.3292181
Stationary 458.1895 365 260 0.01157403 -0.3292181
Stationary 458.205 365 260 0.01157403 -0.3292181
Stationary 458.2195 365 260 0.01157403 -0.3292181
Ended 458.237 365 260 0.01157403 -0.3292181
NextCandidatePanel 458.2968
Began 458.8216 375 372 0.03472219 -0.04115226
Stationary 458.8382 375 372 0.03472219 -0.04115226
Stationary 458.8532 375 372 0.03472219 -0.04115226
Stationary 458.8732 375 372 0.03472219 -0.04115226
Stationary 458.8847 375 372 0.03472219 -0.04115226
Moved 458.9029 375 387.1429 0.03472219 -0.002204597
Moved 458.9136 375 395.7739 0.03472219 0.01999439
Moved 458.9291 388.8804 409.6185 0.06685276 0.05560314
Moved 458.9453 390.9849 421.9547 0.07172426 0.08733203
Moved 458.9606 395.5667 435.7 0.08233031 0.1226851
Moved 458.9759 397.2326 443.1631 0.08618663 0.1418804
Moved 458.9915 398 446.6987 0.08796295 0.150974
Moved 459.0072 398 449.0577 0.08796295 0.1570413
Moved 459.0214 398 452 0.08796295 0.164609
Ended 459.0367 398 451 0.08796295 0.162037
Accept 459.0642 4 us
Began 459.6196 305 331 -0.1273148 -0.146605
Stationary 459.6405 305 331 -0.1273148 -0.146605
Stationary 459.6545 305 331 -0.1273148 -0.146605
