a picture is worth many words
a picture is worth many words
FixStart
0.6 0.6
432 388.8
Moved 1988.828 201.7488 498 -0.3663222 0.2829217
Moved 1988.844 198.7633 498 -0.3732331 0.2829217
Moved 1988.87 195.6208 498 -0.3805073 0.2829217
Stationary 1988.883 196 498 -0.3796296 0.2829217
Stationary 1988.91 196 498 -0.3796296 0.2829217
Ended 1988.922 196 498 -0.3796296 0.2829217
Candidates 1989.088 12 picture pundit occur poverty point doctor opposite over pocket oct popularity pair
Began 1989.533 376 361 0.03703703 -0.06944452
Stationary 1989.553 376 361 0.03703703 -0.06944452
Stationary 1989.568 376 361 0.03703703 -0.06944452
Moved 1989.585 376 389.2372 0.03703703 0.003182172
Moved 1989.608 386.0523 437.8742 0.0603062 0.1282772
Moved 1989.641 393.2686 463.8059 0.0770107 0.194974
Moved 1989.655 396.107 476.5349 0.08358101 0.2277132
Moved 1989.67 398.9491 486.3219 0.09015997 0.2528855
Moved 1989.684 400 491.4592 0.09259263 0.2660988
Stationary 1989.697 400 491.4592 0.09259263 0.2660988
Moved 1989.708 401.2453 495.7358 0.09547512 0.2770981
Moved 1989.723 402 499.2635 0.09722222 0.2861715
Ended 1989.739 402 501.0081 0.09722222 0.2906585
Accept 1989.796 0 picture
Began 1990.136 277 377 -0.1921296 -0.02829226
Stationary 1990.157 277 377 -0.1921296 -0.02829226
Stationary 1990.172 277 377 -0.1921296 -0.02829226
Stationary 1990.186 277 377 -0.1921296 -0.02829226
Moved 1990.2 290.9833 389.818 -0.1597609 0.004675869
Moved 1990.222 316.2354 410.3883 -0.101307 0.05758301
Stationary 1990.234 316.2354 410.3883 -0.101307 0.05758301
Moved 1990.248 337.7376 427.8493 -0.05153323 0.102493
Moved 1990.283 381.8811 467.771 0.05065073 0.2051722
Stationary 1990.298 381.8811 467.771 0.05065073 0.2051722
Moved 1990.31 391.4452 475.9531 0.07278989 0.2262167
Moved 1990.322 397.5297 483.4122 0.08687437 0.2454016
Moved 1990.334 403.0214 489.0214 0.09958643 0.2598286
Moved 1990.353 406.2804 491.9205 0.1071305 0.2672853
Moved 1990.373 407.7926 494.5853 0.1106311 0.274139
Moved 1990.39 409.1639 496.1639 0.1138053 0.2781992
Moved 1990.407 409 498.5 0.113426 0.2842077
Moved 1990.426 409 498 0.113426 0.2829217
Moved 1990.448 409 499.5 0.113426 0.2867798
Moved 1990.462 398.5852 499 0.08931755 0.2854938
Moved 1990.477 388.6858 499 0.06640235 0.2854938
Moved 1990.488 382.2553 499 0.05151689 0.2854938
Moved 1990.5 358.3868 488.32 -0.003734231 0.2580246
Stationary 1990.511 358.3868 488.32 -0.003734231 0.2580246
Moved 1990.523 336.4607 480.2978 -0.05448912 0.2373913
Moved 1990.539 318.831 472.4155 -0.09529864 0.2171181
Moved 1990.555 301.5926 463.7963 -0.1352023 0.1949492
Moved 1990.577 273.8038 448.0021 -0.1995283 0.1543263
Moved 1990.594 264.9538 443.4769 -0.2200143 0.1426875
Moved 1990.61 253.1148 436.9526 -0.2474195 0.1259069
Moved 1990.625 243.6293 431.0163 -0.2693766 0.1106386
Moved 1990.638 234.2619 425.1746 -0.2910605 0.0956137
Stationary 1990.648 234.2619 425.1746 -0.2910605 0.0956137
Moved 1990.662 225.8369 418.1974 -0.3105627 0.07766821
Moved 1990.678 216.6205 412.0803 -0.3318971 0.06193487
Moved 1990.694 210.5645 406.5645 -0.3459155 0.04774819
Moved 1990.709 203.6007 401.0806 -0.3620354 0.03364331
Moved 1990.724 200.3329 398.3329 -0.3695999 0.02657635
Moved 1990.746 192.0216 390.0216 -0.3888389 0.005199526
Moved 1990.763 189.5833 387.5833 -0.3944832 -0.001071961
Moved 1990.779 187.9154 385.9154 -0.398344 -0.005361651
Moved 1990.795 185.0799 383.0799 -0.4049077 -0.01265459
Stationary 1990.805 185.0799 383.0799 -0.4049077 -0.01265459
Moved 1990.817 183.3248 382.1624 -0.4089705 -0.01501452
Moved 1990.837 182.0931 381.0931 -0.4118216 -0.01776479
Moved 1990.849 180.746 378.4919 -0.4149399 -0.02445504
Moved 1990.861 178.3714 376.3714 -0.4204366 -0.02990903
Moved 1990.878 176.9934 374.9933 -0.4236264 -0.03345332
Moved 1990.897 175.6143 375 -0.4268187 -0.03343629
Moved 1990.908 175.2354 374 -0.4276959 -0.03600823
Moved 1990.924 174.5 374 -0.4293981 -0.03600823
Moved 1990.941 175 372.7335 -0.4282407 -0.03926564
Stationary 1990.955 175 373 -0.4282407 -0.03858032
Ended 1990.97 175 373 -0.4282407 -0.03858032
Candidates 1991.14 12 is his of good if god odd goods odds its off id
Began 1991.585 347 379 -0.0300926 -0.02314815
Stationary 1991.603 347 379 -0.0300926 -0.02314815
Stationary 1991.618 347 379 -0.0300926 -0.02314815
Stationary 1991.633 347 379 -0.0300926 -0.02314815
Stationary 1991.649 347 379 -0.0300926 -0.02314815
Moved 1991.664 347 401.6677 -0.0300926 0.03515353
Moved 1991.683 347 417.8821 -0.0300926 0.07685712
Moved 1991.696 347 434.3568 -0.0300926 0.1192303
Moved 1991.711 347 444.0594 -0.0300926 0.1441855
Moved 1991.726 347 457.8468 -0.0300926 0.179647
Moved 1991.746 347 467.5729 -0.0300926 0.2046626
Moved 1991.77 347 480 -0.0300926 0.2366254
Moved 1991.782 347 485.7399 -0.0300926 0.2513885
Moved 1991.794 347 489.8891 -0.0300926 0.2620604
Stationary 1991.805 347 489.8891 -0.0300926 0.2620604
Moved 1991.825 347 494.4232 -0.0300926 0.2737222
Stationary 1991.835 347 494.4232 -0.0300926 0.2737222
Ended 1991.849 347 496.0906 -0.0300926 0.2780108
Accept 1991.908 0 is
Began 1992.309 395 371 0.08101851 -0.04372435
Stationary 1992.328 395 371 0.08101851 -0.04372435
Stationary 1992.342 395 371 0.08101851 -0.04372435
Stationary 1992.358 395 371 0.08101851 -0.04372435
Stationary 1992.373 395 371 0.08101851 -0.04372435
Stationary 1992.39 395 371 0.08101851 -0.04372435
Moved 1992.404 387.9026 371 0.06458948 -0.04372435
Moved 1992.42 377.0598 376.6459 0.03949036 -0.02920292
Moved 1992.436 361.1835 389.8558 0.002739628 0.004773002
Moved 1992.451 348.667 399.5923 -0.02623379 0.02981566
Moved 1992.467 336.718 409.5274 -0.05389348 0.05536876
Moved 1992.482 325.9501 418.9187 -0.0788193 0.07952329
Moved 1992.498 318 425.5 -0.09722222 0.09645053
Moved 1992.512 309.761 433.3477 -0.116294 0.116635
Moved 1992.528 301.2944 441.7056 -0.1358925 0.1381315
Moved 1992.543 291.8749 451.1251 -0.1576971 0.1623588
Moved 1992.558 282.5168 459.4832 -0.1793593 0.183856
Moved 1992.574 274.5392 467.4608 -0.197826 0.2043744
Moved 1992.59 269.1887 472.8113 -0.2102113 0.218136
Moved 1992.605 263.674 479.326 -0.2229769 0.234892
Moved 1992.621 259.3774 484.8301 -0.2329227 0.2490486
Moved 1992.645 253.514 495.2289 -0.2464953 0.2757946
Stationary 1992.657 253.514 495.2289 -0.2464953 0.2757946
Moved 1992.667 250.9119 499.1321 -0.2525188 0.2858336
Moved 1992.683 249.5837 501.8326 -0.2555932 0.2927792
Moved 1992.697 250 504.5801 -0.2546296 0.299846
Moved 1992.712 250 506.1763 -0.2546296 0.3039514
Moved 1992.73 250 507.5 -0.2546296 0.3073559
Stationary 1992.743 250 507.5 -0.2546296 0.3073559
Moved 1992.758 250 510.6604 -0.2546296 0.3154845
Moved 1992.774 266.7916 511.2917 -0.2157603 0.3171082
Moved 1992.791 291.6178 512 -0.1582921 0.31893
Moved 1992.806 317.7302 512 -0.09784684 0.31893
Moved 1992.82 349.8897 512 -0.02340346 0.31893
Moved 1992.837 375.4294 504.7853 0.03571619 0.3003736
Moved 1992.853 395.0457 501.4221 0.08112431 0.2917233
Moved 1992.866 414.7089 499.6602 0.126641 0.2871917
Moved 1992.883 428.3756 497.4374 0.1582769 0.2814746
Moved 1992.897 447.2772 495.9149 0.2020306 0.2775587
Moved 1992.914 463.5312 494.5391 0.2396556 0.2740201
Moved 1992.929 473.0144 494.1408 0.2616075 0.2729958
Moved 1992.945 482.6867 492.759 0.283997 0.2694418
Moved 1992.96 489.1154 492 0.2988784 0.2674896
Moved 1992.975 495.0348 492 0.3125806 0.2674896
Moved 1992.991 497.8077 492 0.3189993 0.2674896
Moved 1993.013 503.705 491 0.3326505 0.2649176
Stationary 1993.023 503.705 491 0.3326505 0.2649176
Moved 1993.035 505.2395 491 0.3362026 0.2649176
Moved 1993.051 506.6303 491 0.3394221 0.2649176
Moved 1993.068 507.5 491 0.3414352 0.2649176
Moved 1993.084 508.2002 491 0.3430561 0.2649176
Stationary 1993.099 508.2002 491 0.3430561 0.2649176
Stationary 1993.113 508.2002 491 0.3430561 0.2649176
Stationary 1993.129 508 491 0.3425926 0.2649176
Stationary 1993.145 508 491 0.3425926 0.2649176
Moved 1993.159 498.1593 491 0.3198133 0.2649176
Moved 1993.175 489.7943 501.9409 0.3004498 0.2930578
Moved 1993.192 474.4883 504.2535 0.2650192 0.2990057
Moved 1993.207 458.3454 508.4136 0.2276513 0.3097057
Moved 1993.221 439 512.5 0.1828703 0.3202159
Moved 1993.237 423.0629 515.4305 0.145979 0.3277532
Moved 1993.252 406.0228 518.9954 0.1065342 0.3369224
Moved 1993.268 390.929 521.7402 0.07159491 0.3439819
Moved 1993.284 380.3136 522.7429 0.0470222 0.3465609
Moved 1993.298 367.8333 523 0.01813273 0.3472221
Moved 1993.314 357.4433 524.5114 -0.005918244 0.3511093
Moved 1993.33 348.8148 525 -0.02589156 0.3523662
Moved 1993.351 337.7341 526 -0.05154143 0.3549381
Stationary 1993.362 337.7341 526 -0.05154143 0.3549381
Moved 1993.376 335.611 526 -0.05645598 0.3549381
Moved 1993.391 332.8398 526 -0.06287093 0.3549381
Moved 1993.405 331.5365 526 -0.06588767 0.3549381
Stationary 1993.421 331.5365 526 -0.06588767 0.3549381
Moved 1993.438 330.6404 526 -0.06796201 0.3549381
Stationary 1993.453 330.6404 526 -0.06796201 0.3549381
Stationary 1993.467 331 526 -0.06712963 0.3549381
Stationary 1993.483 331 526 -0.06712963 0.3549381
Stationary 1993.498 331 526 -0.06712963 0.3549381
Stationary 1993.514 331 526 -0.06712963 0.3549381
Stationary 1993.529 331 526 -0.06712963 0.3549381
Moved 1993.544 336.0331 526 -0.05547886 0.3549381
Moved 1993.561 341.0358 516.8389 -0.04389862 0.3313757
Moved 1993.576 344.1934 513.8066 -0.03658931 0.3235765
Moved 1993.592 351.2892 508.1686 -0.02016385 0.3090756
Moved 1993.607 357.9867 501.8444 -0.004660339 0.2928096
Moved 1993.622 363.9005 497.3246 0.009029011 0.2811846
Moved 1993.638 370.4506 491.5494 0.02419124 0.2663306
Moved 1993.654 377.9431 485.0474 0.0415351 0.2496074
Moved 1993.669 386.2745 475.3464 0.06082058 0.2246564
Moved 1993.693 399.014 459.3804 0.09031018 0.1835915
Stationary 1993.704 399.014 459.3804 0.09031018 0.1835915
Moved 1993.716 404.7771 452.0286 0.1036507 0.1646826
Moved 1993.732 409.7481 444.0865 0.1151577 0.1442553
Moved 1993.746 414.8626 437.1718 0.1269967 0.1264704
Moved 1993.761 419.052 431.5974 0.1366944 0.1121331
Moved 1993.777 424.207 422.3216 0.1486274 0.08827563
Moved 1993.792 428.3618 414.2764 0.1582449 0.06758332
Moved 1993.807 431.5226 410.3032 0.1655616 0.05736402
Moved 1993.822 435.8165 402.9725 0.1755011 0.03850953
Moved 1993.839 438.9755 397.049 0.1828137 0.02327401
Moved 1993.854 440.3688 391.5247 0.186039 0.0090654
Moved 1993.868 442.7446 385.2769 0.1915385 -0.007003894
Moved 1993.887 444.1354 379.4583 0.194758 -0.02196959
Moved 1993.9 445.5138 373.9448 0.1979486 -0.03615022
Moved 1993.917 446.684 369.948 0.2006573 -0.04643004
Moved 1993.932 447 366.1023 0.2013889 -0.05632126
Moved 1993.946 448.3507 361.9478 0.2045156 -0.06700665
Ended 1993.961 449 361 0.2060185 -0.06944452
Candidates 1994.083 12 with work worth worn written ruth truth depth queen return south wish
