this is a very good idea
this is very good idea
Basic
0.6 0.6
432 388.8
Moved 1986.557 236.9 382.7001 -0.2849537 -0.0136315
Ended 1986.578 236.9 382.7001 -0.2849537 -0.0136315
Candidates 1986.714 12 is its oa pass pa puts odds us ps odd id psa
Began 1987.142 365 280 0.01157403 -0.2777778
Stationary 1987.162 365 280 0.01157403 -0.2777778
Stationary 1987.176 365 280 0.01157403 -0.2777778
Stationary 1987.19 365 280 0.01157403 -0.2777778
Stationary 1987.206 365 280 0.01157403 -0.2777778
Moved 1987.22 365 285.2458 0.01157403 -0.2642856
Moved 1987.237 365 296.1428 0.01157403 -0.2362582
Moved 1987.254 365 309.0588 0.01157403 -0.2030382
Moved 1987.268 365 326.3796 0.01157403 -0.1584887
Moved 1987.283 365 354.0095 0.01157403 -0.08742414
Moved 1987.298 365 385.6631 0.01157403 -0.006010699
Moved 1987.314 358.8862 399.3543 -0.002578298 0.02920343
Moved 1987.33 358 415.4214 -0.004629641 0.07052813
Moved 1987.344 357 430.826 -0.006944438 0.1101491
Moved 1987.362 357 441.3994 -0.006944438 0.1373441
Moved 1987.375 357 448.3882 -0.006944438 0.1553193
Ended 1987.391 357 458 -0.006944438 0.180041
Accept 1987.448 0 is
Began 1987.944 350 219 -0.02314816 -0.4346708
Stationary 1987.964 350 219 -0.02314816 -0.4346708
Stationary 1987.977 350 219 -0.02314816 -0.4346708
Stationary 1987.991 350 219 -0.02314816 -0.4346708
Stationary 1988.008 350 219 -0.02314816 -0.4346708
Stationary 1988.023 350 219 -0.02314816 -0.4346708
Moved 1988.037 350 234.2887 -0.02314816 -0.395348
Moved 1988.057 341.6914 246.6825 -0.04238094 -0.363471
Moved 1988.069 340.5591 258.4253 -0.0450022 -0.3332683
Moved 1988.084 334.0065 280.9806 -0.0601702 -0.2752557
Moved 1988.099 328.2994 301.6273 -0.07338106 -0.222152
Moved 1988.115 324.1352 317.5944 -0.08302038 -0.1810844
Moved 1988.131 320.8611 333.8331 -0.09059921 -0.1393182
Moved 1988.146 316.5 348 -0.1006944 -0.1028807
Moved 1988.161 313.1865 360.3784 -0.1083646 -0.07104324
Moved 1988.184 307.5547 385.7812 -0.1214012 -0.005706897
Stationary 1988.195 307.5547 385.7812 -0.1214012 -0.005706897
Moved 1988.207 305.1699 397.9808 -0.1269216 0.02567067
Moved 1988.223 302.3155 405.7112 -0.133529 0.04555361
Moved 1988.238 301.216 418.0558 -0.1360741 0.07730405
Moved 1988.253 299.7773 427.3361 -0.1394044 0.1011731
Moved 1988.268 298.3385 436.3074 -0.1427349 0.1242475
Moved 1988.285 297.1494 443.9542 -0.1454875 0.1439152
Moved 1988.3 295.7509 451.2455 -0.1487247 0.1626684
Moved 1988.315 294.3243 459.7298 -0.1520271 0.1844902
Moved 1988.331 294 469.8015 -0.1527778 0.2103946
Moved 1988.347 292 481.8835 -0.1574074 0.2414697
Moved 1988.362 289.9932 494.0306 -0.1620527 0.2727123
Moved 1988.377 288.5579 504.0945 -0.1653752 0.2985968
Moved 1988.393 287.3458 513.9254 -0.1681811 0.3238821
Moved 1988.409 286.0195 525.8054 -0.1712513 0.3544378
Moved 1988.423 283.1696 534.4912 -0.1778482 0.3767776
