id,scale,size,word,algorithm,sampleNum,coor,distance,firstKeyDistance,lastKeyDistance
2,1x1,0.5,quickly,Standard,64,keyWidth,0.646545,1.78104,0.36328,
2,1x1,0.5,quickly,DTW,64,pixel,13.1274,51.294,10.4625,
2,1x1,0.5,quickly,DTW,64,keyWidth,0.455813,1.78104,0.36328,
2,1x1,0.5,quickly,Standard,128,pixel,18.5474,51.294,10.4625,
2,1x1,0.5,quickly,Standard,128,keyWidth,0.644005,1.78104,0.36328,
2,1x1,0.5,quickly,DTW,128,pixel,12.3879,51.294,10.4625,
2,1x1,0.5,quickly,DTW,128,keyWidth,0.430136,1.78104,0.36328,
2,1x1,0.5,quickly,Standard,256,pixel,18.482,51.294,10.4625,
2,1x1,0.5,quickly,Standard,256,keyWidth,0.641735,1.78104,0.36328,
2,1x1,0.5,quickly,DTW,256,pixel,12.0068,51.294,10.4625,
2,1x1,0.5,quickly,DTW,256,keyWidth,0.416904,1.78104,0.36328,
2,1x1,0.5,an,Standard,16,pixel,49.8508,58.4127,4.98939,
2,1x1,0.5,an,Standard,16,keyWidth,1.73093,2.02822,0.173243,
2,1x1,0.5,an,DTW,16,pixel,48.341,58.4127,4.98939,
2,1x1,0.5,an,DTW,16,keyWidth,1.67851,2.02822,0.173243,
2,1x1,0.5,an,Standard,32,pixel,50.5324,58.4127,4.98939,
2,1x1,0.5,an,Standard,32,keyWidth,1.7546,2.02822,0.173243,
2,1x1,0.5,an,DTW,32,pixel,48.8228,58.4127,4.98939,
2,1x1,0.5,an,DTW,32,keyWidth,1.69523,2.02822,0.173243,
2,1x1,0.5,an,Standard,64,pixel,50.8319,58.4127,4.98939,
2,1x1,0.5,an,Standard,64,keyWidth,1.765,2.02822,0.173243,
2,1x1,0.5,an,DTW,64,pixel,49.0805,58.4127,4.98939,
2,1x1,0.5,an,DTW,64,keyWidth,1.70419,2.02822,0.173243,
2,1x1,0.5,an,Standard,128,pixel,50.9852,58.4127,4.98939,
2,1x1,0.5,an,Standard,128,keyWidth,1.77032,2.02822,0.173243,
2,1x1,0.5,an,DTW,128,pixel,49.2161,58.4127,4.98939,
2,1x1,0.5,an,DTW,128,keyWidth,1.70889,2.02822,0.173243,
2,1x1,0.5,an,Standard,256,pixel,51.0617,58.4127,4.98939,
2,1x1,0.5,an,Standard,256,keyWidth,1.77298,2.02822,0.173243,
2,1x1,0.5,an,DTW,256,pixel,49.2827,58.4127,4.98939,
2,1x1,0.5,an,DTW,256,keyWidth,1.7112,2.02822,0.173243,
2,1x1,0.5,offer,Standard,16,pixel,39.7347,98.262,8.25174,
2,1x1,0.5,offer,Standard,16,keyWidth,1.37968,3.41187,0.286519,
2,1x1,0.5,offer,DTW,16,pixel,30.3835,98.262,8.25174,
2,1x1,0.5,offer,DTW,16,keyWidth,1.05498,3.41187,0.286519,
2,1x1,0.5,offer,Standard,32,pixel,39.2625,98.262,8.25174,
2,1x1,0.5,offer,Standard,32,keyWidth,1.36328,3.41187,0.286519,
2,1x1,0.5,offer,DTW,32,pixel,28.7503,98.262,8.25174,
2,1x1,0.5,offer,DTW,32,keyWidth,0.998273,3.41187,0.286519,
2,1x1,0.5,offer,Standard,64,pixel,39.0235,98.262,8.25174,
2,1x1,0.5,offer,Standard,64,keyWidth,1.35498,3.41187,0.286519,
2,1x1,0.5,offer,DTW,64,pixel,27.9891,98.262,8.25174,
2,1x1,0.5,offer,DTW,64,keyWidth,0.971843,3.41187,0.286519,
2,1x1,0.5,offer,Standard,128,pixel,38.9194,98.262,8.25174,
2,1x1,0.5,offer,Standard,128,keyWidth,1.35137,3.41187,0.286519,
2,1x1,0.5,offer,DTW,128,pixel,27.6613,98.262,8.25174,
2,1x1,0.5,offer,DTW,128,keyWidth,0.960462,3.41187,0.286519,
2,1x1,0.5,offer,Standard,256,pixel,38.8652,98.262,8.25174,
2,1x1,0.5,offer,Standard,256,keyWidth,1.34949,3.41187,0.286519,
2,1x1,0.5,offer,DTW,256,pixel,27.5409,98.262,8.25174,
2,1x1,0.5,offer,DTW,256,keyWidth,0.956282,3.41187,0.286519,
2,1x1,0.5,you,Standard,16,pixel,25.9834,11.7104,16.5431,
2,1x1,0.5,you,Standard,16,keyWidth,0.902203,0.40661,0.574412,
2,1x1,0.5,you,DTW,16,pixel,16.4437,11.7104,16.5431,
2,1x1,0.5,you,DTW,16,keyWidth,0.570963,0.40661,0.574412,
2,1x1,0.5,you,Standard,32,pixel,26.4449,11.7104,16.5431,
2,1x1,0.5,you,Standard,32,keyWidth,0.918225,0.40661,0.574412,
2,1x1,0.5,you,DTW,32,pixel,15.9452,11.7104,16.5431,
2,1x1,0.5,you,DTW,32,keyWidth,0.553653,0.40661,0.574412,
2,1x1,0.5,you,Standard,64,pixel,26.6394,11.7104,16.5431,
2,1x1,0.5,you,Standard,64,keyWidth,0.924979,0.40661,0.574412,
2,1x1,0.5,you,DTW,64,pixel,15.3423,11.7104,16.5431,
2,1x1,0.5,you,DTW,64,keyWidth,0.53272,0.40661,0.574412,
2,1x1,0.5,you,Standard,128,pixel,26.7402,11.7104,16.5431,
2,1x1,0.5,you,Standard,128,keyWidth,0.928478,0.40661,0.574412,
2,1x1,0.5,you,DTW,128,pixel,15.2025,11.7104,16.5431,
2,1x1,0.5,you,DTW,128,keyWidth,0.527864,0.40661,0.574412,
2,1x1,0.5,you,Standard,256,pixel,26.7889,11.7104,16.5431,
2,1x1,0.5,you,Standard,256,keyWidth,0.93017,0.40661,0.574412,
2,1x1,0.5,you,DTW,256,pixel,15.1164,11.7104,16.5431,
2,1x1,0.5,you,DTW,256,keyWidth,0.524875,0.40661,0.574412,
2,1x1,0.5,cannot,Standard,16,pixel,22.2926,6.48318,8.54725,
2,1x1,0.5,cannot,Standard,16,keyWidth,0.774047,0.22511,0.296779,
2,1x1,0.5,cannot,DTW,16,pixel,21.7201,6.48318,8.54725,
2,1x1,0.5,cannot,DTW,16,keyWidth,0.754171,0.22511,0.296779,
2,1x1,0.5,cannot,Standard,32,pixel,22.1652,6.48318,8.54725,
2,1x1,0.5,cannot,Standard,32,keyWidth,0.769625,0.22511,0.296779,
2,1x1,0.5,cannot,DTW,32,pixel,18.7586,6.48318,8.54725,
2,1x1,0.5,cannot,DTW,32,keyWidth,0.651342,0.22511,0.296779,
2,1x1,0.5,cannot,Standard,64,pixel,22.4371,6.48318,8.54725,
2,1x1,0.5,cannot,Standard,64,keyWidth,0.779066,0.22511,0.296779,
2,1x1,0.5,cannot,DTW,64,pixel,18.0599,6.48318,8.54725,
2,1x1,0.5,cannot,DTW,64,keyWidth,0.627081,0.22511,0.296779,
