players must know all the rules
players must know all the rules
Basic
List

0.6 0.6
432 388.8
Moved 742.2634 349.0031 492.0062 -0.02545585 0.2675054
Moved 742.294 352.8784 495.8784 -0.0164852 0.277465
Moved 742.3248 354.4572 498.4573 -0.01283045 0.2840978
Moved 742.3555 355.3259 500 -0.01081968 0.2880658
Ended 742.3862 355 501 -0.01157408 0.2906378
Accept 742.5092 0 players
Candidates 742.5092 13 must most midst just mortgage nude body busy noisy boat boost murray buddy
Began 743.4924 469 392 0.2523148 0.01028803
Stationary 743.5231 469 392 0.2523148 0.01028803
Stationary 743.5538 469 392 0.2523148 0.01028803
Stationary 743.5845 469 392 0.2523148 0.01028803
Stationary 743.6153 469 392 0.2523148 0.01028803
Moved 743.646 469 382.8958 0.2523148 -0.01312813
Moved 743.6767 469 381.7515 0.2523148 -0.01607126
Moved 743.7074 478.6289 382 0.2746039 -0.01543218
Moved 743.7382 479.6986 381 0.2770801 -0.01800419
Moved 743.7689 484.1446 381 0.2873718 -0.01800419
Moved 743.7997 488.8916 381 0.2983601 -0.01800419
Moved 743.8303 491.9882 381 0.3055282 -0.01800419
Moved 743.861 495.8586 381 0.3144876 -0.01800419
Moved 743.8918 498.7292 381 0.3211325 -0.01800419
Moved 743.9225 500.183 388 0.3244977 -3.924585E-08
Moved 743.9532 502.1212 389.1212 0.3289842 0.002883628
Moved 743.9839 503.5 389 0.3321759 0.002572016
Moved 744.0147 504 389 0.3333333 0.002572016
Moved 744.0455 505 389 0.3356481 0.002572016
Stationary 744.0762 505 389 0.3356481 0.002572016
Moved 744.1069 505 369.8177 0.3356481 -0.04676513
Moved 744.1376 496.4203 353.0507 0.3157877 -0.08989011
Moved 744.1683 489.8265 338.0662 0.3005242 -0.1284306
Moved 744.1991 484.548 324.1918 0.2883055 -0.1641158
Moved 744.2297 477.3439 304.0317 0.2716294 -0.2159677
Moved 744.2605 471.5361 288.4295 0.2581854 -0.256097
Moved 744.2913 465.6026 271.1091 0.2444506 -0.3006453
Moved 744.322 462.4285 255.1425 0.237103 -0.3417118
Moved 744.3527 459.5577 243.2307 0.2304576 -0.3723491
Moved 744.3834 459 239.0217 0.2291666 -0.3831746
Moved 744.4141 457.1438 233.2876 0.22487 -0.397923
Moved 744.4449 456 230.2761 0.2222222 -0.4056685
Moved 744.4756 454.8246 229 0.2195013 -0.4089506
Moved 744.5063 455 226.5 0.2199073 -0.4153807
Moved 744.537 455 225.7321 0.2199073 -0.4173559
Moved 744.5677 455 225 0.2199073 -0.4192387
Stationary 744.5985 455 225 0.2199073 -0.4192387
Moved 744.6292 463.8718 265.0806 0.2404439 -0.3161509
Moved 744.66 472.5626 328.2347 0.2605615 -0.1537172
Moved 744.6907 480.2533 357.0134 0.2783642 -0.0796982
Moved 744.7214 491.7173 393.065 0.3049012 0.01302719
Moved 744.7521 504.2567 433.4458 0.3339276 0.1168873
Moved 744.7828 513.8665 462.8884 0.3561725 0.1926141
Moved 744.8135 520.3711 484.9036 0.3712294 0.2492377
Moved 744.8443 528.9821 508.6249 0.3911623 0.3102493
Moved 744.8751 537.5859 527.6432 0.4110785 0.3591646
Moved 744.9058 546.2122 544.4244 0.4310468 0.4023261
Moved 744.9365 550.8963 553.7925 0.4418895 0.426421
Moved 744.9672 554.8233 560.8233 0.4509799 0.4445043
Moved 744.998 557 564.6942 0.4560185 0.4544603
Moved 745.0287 558 567.158 0.4583333 0.4607973
Stationary 745.0594 558 567 0.4583333 0.4603909
Moved 745.0901 558 568 0.4583333 0.4629629
Moved 745.1208 531.1885 560.5151 0.3962698 0.4437116
Moved 745.1516 480.1752 542.8561 0.2781833 0.3982923
Moved 745.1823 420.7636 526.3464 0.1406565 0.3558292
Moved 745.213 380.2429 515.4143 0.04685849 0.3277116
Moved 745.2438 352.3652 506.7096 -0.01767308 0.3053229
Moved 745.2745 327.1333 496.3428 -0.07608026 0.2786595
Moved 745.3052 305.6117 488.7294 -0.1258989 0.2590775
Moved 745.3359 283.8757 481.0895 -0.1762137 0.2394278
Moved 745.3666 263.1322 476.3877 -0.224231 0.2273346
Moved 745.3974 238.5614 472.3202 -0.2811079 0.2168728
Moved 745.4281 222.2488 471 -0.3188684 0.2134772
Moved 745.4588 208.9138 471 -0.3497365 0.2134772
Moved 745.4896 198.1444 471 -0.3746658 0.2134772
Moved 745.5203 185.4995 471 -0.4039362 0.2134772
Moved 745.551 175.8701 471 -0.4262265 0.2134772
Moved 745.5818 169.498 479.1674 -0.4409768 0.2344839
Moved 745.6125 163.8056 481.0972 -0.4541536 0.2394474
Moved 745.6432 160.0313 482.9687 -0.4628904 0.2442609
Moved 745.6739 158.5972 483 -0.4662101 0.2443414
Moved 745.7046 156 485 -0.4722222 0.2494856
Moved 745.7354 156 486.2884 -0.4722222 0.2527992
Moved 745.7661 156 487.05 -0.4722222 0.2547581
Moved 745.7968 156 487.7678 -0.4722222 0.2566044
Moved 745.8276 156 489.5583 -0.4722222 0.2612095
Moved 745.8583 156 492.4256 -0.4722222 0.2685843
Moved 745.889 168.596 497.596 -0.4430648 0.2818827
Moved 745.9197 173.5966 501.5966 -0.4314895 0.2921722
Moved 745.9504 178.3468 504.6734 -0.4204935 0.3000858
Moved 745.9811 181.5458 506.5458 -0.4130885 0.3049017
Moved 746.0119 184.4054 507 -0.4064691 0.3060699
Moved 746.0426 184 508.4041 -0.4074074 0.3096813
Moved 746.0734 185 509 -0.4050926 0.3112139
Ended 746.1041 185 509 -0.4050926 0.3112139
Accept 746.1962 0 must
Candidates 746.1962 13 know more now knows imports impose note blow inputs moore implies notes blue
Began 747.0566 305.6671 409 -0.1257706 0.05401234
Moved 747.0873 267.4417 420.2487 -0.2142552 0.08294415
Moved 747.118 230.4507 429.3726 -0.2998827 0.106411
Moved 747.1487 211.0988 432.1502 -0.3446787 0.1135549
Moved 747.1795 194.668 435.0664 -0.382713 0.1210555
Moved 747.2101 185.1777 437 -0.4046813 0.1260288
Moved 747.2408 179.3803 438 -0.4181012 0.1286007
Moved 747.2717 176.6216 438 -0.424487 0.1286007
Moved 747.3024 173.7473 439 -0.4311405 0.1311728
Moved 747.3331 170.8739 440.1261 -0.4377919 0.1340691
Moved 747.3638 170 440 -0.4398148 0.1337448
