what goes up must come down
what goes up must come down
Basic
List

0.6 0.6
432 388.8
Moved 1440.124 393.1053 507.8947 0.0766326 0.3083711
Moved 1440.154 390.6941 508 0.07105112 0.3086419
Moved 1440.185 383.1314 508 0.05354484 0.3086419
Moved 1440.216 364.6803 496.3401 0.01083394 0.2786526
Moved 1440.246 334.556 477.7174 -0.05889823 0.2307545
Moved 1440.277 307.259 458.0975 -0.1220856 0.1802917
Moved 1440.308 284.0626 442.0417 -0.175781 0.1389962
Moved 1440.339 268.5502 431.9127 -0.2116894 0.112944
Moved 1440.369 255.4013 423.321 -0.2421266 0.09084623
Moved 1440.4 243.6815 413.6815 -0.2692557 0.06605325
Moved 1440.431 233.0513 404.7009 -0.2938627 0.04295482
Moved 1440.461 225.9613 397.9613 -0.3102747 0.02562064
Moved 1440.492 219.9211 390.9211 -0.3242567 0.007513069
Moved 1440.523 213.1848 383.1848 -0.33985 -0.01238481
Moved 1440.554 209.2275 378.2275 -0.3490104 -0.02513517
Moved 1440.584 206.5 374.5 -0.3553241 -0.03472222
Moved 1440.615 205.8153 374 -0.356909 -0.03600823
Stationary 1440.646 206 374 -0.3564815 -0.03600823
Moved 1440.677 215.3124 383.3124 -0.334925 -0.01205648
Moved 1440.707 230.9599 402.2865 -0.298704 0.03674499
Moved 1440.738 255.2898 431.6169 -0.2423847 0.1121834
Moved 1440.769 270.0185 449.2222 -0.2082905 0.1574645
Moved 1440.799 282.3223 464.3223 -0.1798094 0.1963022
Moved 1440.83 291.9456 476.2426 -0.1575334 0.2269614
Moved 1440.861 301.5661 490.6101 -0.1352637 0.2639148
Moved 1440.891 311.1993 503.5991 -0.1129645 0.2973228
Moved 1440.922 319.782 514.7275 -0.09309714 0.3259453
Moved 1440.953 327.602 525.403 -0.07499531 0.3534027
Moved 1440.984 331.6787 531.3575 -0.06555846 0.3687178
Moved 1441.014 334.549 535.549 -0.05891447 0.3794982
Moved 1441.045 336.0242 537.0242 -0.05549948 0.3832927
Moved 1441.076 337 539.9243 -0.05324075 0.3907517
Moved 1441.106 338 541 -0.05092591 0.3935184
Moved 1441.137 339 542 -0.04861111 0.3960905
Moved 1441.168 340.1166 543 -0.04602646 0.3986624
