the union will go on strike
the union will go on strike
FixStart
List

0.6 0.6
432 388.8
Moved 3589.943 327.3781 425 -0.07551372 0.09516452
Moved 3589.974 315.6058 425 -0.1027643 0.09516452
Moved 3590.005 301.8194 425 -0.1346774 0.09516452
Moved 3590.035 290.3707 425 -0.161179 0.09516452
Moved 3590.066 282.4607 425 -0.1794892 0.09516452
Moved 3590.097 275.7703 425 -0.1949762 0.09516452
Moved 3590.127 272.6205 425 -0.2022673 0.09516452
Moved 3590.158 271.5 435.5 -0.2048611 0.1221707
Moved 3590.189 272 438.2142 -0.2037037 0.1291518
Moved 3590.219 292.7925 456.7925 -0.1555729 0.1769353
Moved 3590.25 351.8384 485.7993 -0.01889258 0.2515414
Moved 3590.281 387.7979 502.0562 0.06434689 0.2933543
Moved 3590.312 417.572 514.4883 0.1332685 0.32533
Moved 3590.342 442.3222 525.1611 0.1905606 0.3527806
Moved 3590.373 465.4129 533.4048 0.2440114 0.3739836
Moved 3590.404 490 543 0.300926 0.3986624
Moved 3590.434 507.9857 552.9929 0.3425594 0.4243643
Moved 3590.465 527 562.5 0.3865741 0.4488167
Ended 3590.496 527 562.5 0.3865741 0.4488167
Accept 3590.527 0 will
Candidates 3590.527 13 do ship dip gdp go sp i soup stop drop so di ii
Began 3591.417 321 410 -0.09027779 0.05658428
Stationary 3591.448 321 410 -0.09027779 0.05658428
Moved 3591.479 321 429.1136 -0.09027779 0.1057447
Moved 3591.51 337.4502 464.3147 -0.05219867 0.1962826
Moved 3591.54 359.6922 501.0383 -0.0007125239 0.2907363
Moved 3591.571 383.9098 533.2131 0.05534669 0.3734903
Moved 3591.602 405.3852 552.1873 0.1050583 0.4222924
Moved 3591.633 425.6991 565.828 0.1520811 0.4573765
Moved 3591.663 440.4099 573.205 0.1861341 0.4763501
Moved 3591.694 457.0197 581.5099 0.2245828 0.4977105
Moved 3591.725 470.7198 585.8599 0.2562959 0.5088989
Moved 3591.755 485 589.5 0.2893518 0.5182613
Moved 3591.786 496.4134 593.1033 0.3157718 0.5275291
Moved 3591.817 505.5862 595 0.3370051 0.5324073
Moved 3591.848 511.2511 596.6255 0.3501184 0.5365883
Moved 3591.878 515.1248 597 0.3590852 0.5375513
Moved 3591.909 517.8495 598 0.3653924 0.5401233
Moved 3591.94 520.6158 598 0.3717959 0.5401233
Moved 3591.97 522.1896 598 0.3754388 0.5401233
Moved 3592.001 524.5 599 0.3807871 0.5426954
Moved 3592.032 526.5795 599 0.3856006 0.5426954
Moved 3592.063 528.3481 600 0.3896947 0.5452674
Moved 3592.093 531.1114 601 0.3960911 0.5478393
Moved 3592.124 537.1768 604.5884 0.4101315 0.5570688
Moved 3592.155 542.3486 608.3486 0.4221033 0.5667402
Moved 3592.186 546.1181 611.1181 0.4308289 0.5738633
Moved 3592.216 548.6698 613.6698 0.4367356 0.5804264
Moved 3592.247 550 616.3313 0.4398148 0.5872717
Moved 3592.278 552.5 617.5 0.4456018 0.5902777
Moved 3592.308 553.8655 618.8655 0.4487628 0.5937899
Moved 3592.339 555.1197 620.1197 0.4516659 0.5970156
Moved 3592.37 556.3601 621.3601 0.4545373 0.6002059
Moved 3592.401 561.5 623.5 0.4664352 0.6057097
Ended 3592.431 561.5 623.5 0.4664352 0.6057097
Accept 3592.493 4 go
Began 3592.892 358 445 -0.004629641 0.1466049
Stationary 3592.923 358 445 -0.004629641 0.1466049
Stationary 3592.953 358 445 -0.004629641 0.1466049
Moved 3592.984 404.9859 478.4518 0.1041341 0.2326433
Moved 3593.015 446.3207 506.8804 0.1998164 0.3057623
Moved 3593.046 470.3378 524.4324 0.2554117 0.3509065
Moved 3593.076 490.049 540.3741 0.3010394 0.3919087
Moved 3593.107 505.6499 553.7666 0.3371525 0.4263543
Moved 3593.138 515.5939 563.5939 0.360171 0.4516302
Moved 3593.168 520.6333 568.6333 0.3718363 0.4645917
Moved 3593.199 523.394 570 0.3782268 0.4681069
Moved 3593.23 523 572.0836 0.3773148 0.4734658
Stationary 3593.261 523 572 0.3773148 0.4732509
Stationary 3593.291 523 572 0.3773148 0.4732509
Moved 3593.322 513.793 572 0.3560023 0.4732509
Moved 3593.353 496.9594 551.2553 0.3170355 0.4198952
Moved 3593.384 426.7724 434.8517 0.1545658 0.1205034
Moved 3593.414 421.577 409.59 0.1425393 0.05552967
Moved 3593.445 415.2133 383.0667 0.1278087 -0.01268858
