why do you ask silly questions
why do you ask silly questions
Basic
Radial

0.6 0.6
432 388.8
Began 1635.855 424 485 0.1481481 0.2494856
Stationary 1635.886 424 485 0.1481481 0.2494856
Stationary 1635.917 424 485 0.1481481 0.2494856
Ended 1635.947 424 485 0.1481481 0.2494856
NextCandidatePanel 1636.009
Began 1637.053 398 433 0.08796295 0.1157406
Moved 1637.084 441.1416 347.3488 0.1878278 -0.1045556
Ended 1637.115 484.2259 221.17 0.28756 -0.4290895
Accept 1637.176 7 silly
Began 1637.883 156 568 -0.4722222 0.4629629
Moved 1637.914 161.717 568 -0.4589885 0.4629629
Moved 1637.944 180.7097 568 -0.4150238 0.4629629
Moved 1637.975 221.0941 568 -0.3215415 0.4629629
Moved 1638.006 255.9184 559.924 -0.2409296 0.4421912
Moved 1638.036 283.2342 554.4415 -0.1776986 0.4280901
Moved 1638.067 304.2217 549.9366 -0.1291164 0.4165036
Moved 1638.098 319.0356 547.3929 -0.09482489 0.409961
Moved 1638.129 333.1312 546 -0.0621963 0.4063785
Moved 1638.159 346.9731 545 -0.03015498 0.4038065
Moved 1638.19 361.5637 543.2394 0.003619592 0.3992781
Moved 1638.221 374.8254 542 0.03431817 0.3960905
Moved 1638.251 399.409 540 0.09122451 0.3909464
Moved 1638.282 420.8377 538 0.140828 0.3858024
Moved 1638.313 439.6893 535.5518 0.184466 0.3795055
Moved 1638.344 457.3411 533.0941 0.2253267 0.3731843
Moved 1638.374 476.6945 527.6588 0.270126 0.3592046
Moved 1638.405 493.1898 523.5621 0.3083096 0.3486678
Moved 1638.436 507.8428 517.5786 0.3422287 0.3332783
Moved 1638.467 515.2798 514.3601 0.3594439 0.3250002
Moved 1638.497 518 511.5 0.3657407 0.317644
Moved 1638.528 518 510.8156 0.3657407 0.3158835
Moved 1638.559 518 509.5 0.3657407 0.3124999
Moved 1638.589 508.6307 510 0.3440526 0.3137859
Moved 1638.62 496.5529 510 0.3160946 0.3137859
Moved 1638.651 483.4845 510 0.2858437 0.3137859
Moved 1638.682 473.9944 510 0.2638759 0.3137859
Moved 1638.712 463.72 510 0.2400926 0.3137859
Moved 1638.743 451.5605 518.8599 0.2119456 0.3365736
Moved 1638.774 435.9752 523.21 0.1758685 0.3477622
Moved 1638.805 420.8399 527.0457 0.1408331 0.3576277
Moved 1638.835 404.3383 531.5539 0.102635 0.3692228
Moved 1638.866 385.7903 537.0699 0.05969981 0.3834102
Moved 1638.897 368.2917 542.5694 0.01919389 0.3975549
Moved 1638.927 353.4827 549.2587 -0.01508643 0.4147598
Moved 1638.958 340.9821 554.009 -0.04402295 0.4269777
Moved 1638.989 331.2521 558.4986 -0.0665461 0.4385251
Moved 1639.02 327.4861 559.757 -0.07526378 0.4417616
Moved 1639.05 325.9423 560 -0.07883728 0.4423867
Moved 1639.081 321.6436 560 -0.08878807 0.4423867
Moved 1639.112 306.1668 520.5004 -0.1246139 0.340793
Moved 1639.143 303.0116 513.5291 -0.1319175 0.3228627
Moved 1639.173 288.0728 447.4369 -0.1664981 0.1528726
Moved 1639.204 282.7724 419.7236 -0.1787676 0.08159363
Moved 1639.235 280.3973 410.7813 -0.1842655 0.05859367
Moved 1639.265 279 397.753 -0.1875 0.02508477
Moved 1639.296 278 389.3612 -0.1898148 0.003500966
Moved 1639.327 278 385.4203 -0.1898148 -0.006635061
Moved 1639.358 276.5 385 -0.193287 -0.007716127
Moved 1639.388 277 385 -0.1921296 -0.007716127
Moved 1639.419 277 398.5467 -0.1921296 0.02712619
Moved 1639.45 277 414.5513 -0.1921296 0.06829038
Moved 1639.48 289.5696 434.7087 -0.1630334 0.1201356
Moved 1639.511 302.5538 461.1076 -0.1329773 0.1880339
Moved 1639.542 306.7109 469.4218 -0.1233544 0.209418
Moved 1639.572 315.9424 484.9136 -0.1019851 0.2492634
Moved 1639.603 324.9481 498.5801 -0.08113866 0.2844138
Moved 1639.634 334.5513 512.9189 -0.05890896 0.3212934
Moved 1639.665 342.7887 524.7183 -0.03984099 0.3516415
Moved 1639.696 349.3421 536.0132 -0.02467101 0.3806922
Moved 1639.726 354.1604 543.1604 -0.01351759 0.399075
Moved 1639.757 358.6871 547.8436 -0.003039042 0.4111202
Moved 1639.788 363.2194 550 0.00745227 0.4166666
Moved 1639.818 372.1222 551 0.02806068 0.4192385
Moved 1639.849 402.1288 540.0841 0.09752025 0.3911627
Moved 1639.88 427.5963 530.1615 0.1564729 0.3656417
Moved 1639.911 439.9805 523.3442 0.18514 0.3481074
Moved 1639.941 459.6139 511.7921 0.2305878 0.3183951
Moved 1639.972 478.4326 501.5289 0.2741497 0.291998
Moved 1640.003 496.4925 493.5025 0.3159549 0.2713541
Moved 1640.034 512.0151 488.997 0.3518868 0.2597659
Moved 1640.064 527.7256 485.5343 0.3882538 0.2508597
Moved 1640.095 545.5544 485 0.4295242 0.2494856
Moved 1640.126 559.8583 485 0.4626349 0.2494856
Moved 1640.156 569.1644 485 0.4841768 0.2494856
Moved 1640.187 575.4883 485 0.4988154 0.2494856
Moved 1640.218 579.8549 485 0.5089234 0.2494856
Moved 1640.249 581 485 0.511574 0.2494856
Moved 1640.279 582 485 0.513889 0.2494856
Stationary 1640.31 582 485 0.513889 0.2494856
