the back yard of our house
the back yard of our house
FixStart
List

0.6 0.6
432 388.8
Moved 2126.698 401.2827 324 0.09556174 -0.164609
Moved 2126.729 399.7071 324 0.09191453 -0.164609
Moved 2126.759 400 331.8393 0.09259263 -0.1444463
Moved 2126.79 417.2719 351.2719 0.1325738 -0.09446532
Moved 2126.821 444.8697 374.0752 0.1964575 -0.03581483
Moved 2126.852 474.9489 397.6326 0.2660855 0.02477524
Moved 2126.882 497.8583 411.588 0.3191164 0.06066852
Moved 2126.913 523.655 421.4965 0.3788311 0.08615348
Moved 2126.944 545.2821 427.0403 0.4288937 0.1004122
Moved 2126.975 560.9913 431.6652 0.4652578 0.1123076
Moved 2127.005 579.8756 435.8216 0.5089713 0.1229979
Moved 2127.036 597.7273 438.2879 0.5502946 0.1293412
Moved 2127.067 610.6068 442.3033 0.5801083 0.139669
Moved 2127.097 620.8065 444.7016 0.6037188 0.1458374
Moved 2127.128 631.2813 448.1407 0.627966 0.1546827
Moved 2127.159 638.8782 450 0.6455515 0.1594649
Moved 2127.19 643.6234 453.3117 0.6565356 0.1679827
Moved 2127.22 646.8265 454 0.6639503 0.169753
Moved 2127.251 649 455.6983 0.6689815 0.1741211
Moved 2127.282 650.1218 456 0.6715783 0.174897
Stationary 2127.313 650 456 0.6712963 0.174897
Moved 2127.343 627.8389 441.9268 0.6199975 0.1387004
Moved 2127.374 580.0825 422.8575 0.5094501 0.08965389
Moved 2127.405 531.2439 401.7475 0.3963979 0.03535879
Moved 2127.436 491.2127 384.0287 0.3037331 -0.0102142
Moved 2127.466 462.7472 371.5302 0.2378407 -0.04236056
Moved 2127.497 440.8267 359.9133 0.1870989 -0.07223938
Moved 2127.528 425.3694 350.0271 0.1513181 -0.09766699
Moved 2127.558 414.8129 343.2086 0.1268817 -0.1152042
Moved 2127.589 402.9227 334.192 0.09935806 -0.1383951
Moved 2127.62 394.6999 328.7 0.08032391 -0.1525207
Moved 2127.651 387.6158 323.6158 0.06392548 -0.1655972
Moved 2127.681 380.3142 317.8762 0.04702359 -0.1803597
Moved 2127.712 375.5679 314.5679 0.03603677 -0.1888687
Moved 2127.743 371.6974 311.6974 0.0270772 -0.1962516
Moved 2127.773 370 310.1765 0.02314816 -0.2001634
Moved 2127.804 368.7465 310 0.02024641 -0.2006174
Ended 2127.835 368 310 0.01851857 -0.2006174
Candidates 2127.927 13 of food off good if god dogs foods dog pd pg old is
Began 2129.279 465 283 0.2430555 -0.2700618
Stationary 2129.31 465 283 0.2430555 -0.2700618
Moved 2129.341 479.5417 302.3334 0.2767169 -0.220336
Moved 2129.372 502.5 323 0.3298611 -0.1671811
Moved 2129.402 534.3212 348.6248 0.4035212 -0.1012737
Moved 2129.433 560.9239 363.4106 0.4651016 -0.06324446
Moved 2129.464 583.7199 375.8444 0.5178702 -0.03126466
Moved 2129.494 599.5402 384.023 0.5544913 -0.01022892
Moved 2129.525 614.9606 395.5684 0.5901865 0.01946602
Moved 2129.556 626.7654 404.7654 0.6175125 0.04312083
Moved 2129.587 632.1226 413.3679 0.6299135 0.06524643
Moved 2129.617 634 423.1062 0.6342593 0.09029361
Moved 2129.648 634 435.9161 0.6342593 0.123241
Moved 2129.679 621.6414 450.8659 0.6056513 0.1616921
Moved 2129.709 613.2669 463.6664 0.586266 0.1946151
Moved 2129.74 601.9172 475.3121 0.5599936 0.224568
Moved 2129.771 588.7697 483.9382 0.5295596 0.2467545
Moved 2129.802 568.3762 488.5177 0.4823522 0.2585331
Moved 2129.833 546.6232 489 0.4319981 0.2597736
Moved 2129.863 521.8293 481.7372 0.374605 0.2410935
Moved 2129.894 500.5513 471.6649 0.3253503 0.2151873
Moved 2129.925 483.5 462.5 0.2858797 0.1916151
Moved 2129.955 467.168 452.376 0.248074 0.165576
Moved 2129.986 452.6727 443.7545 0.2145201 0.1434014
Moved 2130.017 441.18 437.1349 0.1879165 0.1263758
Moved 2130.048 431.0488 431.0244 0.1644649 0.1106594
Moved 2130.078 418.5232 424.2616 0.1354703 0.09326534
Moved 2130.109 398.3198 414.6599 0.08870333 0.06856969
Moved 2130.14 389.6241 410.7495 0.06857444 0.05851188
Moved 2130.17 383.1645 408.3881 0.05362143 0.05243858
Moved 2130.201 374.042 404.521 0.0325045 0.0424922
Moved 2130.232 364.4364 401.2182 0.01026948 0.03399731
Moved 2130.263 362.1548 400.0774 0.004987816 0.03106317
Moved 2130.293 358 400 -0.004629641 0.03086416
Moved 2130.324 356.5 400 -0.008101861 0.03086416
Ended 2130.355 357 400 -0.006944438 0.03086416
Accept 2130.447 0 of
Candidates 2130.447 13 our how pour pre or pure hope owe poor power your port peer
Began 2131.277 443 371 0.1921296 -0.04372435
Stationary 2131.308 443 371 0.1921296 -0.04372435
Stationary 2131.338 443 371 0.1921296 -0.04372435
Moved 2131.369 427.627 357.627 0.1565439 -0.07811981
Moved 2131.4 419.0795 351.3864 0.1367582 -0.09417098
Moved 2131.43 414.8209 346.8209 0.1269003 -0.1059133
