I will meet you at noon
I will meet you at noon
FixStart
Radial

0.6 0.6
432 388.8
Stationary 2677.86 321 231 -0.09027779 -0.4038066
Stationary 2677.891 321 231 -0.09027779 -0.4038066
Moved 2677.922 321 246 -0.09027779 -0.3652264
Moved 2677.952 321 267.0143 -0.09027779 -0.3111772
Moved 2677.983 321 290.7329 -0.09027779 -0.2501726
Moved 2678.014 321 314.7076 -0.09027779 -0.1885092
Moved 2678.044 321 331.6116 -0.09027779 -0.145032
Moved 2678.075 321 345.5031 -0.09027779 -0.1093029
Moved 2678.106 321 353.7602 -0.09027779 -0.08806542
Moved 2678.137 329.1134 359.1133 -0.07149681 -0.07429703
Moved 2678.167 333.8654 363.2437 -0.06049663 -0.06367389
Moved 2678.198 350.5 367.5 -0.02199074 -0.05272634
Moved 2678.229 380.4417 369 0.04731874 -0.04886839
Moved 2678.26 406.3407 369 0.1072702 -0.04886839
Moved 2678.29 435.0299 369 0.1736804 -0.04886839
Moved 2678.321 456.8832 369 0.2242667 -0.04886839
Moved 2678.352 473.0633 369 0.2617206 -0.04886839
Moved 2678.383 483.1598 369 0.2850921 -0.04886839
Moved 2678.413 489.8108 369 0.300488 -0.04886839
Moved 2678.444 494.771 369 0.31197 -0.04886839
Moved 2678.475 496.3166 369 0.3155476 -0.04886839
Moved 2678.505 498.1002 369 0.3196763 -0.04886839
Stationary 2678.536 498.1002 369 0.3196763 -0.04886839
Stationary 2678.567 498 369 0.3194444 -0.04886839
Stationary 2678.598 498 369 0.3194444 -0.04886839
Moved 2678.628 481.9911 369 0.2823867 -0.04886839
Moved 2678.659 462.1875 369 0.2365451 -0.04886839
Moved 2678.69 438.3445 369 0.181353 -0.04886839
Moved 2678.72 418.9579 369 0.1364767 -0.04886839
Moved 2678.751 400.3185 369 0.09332995 -0.04886839
Moved 2678.782 386.4005 369 0.06111224 -0.04886839
Moved 2678.813 377.3952 369 0.04026671 -0.04886839
Moved 2678.844 369.7712 369 0.02261857 -0.04886839
Moved 2678.874 364.7755 369 0.01105448 -0.04886839
Moved 2678.905 361.5151 369 0.003507237 -0.04886839
Moved 2678.936 358.9955 369 -0.002325326 -0.04886839
Moved 2678.966 357.5 369 -0.005787015 -0.04886839
Ended 2678.997 358 369 -0.004629641 -0.04886839
Candidates 2679.089 13 you your toy root tour report to out roy for support it foot
Began 2679.519 243 316 -0.2708333 -0.1851853
Stationary 2679.55 243 316 -0.2708333 -0.1851853
Stationary 2679.581 243 316 -0.2708333 -0.1851853
Moved 2679.612 264.5586 316 -0.2209292 -0.1851853
Moved 2679.642 281.8553 316 -0.1808904 -0.1851853
Moved 2679.673 300.5682 312.4045 -0.1375737 -0.1944328
Moved 2679.704 312.1438 308 -0.1107783 -0.2057614
Moved 2679.734 320.8149 306.0617 -0.09070624 -0.2107467
Moved 2679.765 326.5855 305 -0.07734831 -0.2134774
Moved 2679.796 330.6667 304 -0.06790116 -0.2160494
Ended 2679.827 333 303 -0.06249999 -0.2186215
Accept 2679.888 0 you
Began 2680.195 332 254 -0.06481484 -0.3446502
Stationary 2680.226 332 254 -0.06481484 -0.3446502
Stationary 2680.257 332 254 -0.06481484 -0.3446502
Stationary 2680.288 332 254 -0.06481484 -0.3446502
Moved 2680.318 318.7969 270.6041 -0.09537747 -0.3019443
Moved 2680.349 310.1966 280.8034 -0.1152857 -0.2757114
Moved 2680.38 299.4521 290.4109 -0.140157 -0.2510009
Moved 2680.41 288.7194 297.9684 -0.1650013 -0.2315629
