they might find your comment offensive
they might find your comment offensive
FixStart
List

0.6 0.6
432 388.8
Moved 3575.567 371.1958 477.6084 0.0259162 0.2304742
Moved 3575.597 361.5 505 0.003472269 0.3009258
Moved 3575.628 355.1371 527.4972 -0.01125658 0.3587889
Moved 3575.659 351.299 545.5048 -0.0201411 0.4051049
Moved 3575.689 349.5594 559.2032 -0.02416814 0.4403373
Moved 3575.72 349 568.6328 -0.02546296 0.4645905
Moved 3575.751 349 575.934 -0.02546296 0.4833691
Moved 3575.782 348 581.7986 -0.0277778 0.4984532
Moved 3575.813 348 586.3518 -0.0277778 0.510164
Ended 3575.843 348 586.3518 -0.0277778 0.510164
Accept 3575.997 0 your
Candidates 3575.997 13 comment consent command vincent content concerned connect contact consider constant commander company consult
Began 3576.918 317 436 -0.09953702 0.1234567
Stationary 3576.949 317 436 -0.09953702 0.1234567
Stationary 3576.98 317 436 -0.09953702 0.1234567
Moved 3577.01 359.7519 470.4479 -0.0005743404 0.2120573
Moved 3577.041 423 520.5 0.1458333 0.3407921
Moved 3577.072 443.9374 538.8333 0.1942996 0.3879457
Moved 3577.103 463.2782 557.2782 0.2390698 0.4353862
Moved 3577.133 479.1208 570.4967 0.2757427 0.4693844
Moved 3577.164 488.1422 579.1422 0.2966254 0.4916207
Moved 3577.195 491.8267 582.8267 0.3051544 0.5010974
Moved 3577.225 493 585 0.3078704 0.5066872
Moved 3577.256 493 586.5 0.3078704 0.5105452
Moved 3577.287 493 586 0.3078704 0.5092591
Moved 3577.318 479.3357 586 0.2762401 0.5092591
Moved 3577.348 458.1435 577.0004 0.227184 0.4861121
Moved 3577.379 380.7631 539.8815 0.0480627 0.3906417
Moved 3577.41 335.5187 514.0125 -0.05666966 0.324106
Moved 3577.44 304.2641 494.8134 -0.1290182 0.2747258
Moved 3577.471 292.8622 487.9139 -0.1554117 0.2569801
Moved 3577.502 276.5 479 -0.193287 0.2340534
Moved 3577.533 265.2228 472.6114 -0.2193916 0.2176218
Moved 3577.563 256.1646 467.1097 -0.2403596 0.2034715
Moved 3577.594 249.6027 462.3014 -0.2555492 0.1911044
Moved 3577.625 245.8769 459.8769 -0.2641738 0.1848685
Moved 3577.656 242.0937 458 -0.2729312 0.180041
Moved 3577.686 240.7222 456.7222 -0.276106 0.1767546
Moved 3577.717 238.7936 457 -0.2805703 0.1774691
Moved 3577.748 238.1598 456 -0.2820374 0.174897
Moved 3577.778 237.5 456 -0.2835648 0.174897
Moved 3577.809 237 456 -0.2847222 0.174897
Stationary 3577.84 237 456 -0.2847222 0.174897
Moved 3577.871 235.9144 456 -0.2872353 0.174897
Stationary 3577.901 235.9144 456 -0.2872353 0.174897
Moved 3577.932 236 465.0222 -0.287037 0.1981023
Moved 3577.963 236 471.7753 -0.287037 0.2154713
Moved 3577.993 236 482.0839 -0.287037 0.2419852
Moved 3578.024 242.7503 496.8217 -0.2714114 0.279891
Moved 3578.055 245 509.6238 -0.2662037 0.3128184
Moved 3578.086 246 517.335 -0.2638889 0.3326516
Moved 3578.116 247 527.6502 -0.2615741 0.3591826
Moved 3578.147 247 534.057 -0.2615741 0.3756609
Moved 3578.178 247 538.8655 -0.2615741 0.3880284
Moved 3578.208 247 541 -0.2615741 0.3935184
Moved 3578.239 247 543.5 -0.2615741 0.3999484
Moved 3578.27 247 544.0071 -0.2615741 0.4012527
Moved 3578.301 247 546.1406 -0.2615741 0.4067402
Moved 3578.331 247 547 -0.2615741 0.4089505
Moved 3578.362 252.6409 538.5387 -0.2485165 0.3871879
Moved 3578.393 264.7286 525.2714 -0.2205356 0.3530643
Moved 3578.424 294 495 -0.1527778 0.2752057
Moved 3578.454 329.375 456.3611 -0.07089128 0.175826
Moved 3578.485 357.0096 427.9885 -0.006922334 0.102851
Moved 3578.516 384.3061 400.6939 0.0562641 0.03264887
Moved 3578.546 405.4095 383.9429 0.1051146 -0.010435
Moved 3578.577 421.988 367.012 0.1434908 -0.05398165
Moved 3578.608 432.2957 357.4695 0.1673512 -0.07852484
Moved 3578.638 437.0624 352.4688 0.1783853 -0.09138696
Moved 3578.669 438.9584 350.0416 0.1827739 -0.09762964
Moved 3578.7 440.3409 348.6591 0.1859742 -0.1011854
Moved 3578.731 440 345.5 0.1851852 -0.1093108
Moved 3578.761 421.9632 346 0.1434334 -0.1080248
Moved 3578.792 379.8554 366.5723 0.04596154 -0.0551124
Moved 3578.823 340.346 386.327 -0.04549543 -0.004302994
Moved 3578.854 302.0373 405.9814 -0.134173 0.04624834
Moved 3578.884 289.8812 412.4285 -0.1623122 0.06283034
Moved 3578.915 263.2923 426.0599 -0.2238605 0.09789058
Moved 3578.946 238.6772 439.6614 -0.2808398 0.1328738
Moved 3578.976 220.3839 449.7697 -0.3231855 0.1588725
Moved 3579.007 212.2981 454.4679 -0.3419025 0.1709564
Moved 3579.038 206.8201 459.0899 -0.354583 0.1828443
Moved 3579.069 204.1537 462.8463 -0.3607553 0.1925057
Moved 3579.099 202 466.207 -0.3657407 0.2011495
Moved 3579.13 202 470.101 -0.3657407 0.2111651
Moved 3579.161 215.9573 493.3403 -0.3334321 0.2709368
Moved 3579.191 261.1847 522.5341 -0.2287391 0.3460239
Moved 3579.222 297.7581 537.5681 -0.1440784 0.3846916
Moved 3579.253 342.1324 557.0662 -0.04136016 0.434841
Moved 3579.284 388.5 572.5 0.06597221 0.474537
Moved 3579.314 412.2342 579.5585 0.1209126 0.4926916
Moved 3579.345 431.5927 585.5979 0.1657239 0.508225
Moved 3579.376 445 589.5 0.1967593 0.5182613
Moved 3579.406 449.2742 591 0.2066532 0.5221192
Moved 3579.437 451.5 591 0.2118056 0.5221192
Moved 3579.468 451 591 0.2106482 0.5221192
Moved 3579.499 451 579.9327 0.2106482 0.4936539
Moved 3579.529 413.2792 513.6014 0.1233315 0.3230489
Moved 3579.56 389.3419 464.2205 0.06792108 0.1960403
Moved 3579.591 371.9973 425.6186 0.02777149 0.09675556
Moved 3579.622 358.6415 395.283 -0.003144741 0.01873185
Moved 3579.652 344.8432 364.9492 -0.03508518 -0.05928722
Moved 3579.683 335.8319 348.0532 -0.05594467 -0.1027438
Moved 3579.714 327.6639 337.6639 -0.07485201 -0.1294652
Moved 3579.744 312.1852 332 -0.1106824 -0.144033
Moved 3579.775 285.6723 343.9949 -0.1720548 -0.113182
Moved 3579.806 265.45 359.7313 -0.2188659 -0.07270758
Moved 3579.836 243.5 388.5 -0.2696759 0.00128589
Moved 3579.867 232.951 416.6224 -0.2940948 0.07361718
Moved 3579.898 224.9349 439.1736 -0.3126508 0.1316195
Moved 3579.929 220.5126 458.8743 -0.3228875 0.1822898
Moved 3579.959 217 492.8567 -0.3310185 0.269693
Moved 3579.99 216.0187 501.8879 -0.3332901 0.2929215
Moved 3580.021 216 521.2351 -0.3333333 0.3426828
Moved 3580.052 216 541 -0.3333333 0.3935184
Ended 3580.082 216 541 -0.3333333 0.3935184
Accept 3580.236 0 comment
Candidates 3580.236 13 offensive identify practice product distinctive perhaps positive predictive foundations paintings themselves perceived produce
Began 3581.28 228 451 -0.3055556 0.162037
Stationary 3581.311 228 451 -0.3055556 0.162037
Moved 3581.342 281.6058 461.2676 -0.181468 0.1884455
Moved 3581.373 378.1673 468 0.04205386 0.2057612
Moved 3581.403 425.2175 468 0.1509664 0.2057612
Moved 3581.434 494.075 452.1542 0.3103589 0.1650055
Moved 3581.465 535.6328 444.5612 0.4065574 0.1454763
Moved 3581.495 563.7575 442 0.4716609 0.1388888
Moved 3581.526 580.4233 442 0.5102392 0.1388888
Moved 3581.557 594.6133 440.8467 0.5430864 0.1359224
Moved 3581.588 603.7808 441 0.5643073 0.1363167
Ended 3581.618 611.5 441 0.5821759 0.1363167
Accept 3581.68 0 offensive
PhraseEnd 3581.68
