I want to hold your hand
I want to hold your hand
FixStart
List

0.6 0.6
432 388.8
Moved 3526.813 213.0843 459 -0.3400826 0.1826131
Moved 3526.843 189.0463 459 -0.3957261 0.1826131
Moved 3526.874 172.3735 459 -0.4343205 0.1826131
Moved 3526.905 161.0408 459 -0.4605538 0.1826131
Moved 3526.936 153.359 459 -0.4783357 0.1826131
Moved 3526.966 148.3867 459 -0.4898455 0.1826131
Ended 3526.997 146 459 -0.4953704 0.1826131
Accept 3527.058 0 p
Delete 3527.058 LeftSwipe
Backspace 3529.669
Began 3530.406 380 374 0.04629632 -0.03600823
Stationary 3530.437 380 374 0.04629632 -0.03600823
Stationary 3530.467 380 374 0.04629632 -0.03600823
Stationary 3530.498 380 374 0.04629632 -0.03600823
Stationary 3530.529 380 374 0.04629632 -0.03600823
Moved 3530.559 392.1018 386.6528 0.0743098 -0.003465174
Moved 3530.59 397.6416 395.9624 0.08713334 0.02047943
Moved 3530.621 404.235 406.3134 0.1023959 0.04710232
Moved 3530.651 409.9581 415.9162 0.1156437 0.07180092
Moved 3530.682 418.8409 437.6818 0.1362059 0.1277823
Moved 3530.713 422.0001 446.0004 0.1435188 0.1491778
Moved 3530.744 426.5 458.5 0.1539352 0.181327
Moved 3530.774 431.211 466.4219 0.1648402 0.2017024
Moved 3530.805 433.9752 473.9504 0.1712389 0.2210657
Moved 3530.836 436.7365 482.2094 0.1776308 0.242308
Moved 3530.866 439.2477 489.3716 0.1834438 0.2607293
Moved 3530.897 440.9217 496.8434 0.1873187 0.2799469
Moved 3530.928 443.689 503.3779 0.1937244 0.2967538
Moved 3530.959 445 507.4471 0.1967593 0.3072198
Moved 3530.989 446 510.9267 0.199074 0.3161694
Moved 3531.02 448 513.6886 0.2037037 0.323273
Moved 3531.051 450.817 517.817 0.2102244 0.3338913
Moved 3531.082 452.1964 519.1964 0.2134176 0.3374392
Moved 3531.112 454.6321 522.6321 0.2190558 0.3462758
Moved 3531.143 457.3791 525.3791 0.2254145 0.3533413
Moved 3531.174 459.1525 528.3049 0.2295196 0.3608665
Moved 3531.204 461.6761 529.6761 0.2353614 0.3643931
Moved 3531.235 464.3307 532.3307 0.2415062 0.3712209
Moved 3531.266 467.0948 534 0.2479046 0.3755144
Moved 3531.296 469.8539 536 0.2542914 0.3806583
Moved 3531.327 471.2296 537 0.2574758 0.3832304
Moved 3531.358 472.5 538 0.2604167 0.3858024
Ended 3531.388 472 538 0.2592593 0.3858024
Candidates 3531.45 13 I u ii guy iii it go o gi to you iu y
Began 3532.218 420 381 0.1388889 -0.01800419
Stationary 3532.249 420 381 0.1388889 -0.01800419
Stationary 3532.279 420 381 0.1388889 -0.01800419
Stationary 3532.31 420 381 0.1388889 -0.01800419
Moved 3532.341 402.7188 397.2812 0.09888619 0.02387133
Moved 3532.371 384.5049 414.2815 0.05672435 0.06759639
Moved 3532.402 367.1359 432.8447 0.01651824 0.1153413
Moved 3532.433 348.5779 453.1592 -0.02644017 0.1675904
Moved 3532.463 333.5638 469.6414 -0.06119495 0.209983
Moved 3532.494 319.2194 485.7367 -0.0943995 0.2513803
Moved 3532.525 301.7617 505.3177 -0.1348107 0.3017429
Moved 3532.556 294.836 513.1641 -0.1508427 0.3219239
Moved 3532.586 291.2125 516.7875 -0.1592304 0.3312436
Moved 3532.617 286.704 521.296 -0.1696667 0.3428394
Moved 3532.648 282.2122 525.3939 -0.1800644 0.3533793
Moved 3532.678 280.1517 528.8483 -0.184834 0.3622642
Moved 3532.709 277.4538 530.5462 -0.1910791 0.3666311
Moved 3532.74 275.7001 532 -0.1951387 0.3703703
Moved 3532.771 275 534.051 -0.1967592 0.3756455
Moved 3532.801 273.5705 534 -0.2000684 0.3755144
Moved 3532.832 271.8669 535 -0.2040119 0.3780863
Moved 3532.863 270.9934 535 -0.2060337 0.3780863
Moved 3532.893 270.2244 535 -0.2078138 0.3780863
Moved 3532.924 269.5 535 -0.2094908 0.3780863
Moved 3532.955 269 535 -0.2106481 0.3780863
Moved 3532.986 267.2957 525.8872 -0.2145931 0.3546481
Moved 3533.016 265.5506 512.753 -0.2186329 0.3208667
Moved 3533.047 264.0702 498.4911 -0.2220598 0.2841848
Moved 3533.078 262.3162 480.2131 -0.22612 0.2371735
Moved 3533.108 261 463.8741 -0.2291666 0.1951493
Moved 3533.139 259.0955 448.4775 -0.2335753 0.155549
