he is just like everyone else
he is just like everyone else
Basic
Radial

0.6 0.6
432 388.8
Accept 2086.92 0 else
Began 2087.965 271 438 -0.2060186 0.1286007
Moved 2087.995 354.2866 438 -0.01322543 0.1286007
Moved 2088.026 444.7645 438 0.1962142 0.1286007
Moved 2088.057 490.4917 438 0.3020641 0.1286007
Moved 2088.087 554.4641 438 0.4501484 0.1286007
Moved 2088.118 608.719 438 0.5757384 0.1286007
Moved 2088.149 647.3674 426.4081 0.6652023 0.09878637
Ended 2088.18 666 421 0.7083334 0.08487643
PhraseEnd 2088.241
