I want to hold your hand
I want to hold your hand
FixStart
Radial

0.6 0.6
432 388.8
Moved 553.329 385.5 438 0.05902777 0.1286007
Moved 553.3597 377.8629 438 0.04134933 0.1286007
Moved 553.3904 370.1731 438 0.0235488 0.1286007
Moved 553.4211 362.4193 438 0.005600353 0.1286007
Moved 553.4519 356.5685 438 -0.007943262 0.1286007
Moved 553.4826 349.6641 438 -0.0239257 0.1286007
Moved 553.5133 342.5296 438 -0.04044066 0.1286007
Moved 553.544 338.9889 438 -0.04863685 0.1286007
Moved 553.5748 337.1107 438 -0.0529845 0.1286007
Ended 553.6055 337 440.6582 -0.05324075 0.1354377
Candidates 553.7283 13 holds hold hills pools old pills told dolls fold gold folks polls find
Began 554.1584 197 354 -0.3773148 -0.08744855
Stationary 554.1891 197 354 -0.3773148 -0.08744855
Moved 554.2198 208.8894 354 -0.3497931 -0.08744855
Moved 554.2505 269.8118 375.6951 -0.2087691 -0.0316484
Moved 554.2813 310.7957 385.5102 -0.1138987 -0.006403903
Moved 554.312 328.5186 388 -0.07287364 -3.924585E-08
Moved 554.3427 337.4952 389 -0.05209451 0.002572016
Moved 554.3734 342.103 389 -0.04142826 0.002572016
Moved 554.4041 344.9401 390 -0.03486097 0.005143954
Moved 554.4349 347.8065 391 -0.02822573 0.007715971
Moved 554.4656 349 393.6833 -0.02546296 0.01461743
Moved 554.4963 350 397.2154 -0.02314816 0.02370206
Moved 554.527 350 404.3016 -0.02314816 0.04192803
Moved 554.5577 350 412.825 -0.02314816 0.06385006
Moved 554.5884 345.7543 422.4261 -0.03297607 0.08854434
Moved 554.6191 338.3413 436.9761 -0.05013585 0.1259672
Moved 554.6498 334.7967 448.8131 -0.05834093 0.1564122
Moved 554.6806 328.5 462.5 -0.07291664 0.1916151
Moved 554.7113 324.9362 468.1277 -0.08116633 0.2060896
Moved 554.742 323.5071 470.9857 -0.08447419 0.2134405
Moved 554.7727 319.6428 475.3572 -0.09341955 0.2246842
Moved 554.8035 316.7788 477 -0.100049 0.2289094
Moved 554.8341 314.2561 479 -0.1058886 0.2340534
Moved 554.8648 311.3842 480.6158 -0.1125367 0.2382094
Moved 554.8956 308.5089 482.4911 -0.1191924 0.2430327
Moved 554.9263 308 483.0417 -0.1203704 0.2444489
Moved 554.957 306.5177 483 -0.1238016 0.2443414
Moved 554.9877 306 484 -0.125 0.2469135
Ended 555.0181 306 485.2425 -0.125 0.2501092
Accept 555.0799 1 hold
Began 555.5099 393 312 0.07638891 -0.1954732
Stationary 555.5406 393 312 0.07638891 -0.1954732
Moved 555.5714 385.0874 337.3882 0.0580727 -0.1301745
Moved 555.6021 381.226 357.9664 0.04913419 -0.07724691
Moved 555.6328 380 382.2593 0.04629632 -0.01476515
Moved 555.6635 380 396.7565 0.04629632 0.02252182
Moved 555.6942 380 411.0453 0.04629632 0.05927297
Moved 555.7249 380 426.667 0.04629632 0.09945206
Moved 555.7557 380 444.0399 0.04629632 0.1441355
Moved 555.7864 388 456.2159 0.06481478 0.1754523
Moved 555.8171 390 466.5033 0.06944448 0.2019117
Moved 555.8478 391.687 475.7478 0.07334937 0.2256887
Moved 555.8785 395.5547 484.6639 0.0823025 0.2486212
Moved 555.9092 400.8505 492.8505 0.09456127 0.269677
Moved 555.9399 408.8831 500.5887 0.1131552 0.2895799
Moved 555.9707 424.0594 504.8657 0.1482857 0.3005803
Moved 556.0014 448.3674 507 0.2045541 0.3060699
Moved 556.0321 485.0988 508 0.2895804 0.3086419
Moved 556.0628 525.9793 508 0.3842114 0.3086419
Moved 556.0936 554.1135 496.9838 0.4493368 0.2803079
Moved 556.1243 570.437 495.1126 0.4871227 0.2754953
Moved 556.155 579.5073 494 0.5081187 0.2726337
Moved 556.1857 584.5159 493 0.5197127 0.2700616
Moved 556.2164 587 492 0.5254629 0.2674896
Moved 556.2471 589.5 491 0.5312501 0.2649176
Moved 556.2779 590 488.6783 0.5324074 0.2589463
Moved 556.3085 590 487.7955 0.5324074 0.2566757
Moved 556.3393 590 484.7281 0.5324074 0.2487862
Moved 556.37 590 478.5818 0.5324074 0.2329779
Moved 556.4008 590 469.6852 0.5324074 0.2100955
Moved 556.4314 580.9341 460.4011 0.5114214 0.1862167
Moved 556.4622 575.2169 451.8253 0.4981872 0.1641595
Moved 556.4929 563.357 443.9047 0.4707337 0.1437876
Moved 556.5236 516.6266 427.6567 0.3625616 0.1019975
Moved 556.5543 482.5185 420.2932 0.2836075 0.08305859
Moved 556.585 455.7769 420 0.2217059 0.08230445
Moved 556.6157 437.3339 420 0.1790136 0.08230445
Moved 556.6464 419.0541 428.9783 0.1366994 0.1053969
Moved 556.6772 403.6985 434.7206 0.101154 0.120166
Moved 556.7079 392.0827 441.4586 0.0742655 0.1374964
Moved 556.7386 381.8251 448.705 0.050521 0.1561341
Moved 556.7693 369.5635 457.3274 0.02213766 0.1783111
Moved 556.8 360.0652 462.9565 0.0001507997 0.1927894
Moved 556.8306 345.1472 470.9264 -0.03438135 0.213288
Moved 556.8615 340.8028 472.399 -0.04443799 0.2170757
Moved 556.8922 332.2258 476.5161 -0.06429205 0.2276649
Moved 556.9229 325.7363 477 -0.07931406 0.2289094
Moved 556.9537 322.3538 478.6462 -0.08714402 0.2331436
Moved 556.9844 319.4796 479.5204 -0.09379734 0.235392
Moved 557.0151 317.5916 482.4084 -0.0981677 0.24282
Ended 557.0458 317.5916 482.4084 -0.0981677 0.24282
Candidates 557.1379 13 your type tour report for route out it rope grow our or row
Began 557.4758 124 364 -0.5462962 -0.06172839
