this is a very good idea
this is a very good idea
FixStart
Radial

0.6 0.6
432 388.8
Moved 365.1812 349.5344 558 -0.02422586 0.4372427
Moved 365.2119 383.2671 558 0.05385906 0.4372427
Moved 365.2426 426.5764 565 0.154112 0.4552468
Moved 365.2733 452.8972 565 0.2150399 0.4552468
Moved 365.3041 487.6333 566.737 0.2954474 0.4597144
Ended 365.3347 499 568 0.3217593 0.4629629
Accept 365.5191 0 a
Began 366.0414 330 609 -0.06944443 0.5684156
Stationary 366.0721 330 609 -0.06944443 0.5684156
Moved 366.1028 323.7312 601.164 -0.08395557 0.5482612
Moved 366.1335 314.5 585 -0.1053241 0.5066872
Moved 366.1642 306.2989 561.6628 -0.1243082 0.4466636
Moved 366.195 298.7945 528.8699 -0.1416793 0.3623197
Moved 366.2257 293.0407 493.2442 -0.1549983 0.2706898
Moved 366.2564 290.4854 469.369 -0.1609133 0.2092824
Moved 366.2871 287.6027 449.616 -0.1675865 0.1584774
Moved 366.3179 287 440.1946 -0.1689815 0.1342454
Moved 366.3486 287 435.8661 -0.1689815 0.1231123
Moved 366.3793 287 433.3599 -0.1689815 0.1166663
Stationary 366.41 287 433 -0.1689815 0.1157406
Stationary 366.4407 287 433 -0.1689815 0.1157406
Moved 366.4715 285.0425 433 -0.1735128 0.1157406
Moved 366.5022 282.19 449.0499 -0.1801157 0.1570213
Moved 366.5329 280.317 461.7321 -0.1844515 0.1896401
Moved 366.5637 277.4415 474.7924 -0.1911076 0.2232313
Moved 366.5944 273.8275 487.4312 -0.1994732 0.2557384
Moved 366.6251 269.6136 512.3186 -0.2092279 0.3197494
Moved 366.6558 265.4656 536.6719 -0.2188296 0.3823866
Moved 366.6865 260.3294 555.8471 -0.230719 0.4317054
Moved 366.7172 257.4535 567.1861 -0.2373762 0.4608695
Moved 366.748 250.6986 581.6028 -0.2530126 0.4979496
Moved 366.7787 244.9725 597.0549 -0.2662673 0.5376927
Moved 366.8094 240.4442 608.7792 -0.2767496 0.5678477
Moved 366.8401 235.1304 621.3044 -0.2890501 0.6000627
Moved 366.8708 232.6956 632.9133 -0.2946861 0.6299209
Moved 366.9016 232 645.5574 -0.2962963 0.6624417
Moved 366.9323 231 655.3596 -0.2986111 0.6876531
Moved 366.963 231 662.6444 -0.2986111 0.7063899
Moved 366.9937 231 668.8491 -0.2986111 0.7223484
Moved 367.0244 237.853 671.979 -0.2827477 0.7303985
Moved 367.0552 241.8456 677.6912 -0.2735055 0.7450904
Moved 367.0859 245.7149 683.4298 -0.2645488 0.7598501
Moved 367.1166 250.171 688.171 -0.2542338 0.7720446
Moved 367.1473 254.2048 693.2048 -0.2448963 0.7849917
Moved 367.1781 259.9555 698.9554 -0.2315846 0.7997824
Moved 367.2088 269.3741 705.5306 -0.2097822 0.8166937
Moved 367.2395 279 713.5 -0.1875 0.8371912
Moved 367.2702 286.8776 720.8776 -0.1692648 0.8561665
Moved 367.3009 293.3284 725.3284 -0.1543324 0.8676142
Moved 367.3317 302.1058 729.0353 -0.1340144 0.8771481
